ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_204055_913959,204054.64260000,913958.82560000,BC,4207580,295,MAIN STREET,,,,,A,,,01720,,ACTON,ACTON,MA,,295,295,,,,,,,,,MAIN,STREET,ST,,,108108,,2,2,2,2015-05-20,-71.45069040532053,42.47615302767981,363104
M_204055_913959,204054.64260000,913958.82560000,BC,4207583,307,MAIN STREET,,,,,,,,01720,,ACTON,ACTON,MA,,307,307,,,,,,,,,MAIN,STREET,ST,,,108108,,2,2,2,2015-05-21,-71.45069040532053,42.47615302767981,363104
M_204416_911742,204416.37420000,911742.41140000,BMP,4191306,1,AUDUBON DRIVE,,AUDUBON HILLS,,,,,,01720,,ACTON,ACTON,MA,,1,1,,,,,,,,,AUDUBON,DRIVE,DR,,,107887,16906,2,2,2,2015-01-22,-71.44630825869228,42.45619767791903,363104
M_204055_913959,204054.64260000,913958.82560000,BC,4207581,301,MAIN STREET,,,,,,,,01720,,ACTON,ACTON,MA,,301,301,,,,,,,,,MAIN,STREET,ST,,,108108,,2,2,2,2015-05-20,-71.45069040532053,42.47615302767981,363104
M_204055_913959,204054.64260000,913958.82560000,BC,4207582,293,MAIN STREET,,,,,,,,01720,,ACTON,ACTON,MA,,293,293,,,,,,,,,MAIN,STREET,ST,,,108108,,2,2,2,2015-05-20,-71.45069040532053,42.47615302767981,363104
M_202912_914906,202911.64740000,914905.73700000,PC,4203090,124,ARLINGTON STREET,,,,,,,,01720,,ACTON,ACTON,MA,,124,124,,,,,,,,,ARLINGTON,STREET,ST,,,107882,,2,2,2,2015-01-22,-71.46458589299705,42.48468272618615,363202
M_202912_914906,202911.64740000,914905.73700000,PC,4195308,118,ARLINGTON STREET,,,,,,,,01720,,ACTON,ACTON,MA,,118,118,,,,,,,,,ARLINGTON,STREET,ST,,,107882,,2,2,2,2015-01-22,-71.46458589299705,42.48468272618615,363202
M_204416_911742,204416.37420000,911742.41140000,BMP,4197419,48,AUDUBON DRIVE,,AUDUBON HILLS,,,,,,01720,,ACTON,ACTON,MA,,48,48,,,,,,,,,AUDUBON,DRIVE,DR,,,107887,16906,2,2,2,2015-01-22,-71.44630825869228,42.45619767791903,363104
M_205322_910572,205321.70740000,910571.83180000,ABC,4245282,5,ADELINE WAY,,,,,,,,01720,,ACTON,ACTON,MA,,5,5,,,,,,,,,ADELINE,WAY,WAY,,,192352,,2,2,2,2016-09-29,-71.43531253421332,42.44565377853325,363104
M_202498_915756,202497.98440000,915755.69640000,BC,2291853,28,ONEIDA ROAD,,,,,,,,01720,,ACTON,ACTON,MA,,28,28,,,,,,,,,ONEIDA,ROAD,RD,,,108165,,2,2,2,2014-02-19,-71.469613555747,42.492335922631625,363202
