ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_249064_826376,249064.49340000,826376.11500000,BC,3431796,49,ALLEN STREET,,,,,,,,02743,,ACUSHNET,ACUSHNET,MA,,49,49,,,,,,,,,ALLEN,STREET,ST,,,158383,,3,3,3,2014-03-13,-70.91068197285881,41.68611589950263,654200
M_249252_824763,249252.48720000,824763.08080000,BC,3431865,63,SOUTH MAIN STREET,,,,,,,,02743,,ACUSHNET,ACUSHNET,MA,,63,63,,,,,,,SOUTH,,MAIN,STREET,ST,,,158709,,3,3,3,2014-03-13,-70.90855837375068,41.67158154884283,654200
M_253023_825904,253023.21980000,825904.21940000,BC,3432448,252,MATTAPOISETT ROAD,,,,,,,,02743,,ACUSHNET,ACUSHNET,MA,,252,252,,,,,,,,,MATTAPOISETT,ROAD,RD,,,158591,,3,3,3,2014-03-13,-70.86317737292762,41.681611108518034,654100
M_250678_828399,250678.42280000,828398.84520000,BMP,3432763,540R,MAIN STREET,,,,,,,,02743,,ACUSHNET,ACUSHNET,MA,,540,540,R,,,,,,,,MAIN,STREET,ST,,,149013,,3,3,3,2014-03-13,-70.89112414453938,41.70422507193598,654100
M_249023_824463,249023.34980000,824462.60680000,BMP,3430584,56,LAWSON AVENUE,,,,,,,,02743,,ACUSHNET,ACUSHNET,MA,,56,56,,,,,,,,,LAWSON,AVENUE,AVE,,,158561,,3,3,3,2014-03-13,-70.91133475207414,41.66889056142604,654200
M_249662_827744,249661.74280000,827743.92580000,BC,3434520,6,SNAP WEED LANE,,,,,,,,02743,,ACUSHNET,ACUSHNET,MA,,6,6,,,,,,,,,SNAP WEED,LANE,LN,,,158707,,3,3,3,2014-03-13,-70.90339367861431,41.69839332659856,654100
M_250228_826613,250227.78840000,826612.74760000,BC,3430698,8,PARKSIDE AVENUE,,,,,,,,02743,,ACUSHNET,ACUSHNET,MA,,8,8,,,,,,,,,PARKSIDE,AVENUE,AVE,,,158648,,3,3,3,2014-03-13,-70.89668988993543,41.68817315056452,654100
M_247968_827477,247967.84960000,827477.46060000,BC,3434116,10,BUDANO DRIVE,,,,,,,,02743,,ACUSHNET,ACUSHNET,MA,,10,10,,,,,,,,,BUDANO,DRIVE,DR,,,158425,,3,3,3,2014-03-13,-70.92376408879954,41.69609911151811,654200
M_251284_828124,251283.52020000,828123.56120000,BC,3430985,120,MENDALL ROAD,,,,,,,,02743,,ACUSHNET,ACUSHNET,MA,,120,120,,,,,,,,,MENDALL,ROAD,RD,,,158603,,3,3,3,2014-03-13,-70.88387834391888,41.70170749147084,654100
M_246780_831572,246779.76140000,831571.58480000,BMP,3431426,1,ELDERBERRY DRIVE,,,,,,,,02743,,ACUSHNET,ACUSHNET,MA,,1,1,,,,,,,,,ELDERBERRY,DRIVE,DR,,,158477,,3,3,3,2014-03-13,-70.9377119112619,41.73303117420317,654100
M_248797_825795,248796.79440000,825795.10200000,BC,3433443,7,BUTTONWOOD LANE,,,,,,,,02743,,ACUSHNET,ACUSHNET,MA,,7,7,,,,,,,,,BUTTONWOOD,LANE,LN,,,158767,,3,3,3,2014-03-13,-70.91394517610524,41.68090146909744,654200
M_249385_824575,249384.69280000,824575.24700000,BC,3431393,109,LAWSON AVENUE,,,,,,,,02743,,ACUSHNET,ACUSHNET,MA,,109,109,,,,,,,,,LAWSON,AVENUE,AVE,,,158561,,3,3,3,2014-03-13,-70.90698653377648,41.66988215976438,654100
M_252705_826444,252704.78840000,826443.95200000,BMP,3433592,175,MATTAPOISETT ROAD,,,,,,,,02743,,ACUSHNET,ACUSHNET,MA,,175,175,,,,,,,,,MATTAPOISETT,ROAD,RD,,,158591,,3,3,3,2014-03-13,-70.86695356641498,41.68649180734337,654100
M_248174_826418,248174.12920000,826417.69880000,BMP,3433725,26,MIDDLE ROAD,,,,,,,,02743,,ACUSHNET,ACUSHNET,MA,,26,26,,,,,,,,,MIDDLE,ROAD,RD,,,158605,,3,3,3,2014-03-13,-70.92137249772387,41.6865451745066,654200
M_248025_829637,248025.38340000,829636.78620000,BMP,3432847,46,FAIRWAY DRIVE,,,,,,,,02743,,ACUSHNET,ACUSHNET,MA,,46,46,,,,,,,,,FAIRWAY,DRIVE,DR,,,158771,,3,3,3,2014-03-13,-70.9228974550548,41.71553668195369,654100
M_249418_834161,249418.46820000,834160.95460000,BMP,3431022,1517,MAIN STREET,,,,,,,,02743,,ACUSHNET,ACUSHNET,MA,,1517,1517,,,,,,,,,MAIN,STREET,ST,,,149013,,3,3,3,2014-03-13,-70.9057790920024,41.75618297574872,654100
M_247902_827444,247901.76540000,827443.89460000,BMP,3430339,19,COURY DRIVE,,,,,,,,02743,,ACUSHNET,ACUSHNET,MA,,19,19,,,,,,,,,COURY,DRIVE,DR,,,158768,,3,3,3,2014-03-13,-70.92456065190072,41.69580092318152,654200
M_249211_825384,249210.71620000,825384.21320000,BMP,3430571,52,PROUTEAU STREET,,,,,,,,02743,,ACUSHNET,ACUSHNET,MA,,52,52,,,,,,,,,PROUTEAU,STREET,ST,,,158673,,3,3,3,2014-03-13,-70.90900827998088,41.677176398714394,654200
M_249575_825726,249574.56660000,825725.65460000,BC,3433983,6,BARDSLEY STREET,,,,,,,,02743,,ACUSHNET,ACUSHNET,MA,,6,6,,,,,,,,,BARDSLEY,STREET,ST,,,158399,,3,3,3,2014-03-13,-70.904610170135,41.68022771605331,654100
M_252154_829253,252154.09840000,829252.53620000,BC,3431038,245,PERRY HILL ROAD,,,,,,,,02743,,ACUSHNET,ACUSHNET,MA,,245,245,,,,,,,,,PERRY HILL,ROAD,RD,,,158660,,3,3,3,2014-03-13,-70.87331991494288,41.711814860005745,654100
M_250177_826670,250176.62760000,826670.12000000,BC,3433758,3,PARKSIDE AVENUE,,,,,,,,02743,,ACUSHNET,ACUSHNET,MA,,3,3,,,,,,,,,PARKSIDE,AVENUE,AVE,,,158648,,3,3,3,2014-03-13,-70.8972995171475,41.688692947433196,654100
M_249756_825832,249755.86680000,825832.06800000,BMP,3432895,9,CLUB AVENUE,,,,,,,,02743,,ACUSHNET,ACUSHNET,MA,,9,9,,,,,,,,,CLUB,AVENUE,AVE,,,158440,,3,3,3,2014-03-13,-70.90242387489607,41.68117437259958,654100
M_252399_826932,252399.06880000,826931.73040000,BC,3432231,55,MATTAPOISETT ROAD,,,,,,,,02743,,ACUSHNET,ACUSHNET,MA,,55,55,,,,,,,,,MATTAPOISETT,ROAD,RD,,,158591,,3,3,3,2014-03-13,-70.87058225182575,41.6909037781646,654100
M_249425_825483,249424.71540000,825482.74220000,BMP,3430628,36,DALTON STREET,,,,,,,,02743,,ACUSHNET,ACUSHNET,MA,,36,36,,,,,,,,,DALTON,STREET,ST,,,158453,,3,3,3,2014-03-13,-70.90643012419987,41.6780501061363,654200
M_249413_825907,249412.64940000,825906.65300000,BMP,3430668,42,ROOSEVELT STREET,,,,,,,,02743,,ACUSHNET,ACUSHNET,MA,,42,42,,,,,,,,,ROOSEVELT,STREET,ST,,,158687,,3,3,3,2014-03-13,-70.90653960628516,41.681867458307075,654200
M_249482_826354,249481.51840000,826354.19140000,BC,3430312,17,DIANE STREET,,,,,,,,02743,,ACUSHNET,ACUSHNET,MA,,17,17,,,,,,,,,DIANE,STREET,ST,,,158462,,3,3,3,2014-03-13,-70.90567504442411,41.685892463237685,654200
M_246530_832320,246530.01340000,832320.38160000,BC,3430696,8,NESTLE'S LANE,,,,,,,,02743,,ACUSHNET,ACUSHNET,MA,,8,8,,,,,,,,,NESTLE'S,LANE,LN,,,158620,,3,3,3,2014-03-13,-70.94065474970253,41.73978760874301,654100
