ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_66894_930905,66894.03660000,930904.87660000,BMP,94505,39,COMMERCIAL STREET,,,,,,,,01220,,ADAMS,ADAMS,MA,,39,39,,,,,,,,,COMMERCIAL,STREET,ST,,,4637,,4,4,4,2016-12-13,-73.12246228337774,42.617321179370805,922100
M_67718_932300,67718.26040000,932300.29680000,BMP,91535,33,CROTTEAU STREET,,,,,,,,01220,,ADAMS,ADAMS,MA,,33,33,,,,,,,,,CROTTEAU,STREET,ST,,,4647,,4,4,4,2013-12-05,-73.11273957490552,42.63002141613866,922200
M_67244_928679,67244.09840000,928678.83880000,BMP,91933,202,ORCHARD STREET,,,,,,,,01220,,ADAMS,ADAMS,MA,,202,202,,,,,,,,,ORCHARD,STREET,ST,,,4756,,4,4,4,2013-12-05,-73.11768177302135,42.597345405766184,922300
M_68968_929710,68967.52800000,929710.14960000,BMP,92174,92,WALLING ROAD,,,,,,,,01220,,ADAMS,ADAMS,MA,,92,92,,,,,,,,,WALLING,ROAD,RD,,,4831,,4,4,4,2013-12-05,-73.09692131014128,42.6069201772918,922300
M_66957_931784,66957.19840000,931784.17080000,BMP,92457,28,MAPLE STREET,,,,,,,,01220,,ADAMS,ADAMS,MA,,28,28,,,,,,,,,MAPLE,STREET,ST,,,4727,,4,4,4,2013-12-05,-73.12189634992943,42.62524611063845,922100
M_66780_931877,66780.00480000,931876.69900000,BMP,92033,64,MAPLE STREET,,,,,,,,01220,,ADAMS,ADAMS,MA,,64,64,,,,,,,,,MAPLE,STREET,ST,,,4727,,4,4,4,2013-12-05,-73.12407743243516,42.62604856299508,922100
M_66948_930824,66948.28380000,930823.79460000,BMP,91841,2,EDMUNDS STREET,,,,,,,,01220,,ADAMS,ADAMS,MA,,2,2,,,,,,,,,EDMUNDS,STREET,ST,,,4665,,4,4,4,2013-12-05,-73.1217824205052,42.61660068355088,922100
M_67551_933088,67550.56460000,933088.36540000,BMP,91789,11,SAYLES STREET,,,,,,,,01220,,ADAMS,ADAMS,MA,,11,11,,,,,,,,,SAYLES,STREET,ST,,,4788,,4,4,4,2013-12-05,-73.11496547484707,42.6370858805833,922200
M_67468_932505,67467.87560000,932504.75840000,BMP,95167,7,KERR AVENUE,,,,,,,,01220,,ADAMS,ADAMS,MA,,7,7,,,,,,,,,KERR,AVENUE,AVE,,,4713,,4,4,4,2013-12-05,-73.1158386787115,42.631819021760236,922200
M_66901_929516,66901.27760000,929516.34700000,BC,91375,13,ARNOLD AVENUE,,,,,,,,01220,,ADAMS,ADAMS,MA,,13,13,,,,,,,,,ARNOLD,AVENUE,AVE,,,4607,,4,4,4,2013-12-05,-73.12205222010579,42.604824871414934,922300
