ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_107370_866319,107369.85440000,866318.74060000,PC,4191327,6,MARK DRIVE,,,,,,,,01001,,AGAWAM,AGAWAM,MA,,6,6,,,,,,,,,MARK,DRIVE,DR,,,106741,,5,5,5,2015-01-22,-72.61883595677142,42.041792720797375,813205
M_107370_866319,107369.85440000,866318.74060000,PC,4197730,8,MARK DRIVE,,,,,,,,01001,,AGAWAM,AGAWAM,MA,,8,8,,,,,,,,,MARK,DRIVE,DR,,,106741,,5,5,5,2015-01-22,-72.61883595677142,42.041792720797375,813205
M_105177_868253,105176.99480000,868252.53280000,BC,4195753,479,SILVER STREET,,,,,,,,01001,,AGAWAM,AGAWAM,MA,,479,479,,,,,,,,,SILVER,STREET,ST,,,106283,,5,5,5,2015-08-03,-72.6456330287861,42.05893958508787,813205
M_105029_870899,105028.75460000,870898.85420000,BMP,2260123,23,CLEVELAND STREET,,,,,,,,01030,,AGAWAM,AGAWAM,MA,,23,23,,,,,,,,,CLEVELAND,STREET,ST,,,106545,,5,5,5,2014-02-18,-72.64785405733348,42.082744981377886,813207
M_105426_868262,105425.81840000,868261.73940000,BMP,2260462,415,SILVER STREET,,,,,,,,01001,,AGAWAM,AGAWAM,MA,,415,415,,,,,,,,,SILVER,STREET,ST,,,106283,,5,5,5,2014-02-18,-72.64262864074614,42.05905251576655,813205
M_105158_871091,105158.20460000,871091.00520000,BMP,2269657,36,TAFT STREET,,,,,,,,01030,,AGAWAM,AGAWAM,MA,,36,36,,,,,,,,,TAFT,STREET,ST,,,106325,,5,5,5,2014-02-18,-72.64632087971029,42.08449047845456,813207
M_101113_868962,101113.37440000,868962.49700000,BC,2261286,21,CARMEL LANE,,,,,,,,01030,,AGAWAM,AGAWAM,MA,,21,21,,,,,,,,,CARMEL,LANE,LN,,,106521,,5,5,5,2014-02-18,-72.69484275637657,42.06482904459634,813205
M_104183_869695,104182.52200000,869694.85140000,BC,2260606,60,HIGHLAND STREET,,,,,,,,01030,,AGAWAM,AGAWAM,MA,,60,60,,,,,,,,,HIGHLAND,STREET,ST,,,106669,,5,5,5,2014-02-18,-72.65788312563518,42.07180306939701,813206
M_109140_869066,109139.61820000,869066.25860000,BC,2259967,727,RIVER ROAD,,,,,,,,01001,,AGAWAM,AGAWAM,MA,,727,727,,,,,,,,,RIVER,ROAD,RD,,,106249,,5,5,5,2014-02-18,-72.59788932567173,42.06673431868567,813208
M_101873_865925,101873.06820000,865924.83940000,BC,2266670,435,PINE STREET,,,,,,,,01030,,AGAWAM,AGAWAM,MA,,435,435,,,,,,,,,PINE,STREET,ST,,,106828,,5,5,5,2014-02-18,-72.68515464280512,42.03757826594789,813205
