ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_40158_888944,40157.50440000,888943.52140000,BMP,97099,203,GREEN RIVER ROAD,,,,,,,,01230,,ALFORD,ALFORD,MA,,203,203,,,,,,,,,GREEN RIVER,ROAD,RD,,,4867,,6,6,6,2013-12-06,-73.4366463042556,42.23461890552656,934300
M_41837_886788,41836.77160000,886787.99880000,BC,97018,8,GREEN RIVER ROAD,,,,,,,,01230,,ALFORD,ALFORD,MA,,8,8,,,,,,,,,GREEN RIVER,ROAD,RD,,,4867,,6,6,6,2013-12-06,-73.41572077558858,42.21555900289144,934300
M_41879_888403,41878.66840000,888402.78160000,BMP,97152,20,CROSS ROAD,,,,,,,,01230,,ALFORD,ALFORD,MA,,20,20,,,,,,,,,CROSS,ROAD,RD,,,4860,,6,6,6,2013-12-06,-73.41565267292688,42.23010174963389,934300
M_38937_889285,38937.23520000,889285.45880000,BC,96933,150,GREEN RIVER VALLEY ROAD,,,,,,,,01230,,ALFORD,ALFORD,MA,,150,150,,,,,,,,,GREEN RIVER VALLEY,ROAD,RD,,,4868,,6,6,6,2014-11-17,-73.45152067617506,42.237446196498794,934300
M_42123_887930,42122.85420000,887930.20520000,BMP,97008,41,OLD BARRINGTON ROAD,,,,,,,,01230,,ALFORD,ALFORD,MA,,41,41,,,,,,,,,OLD BARRINGTON,ROAD,RD,,,4878,,6,6,6,2013-12-06,-73.4125669794099,42.225897534038374,934300
M_41511_888728,41510.91880000,888728.30380000,BMP,97211,30,NORTH EGREMONT ROAD,,,,,,,,01230,,ALFORD,ALFORD,MA,,30,30,,,,,,,NORTH,,EGREMONT,ROAD,RD,,,4877,,6,6,6,2013-12-06,-73.42019525236412,42.23295725113247,934300
M_41348_890790,41348.47340000,890789.99700000,BMP,97230,117,WEST ROAD,,,,,,,,01266,,ALFORD,ALFORD,MA,,117,117,,,,,,,,,WEST,ROAD,RD,,,4892,,6,6,6,2013-12-06,-73.42272568464179,42.25148102364903,934300
M_42772_890578,42772.04340000,890577.77520000,BC,96978,120,EAST ROAD,,,,,,,,01266,,ALFORD,ALFORD,MA,,120,120,,,,,,,,,EAST,ROAD,RD,,,4862,,6,6,6,2013-12-06,-73.40542151015781,42.24985845488317,934300
M_41260_886953,41259.86060000,886952.78880000,BMP,97133,49,GREEN RIVER ROAD,,,,,,,,01230,,ALFORD,ALFORD,MA,,49,49,,,,,,,,,GREEN RIVER,ROAD,RD,,,4867,,6,6,6,2013-12-06,-73.42275111930564,42.216925380139685,934300
M_41370_890253,41369.87760000,890253.32100000,BC,97076,84,WEST ROAD,,,,,,,,01266,,ALFORD,ALFORD,MA,,84,84,,,,,,,,,WEST,ROAD,RD,,,4892,,6,6,6,2013-12-06,-73.42231981353788,42.246654905892555,934300
M_41654_888806,41654.41620000,888806.17700000,BC,96996,24,NORTH EGREMONT ROAD,,,,,,,,01230,,ALFORD,ALFORD,MA,,24,24,,,,,,,NORTH,,EGREMONT,ROAD,RD,,,4877,,6,6,6,2014-11-17,-73.41847849458554,42.23368723544016,934300
M_39127_886959,39127.13200000,886958.81740000,PC,96950,25,WHITES HILL ROAD,,,,,,,,01230,,ALFORD,ALFORD,MA,,25,25,,,,,,,,,WHITES HILL,ROAD,RD,,,4898,,6,6,6,2013-12-06,-73.44857668516151,42.21654394063093,934300
