ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_242803_956103,242802.93200000,956103.39160000,BMP,101698,103,LAKE ATTITASH ROAD,,,,,,,,01913,,AMESBURY,AMESBURY,MA,,103,103,,,,,,,,,LAKE ATTITASH,ROAD,RD,,,4966,,7,7,7,2013-12-06,-70.97632185557285,42.8543671414037,266100
M_246074_956879,246074.40440000,956878.71240000,BMP,102060,3,LAKE AVENUE,,,,,,,,01913,,AMESBURY,AMESBURY,MA,,3,3,,,,,,,,,LAKE,AVENUE,AVE,,,4968,,7,7,7,2013-12-06,-70.93623502172177,42.86115828815831,266200
M_246575_956498,246574.62160000,956497.55800000,BC,104583,12,MARKET SQUARE,,,,,3,,,01913,,AMESBURY,AMESBURY,MA,,12,12,,,,,,,,,MARKET,SQUARE,SQ,,,5010,,7,7,7,2013-12-06,-70.93014571866927,42.85769750652857,266300
M_247078_957337,247078.32400000,957336.83660000,BC,103291,82,CEDAR STREET,,,,,,,,01913,,AMESBURY,AMESBURY,MA,,82,82,,,,,,,,,CEDAR,STREET,ST,,,5373,,7,7,7,2013-12-06,-70.92391360288086,42.8652215848587,266400
M_244972_956068,244971.84800000,956068.44120000,PC,103378,1,MONCRIEF STREET,,,,,,,,01913,,AMESBURY,AMESBURY,MA,,1,1,,,,,,,,,MONCRIEF,STREET,ST,,,5038,,7,7,7,2013-12-06,-70.9497894419449,42.85392964295432,266100
M_245872_956271,245871.88700000,956270.97120000,BMP,101849,16,WHITEHALL ROAD,,,,,,,,01913,,AMESBURY,AMESBURY,MA,,16,16,,,,,,,,,WHITEHALL,ROAD,RD,,,5268,,7,7,7,2013-12-06,-70.93876187596018,42.85569988408589,266200
M_247782_958621,247782.21940000,958621.44500000,BC,101904,27,BACK RIVER ROAD,,,,,,,,01913,,AMESBURY,AMESBURY,MA,,27,27,,,,,,,,,BACK RIVER,ROAD,RD,,,5331,,7,7,7,2013-12-06,-70.91519269387638,42.87674146814908,266400
M_247403_957499,247403.21660000,957499.20480000,BC,98365,19,CLINTON STREET,,,,,,,,01913,,AMESBURY,AMESBURY,MA,,19,19,,,,,,,,,CLINTON,STREET,ST,,,5385,,7,7,7,2013-12-06,-70.9199245786688,42.866663274282935,266400
M_244134_955272,244134.13300000,955271.76880000,BC,100217,23,KIMBALL ROAD,,,,,,,,01913,,AMESBURY,AMESBURY,MA,,23,23,,,,,,,,,KIMBALL,ROAD,RD,,,4962,,7,7,7,2013-12-06,-70.9600999305441,42.84680675619831,266100
M_245869_958067,245869.34320000,958067.33660000,BC,100483,58,SOUTH HAMPTON ROAD,,,,,,,,01913,,AMESBURY,AMESBURY,MA,,58,58,,,,,,,SOUTH,,HAMPTON,ROAD,RD,,,5201,,7,7,7,2013-12-06,-70.93864835594121,42.87186952375536,266200
M_247686_955627,247686.42240000,955627.06440000,BC,98461,20,LAFAYETTE STREET EXTENSION,,,,,,,,01913,,AMESBURY,AMESBURY,MA,,20,20,,,,,,,,,LAFAYETTE,STREET EXTENSION,,,,4965,,7,7,7,2013-12-06,-70.91661577103605,42.849794323103445,266300
M_246074_956879,246074.40440000,956878.71240000,BMP,99504,5,LAKE AVENUE,,,,,,,,01913,,AMESBURY,AMESBURY,MA,,5,5,,,,,,,,,LAKE,AVENUE,AVE,,,4968,,7,7,7,2013-12-06,-70.93623502172177,42.86115828815831,266200
M_247380_957222,247380.31740000,957222.36220000,BMP,103010,4,GARDNER STREET,,,,,,,,01913,,AMESBURY,AMESBURY,MA,,4,4,,,,,,,,,GARDNER,STREET,ST,,,4913,,7,7,7,2013-12-06,-70.92022781532741,42.86417275837107,266400
M_246542_957422,246541.86060000,957421.63800000,BC,99834,19,SOUTH HAMPTON ROAD,,,,,,,,01913,,AMESBURY,AMESBURY,MA,,19,19,,,,,,,SOUTH,,HAMPTON,ROAD,RD,,,5201,,7,7,7,2013-12-06,-70.93047105463793,42.866017328679405,266200
M_247569_957679,247568.70200000,957679.32120000,BMP,99981,113,CONGRESS STREET,,,,,,,,01913,,AMESBURY,AMESBURY,MA,,113,113,,,,,,,,,CONGRESS,STREET,ST,,,5389,,7,7,7,2013-12-06,-70.91788454677791,42.86827438961886,266400
M_246623_957353,246623.07000000,957353.15600000,BMP,98197,138,MARKET STREET,,,,,,,,01913,,AMESBURY,AMESBURY,MA,,138,138,,,,,,,,,MARKET,STREET,ST,,,5011,,7,7,7,2013-12-06,-70.92948293654023,42.865396022514545,266200
M_246231_958968,246230.87320000,958968.05140000,BC,101199,35,PAIGE FARM ROAD,,,,,,,,01913,,AMESBURY,AMESBURY,MA,,35,35,,,,,,,,,PAIGE FARM,ROAD,RD,,,5081,,7,7,7,2013-12-06,-70.93415093552413,42.879955518825916,266200
M_247938_956201,247937.86240000,956201.36700000,BC,106226,31,MONROE STREET,,,,,1,,,01913,,AMESBURY,AMESBURY,MA,,31,31,,,,,,,,,MONROE,STREET,ST,,,5039,,7,7,7,2013-12-06,-70.91349150094544,42.85494824112915,266400
M_245754_954915,245754.31080000,954914.86060000,BC,98582,3,HOYT AVENUE,,,,,,,,01913,,AMESBURY,AMESBURY,MA,,3,3,,,,,,,,,HOYT,AVENUE,AVE,,,4951,,7,7,7,2013-12-06,-70.94030923825386,42.84350011598185,266100
M_243240_954649,243240.16080000,954648.83240000,BMP,102058,3,FIRST STREET,,,,,,,,01913,,AMESBURY,AMESBURY,MA,,3,3,,,,,,,,,FIRST,STREET,ST,,,4905,,7,7,7,2013-12-06,-70.97108300914631,42.841249930026656,266100
M_246024_953913,246023.50180000,953912.57460000,BMP,100428,41,MARTIN ROAD SOUTH,,,,,,,,01913,,AMESBURY,AMESBURY,MA,,41,41,,,,,,,,,MARTIN,ROAD,RD,SOUTH,,5016,,7,7,7,2013-12-06,-70.9370973586046,42.834462285159496,266100
M_246034_956224,246034.02220000,956224.16020000,BC,102553,102,FRIEND STREET,,,,,,,,01913,,AMESBURY,AMESBURY,MA,,102,102,,,,,,,,,FRIEND,STREET,ST,,,4908,,7,7,7,2013-12-06,-70.93678200667176,42.855268906564426,266100
M_247651_957156,247650.68980000,957156.16020000,BC,101766,13,WARREN AVENUE,,,,,,,,01913,,AMESBURY,AMESBURY,MA,,13,13,,,,,,,,,WARREN,AVENUE,AVE,,,5167,,7,7,7,2013-12-06,-70.91692502707781,42.86356027071496,266400
M_247058_958223,247058.05280000,958223.37000000,BMP,99612,54,FERN AVENUE,,,,,,,,01913,,AMESBURY,AMESBURY,MA,,54,54,,,,,,,,,FERN,AVENUE,AVE,,,4903,,7,7,7,2013-12-06,-70.92408840354356,42.87320267803488,266400
M_243088_954393,243088.01960000,954393.43440000,BC,103496,156,HAVERHILL ROAD,,,,,,,,01913,,AMESBURY,AMESBURY,MA,,156,156,,,,,,,,,HAVERHILL,ROAD,RD,,,5300,,7,7,7,2013-12-06,-70.97296326759637,42.83895948613951,266100
M_245722_956264,245721.92040000,956264.29440000,BC,102643,15,WHITTIER AVENUE,,,,,,,,01913,,AMESBURY,AMESBURY,MA,,15,15,,,,,,,,,WHITTIER,AVENUE,AVE,,,5270,,7,7,7,2013-12-06,-70.94059718592906,42.85564865222971,266200
M_246259_956920,246259.03800000,956919.71700000,BC,97581,20,LAKE STREET,,,,,,,,01913,,AMESBURY,AMESBURY,MA,,20,20,,,,,,,,,LAKE,STREET,ST,,,4971,,7,7,7,2013-12-06,-70.93397258747372,42.86151637328003,266200
M_246047_953397,246046.99420000,953396.80860000,BMP,103699,29,PLEASANT VALLEY ROAD,,,,,,,,01913,,AMESBURY,AMESBURY,MA,,29,29,,,,,,,,,PLEASANT VALLEY,ROAD,RD,,,5099,,7,7,7,2013-12-06,-70.93685168491812,42.829818309374915,266100
M_247473_956727,247473.26520000,956726.53080000,BMP,101383,54,HUNTINGTON AVENUE,,,,,,,,01913,,AMESBURY,AMESBURY,MA,,54,54,,,,,,,,,HUNTINGTON,AVENUE,AVE,,,4953,,7,7,7,2013-12-06,-70.91913180660187,42.8597039796824,266400
M_246380_956361,246379.94480000,956361.04260000,BC,101650,1,LONGS COURT,,,,,,,,01913,,AMESBURY,AMESBURY,MA,,1,1,,,,,,,,,LONGS,COURT,CT,,,4994,,7,7,7,2013-12-06,-70.93253868863779,42.85648038106571,266100
M_246227_956821,246226.81980000,956820.77880000,BC,100123,25,CHESTER STREET,,,,,,,,01913,,AMESBURY,AMESBURY,MA,,25,25,,,,,,,,,CHESTER,STREET,ST,,,5377,,7,7,7,2013-12-06,-70.9343748269138,42.86062773150541,266200
M_246380_956361,246379.94480000,956361.04260000,BC,104249,1,LONGS COURT,,,,,2,,,01913,,AMESBURY,AMESBURY,MA,,1,1,,,,,,,,,LONGS,COURT,CT,,,4994,,7,7,7,2013-12-06,-70.93253868863779,42.85648038106571,266100
M_243477_955382,243477.16240000,955382.10320000,BC,98666,4,WHITEWOOD CIRCLE,,,,,,,,01913,,AMESBURY,AMESBURY,MA,,4,4,,,,,,,,,WHITEWOOD,CIRCLE,CIR,,,5269,,7,7,7,2013-12-06,-70.96812813315556,42.84783706254787,266100
M_245482_956001,245481.86460000,956001.49260000,BC,102565,11,HIGHLAND STREET,,,,,,,,01913,,AMESBURY,AMESBURY,MA,,11,11,,,,,,,,,HIGHLAND,STREET,ST,,,4938,,7,7,7,2013-12-06,-70.9435551351218,42.85329723930038,266100
