ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_255523_788765,255522.52840000,788764.78120000,BMP,1733137,17,AQUINNAH CIRCLE,,,,,,,,02535,,AQUINNAH,AQUINNAH,MA,,17,17,,,,,,,,,AQUINNAH,CIRCLE,CIR,,,79069,,10,104,104,2014-02-06,-70.8366302299007,41.34706459789624,
M_256244_788382,256244.20800000,788382.07160000,BC,1733135,12,RAYMONDS HILL LANE,,,,,,,,02535,,AQUINNAH,AQUINNAH,MA,,12,12,,,,,,,,,RAYMONDS HILL,LANE,LN,,,79150,,10,104,104,2014-02-06,-70.82804415193036,41.34356814887155,
M_255523_788765,255522.52840000,788764.78120000,BMP,1732680,21,AQUINNAH CIRCLE,,,,,,,,02535,,AQUINNAH,AQUINNAH,MA,,21,21,,,,,,,,,AQUINNAH,CIRCLE,CIR,,,79069,,10,104,104,2014-02-06,-70.8366302299007,41.34706459789624,
M_255523_788765,255522.52840000,788764.78120000,BMP,1733176,19,AQUINNAH CIRCLE,,,,,,,,02535,,AQUINNAH,AQUINNAH,MA,,19,19,,,,,,,,,AQUINNAH,CIRCLE,CIR,,,79069,,10,104,104,2014-02-06,-70.8366302299007,41.34706459789624,
M_257942_786149,257942.19260000,786149.14820000,BC,1733002,4,MOSHUP TRAIL,,,,,,,,02535,,AQUINNAH,AQUINNAH,MA,,4,4,,,,,,,,,MOSHUP,TRAIL,TRL,,,79129,,10,104,104,2014-02-06,-70.80797544855271,41.32334263608214,200400
M_256821_789265,256820.91920000,789265.27020000,BMP,1732857,2,SKIPPERS VIEW LANE,,,,,,,,02535,,AQUINNAH,AQUINNAH,MA,,2,2,,,,,,,,,SKIPPERS VIEW,LANE,LN,,,79162,,10,104,104,2014-02-06,-70.8210704219431,41.35147859053078,
M_255523_788765,255522.52840000,788764.78120000,BMP,1732827,33,AQUINNAH CIRCLE,,,,,,,,02535,,AQUINNAH,AQUINNAH,MA,,33,33,,,,,,,,,AQUINNAH,CIRCLE,CIR,,,79069,,10,104,104,2014-02-06,-70.8366302299007,41.34706459789624,
M_255523_788765,255522.52840000,788764.78120000,BMP,1732791,23,AQUINNAH CIRCLE,,,,,,,,02535,,AQUINNAH,AQUINNAH,MA,,23,23,,,,,,,,,AQUINNAH,CIRCLE,CIR,,,79069,,10,104,104,2014-02-06,-70.8366302299007,41.34706459789624,
M_258885_787803,258884.58660000,787802.72160000,BMP,4239069,635,STATE ROAD,,,,,,,,02535,,AQUINNAH,AQUINNAH,MA,,635,635,,,,,,,,,STATE,ROAD,RD,,,79167,,10,104,104,2016-07-08,-70.79655773293,41.33816052676822,200400
M_257677_788008,257676.74260000,788007.59900000,PC,4239100,838,STATE ROAD,,,,,,,,02535,,AQUINNAH,AQUINNAH,MA,,838,838,,,,,,,,,STATE,ROAD,RD,,,79167,,10,104,104,2016-07-08,-70.81096637582736,41.340093826389605,200400
M_258349_788116,258349.27240000,788115.52880000,BC,4239082,739,STATE ROAD,,,,,,,,02535,,AQUINNAH,AQUINNAH,MA,,739,739,,,,,,,,,STATE,ROAD,RD,,,79167,,10,104,104,2016-07-08,-70.8029218355034,41.341016332378025,200400
M_258496_789243,258496.28020000,789242.57360000,PC,4239020,583,LIGHTHOUSE ROAD,,,,,,,,02535,,AQUINNAH,AQUINNAH,MA,,583,583,,,,,,,,,LIGHTHOUSE,ROAD,RD,,,79121,,10,104,104,2016-07-08,-70.80105533423227,41.35115241788528,200400
M_259460_788592,259459.88400000,788592.24000000,BC,1733144,4,CLAY PIT ROAD,,,,,,,,02535,,AQUINNAH,AQUINNAH,MA,,4,4,,,,,,,,,CLAY PIT,ROAD,RD,,,79087,,10,104,104,2014-02-06,-70.78960692756571,41.345225717510424,200400
M_258247_789451,258246.54060000,789450.81560000,BC,1733162,6,OXCART ROAD,,,,,,,,02535,,AQUINNAH,AQUINNAH,MA,,6,6,,,,,,,,,OXCART,ROAD,RD,,,79140,,10,104,104,2014-02-06,-70.80401892091955,41.35304563190304,200400
M_257396_788004,257395.93980000,788004.21540000,BC,1733042,4,CHURCH STREET,,,,,,,,02535,,AQUINNAH,AQUINNAH,MA,,4,4,,,,,,,,,CHURCH,STREET,ST,,,79084,,10,104,104,2014-02-06,-70.81432115884388,41.340083736525166,
