ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_175720_935802,175719.62480000,935802.46680000,BMP,1219511,440,GREENVILLE ROAD,,,,,,,,01431,,ASHBY,ASHBY,MA,,440,440,,,,,,,,,GREENVILLE,ROAD,RD,,,55581,,13,12,12,2014-01-16,-71.79620148376638,42.67242671553536,300100
M_172317_937224,172316.69300000,937223.95140000,BC,1219762,19,WEST ROAD,,,,,,,,01431,,ASHBY,ASHBY,MA,,19,19,,,,,,,,,WEST,ROAD,RD,,,55644,,13,12,12,2014-01-16,-71.8377828405936,42.685108989827754,300100
M_174394_935997,174394.16340000,935997.00460000,BC,1220290,584,MAIN STREET,,,,,3,,,01431,,ASHBY,ASHBY,MA,,584,584,,,,,,,,,MAIN,STREET,ST,,,55598,,13,12,12,2014-01-16,-71.81237962105202,42.67413537076659,300100
M_173185_933645,173185.43620000,933645.10420000,BMP,1219248,584,RICHARDSON ROAD,,,,,,,,01431,,ASHBY,ASHBY,MA,,584,584,,,,,,,,,RICHARDSON,ROAD,RD,,,55619,,13,12,12,2014-01-16,-71.82701540286168,42.65292282273493,300100
M_174394_935997,174394.16340000,935997.00460000,BC,1219431,584,MAIN STREET,,,,,,,,01431,,ASHBY,ASHBY,MA,,584,584,,,,,,,,,MAIN,STREET,ST,,,55598,,13,12,12,2014-01-16,-71.81237962105202,42.67413537076659,300100
M_175767_935583,175766.58380000,935583.47660000,BMP,1219157,382,GREENVILLE ROAD,,,,,,,,01431,,ASHBY,ASHBY,MA,,382,382,,,,,,,,,GREENVILLE,ROAD,RD,,,55581,,13,12,12,2014-01-16,-71.79561936659626,42.67045683918757,300100
M_175523_934521,175523.44460000,934521.22000000,BMP,1219171,48,GEORGE ROAD,,,,,,,,01431,,ASHBY,ASHBY,MA,,48,48,,,,,,,,,GEORGE,ROAD,RD,,,55580,,13,12,12,2014-01-16,-71.79854000225119,42.66088679847795,300100
M_174970_935652,174970.16060000,935651.66240000,BC,1219237,211,COUNTY ROAD,,,,,,,,01431,,ASHBY,ASHBY,MA,,211,211,,,,,,,,,COUNTY,ROAD,RD,,,55563,,13,12,12,2014-01-16,-71.80533769509559,42.67104538943576,300100
M_177509_936072,177509.22420000,936071.62580000,BMP,1219560,1088,TURNPIKE ROAD,,,,,,,,01431,,ASHBY,ASHBY,MA,,1088,1088,,,,,,,,,TURNPIKE,ROAD,RD,,,55635,,13,12,12,2014-01-16,-71.77438049741683,42.674903558985044,300100
M_173914_936611,173913.55660000,936611.21880000,BC,1219301,89,NEW IPSWICH ROAD,,,,,,,,01431,,ASHBY,ASHBY,MA,,89,89,,,,,,,,,NEW IPSWICH,ROAD,RD,,,55607,,13,12,12,2014-01-16,-71.81827071214913,42.67964849944709,300100
M_174394_935997,174394.16340000,935997.00460000,BC,1220288,584,MAIN STREET,,,,,1,,,01431,,ASHBY,ASHBY,MA,,584,584,,,,,,,,,MAIN,STREET,ST,,,55598,,13,12,12,2014-01-16,-71.81237962105202,42.67413537076659,300100
M_175685_934172,175685.23280000,934171.97100000,BC,1219602,201,FITCHBURG STATE ROAD,,,,,,,,01431,,ASHBY,ASHBY,MA,,201,201,,,,,,,,,FITCHBURG STATE,ROAD,RD,,,55574,,13,12,12,2014-01-16,-71.79655188104063,42.65774793870636,300100
M_176849_937408,176848.60800000,937408.10300000,BC,1219069,192,WHEELER ROAD,,,,,,,,01431,,ASHBY,ASHBY,MA,,192,192,,,,,,,,,WHEELER,ROAD,RD,,,55646,,13,12,12,2014-01-16,-71.78249375171671,42.68691504372809,300100
M_174475_936075,174474.73460000,936075.07220000,BMP,1219624,61,TURNPIKE ROAD,,,,,,,,01431,,ASHBY,ASHBY,MA,,61,61,,,,,,,,,TURNPIKE,ROAD,RD,,,55635,,13,12,12,2014-01-16,-71.81140017459876,42.674840783794615,300100
