ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_93708_916999,93707.78140000,916999.21340000,BMP,111053,812,WEST ROAD,,,,,,,,01330,,ASHFIELD,ASHFIELD,MA,,812,812,,,,,,,,,WEST,ROAD,RD,,,5919,,14,13,13,2013-12-06,-72.7931098018003,42.496281151756,041501
M_97223_923006,97222.67060000,923006.41820000,BMP,111242,1932,BAPTIST CORNER ROAD,,,,,,,,01370,,ASHFIELD,ASHFIELD,MA,,1932,1932,,,,,,,,,BAPTIST CORNER,ROAD,RD,,,5818,,14,13,13,2013-12-06,-72.75142740370941,42.550826455983184,041501
M_89376_917961,89375.83440000,917961.19800000,BC,110449,1179,SPRUCE CORNER ROAD,,,,,,,,01330,,ASHFIELD,ASHFIELD,MA,,1179,1179,,,,,,,,,SPRUCE CORNER,ROAD,RD,,,5898,,14,13,13,2013-12-06,-72.84598667084609,42.50433706913072,041501
M_91036_923322,91036.46900000,923322.04860000,BMP,110445,1038,HAWLEY ROAD,,,,,,,,01330,,ASHFIELD,ASHFIELD,MA,,1038,1038,,,,,,,,,HAWLEY,ROAD,RD,,,5855,,14,13,13,2013-12-06,-72.82679920654437,42.5528259072745,041501
M_93497_919432,93497.02820000,919432.35380000,BC,110539,730,CREAMERY ROAD,,,,,,,,01330,,ASHFIELD,ASHFIELD,MA,,730,730,,,,,,,,,CREAMERY,ROAD,RD,,,5845,,14,13,13,2013-12-06,-72.79612311366691,42.51815407350601,041501
M_93889_916700,93889.39180000,916700.33460000,BC,110926,892,WEST ROAD,,,,,,,,01330,,ASHFIELD,ASHFIELD,MA,,892,892,,,,,,,,,WEST,ROAD,RD,,,5919,,14,13,13,2013-12-06,-72.79084571527558,42.49361557174133,041501
M_93299_920552,93299.24300000,920552.28980000,BC,111127,203-215,MAIN STREET,,,,,,,,01330,,ASHFIELD,ASHFIELD,MA,,203,203,,,215,215,,,,,MAIN,STREET,ST,,,5866,,14,13,13,2013-12-06,-72.7987372633236,42.52820795609758,041501
M_94641_923242,94640.98940000,923242.34840000,BC,110778,371,BARNES ROAD,,,,,,,,01370,,ASHFIELD,ASHFIELD,MA,,371,371,,,,,,,,,BARNES,ROAD,RD,,,5820,,14,13,13,2013-12-06,-72.78290074291498,42.55260488685427,041501
M_95149_918529,95149.09760000,918529.01160000,BC,110817,10,WILLIAMSBURG ROAD,,,,,,,,01330,,ASHFIELD,ASHFIELD,MA,,10,10,,,,,,,,,WILLIAMSBURG,ROAD,RD,,,5921,,14,13,13,2013-12-06,-72.77585630328656,42.510246937420874,041501
M_91641_921977,91640.73020000,921976.80940000,BMP,111159,534,HAWLEY ROAD,,,,,,,,01330,,ASHFIELD,ASHFIELD,MA,,534,534,,,,,,,,,HAWLEY,ROAD,RD,,,5855,,14,13,13,2013-12-06,-72.81918925162363,42.540801409064166,041501
