ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_141351_927066,141351.39960000,927065.81780000,BC,913069,103,KENNEBUNK STREET,,,,,1,,,01331,,ATHOL,ATHOL,MA,,103,103,,,,,,,,,KENNEBUNK,STREET,ST,,,37654,,16,15,15,2013-12-15,-72.21456007256204,42.59194626733104,703300
M_139999_927214,139998.51200000,927213.50580000,BC,908768,49-51,EXCHANGE STREET,,,,,,,,01331,,ATHOL,ATHOL,MA,,49,49,,,51,51,,,,,EXCHANGE,STREET,ST,,,37586,,16,15,15,2013-12-15,-72.2310579450099,42.593172537186646,703100
M_139669_927050,139668.96940000,927050.46700000,BC,912524,265,SOUTH STREET,,,,,,,,01331,,ATHOL,ATHOL,MA,,265,265,,,,,,,,,SOUTH,STREET,ST,,,37805,,16,15,15,2013-12-15,-72.23505577444917,42.59167938124003,703100
M_137676_926294,137676.25400000,926293.98380000,BC,912562,210,BRICKYARD ROAD,,,,,,,,01331,,ATHOL,ATHOL,MA,,210,210,,,,,,,,,BRICKYARD,ROAD,RD,,,37504,,16,15,15,2013-12-15,-72.25925113899808,42.58471245548601,703200
M_140416_922487,140416.24020000,922486.69440000,BC,912775,771,CONANT ROAD,,,,,,,,01331,,ATHOL,ATHOL,MA,,771,771,,,,,,,,,CONANT,ROAD,RD,,,37542,,16,15,15,2013-12-15,-72.22547876447422,42.550654048299016,703300
M_137618_925100,137617.89900000,925100.38380000,BC,908529,72,COOLIDGE STREET,,,,,,,,01331,,ATHOL,ATHOL,MA,,72,72,,,,,,,,,COOLIDGE,STREET,ST,,,37884,,16,15,15,2013-12-15,-72.25983247440152,42.57396308803578,703100
M_139937_926776,139937.04620000,926776.26300000,BMP,908597,111,SANDERS STREET,,,,,,,,01331,,ATHOL,ATHOL,MA,,111,111,,,,,,,,,SANDERS,STREET,ST,,,37790,,16,15,15,2013-12-15,-72.23176110464489,42.5892317708337,703100
M_140426_927037,140426.23380000,927037.36360000,BMP,912931,145,BEACON STREET,,,,,,,,01331,,ATHOL,ATHOL,MA,,145,145,,,,,,,,,BEACON,STREET,ST,,,37491,,16,15,15,2013-12-15,-72.2258285744114,42.591619803689916,703100
M_139999_927214,139998.51200000,927213.50580000,BC,4195382,49,EXCHANGE STREET,,,,,,,,01331,,ATHOL,ATHOL,MA,,49,49,,,,,,,,,EXCHANGE,STREET,ST,,,37586,,16,15,15,2015-01-22,-72.2310579450099,42.593172537186646,703100
M_139682_927282,139682.38700000,927281.78580000,BC,913733,224,MAIN STREET,,,,,7,,,01331,,ATHOL,ATHOL,MA,,224,224,,,,,,,,,MAIN,STREET,ST,,,37684,,16,15,15,2015-08-03,-72.23491658865075,42.59376273207115,703100
M_143954_924828,143953.85840000,924828.40720000,BC,910541,160,MYSTERY LANE,,,,,,,,01331,,ATHOL,ATHOL,MA,,160,160,,,,,,,,,MYSTERY,LANE,LN,,,37713,,16,15,15,2013-12-15,-72.1826355813341,42.57199705211274,703300
M_139377_928324,139377.43780000,928323.79140000,BC,911056,8,WESTERN AVENUE,,,,,,,,01331,,ATHOL,ATHOL,MA,,8,8,,,,,,,,,WESTERN,AVENUE,AVE,,,37865,,16,15,15,2013-12-15,-72.23874189426544,42.603119036325054,703200
M_139682_927282,139682.38700000,927281.78580000,BC,913728,224,MAIN STREET,,,,,10,,,01331,,ATHOL,ATHOL,MA,,224,224,,,,,,,,,MAIN,STREET,ST,,,37684,,16,15,15,2015-08-03,-72.23491658865075,42.59376273207115,703100
M_139682_927282,139682.38700000,927281.78580000,BC,913732,224,MAIN STREET,,,,,5,,,01331,,ATHOL,ATHOL,MA,,224,224,,,,,,,,,MAIN,STREET,ST,,,37684,,16,15,15,2015-08-03,-72.23491658865075,42.59376273207115,703100
M_141351_927066,141351.39960000,927065.81780000,BC,913071,103,KENNEBUNK STREET,,,,,3,,,01331,,ATHOL,ATHOL,MA,,103,103,,,,,,,,,KENNEBUNK,STREET,ST,,,37654,,16,15,15,2013-12-15,-72.21456007256204,42.59194626733104,703300
M_139444_928878,139443.63520000,928877.58020000,BC,908494,548,INTERVALE AVENUE,,,,,,,,01331,,ATHOL,ATHOL,MA,,548,548,,,,,,,,,INTERVALE,AVENUE,AVE,,,37642,,16,15,15,2013-12-15,-72.237993645033,42.608109328670416,703200
M_141096_925719,141095.64880000,925719.34120000,BC,908508,648,PLEASANT STREET,,,,,,,,01331,,ATHOL,ATHOL,MA,,648,648,,,,,,,,,PLEASANT,STREET,ST,,,37759,,16,15,15,2013-12-15,-72.21753792834946,42.57980603715948,703300
M_140382_925185,140381.90700000,925184.66120000,BMP,909042,370,RIDGE ROAD,,,,,,,,01331,,ATHOL,ATHOL,MA,,370,370,,,,,,,,,RIDGE,ROAD,RD,,,37779,,16,15,15,2013-12-15,-72.22617644163044,42.5749384938317,703100
M_140024_928345,140023.81060000,928345.48440000,BC,910843,415,LENOX STREET,,,,,,,,01331,,ATHOL,ATHOL,MA,,415,415,,,,,,,,,LENOX,STREET,ST,,,37668,,16,15,15,2013-12-15,-72.23086789755055,42.60336444088904,703200
M_139654_925749,139653.70620000,925748.56180000,BMP,911363,28,WELLESLEY STREET,,,,,,,,01331,,ATHOL,ATHOL,MA,,28,28,,,,,,,,,WELLESLEY,STREET,ST,,,37857,,16,15,15,2013-12-15,-72.23510502755009,42.57995854566823,703100
M_139682_927282,139682.38700000,927281.78580000,BC,911393,222,MAIN STREET,,,,,,,,01331,,ATHOL,ATHOL,MA,,222,222,,,,,,,,,MAIN,STREET,ST,,,37684,,16,15,15,2013-12-15,-72.23491658865075,42.59376273207115,703100
M_141408_926940,141408.44440000,926939.82240000,BMP,911428,40,HIGHLAND STREET,,,,,,,,01331,,ATHOL,ATHOL,MA,,40,40,,,,,,,,,HIGHLAND,STREET,ST,,,37633,,16,15,15,2013-12-15,-72.21385223816394,42.590816365709784,703300
M_139682_927282,139682.38700000,927281.78580000,BC,913729,224,MAIN STREET,,,,,2,,,01331,,ATHOL,ATHOL,MA,,224,224,,,,,,,,,MAIN,STREET,ST,,,37684,,16,15,15,2015-08-03,-72.23491658865075,42.59376273207115,703100
M_141138_928249,141137.89500000,928249.18940000,BC,911526,648,CHESTNUT HILL AVENUE,,,,,,,,01331,,ATHOL,ATHOL,MA,,648,648,,,,,,,,,CHESTNUT HILL,AVENUE,AVE,,,37533,,16,15,15,2013-12-15,-72.2172824796305,42.60258274080968,703200
M_137072_924878,137072.91340000,924878.25750000,BC,914482,742,DANIEL SHAYS HIGHWAY,,SHAYS PARK,,,4E,,,01331,,ATHOL,ATHOL,MA,,742,742,,,,,,,,,DANIEL SHAYS,HIGHWAY,HWY,,,37558,18120,16,15,15,2017-06-21,-72.26644589393342,42.57191962807551,703100
