ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_237957_875744,237957.33580000,875744.08880000,BC,3420533,216,WEST MAIN STREET,,,,,,,,02322,,AVON,AVON,MA,,216,216,,,,,,,WEST,,MAIN,STREET,ST,,,158068,,19,18,18,2014-03-12,-71.04089652769194,42.131201304375494,457100
M_237641_875056,237640.50620000,875056.01200000,BC,3420568,35,FEELEY STREET,,,,,,,,02322,,AVON,AVON,MA,,35,35,,,,,,,,,FEELEY,STREET,ST,,,157946,,19,18,18,2014-03-12,-71.04477300464664,42.12502180572239,457100
M_237933_874127,237933.39140000,874126.70880000,BC,3420569,35,NICHOLS AVENUE,,,,,,,,02322,,AVON,AVON,MA,,35,35,,,,,,,,,NICHOLS,AVENUE,AVE,,,157998,,19,18,18,2014-03-12,-71.04129133929298,42.11664110992185,457100
M_237957_875744,237957.33580000,875744.08880000,BC,3421408,216,WEST MAIN STREET,,,,,2N,,,02322,,AVON,AVON,MA,,216,216,,,,,,,WEST,,MAIN,STREET,ST,,,158068,,19,18,18,2014-03-12,-71.04089652769194,42.131201304375494,457100
M_238089_875068,238089.37960000,875068.20220000,BC,3420594,45,GILL STREET,,,,,,,,02322,,AVON,AVON,MA,,45,45,,,,,,,,,GILL,STREET,ST,,,157952,,19,18,18,2014-03-12,-71.03934360611734,42.12510985772761,457100
M_238650_874020,238650.29560000,874019.60700000,BC,3419327,30,FLETCHER STREET,,,,,,,,02322,,AVON,AVON,MA,,30,30,,,,,,,,,FLETCHER,STREET,ST,,,157949,,19,18,18,2014-03-12,-71.03262946013585,42.115641827648055,457100
M_238348_874401,238347.55100000,874401.07160000,BMP,3419518,54,OAK STREET,,,,,,,,02322,,AVON,AVON,MA,,54,54,,,,,,,,,OAK,STREET,ST,,,158002,,19,18,18,2014-03-12,-71.03626518449951,42.1190910516071,457100
M_238409_875157,238408.84880000,875157.29120000,BC,3419778,196,EAST MAIN STREET,,,,,,,,02322,,AVON,AVON,MA,,196,196,,,,,,,EAST,,MAIN,STREET,ST,,,157938,,19,18,18,2014-03-12,-71.03547412507798,42.125896331337294,457100
M_237570_875056,237569.81100000,875055.54880000,BC,3420200,51,PORTER STREET,,,,,,,,02322,,AVON,AVON,MA,,51,51,,,,,,,,,PORTER,STREET,ST,,,158022,,19,18,18,2014-03-12,-71.04562801114325,42.12502102922109,457100
M_236620_872918,236620.47880000,872917.79500000,PC,3421105,9,KATHERINES WAY,,,,,,,,02322,,AVON,AVON,MA,,9,9,,,,,,,,,KATHERINES,WAY,WAY,,,157970,,19,18,18,2014-03-12,-71.05724329703867,42.10581963400702,457100
