ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_195279_922940,195279.67640000,922940.27550000,BC,2259126,75,SANDY POND ROAD,,CANNONGATE,,,38,,,01432,,AYER,AYER,MA,,75,75,,,,,,,,,SANDY POND,ROAD,RD,,,106158,20211,20,19,19,2016-05-19,-71.5574787217149,42.557004162249186,325100
M_193733_924945,193732.97040000,924945.35020000,BMP,2257073,10,MADIGAN LANE,,,,,,,,01432,,AYER,AYER,MA,,10,10,,,,,,,,,MADIGAN,LANE,LN,,,106080,,20,19,19,2014-02-18,-71.57633458635696,42.5750435381854,325100
M_194436_922401,194435.84360000,922401.20620000,BC,2256873,30,LITTLETON ROAD,,,,,,,,01432,,AYER,AYER,MA,,30,30,,,,,,,,,LITTLETON,ROAD,RD,,,106072,,20,19,19,2014-02-18,-71.56774873818688,42.55214570255462,325100
M_194421_922177,194420.69340000,922177.11080000,BC,2254945,8,GROSVENOR STREET,,,,,,,,01432,,AYER,AYER,MA,,8,8,,,,,,,,,GROSVENOR,STREET,ST,,,106030,,20,19,19,2014-02-18,-71.56793103270047,42.550128209987975,325100
M_195832_922185,195853.65040000,922181.08950000,ABC,2256028,31,PARTRIDGE RUN,,,,,,,,01432,,AYER,AYER,MA,,31,31,,,,,,,,,PARTRIDGE,RUN,RUN,,,106124,,20,19,19,2014-02-18,-71.55048405063374,42.550172982047684,325100
M_194421_922177,194420.69340000,922177.11080000,BC,2256623,10,GROSVENOR STREET,,,,,,,,01432,,AYER,AYER,MA,,10,10,,,,,,,,,GROSVENOR,STREET,ST,,,106030,,20,19,19,2014-02-18,-71.56793103270047,42.550128209987975,325100
M_194636_922202,194635.70480000,922201.57320000,BC,2255274,176,WILLARD STREET,,,,,,,,01432,,AYER,AYER,MA,,176,176,,,,,,,,,WILLARD,STREET,ST,,,106205,,20,19,19,2014-02-18,-71.56531338337271,42.55034994085538,325100
M_194394_923195,194393.51480000,923195.01200000,BMP,2256246,21,PINE RIDGE DRIVE,,,,,,,,01432,,AYER,AYER,MA,,21,21,,,,,,,,,PINE RIDGE,DRIVE,DR,,,106133,,20,19,19,2014-02-18,-71.56827186638907,42.559291503085106,325100
M_192686_923672,192685.90020000,923672.22800000,BMP,2259430,26,PEARL STREET,,,,,1,,,01432,,AYER,AYER,MA,,26,26,,,,,,,,,PEARL,STREET,ST,,,106129,,20,19,19,2014-02-18,-71.5890720610824,42.56357337448552,325100
M_196470_924328,196469.53060000,924328.30840000,BC,2257483,18,HIBISCUS LANE,,,,,,,,01432,,AYER,AYER,MA,,18,18,,,,,,,,,HIBISCUS,LANE,LN,,,106042,,20,19,19,2014-02-18,-71.54299855644767,42.56950598100988,325100
M_194641_923530,194641.43880000,923529.89520000,BC,2256036,34,CALVIN STREET,,,,,,,,01432,,AYER,AYER,MA,,34,34,,,,,,,,,CALVIN,STREET,ST,,,105992,,20,19,19,2014-02-18,-71.56525594190697,42.5623079759177,325100
M_197250_923559,197250.12980000,923559.05560000,BC,2257060,1,NEW ENGLAND WAY,,,,,,,,01432,,AYER,AYER,MA,,1,1,,,,,,,,,NEW ENGLAND,WAY,WAY,,,106103,,20,19,19,2014-02-18,-71.53348774721461,42.562584080484264,325100
M_192686_923672,192685.90020000,923672.22800000,BMP,2259431,26,PEARL STREET,,,,,2,,,01432,,AYER,AYER,MA,,26,26,,,,,,,,,PEARL,STREET,ST,,,106129,,20,19,19,2014-02-18,-71.5890720610824,42.56357337448552,325100
M_192686_923672,192685.90020000,923672.22800000,BMP,2255463,26,PEARL STREET,,,,,,,,01432,,AYER,AYER,MA,,26,26,,,,,,,,,PEARL,STREET,ST,,,106129,,20,19,19,2014-02-18,-71.5890720610824,42.56357337448552,325100
M_194421_922177,194420.69340000,922177.11080000,BC,2256148,8-10,GROSVENOR STREET,,,,,,,,01432,,AYER,AYER,MA,,8,8,,,10,10,,,,,GROSVENOR,STREET,ST,,,106030,,20,19,19,2014-02-18,-71.56793103270047,42.550128209987975,325100
M_192746_923323,192746.43500000,923322.53160000,BC,2258362,11,PLEASANT STREET,,,,,1,,,01432,,AYER,AYER,MA,,11,11,,,,,,,,,PLEASANT,STREET,ST,,,106137,,20,19,19,2014-02-18,-71.58833045077422,42.56042586397747,325100
M_192746_923323,192746.43500000,923322.53160000,BC,2258364,11,PLEASANT STREET,,,,,2F,,,01432,,AYER,AYER,MA,,11,11,,,,,,,,,PLEASANT,STREET,ST,,,106137,,20,19,19,2014-02-18,-71.58833045077422,42.56042586397747,325100
M_194636_922202,194635.70480000,922201.57320000,BC,2254614,174,WILLARD STREET,,,,,,,,01432,,AYER,AYER,MA,,174,174,,,,,,,,,WILLARD,STREET,ST,,,106205,,20,19,19,2014-02-18,-71.56531338337271,42.55034994085538,325100
M_194376_922116,194376.05180000,922116.44260000,BMP,2254770,42,WILLARD STREET,,,,,,,,01432,,AYER,AYER,MA,,42,42,,,,,,,,,WILLARD,STREET,ST,,,106205,,20,19,19,2014-02-18,-71.56847397476265,42.5495817323872,325100
M_195908_921856,195907.81520000,921856.10660000,BC,2256655,2,ROBBINS ROAD,,,,,,,,01432,,AYER,AYER,MA,,2,2,,,,,,,,,ROBBINS,ROAD,RD,,,106148,,20,19,19,2014-02-18,-71.54982225379642,42.547247658172836,325100
M_194627_921991,194626.74020000,921991.01440000,BC,2255267,98,WILLARD STREET,,,,,,,,01432,,AYER,AYER,MA,,98,98,,,,,,,,,WILLARD,STREET,ST,,,106205,,20,19,19,2014-02-18,-71.56542056620407,42.54845435509102,325100
