ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_145490_910048,145490.03040000,910048.15680000,BC,1021786,57,BUTTERWORTH ROAD,,,,,,,,01005,,BARRE,BARRE,MA,,57,57,,,,,,,,,BUTTERWORTH,ROAD,RD,,,44501,,22,21,21,2013-12-19,-72.16252767565145,42.439051641737734,722100
M_151035_903980,151034.64180000,903980.11360000,BMP,1021032,4,CHURCH STREET,,,,,,,,01005,,BARRE,BARRE,MA,,4,4,,,,,,,,,CHURCH,STREET,ST,,,44510,,22,21,21,2013-12-19,-72.0946252605325,42.38479235365891,722100
M_150930_913451,150930.19200000,913451.20420000,BC,1021961,112,GILBERT ROAD,,,,,,,,01005,,BARRE,BARRE,MA,,112,112,,,,,,,,,GILBERT,ROAD,RD,,,44544,,22,21,21,2013-12-19,-72.09669822378342,42.470048525106,722100
M_148096_906203,148095.94360000,906203.28960000,BMP,1022153,744,WAUWINET ROAD,,,,,,,,01005,,BARRE,BARRE,MA,,744,744,,,,,,,,,WAUWINET,ROAD,RD,,,44675,,22,21,21,2013-12-19,-72.13051051035482,42.40461645054673,722100
M_147468_909685,147467.57020000,909684.66720000,BMP,1022163,800,WASHBURN ROAD,,,,,,,,01005,,BARRE,BARRE,MA,,800,800,,,,,,,,,WASHBURN,ROAD,RD,,,44674,,22,21,21,2013-12-19,-72.13846001301013,42.43591514886431,722100
M_149435_907032,149435.23860000,907031.85920000,BC,1021428,200,WAUWINET ROAD,,,,,,,,01005,,BARRE,BARRE,MA,,200,200,,,,,,,,,WAUWINET,ROAD,RD,,,44675,,22,21,21,2013-12-19,-72.11431432926625,42.41216358255773,722100
M_145419_909032,145418.96960000,909031.78120000,BC,1020719,423,OLD DANA ROAD,,,,,,,,01005,,BARRE,BARRE,MA,,423,423,,,,,,,,,OLD DANA,ROAD,RD,,,44613,,22,21,21,2013-12-19,-72.16329526939887,42.42989689773802,722100
M_150761_904277,150761.22600000,904276.61280000,BC,1022794,8,GROVE STREET SOUTH,,,,,,,,01005,,BARRE,BARRE,MA,,8,8,,,,,,,,,GROVE,STREET,ST,SOUTH,,44553,,22,21,21,2013-12-19,-72.09797069930751,42.38744438244976,722100
M_145822_907034,145821.62980000,907034.02980000,BC,1020853,760,SHELDON ROAD,,,,,,,,01005,,BARRE,BARRE,MA,,760,760,,,,,,,,,SHELDON,ROAD,RD,,,44644,,22,21,21,2013-12-19,-72.1582147987908,42.41194045235251,722100
M_152322_904655,152322.43780000,904654.73980000,BC,1022487,931,WORCESTER ROAD,,,,,,,,01005,,BARRE,BARRE,MA,,931,931,,,,,,,,,WORCESTER,ROAD,RD,,,44687,,22,21,21,2013-12-19,-72.0790426322293,42.39094544784436,722100
