ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_66192_890960,66191.76880000,890960.16980000,BC,108208,2307,JACOBS LADDER ROAD,,,,,,,,01223,,BECKET,BECKET,MA,,2307,2307,,,,,,,,,JACOBS LADDER,ROAD,RD,,,5803,,23,22,22,2013-12-06,-73.12176392396748,42.257659620390605,932200
M_72744_890221,72744.46000000,890220.91440000,BC,110120,186,SENECA DRIVE,,,,,,,,01223,,BECKET,BECKET,MA,,186,186,,,,,,,,,SENECA,DRIVE,DR,,,5556,,23,22,22,2013-12-06,-73.04220068050459,42.25209935589587,932200
M_70288_891341,70288.40320000,891341.41020000,BC,108346,45,FRIAR TUCK DRIVE,,,,,,,,01223,,BECKET,BECKET,MA,,45,45,,,,,,,,,FRIAR TUCK,DRIVE,DR,,,5767,,23,22,22,2013-12-06,-73.07220904752396,42.261781809453886,932200
M_64500_893447,64500.48500000,893447.30880000,PC,108485,17,GREENWATER DRIVE,,,,,,,,01223,,BECKET,BECKET,MA,,17,17,,,,,,,,,GREENWATER,DRIVE,DR,,,5785,,23,22,22,2013-12-06,-73.14283787103909,42.279755749189285,932200
M_70989_890110,70988.88680000,890109.74940000,BC,109471,116,MYSTIC ISLE WAY,,,,,,,,01223,,BECKET,BECKET,MA,,116,116,,,,,,,,,MYSTIC ISLE,WAY,WAY,,,5492,,23,22,22,2013-12-06,-73.06344692135318,42.25081098171746,932200
M_65453_896340,65453.10800000,896340.17940000,BC,109647,61,DONALD DRIVE,,,,,,,,01223,,BECKET,BECKET,MA,,61,61,,,,,,,,,DONALD,DRIVE,DR,,,5746,,23,22,22,2013-12-06,-73.13196179077379,42.30595983598706,932200
M_71577_890117,71576.98280000,890116.85760000,BC,109077,508,MOBERG ROAD,,,,,,,,01223,,BECKET,BECKET,MA,,508,508,,,,,,,,,MOBERG,ROAD,RD,,,5474,,23,22,22,2013-12-06,-73.05632311952729,42.25097178812221,932200
M_68312_896963,68311.76040000,896963.42680000,BC,108867,809,LEONHARDT ROAD,,,,,,,,01223,,BECKET,BECKET,MA,,809,809,,,,,,,,,LEONHARDT,ROAD,RD,,,5652,,23,22,22,2013-12-06,-73.09743804663105,42.31205702268243,932200
M_69529_898694,69529.24060000,898694.09460000,BMP,109500,3246,MAIN STREET,,,,,,,,01223,,BECKET,BECKET,MA,,3246,3246,,,,,,,,,MAIN,STREET,ST,,,5463,,23,22,22,2013-12-06,-73.08306245821592,42.32783961659963,932200
M_67189_896908,67189.07200000,896908.49680000,BC,110005,423,LEONHARDT ROAD,,,,,,,,01223,,BECKET,BECKET,MA,,423,423,,,,,,,,,LEONHARDT,ROAD,RD,,,5652,,23,22,22,2013-12-06,-73.11104095702558,42.31137249384151,932200
M_65451_891469,65450.72740000,891469.26340000,BC,110167,28,BECKET WEST ROAD,,,,,,,,01223,,BECKET,BECKET,MA,,28,28,,,,,,,,,BECKET WEST,ROAD,RD,,,5692,,23,22,22,2013-12-06,-73.13086116916287,42.26211494470737,932200
M_69325_898136,69324.76460000,898135.58840000,BC,109616,3009,MAIN STREET,,,,,,,,01223,,BECKET,BECKET,MA,,3009,3009,,,,,,,,,MAIN,STREET,ST,,,5463,,23,22,22,2013-12-06,-73.08541694568444,42.322778146698056,932200
M_68192_896774,68191.87360000,896774.02880000,BMP,108859,766,LEONHARDT ROAD,,,,,,,,01223,,BECKET,BECKET,MA,,766,766,,,,,,,,,LEONHARDT,ROAD,RD,,,5652,,23,22,22,2013-12-06,-73.09884892676405,42.310331973442636,932200
M_69633_896791,69632.54180000,896790.98440000,BMP,109321,2226,MAIN STREET,,,,,,,,01223,,BECKET,BECKET,MA,,2226,2226,,,,,,,,,MAIN,STREET,ST,,,5463,,23,22,22,2013-12-06,-73.08138128186859,42.310726375939204,932200
M_73711_896493,73710.77000000,896492.74340000,BC,108541,26,MUNN ROAD,,,,,,,,01223,,BECKET,BECKET,MA,,26,26,,,,,,,,,MUNN,ROAD,RD,,,5489,,23,22,22,2013-12-06,-73.03185746649409,42.30871180695598,932200
M_70722_892143,70721.76200000,892143.48920000,BC,109567,186,STONEY BROOK ROAD,,,,,,,,01223,,BECKET,BECKET,MA,,186,186,,,,,,,,,STONEY BROOK,ROAD,RD,,,5604,,23,22,22,2013-12-06,-73.06713617207615,42.269073466431664,932200
M_72266_891137,72265.79840000,891137.34800000,BC,110435,155,BONNY RIGG HILL ROAD,,,,,27C,,,01223,,BECKET,BECKET,MA,,155,155,,,,,,,,,BONNY RIGG HILL,ROAD,RD,,,5705,,23,22,22,2013-12-06,-73.04820183991129,42.26027056898388,932200
M_65343_893503,65342.81020000,893503.31580000,BMP,108693,1143,GEORGE CARTER ROAD,,,,,,,,01223,,BECKET,BECKET,MA,,1143,1143,,,,,,,,,GEORGE CARTER,ROAD,RD,,,5771,,23,22,22,2013-12-06,-73.13264075873691,42.28040548087302,932200
M_72140_891078,72139.97420000,891077.82460000,BC,108747,138,BONNY RIGG HILL ROAD,,,,,,,,01223,,BECKET,BECKET,MA,,138,138,,,,,,,,,BONNY RIGG HILL,ROAD,RD,,,5705,,23,22,22,2013-12-06,-73.0497134497697,42.25971419983413,932200
M_65437_891000,65436.66480000,891000.19520000,BMP,108904,71,BRUCE ROY LANE,,,,,,,,01223,,BECKET,BECKET,MA,,71,71,,,,,,,,,BRUCE ROY,LANE,LN,,,5714,,23,22,22,2013-12-06,-73.13092288083361,42.257890289105625,932200
M_72266_891137,72265.79840000,891137.34800000,BC,110095,155,BONNY RIGG HILL ROAD,,,,,,,,01223,,BECKET,BECKET,MA,,155,155,,,,,,,,,BONNY RIGG HILL,ROAD,RD,,,5705,,23,22,22,2013-12-06,-73.04820183991129,42.26027056898388,932200
M_70973_896253,70972.92140000,896252.96280000,BC,109502,33,BENTON HILL ROAD,,,,,,,,01223,,BECKET,BECKET,MA,,33,33,,,,,,,,,BENTON HILL,ROAD,RD,,,5696,,23,22,22,2013-12-06,-73.06500616769755,42.30610600988605,932200
M_68510_894932,68509.57680000,894932.47040000,BC,109537,1398,FRED SNOW ROAD,,,,,,,,01223,,BECKET,BECKET,MA,,1398,1398,,,,,,,,,FRED SNOW,ROAD,RD,,,5765,,23,22,22,2013-12-06,-73.09457848823128,42.29380906219298,932200
M_66020_895653,66019.78520000,895652.62440000,BC,108789,211,TYNE ROAD,,,,,,,,01223,,BECKET,BECKET,MA,,211,211,,,,,,,,,TYNE,ROAD,RD,,,5617,,23,22,22,2013-12-06,-73.12493119667678,42.299868374917786,932200
M_73300_892925,73299.71100000,892925.48240000,BMP,110229,879,WADE INN ROAD,,,,,,,,01223,,BECKET,BECKET,MA,,879,879,,,,,,,,,WADE INN,ROAD,RD,,,5621,,23,22,22,2013-12-06,-73.03606328622,42.27653471421176,932200
M_72738_890383,72737.51200000,890383.38600000,BMP,108916,450,BONNY RIGG HILL ROAD,,,,,,,,01223,,BECKET,BECKET,MA,,450,450,,,,,,,,,BONNY RIGG HILL,ROAD,RD,,,5705,,23,22,22,2013-12-06,-73.04232046365854,42.253560714777755,932200
M_70247_890836,70247.29360000,890836.26820000,PC,109876,274,KING RICHARD DRIVE,,,,,,,,01223,,BECKET,BECKET,MA,,274,274,,,,,,,,,KING RICHARD,DRIVE,DR,,,5809,,23,22,22,2013-12-06,-73.07259434474452,42.2572279810443,932200
M_69066_897814,69065.59440000,897813.68020000,BC,108549,2905,MAIN STREET,,,,,,,,01223,,BECKET,BECKET,MA,,2905,2905,,,,,,,,,MAIN,STREET,ST,,,5463,,23,22,22,2013-12-06,-73.0884878755693,42.31983714578324,932200
M_71111_890297,71111.07380000,890296.89740000,BC,108776,19,MYSTIC ISLE WAY,,,,,,,,01223,,BECKET,BECKET,MA,,19,19,,,,,,,,,MYSTIC ISLE,WAY,WAY,,,5492,,23,22,22,2013-12-06,-73.06200803357875,42.25251574255972,932200
M_72477_894539,72477.14240000,894539.08380000,BC,109847,195,HOPKINS LANE,,,,,,,,01223,,BECKET,BECKET,MA,,195,195,,,,,,,,,HOPKINS,LANE,LN,,,5798,,23,22,22,2013-12-06,-73.04638822470972,42.29092567575391,932200
M_72048_890128,72047.73700000,890127.57520000,BC,110257,7,SIOUX ROAD,,,,,,,,01223,,BECKET,BECKET,MA,,7,7,,,,,,,,,SIOUX,ROAD,RD,,,5576,,23,22,22,2013-12-06,-73.05062179933503,42.251145447275555,932200
M_70809_891897,70809.46140000,891897.24480000,BC,109962,106,STONEY BROOK ROAD,,,,,,,,01223,,BECKET,BECKET,MA,,106,106,,,,,,,,,STONEY BROOK,ROAD,RD,,,5604,,23,22,22,2013-12-06,-73.06601850342386,42.26687141323386,932200
M_66592_897804,66591.51520000,897804.22380000,BMP,108318,668,COUNTY ROAD,,,,,,,,01223,,BECKET,BECKET,MA,,668,668,,,,,,,,,COUNTY,ROAD,RD,,,5729,,23,22,22,2013-12-06,-73.1184939328913,42.319333322894266,932200
