ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_218553_916910,218553.27820000,916910.87920000,BC,4222857,200,SPRINGS ROAD,,,,,35,,,01730,,BEDFORD,BEDFORD,MA,,200,200,,,,,,,,,SPRINGS,ROAD,RD,,,113060,,24,23,23,2016-02-29,-71.27427410893651,42.5025184315929,359100
M_219812_917817,219812.41100000,917817.08320000,BMP,2378702,262,OLD BILLERICA ROAD,,,,,,,,01730,,BEDFORD,BEDFORD,MA,,262,262,,,,,,,,,OLD BILLERICA,ROAD,RD,,,112989,,24,23,23,2014-02-28,-71.25892396203345,42.510645447178334,359100
M_219038_913497,219038.06980000,913497.39260000,BC,2378742,33,FAYETTE ROAD,,,,,,,,01730,,BEDFORD,BEDFORD,MA,,33,33,,,,,,,,,FAYETTE,ROAD,RD,,,112880,,24,23,23,2014-02-28,-71.26848870773304,42.47177691609816,359300
M_215964_915182,215964.22980000,915182.39000000,BC,2378891,40,BATTLE FLAGG ROAD,,,,,,,,01730,,BEDFORD,BEDFORD,MA,,40,40,,,,,,,,,BATTLE FLAGG,ROAD,RD,,,112808,,24,23,23,2014-02-28,-71.30582116423952,42.48701514916308,359300
M_218243_919047,218243.35200000,919046.50040000,BC,2383421,8,FOX RUN ROAD,,,,,,,,01730,,BEDFORD,BEDFORD,MA,,8,8,,,,,,,,,FOX RUN,ROAD,RD,,,112890,,24,23,23,2014-02-28,-71.27797713386958,42.52175150002452,359100
M_219107_915636,219106.92100000,915636.21020000,BC,2379667,4,FRANKLIN ROAD,,,,,,,,01730,,BEDFORD,BEDFORD,MA,,4,4,,,,,,,,,FRANKLIN,ROAD,RD,,,112892,,24,23,23,2014-02-28,-71.26758058051223,42.49102990315642,359100
M_220416_917213,220415.51020000,917213.26520000,BC,2380068,22,MEADOWBROOK ROAD,,,,,,,,01730,,BEDFORD,BEDFORD,MA,,22,22,,,,,,,,,MEADOWBROOK,ROAD,RD,,,112964,,24,23,23,2014-02-28,-71.25160692981211,42.505194047111935,359100
M_219134_914048,219133.96980000,914047.50360000,BC,2377907,26,NEILLIAN STREET,,,,,,,,01730,,BEDFORD,BEDFORD,MA,,26,26,,,,,,,,,NEILLIAN,STREET,ST,,,112976,,24,23,23,2014-02-28,-71.26730427757239,42.47672694186049,359300
M_216151_914867,216150.70780000,914866.73880000,BC,2381217,10,NORMA ROAD,,,,,,,,01730,,BEDFORD,BEDFORD,MA,,10,10,,,,,,,,,NORMA,ROAD,RD,,,112982,,24,23,23,2014-02-28,-71.30356181342806,42.484169660103746,359300
M_221420_918251,221420.67140000,918251.78940000,BC,2381333,6304,TAYLOR POND LANE,,VILLAGE AT TAYLOR POND,6,3,4,,,01730,,BEDFORD,BEDFORD,MA,,6304,6304,,,,,,,,,TAYLOR POND,LANE,LN,,,113076,17696,24,23,23,2014-04-08,-71.23933871431001,42.5145162655515,359100
M_219820_919085,219819.82380000,919085.12040000,BC,2378375,464,OLD BILLERICA ROAD,,,,,,,,01730,,BEDFORD,BEDFORD,MA,,464,464,,,,,,,,,OLD BILLERICA,ROAD,RD,,,112989,,24,23,23,2014-02-28,-71.25879013119962,42.522060634562735,359100
M_219845_915292,219845.34900000,915292.34740000,BC,2378128,40,SHAWSHEEN ROAD,,,,,,,,01730,,BEDFORD,BEDFORD,MA,,40,40,,,,,,,,,SHAWSHEEN,ROAD,RD,,,113051,,24,23,23,2014-02-28,-71.25861011731708,42.487915827010646,359100
M_218874_913711,218874.12360000,913711.15000000,BC,2381417,11,ELIOT ROAD,,,,,,,,01730,,BEDFORD,BEDFORD,MA,,11,11,,,,,,,,,ELIOT,ROAD,RD,,,112869,,24,23,23,2014-02-28,-71.27047536116794,42.473705257035164,359300
