ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_121848_898999,121848.11800000,898998.59540000,BMP,924534,27,NORTH STREET,,,,,,,,01007,,BELCHERTOWN,BELCHERTOWN,MA,,27,27,,,,,,,,,NORTH,STREET,ST,,,38496,,25,24,24,2013-12-15,-72.44836406173808,42.33756996835719,820204
M_124472_887887,124472.28600000,887887.06140000,BC,921616,99,GRANBY ROAD,,,,,,,,01007,,BELCHERTOWN,BELCHERTOWN,MA,,99,99,,,,,,,,,GRANBY,ROAD,RD,,,38630,,25,24,24,2013-12-15,-72.41507606588198,42.237797747573566,820203
M_121489_893278,121489.17040000,893278.01520000,BMP,923747,154,STEBBINS STREET,,,,,,,,01007,,BELCHERTOWN,BELCHERTOWN,MA,,154,154,,,,,,,,,STEBBINS,STREET,ST,,,38589,,25,24,24,2013-12-15,-72.45194477552995,42.286035492295746,820203
M_126081_887449,126080.56980000,887449.06480000,BC,921518,636,NORTH WASHINGTON STREET,,,,,,,,01007,,BELCHERTOWN,BELCHERTOWN,MA,,636,636,,,,,,,NORTH,,WASHINGTON,STREET,ST,,,38497,,25,24,24,2013-12-15,-72.39553621077096,42.23400835847044,820203
M_121468_897764,121467.97240000,897763.80940000,BC,920767,52,GOODELL STREET,,,,,,,,01007,,BELCHERTOWN,BELCHERTOWN,MA,,52,52,,,,,,,,,GOODELL,STREET,ST,,,38404,,25,24,24,2013-12-15,-72.45280932837281,42.3264159404062,820203
M_122904_889494,122904.26680000,889493.89340000,BC,925691,96,OAK RIDGE DRIVE,,,,,,,,01007,,BELCHERTOWN,BELCHERTOWN,MA,,96,96,,,,,,,,,OAK RIDGE,DRIVE,DR,,,38498,,25,24,24,2013-12-15,-72.43428554819081,42.252110163578614,820203
M_121454_898934,121453.62220000,898934.08520000,BC,923662,85,NORTH STREET,,,,,,,,01007,,BELCHERTOWN,BELCHERTOWN,MA,,85,85,,,,,,,,,NORTH,STREET,ST,,,38496,,25,24,24,2013-12-15,-72.45314207788311,42.336949643345406,820204
M_127029_891087,127028.96200000,891087.19720000,BMP,923674,9,NATHANIAL WAY,,,,,,,,01007,,BELCHERTOWN,BELCHERTOWN,MA,,9,9,,,,,,,,,NATHANIAL,WAY,WAY,,,38488,,25,24,24,2013-12-15,-72.38450428287553,42.26684972372261,820203
M_128724_884762,128724.29080000,884761.95140000,BMP,921016,2,RIVER STREET,,,,,,,,01007,,BELCHERTOWN,BELCHERTOWN,MA,,2,2,,,,,,,,,RIVER,STREET,ST,,,38554,,25,24,24,2013-12-15,-72.36318024215687,42.21006284757729,820204
M_121125_893138,121124.69360000,893138.25300000,BC,923822,23,DANIEL SQUARE,,,,,,,,01007,,BELCHERTOWN,BELCHERTOWN,MA,,23,23,,,,,,,,,DANIEL,SQUARE,SQ,,,38361,,25,24,24,2013-12-15,-72.45634469232824,42.2847405970142,820203
