ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_201711_870973,201711.26920000,870973.14150000,BC,2147513,52,DEPOT COURT,,,,,,,,02019,,BELLINGHAM,BELLINGHAM,MA,,52,52,,,,,,,,,DEPOT,COURT,CT,,,100486,,26,25,25,2016-10-07,-71.47931556533143,42.08916534486043,443101
M_201711_870973,201711.26920000,870973.14150000,BC,2146653,51,DEPOT COURT,,,,,,,,02019,,BELLINGHAM,BELLINGHAM,MA,,51,51,,,,,,,,,DEPOT,COURT,CT,,,100486,,26,25,25,2016-10-07,-71.47931556533143,42.08916534486043,443101
M_201711_870973,201711.26920000,870973.14150000,BC,2145014,55,DEPOT COURT,,,,,,,,02019,,BELLINGHAM,BELLINGHAM,MA,,55,55,,,,,,,,,DEPOT,COURT,CT,,,100486,,26,25,25,2016-10-07,-71.47931556533143,42.08916534486043,443101
M_203686_874701,203685.65100000,874700.58270000,BC,4246802,349,HARTFORD AVENUE,,,,,,,,02019,,BELLINGHAM,BELLINGHAM,MA,,349,349,,,,,,,,,HARTFORD,AVENUE,AVE,,,100113,,26,25,25,2016-10-07,-71.4554272982674,42.12271746049376,443101
M_201711_870973,201711.26920000,870973.14150000,BC,2145889,57,DEPOT COURT,,,,,,,,02019,,BELLINGHAM,BELLINGHAM,MA,,57,57,,,,,,,,,DEPOT,COURT,CT,,,100486,,26,25,25,2016-10-07,-71.47931556533143,42.08916534486043,443101
M_202331_874278,202331.27150000,874277.99110000,ABC,4246808,13,JULIA DRIVE,,,,,,,,02019,,BELLINGHAM,BELLINGHAM,MA,,13,13,,,,,,,,,JULIA,DRIVE,DR,,,188947,,26,25,25,2016-10-07,-71.47180827775603,42.11891799144682,443101
M_201711_870973,201711.26920000,870973.14150000,BC,2147669,58,DEPOT COURT,,,,,,,,02019,,BELLINGHAM,BELLINGHAM,MA,,58,58,,,,,,,,,DEPOT,COURT,CT,,,100486,,26,25,25,2016-10-07,-71.47931556533143,42.08916534486043,443101
M_201711_870973,201711.26920000,870973.14150000,BC,2148366,53,DEPOT COURT,,,,,,,,02019,,BELLINGHAM,BELLINGHAM,MA,,53,53,,,,,,,,,DEPOT,COURT,CT,,,100486,,26,25,25,2016-10-07,-71.47931556533143,42.08916534486043,443101
M_201711_870973,201711.26920000,870973.14150000,BC,2147656,56,DEPOT COURT,,,,,,,,02019,,BELLINGHAM,BELLINGHAM,MA,,56,56,,,,,,,,,DEPOT,COURT,CT,,,100486,,26,25,25,2016-10-07,-71.47931556533143,42.08916534486043,443101
M_202716_864108,202715.81820000,864107.89700000,BC,2147285,34,LAKE STREET,,,,,,,,02019,,BELLINGHAM,BELLINGHAM,MA,,34,34,,,,,,,,,LAKE,STREET,ST,,,100147,,26,25,25,2014-02-14,-71.46720529725668,42.027352900858595,443102
M_200523_866923,200522.82580000,866922.84300000,BC,2145425,48,LAKESHORE DRIVE,,,,,,,,02019,,BELLINGHAM,BELLINGHAM,MA,,48,48,,,,,,,,,LAKESHORE,DRIVE,DR,,,100148,,26,25,25,2014-02-14,-71.4936841305742,42.05270119089847,443102
M_200181_863012,200181.39980000,863011.89320000,BC,2144459,15,PULASKI BOULEVARD,,,,,,,,02019,,BELLINGHAM,BELLINGHAM,MA,,15,15,,,,,,,,,PULASKI,BOULEVARD,BLVD,,,100256,,26,25,25,2014-02-14,-71.49780985711772,42.01748992328755,443102
