ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_225902_903479,225902.31000000,903479.05140000,BMP,4198753,11,JONATHAN STREET,,,,,,,,02478,,BELMONT,BELMONT,MA,,11,11,,,,,,,,,JONATHAN,STREET,ST,,,52877,,27,26,26,2015-01-22,-71.18546643184168,42.381388030494215,357600
M_227605_904576,227604.52540000,904576.32620000,BMP,1158610,38,EMERSON STREET,,,,,,,,02478,,BELMONT,BELMONT,MA,,38,38,,,,,,,,,EMERSON,STREET,ST,,,53240,,27,26,26,2014-01-15,-71.1647441462563,42.39120805459522,357200
M_227152_905704,227152.27380000,905704.28800000,BC,1158067,165,CLAFLIN STREET,,,,,,,,02478,,BELMONT,BELMONT,MA,,165,165,,,,,,,,,CLAFLIN,STREET,ST,,,53196,,27,26,26,2014-01-15,-71.17018369839396,42.40137856090637,357100
M_226155_904150,226155.43380000,904149.94800000,BC,1158144,192,BEECH STREET,,,,,,,,02478,,BELMONT,BELMONT,MA,,192,192,,,,,,,,,BEECH,STREET,ST,,,53152,,27,26,26,2014-01-15,-71.18236242217138,42.38741944705428,357700
M_225887_903528,225887.48440000,903528.00880000,BC,1165746,115-117,BARTLETT AVENUE,,,,,,,,02478,,BELMONT,BELMONT,MA,,115,115,,,117,117,,,,,BARTLETT,AVENUE,AVE,,,53147,,27,26,26,2014-01-15,-71.18564426753686,42.38182927020554,357600
M_227567_903378,227566.96280000,903377.55360000,BC,1164247,106,STULTS ROAD,,,,,,,,02478,,BELMONT,BELMONT,MA,,106,106,,,,,,,,,STULTS,ROAD,RD,,,53062,,27,26,26,2014-01-15,-71.16525747422969,42.380417240329066,357400
M_228204_905025,228204.10580000,905025.06660000,BC,1170482,25,FLANDERS ROAD,,,,,MH 21-249,,,02478,,BELMONT,BELMONT,MA,,25,25,,,,,,,,,FLANDERS,ROAD,RD,,,53253,,27,26,26,2014-01-15,-71.15744045630692,42.39522645697866,357200
M_226885_903777,226885.08000000,903777.29660000,BC,1159616,45,WARWICK ROAD,,,,,,,,02478,,BELMONT,BELMONT,MA,,45,45,,,,,,,,,WARWICK,ROAD,RD,,,53089,,27,26,26,2014-01-15,-71.17351883907838,42.38403978874096,357500
M_224652_906375,224652.10700000,906374.88360000,BMP,1159765,25,ROBIN WOOD ROAD,,,,,,,,02478,,BELMONT,BELMONT,MA,,25,25,,,,,,,,,ROBIN WOOD,ROAD,RD,,,53022,,27,26,26,2014-01-15,-71.20052414477277,42.40749871427775,357700
M_227419_905281,227419.07200000,905280.54240000,BC,1160076,132,DEAN STREET,,,,,,,,02478,,BELMONT,BELMONT,MA,,132,132,,,,,,,,,DEAN,STREET,ST,,,53227,,27,26,26,2014-01-15,-71.16696305376992,42.39755440194806,357100
M_225753_903650,225753.12160000,903650.11060000,BMP,1158110,178-180,WHITE STREET,,,,,,,,02478,,BELMONT,BELMONT,MA,,178,178,,,180,180,,,,,WHITE,STREET,ST,,,53104,,27,26,26,2014-01-15,-71.18727040501163,42.38293295967026,357600
M_226155_904150,226155.43380000,904149.94800000,BC,1160892,194,BEECH STREET,,,,,,,,02478,,BELMONT,BELMONT,MA,,194,194,,,,,,,,,BEECH,STREET,ST,,,53152,,27,26,26,2014-01-15,-71.18236242217138,42.38741944705428,357700
M_227979_904442,227979.45880000,904441.68800000,BC,1162159,17,TAYLOR ROAD,,,,,,,,02478,,BELMONT,BELMONT,MA,,17,17,,,,,,,,,TAYLOR,ROAD,RD,,,53066,,27,26,26,2014-01-15,-71.16019715719771,42.389982597093855,357200
M_225720_904303,225720.48060000,904302.84620000,BC,1168600,16-20,A STREET,,,,,,,,02478,,BELMONT,BELMONT,MA,,16,16,,,20,20,,,,,A,STREET,ST,,,53122,,27,26,26,2014-01-15,-71.18763774595179,42.38881039905913,357700
M_226497_904368,226496.67160000,904368.32260000,BC,1168727,4,AMELIA STREET,,,,,,,,02478,,BELMONT,BELMONT,MA,,4,4,,,,,,,,,AMELIA,STREET,ST,,,53133,,27,26,26,2014-01-15,-71.17820838627476,42.38937388456237,357800
M_227786_903379,227785.88060000,903379.19680000,BC,1160906,20,CLARENDON ROAD,,,,,,,,02478,,BELMONT,BELMONT,MA,,20,20,,,,,,,,,CLARENDON,ROAD,RD,,,53198,,27,26,26,2014-01-15,-71.1625991287234,42.38042426822415,357300
M_227077_904778,227077.48340000,904778.18220000,BC,1161350,38,COTTAGE STREET,,,,,,,,02478,,BELMONT,BELMONT,MA,,38,38,,,,,,,,,COTTAGE,STREET,ST,,,53211,,27,26,26,2014-01-15,-71.17113553415432,42.393043764812845,357200
M_225718_904225,225717.51660000,904224.96980000,BMP,1158096,17 1/2,GRANT AVENUE,,,,,,,,02478,,BELMONT,BELMONT,MA,,17,17,1/2,,,,,,,,GRANT,AVENUE,AVE,,,52829,,27,26,26,2014-07-30,-71.1876772049605,42.388109401726,357700
M_226854_903697,226853.87440000,903696.81520000,BMP,1159825,27,CHESTER ROAD,,,,,,,,02478,,BELMONT,BELMONT,MA,,27,27,,,,,,,,,CHESTER,ROAD,RD,,,53192,,27,26,26,2014-01-15,-71.17390151959052,42.38331631608087,357500
M_226032_905351,226032.36480000,905350.51960000,PC,1166193,658,CONCORD AVENUE,,,,,,,,02478,,BELMONT,BELMONT,MA,,658,658,,,,,,,,,CONCORD,AVENUE,AVE,,,52980,,27,26,26,2014-01-15,-71.1838029378861,42.398231892982494,357700
M_227025_903746,227024.55280000,903746.23700000,BC,1171563,65,CHESTER ROAD,,,,,2,,,02478,,BELMONT,BELMONT,MA,,65,65,,,,,,,,,CHESTER,ROAD,RD,,,53192,,27,26,26,2014-01-15,-71.1718266075912,42.38375535094431,357500
M_225902_903479,225902.31000000,903479.05140000,BMP,1164665,9-11,JONATHAN STREET,,,,,,,,02478,,BELMONT,BELMONT,MA,,9,9,,,11,11,,,,,JONATHAN,STREET,ST,,,52877,,27,26,26,2014-01-15,-71.18546643184168,42.381388030494215,357600
M_227893_903332,227893.03460000,903331.81760000,BMP,1164833,7-9,SKAHAN ROAD,,,,,,,,02478,,BELMONT,BELMONT,MA,,7,7,,,9,9,,,,,SKAHAN,ROAD,RD,,,53040,,27,26,26,2014-01-15,-71.16130026773119,42.37999390562665,357300
M_227954_903261,227953.66880000,903261.25620000,BMP,1165701,11,DALTON ROAD,,,,,,,,02478,,BELMONT,BELMONT,MA,,11,11,,,,,,,,,DALTON,ROAD,RD,,,53221,,27,26,26,2014-01-15,-71.1605674157573,42.37935649460126,357300
M_226872_903522,226871.98200000,903521.54420000,BMP,1164117,34,CUSHING AVENUE,,,,,,,,02478,,BELMONT,BELMONT,MA,,34,34,,,,,,,,,CUSHING,AVENUE,AVE,,,53219,,27,26,26,2014-01-15,-71.17368977552165,42.38173778554972,357400
M_226490_903885,226489.96980000,903884.88860000,BC,1162792,66,WINSLOW ROAD,,,,,,,,02478,,BELMONT,BELMONT,MA,,66,66,,,,,,,,,WINSLOW,ROAD,RD,,,52974,,27,26,26,2014-01-15,-71.17831191862068,42.385021918888306,357500
M_227910_903472,227910.31240000,903471.57020000,BMP,1159412,98-100,ELM STREET,,,,,,,,02478,,BELMONT,BELMONT,MA,,98,98,,,100,100,,,,,ELM,STREET,ST,,,53239,,27,26,26,2014-01-15,-71.16108372614855,42.38125143422997,357300
