ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_236499_845817,236499.43580000,845817.49420000,BC,2386584,90,PLAIN STREET WEST,,,,,,,,02779,,BERKLEY,BERKLEY,MA,,90,90,,,,,,,,,PLAIN,STREET,ST,WEST,,113271,,28,27,27,2014-02-28,-71.06039540108783,41.86183534518701,616100
M_239157_842236,239157.41200000,842235.52960000,BMP,2387201,66,MYRICKS STREET,,,,,,,,02779,,BERKLEY,BERKLEY,MA,,66,66,,,,,,,,,MYRICKS,STREET,ST,,,113252,,28,27,27,2014-02-28,-71.02862138819127,41.82945795295161,616100
M_235435_841802,235434.67280000,841801.77460000,BC,2387024,15,BRIGGS LANE,,,,,,,,02779,,BERKLEY,BERKLEY,MA,,15,15,,,,,,,,,BRIGGS,LANE,LN,,,113159,,28,27,27,2014-02-28,-71.07346120776624,41.82572912868546,616100
M_233113_845537,233113.03180000,845536.95120000,PC,2385660,21,ADMIRALS WAY,,,,,,,,02779,,BERKLEY,BERKLEY,MA,,21,21,,,,,,,,,ADMIRALS,WAY,WAY,,,113134,,28,27,27,2014-02-28,-71.10119692450807,41.85945936691272,616100
M_239670_842049,239669.88480000,842049.05280000,BMP,2386696,24,GROVE STREET,,,,,,,,02779,,BERKLEY,BERKLEY,MA,,24,24,,,,,,,,,GROVE,STREET,ST,,,113210,,28,27,27,2014-02-28,-71.02246491424808,41.82775337624834,616100
M_238723_843210,238722.77080000,843210.43080000,PC,2387391,144,PADELFORD STREET,,,,,,,,02779,,BERKLEY,BERKLEY,MA,,144,144,,,,,,,,,PADELFORD,STREET,ST,,,113264,,28,27,27,2014-02-28,-71.03378936748234,41.838256814126375,616100
M_233264_846380,233263.72720000,846379.97580000,PC,2386925,9,TIDE MEADOWS DRIVE,,,,,,,,02779,,BERKLEY,BERKLEY,MA,,9,9,,,,,,,,,TIDE MEADOWS,DRIVE,DR,,,113321,,28,27,27,2014-02-28,-71.09933433003627,41.86704305007334,616100
M_232543_844109,232542.82900000,844108.83640000,PC,2386988,11,TOWN LANDING ROAD,,,,,,,,02779,,BERKLEY,BERKLEY,MA,,11,11,,,,,,,,,TOWN LANDING,ROAD,RD,,,113322,,28,27,27,2014-02-28,-71.10814318911505,41.846625337807374,616100
M_235751_844476,235751.27280000,844476.46980000,BC,2386995,12,PARSONS WALK,,,,,,,,02779,,BERKLEY,BERKLEY,MA,,12,12,,,,,,,,,PARSONS,WALK,WALK,,,113267,,28,27,27,2014-02-28,-71.06948775247446,41.8497960150166,616100
M_235574_845245,235573.60740000,845244.68120000,BC,2386559,26,PINE STREET,,,,,,,,02779,,BERKLEY,BERKLEY,MA,,26,26,,,,,,,,,PINE,STREET,ST,,,113268,,28,27,27,2014-02-28,-71.07158067695076,41.856720534695384,616100
M_232369_839316,232368.66620000,839315.84000000,BC,2385290,19,WATER STREET,,,,,,,,02779,,BERKLEY,BERKLEY,MA,,19,19,,,,,,,,,WATER,STREET,ST,,,113331,,28,27,27,2014-02-28,-71.1105038426699,41.803479387772555,616100
M_233540_841941,233539.89600000,841940.60820000,BMP,2386181,29,STANLEY AVENUE,,,,,,,,02779,,BERKLEY,BERKLEY,MA,,29,29,,,,,,,,,STANLEY,AVENUE,AVE,,,113308,,28,27,27,2014-02-28,-71.09626099770071,41.827062126736735,616100
M_233113_845537,233113.03180000,845536.95120000,PC,2386789,23,ADMIRALS WAY,,,,,,,,02779,,BERKLEY,BERKLEY,MA,,23,23,,,,,,,,,ADMIRALS,WAY,WAY,,,113134,,28,27,27,2014-02-28,-71.10119692450807,41.85945936691272,616100
M_239706_843526,239705.59700000,843525.77060000,BC,2387494,21,HOLLOWAY STREET,,,,,,,,02779,,BERKLEY,BERKLEY,MA,,21,21,,,,,,,,,HOLLOWAY,STREET,ST,,,113217,,28,27,27,2014-02-28,-71.02193539852072,41.84104693899659,616100
M_233414_840515,233414.16120000,840514.57280000,BC,2386547,83,BAY VIEW AVENUE,,,,,,,,02779,,BERKLEY,BERKLEY,MA,,83,83,,,,,,,,,BAY VIEW,AVENUE,AVE,,,113144,,28,27,27,2014-02-28,-71.09785544912847,41.81422835150747,616100
M_233516_841201,233515.77900000,841200.62520000,BC,2387441,3,HOWLAND ROAD,,,,,,,,02779,,BERKLEY,BERKLEY,MA,,3,3,,,,,,,,,HOWLAND,ROAD,RD,,,113221,,28,27,27,2014-02-28,-71.09659343164276,41.820400815485414,616100
M_236150_841504,236149.64740000,841504.04020000,BC,2387375,12,ALGERINE STREET,,,,,,,,02779,,BERKLEY,BERKLEY,MA,,12,12,,,,,,,,,ALGERINE,STREET,ST,,,113136,,28,27,27,2014-02-28,-71.06487325435916,41.82301600625599,616100
M_235284_842224,235284.10480000,842223.85640000,BC,2387529,58,BRYANT STREET,,,,,,,,02779,,BERKLEY,BERKLEY,MA,,58,58,,,,,,,,,BRYANT,STREET,ST,,,113162,,28,27,27,2014-02-28,-71.07524831367581,41.829536045274345,616100
M_237852_842491,237852.34240000,842490.56540000,BMP,2386504,46,ANTHONY STREET,,,,,,,,02779,,BERKLEY,BERKLEY,MA,,46,46,,,,,,,,,ANTHONY,STREET,ST,,,113138,,28,27,27,2014-02-28,-71.04431516646758,41.83181797927322,616100
M_232292_839296,232291.84140000,839295.83060000,BC,2387050,18,WATER STREET,,,,,,,,02779,,BERKLEY,BERKLEY,MA,,18,18,,,,,,,,,WATER,STREET,ST,,,113331,,28,27,27,2014-02-28,-71.1114293690282,41.80330239021966,616100
M_235651_844634,235650.92740000,844634.40200000,BC,2385390,4,PARSONS WALK,,,,,,,,02779,,BERKLEY,BERKLEY,MA,,4,4,,,,,,,,,PARSONS,WALK,WALK,,,113267,,28,27,27,2014-02-28,-71.07068650640089,41.85122248560174,616100
M_236359_845424,236358.85740000,845424.11760000,BC,2385177,11,ORCHARD STREET,,,,,,,,02779,,BERKLEY,BERKLEY,MA,,11,11,,,,,,,,,ORCHARD,STREET,ST,,,113260,,28,27,27,2014-02-28,-71.0621128411432,41.858300157393096,616100
M_232068_839450,232067.73860000,839449.61360000,BMP,2387246,41,WATER STREET,,,,,,,,02779,,BERKLEY,BERKLEY,MA,,41,41,,,,,,,,,WATER,STREET,ST,,,113331,,28,27,27,2014-02-28,-71.11411760964235,41.80469611776918,616100
M_239377_842680,239377.30560000,842680.26160000,PC,2385205,14,JACK HENRY DRIVE,,,,,,,,02779,,BERKLEY,BERKLEY,MA,,14,14,,,,,,,,,JACK HENRY,DRIVE,DR,,,113222,,28,27,27,2014-02-28,-71.02594459959138,41.833451047668646,616100
M_232244_841278,232243.87670000,841278.01450000,DBMP,2387316,76,POINT STREET,,,,,,,,02779,,BERKLEY,BERKLEY,MA,,76,76,,,,,,,,,POINT,STREET,ST,,,113272,,28,27,27,2016-04-28,-71.1118979982435,41.821150712535314,616100
M_236029_841552,236028.56120000,841551.56200000,BMP,2387293,9,ALGERINE STREET,,,,,,,,02779,,BERKLEY,BERKLEY,MA,,9,9,,,,,,,,,ALGERINE,STREET,ST,,,113136,,28,27,27,2014-02-28,-71.06632781355225,41.82344941389645,616100
M_233421_840554,233421.01960000,840553.86320000,BC,2386166,81,BAY VIEW AVENUE,,,,,,,,02779,,BERKLEY,BERKLEY,MA,,81,81,,,,,,,,,BAY VIEW,AVENUE,AVE,,,113144,,28,27,27,2014-02-28,-71.09777067858553,41.81458180646686,616100
