ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_187583_906862,187582.56680000,906861.61440000,BC,1560073,171,LANCASTER ROAD,,,,,,,,01503,,BERLIN,BERLIN,MA,,171,171,,,,,,,,,LANCASTER,ROAD,RD,,,70427,,29,28,28,2014-02-03,-71.65085893620997,42.41217134570744,717100
M_187868_905252,187867.61460000,905252.26820000,BMP,1560058,143,COBURN ROAD,,,,,,,,01503,,BERLIN,BERLIN,MA,,143,143,,,,,,,,,COBURN,ROAD,RD,,,70403,,29,28,28,2014-02-03,-71.64736212912285,42.39768741008085,717100
M_189425_905146,189425.14440000,905145.60080000,BMP,1560840,151,HIGHLAND STREET,,,,,,,,01503,,BERLIN,BERLIN,MA,,151,151,,,,,,,,,HIGHLAND,STREET,ST,,,70420,,29,28,28,2014-02-03,-71.62844217255262,42.39674978611632,717100
M_186898_904735,186898.09600000,904735.03240000,BC,1561113,359,RANDALL ROAD,,,,,,,,01503,,BERLIN,BERLIN,MA,,359,359,,,,,,,,,RANDALL,ROAD,RD,,,70452,,29,28,28,2014-02-03,-71.65912632925338,42.39301521245253,717100
M_189715_903722,189714.78760000,903721.90880000,BMP,1560333,127,CENTRAL STREET,,,,,,,,01503,,BERLIN,BERLIN,MA,,127,127,,,,,,,,,CENTRAL,STREET,ST,,,70399,,29,28,28,2014-02-03,-71.62489885112112,42.38393657196521,717100
M_188867_903933,188867.14580000,903932.89900000,BC,1560442,3,HIGHLAND STREET,,,,,,,,01503,,BERLIN,BERLIN,MA,,3,3,,,,,,,,,HIGHLAND,STREET,ST,,,70420,,29,28,28,2014-02-03,-71.63519626468113,42.385824423076805,717100
M_188703_903504,188702.58120000,903504.35520000,BC,1560195,12,WOODWARD AVENUE,,,,,,,,01503,,BERLIN,BERLIN,MA,,12,12,,,,,,,,,WOODWARD,AVENUE,AVE,,,70479,,29,28,28,2014-02-03,-71.63718634706771,42.38196399675511,717100
M_186726_905522,186725.51900000,905521.60080000,BC,1560914,92,ALLEN ROAD,,,,,,,,01503,,BERLIN,BERLIN,MA,,92,92,,,,,,,,,ALLEN,ROAD,RD,,,70379,,29,28,28,2014-02-03,-71.66124037955343,42.400093527188794,717100
M_190370_902663,190369.90640000,902663.00900000,BMP,1560137,26,AUTUMN RIDGE ROAD,,,,,,,,01503,,BERLIN,BERLIN,MA,,26,26,,,,,,,,,AUTUMN RIDGE,ROAD,RD,,,70381,,29,28,28,2014-02-03,-71.6169257753195,42.37441193890011,717100
M_192574_904482,192574.05140000,904482.12220000,BMP,1560533,172,GATES POND ROAD,,,,,,,,01503,,BERLIN,BERLIN,MA,,172,172,,,,,,,,,GATES POND,ROAD,RD,,,70417,,29,28,28,2014-02-03,-71.59018706899641,42.39081301490623,717100
