ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_218594_922124,218594.40320000,922124.49160000,BC,4193693,116,CONCORD ROAD,,,,,,,,01821,,BILLERICA,BILLERICA,MA,,116,116,,,,,,,,,CONCORD,ROAD,RD,,,112191,,32,31,31,2015-01-22,-71.27360541089415,42.54945236448036,316300
M_217296_925304,217306.35120000,925393.20950000,BC,4226469,76,TREBLE COVE ROAD,,,BUILDING 3,,A,,,01862,,BILLERICA,BILLERICA,MA,,76,76,,,,,,,,,TREBLE COVE,ROAD,RD,,,112366,,32,31,31,2016-03-24,-71.28918955207689,42.578908011659315,316500
M_217272_925227,217271.92420000,925226.84550000,BC,4226471,76,TREBLE COVE ROAD,,,BUILDING 2,,,,,01862,,BILLERICA,BILLERICA,MA,,76,76,,,,,,,,,TREBLE COVE,ROAD,RD,,,112366,,32,31,31,2016-03-24,-71.2896139076373,42.57741112641334,316500
M_217296_925304,217306.35120000,925393.20950000,BC,4226472,76,TREBLE COVE ROAD,,,BUILDING 3,,,,,01862,,BILLERICA,BILLERICA,MA,,76,76,,,,,,,,,TREBLE COVE,ROAD,RD,,,112366,,32,31,31,2016-03-24,-71.28918955207689,42.578908011659315,316500
M_217296_925304,217306.35120000,925393.20950000,BC,4226473,76,TREBLE COVE ROAD,,,BUILDING 3,,D,,,01862,,BILLERICA,BILLERICA,MA,,76,76,,,,,,,,,TREBLE COVE,ROAD,RD,,,112366,,32,31,31,2016-03-24,-71.28918955207689,42.578908011659315,316500
M_217296_925304,217306.35120000,925393.20950000,BC,2377386,76,TREBLE COVE ROAD,,,BUILDING 3,,C,,,01862,,BILLERICA,BILLERICA,MA,,76,76,,,,,,,,,TREBLE COVE,ROAD,RD,,,112366,,32,31,31,2016-03-24,-71.28918955207689,42.578908011659315,316500
M_216747_926100,216747.25760000,926100.01540000,BC,2364924,16,RANGEWAY ROAD,,,,,,,,01862,,BILLERICA,BILLERICA,MA,,16,16,,,,,,,,,RANGEWAY,ROAD,RD,,,112754,,32,31,31,2014-02-28,-71.29597930888377,42.58528308800842,316500
M_219239_924283,219238.91480000,924283.05480000,BC,2362194,17,EASTVIEW AVENUE,,,,,,,,01821,,BILLERICA,BILLERICA,MA,,17,17,,,,,,,,,EASTVIEW,AVENUE,AVE,,,111630,,32,31,31,2014-02-28,-71.26568605641062,42.568868716664376,316102
M_219469_921947,219469.13700000,921946.74460000,BC,2371759,67,GLAD VALLEY DRIVE,,,,,,,,01821,,BILLERICA,BILLERICA,MA,,67,67,,,,,,,,,GLAD VALLEY,DRIVE,DR,,,111729,,32,31,31,2014-02-28,-71.26296123100303,42.54783083651988,316300
M_220587_920094,220587.07040000,920093.70640000,BMP,2371791,81,WYMAN ROAD,,,,,,,,01821,,BILLERICA,BILLERICA,MA,,81,81,,,,,,,,,WYMAN,ROAD,RD,,,111706,,32,31,31,2014-02-28,-71.24941663124295,42.531120388671326,316300
M_217376_924221,217375.96840000,924220.96980000,BC,2365815,19,NOLTE ROAD,,,,,,,,01821,,BILLERICA,BILLERICA,MA,,19,19,,,,,,,,,NOLTE,ROAD,RD,,,112631,,32,31,31,2014-02-28,-71.2883769684211,42.56835365035217,316400
M_217038_924099,217038.09080000,924099.24700000,BC,2361597,11,KERN DRIVE,,,,,,,,01821,,BILLERICA,BILLERICA,MA,,11,11,,,,,,,,,KERN,DRIVE,DR,,,111875,,32,31,31,2014-02-28,-71.29249559142603,42.567265340961974,316400
M_220754_924310,220754.39900000,924309.52920000,BC,2371080,176,ANDOVER ROAD,,,,,,,,01821,,BILLERICA,BILLERICA,MA,,176,176,,,,,,,,,ANDOVER,ROAD,RD,,,112487,,32,31,31,2014-02-28,-71.24722787084089,42.569068092302295,316102
M_214921_923056,214920.83460000,923056.41020000,BMP,2364759,99,NASHUA ROAD,,,,,,,,01862,,BILLERICA,BILLERICA,MA,,99,99,,,,,,,,,NASHUA,ROAD,RD,,,112613,,32,31,31,2014-02-28,-71.31830831437041,42.557920900999086,316400
M_222568_921627,222568.02640000,921627.49220000,BC,2360377,14,SHAMROCK ROAD,,,,,,,,01821,,BILLERICA,BILLERICA,MA,,14,14,,,,,,,,,SHAMROCK,ROAD,RD,,,112261,,32,31,31,2014-02-28,-71.22524469368808,42.54487312960959,316201
M_217652_926503,217651.90100000,926502.71260000,BMP,2376161,40,WILSON STREET,,,,,LEFT,,,01862,,BILLERICA,BILLERICA,MA,,40,40,,,,,,,,,WILSON,STREET,ST,,,112443,,32,31,31,2014-02-28,-71.28494631727908,42.588888253863146,316500
M_222495_919402,222494.88700000,919402.15160000,BMP,2366547,9,BURLINGTON ROAD,,,,,,,,01821,,BILLERICA,BILLERICA,MA,,9,9,,,,,,,,,BURLINGTON,ROAD,RD,,,112104,,32,31,31,2014-02-28,-71.22622208552947,42.5248419692884,316202
M_218535_920713,218534.99500000,920712.94480000,BC,2369499,19,SHADY HILL AVENUE,,,,,,,,01821,,BILLERICA,BILLERICA,MA,,19,19,,,,,,,,,SHADY HILL,AVENUE,AVE,,,112259,,32,31,31,2014-02-28,-71.27437418795434,42.53674656234052,316300
M_217652_926503,217651.90100000,926502.71260000,BMP,2369069,38-40,WILSON STREET,,,,,,,,01862,,BILLERICA,BILLERICA,MA,,38,38,,,40,40,,,,,WILSON,STREET,ST,,,112443,,32,31,31,2014-02-28,-71.28494631727908,42.588888253863146,316500
M_222077_919931,222077.32600000,919931.46200000,BMP,2367487,16,GROVE STREET,,,,,,,,01821,,BILLERICA,BILLERICA,MA,,16,16,,,,,,,,,GROVE,STREET,ST,,,111764,,32,31,31,2014-02-28,-71.23128375500208,42.529618967221545,316202
M_221039_921275,221039.47700000,921275.14820000,BMP,2365133,12,GARDEN BROOK ROAD,,,,,,,,01821,,BILLERICA,BILLERICA,MA,,12,12,,,,,,,,,GARDEN BROOK,ROAD,RD,,,112470,,32,31,31,2014-02-28,-71.24386684243525,42.541744038045366,316201
M_217773_925732,217773.46260000,925732.15800000,BC,2368147,57,POLLARD STREET,,,,,,,,01862,,BILLERICA,BILLERICA,MA,,57,57,,,,,,,,,POLLARD,STREET,ST,,,112711,,32,31,31,2014-02-28,-71.28348916386429,42.58194877539391,316500
M_219070_920933,219069.77180000,920932.71120000,BMP,2372133,4,PEACE STREET,,,,,,,,01821,,BILLERICA,BILLERICA,MA,,4,4,,,,,,,,,PEACE,STREET,ST,,,112679,,32,31,31,2014-02-28,-71.26785712047436,42.53871205756636,316300
M_221399_920437,221399.11200000,920437.15020000,BMP,2365068,5,TREMLETT ROAD,,,,,,,,01821,,BILLERICA,BILLERICA,MA,,5,5,,,,,,,,,TREMLETT,ROAD,RD,,,112368,,32,31,31,2014-02-28,-71.23951985180379,42.534190290892504,316201
M_216132_920273,216131.84800000,920272.82080000,BC,2369770,53,RIVEREDGE ROAD,,,,,,,,01862,,BILLERICA,BILLERICA,MA,,53,53,,,,,,,,,RIVEREDGE,ROAD,RD,,,112779,,32,31,31,2014-02-28,-71.30363983064133,42.532837922170614,316400
M_219935_923382,219934.72940000,923381.96220000,BC,2364643,8,MARRIOTT PLACE,,,,,,,,01821,,BILLERICA,BILLERICA,MA,,8,8,,,,,,,,,MARRIOTT,PLACE,PL,,,112550,,32,31,31,2014-02-28,-71.25724289372488,42.5607393134102,316102
M_221206_919842,221205.77980000,919841.97280000,BC,2365433,34,WILDBROOK ROAD,,,,,,,,01821,,BILLERICA,BILLERICA,MA,,34,34,,,,,,,,,WILDBROOK,ROAD,RD,,,112437,,32,31,31,2014-02-28,-71.24189509124552,42.52883758320015,316201
M_218697_922627,218697.42280000,922626.80220000,BMP,2363150,8,WHITING STREET,,,,,,,,01821,,BILLERICA,BILLERICA,MA,,8,8,,,,,,,,,WHITING,STREET,ST,,,112434,,32,31,31,2014-02-28,-71.27233478651007,42.55397185397081,316102
M_219864_927138,219864.82040000,927138.02780000,BC,2371159,165,LEICESTER STREET,,LAKESIDE MOBILE HOME COURT,,,,,,01862,,BILLERICA,BILLERICA,MA,,165,165,,,,,,,,,LEICESTER,STREET,ST,,,111912,15514,32,31,31,2016-01-12,-71.25796442194716,42.59455411745206,316500
M_222084_920121,222084.46840000,920121.45960000,BC,2370449,11,MELODY LANE,,,,,,,,01821,,BILLERICA,BILLERICA,MA,,11,11,,,,,,,,,MELODY,LANE,LN,,,112577,,32,31,31,2014-02-28,-71.23118953313214,42.53132919045296,316202
