ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_195666_864005,195666.43540000,864004.59620000,BC,2171247,247,LINCOLN STREET,,,,,,,,01504,,BLACKSTONE,BLACKSTONE,MA,,247,247,,,,,,,,,LINCOLN,STREET,ST,,,102010,,33,32,32,2014-02-17,-71.55232893486382,42.026415584990254,747102
M_196168_865176,196167.64960000,865176.46820000,BC,2169198,171,MENDON STREET,,,,,,,,01504,,BLACKSTONE,BLACKSTONE,MA,,171,171,,,,,,,,,MENDON,STREET,ST,,,102028,,33,32,32,2014-02-17,-71.54628432114293,42.03696890157071,747102
M_197380_864224,197380.23640000,864224.45520000,BMP,2171995,130,BLACKSTONE STREET,,,,,,,,01504,,BLACKSTONE,BLACKSTONE,MA,,130,130,,,,,,,,,BLACKSTONE,STREET,ST,,,101923,,33,32,32,2014-02-17,-71.5316353232085,42.028402635807396,747101
M_197199_864904,197198.74120000,864904.30600000,BC,2172501,156,BLACKSTONE STREET,,,,,1,,,01504,,BLACKSTONE,BLACKSTONE,MA,,156,156,,,,,,,,,BLACKSTONE,STREET,ST,,,101923,,33,32,32,2014-02-17,-71.53383024987723,42.03452290603188,747101
M_199999_863125,199999.36560000,863124.93120000,BMP,2171973,21,MILLER STREET,,,,,,,,01504,,BLACKSTONE,BLACKSTONE,MA,,21,21,,,,,,,,,MILLER,STREET,ST,,,100188,,33,32,32,2014-02-17,-71.50000765959436,42.018507660454766,747101
M_199823_863230,199822.99520000,863230.41200000,BMP,2170021,630,RATHBUN STREET,,,,,,,,01504,,BLACKSTONE,BLACKSTONE,MA,,630,630,,,,,,,,,RATHBUN,STREET,ST,,,102069,,33,32,32,2014-02-17,-71.50213714565373,42.01945731676095,747101
M_195992_862891,195992.27680000,862891.17560000,BC,2172668,19,WASHINGTON STREET,,,,,2,,,01504,,BLACKSTONE,BLACKSTONE,MA,,19,19,,,,,,,,,WASHINGTON,STREET,ST,,,102101,,33,32,32,2014-02-17,-71.54838668795982,42.01639285158355,747102
M_199838_863882,199838.27120000,863881.93000000,BMP,2169865,23,DOLLARD STREET,,,,,,,,01504,,BLACKSTONE,BLACKSTONE,MA,,23,23,,,,,,,,,DOLLARD,STREET,ST,,,101951,,33,32,32,2014-02-17,-71.5019528842228,42.02532313573661,747101
M_197027_864497,197027.12840000,864497.13380000,BMP,2169005,3,FLORENCE DRIVE NORTH,,,,,,,,01504,,BLACKSTONE,BLACKSTONE,MA,,3,3,,,,,,,,,FLORENCE,DRIVE,DR,NORTH,,101970,,33,32,32,2014-02-17,-71.53590071388253,42.03085638363047,747102
M_198661_865778,198661.31980000,865778.19460000,BMP,2171998,133,ELM STREET,,,,,,,,01504,,BLACKSTONE,BLACKSTONE,MA,,133,133,,,,,,,,,ELM,STREET,ST,,,101958,,33,32,32,2014-02-17,-71.51616897793357,42.04239463575151,747101
M_195992_862891,195992.27680000,862891.17560000,BC,2172667,19,WASHINGTON STREET,,,,,1,,,01504,,BLACKSTONE,BLACKSTONE,MA,,19,19,,,,,,,,,WASHINGTON,STREET,ST,,,102101,,33,32,32,2014-02-17,-71.54838668795982,42.01639285158355,747102
M_196908_863122,196907.61060000,863121.82980000,BC,2172957,109,MAIN STREET,,,,,2L,,,01504,,BLACKSTONE,BLACKSTONE,MA,,109,109,,,,,,,,,MAIN,STREET,ST,,,102015,,33,32,32,2014-02-17,-71.53733675339289,42.01847364398632,747102
M_199995_863769,199995.36280000,863769.15120000,BC,2169572,681,RATHBUN STREET,,,,,,,,01504,,BLACKSTONE,BLACKSTONE,MA,,681,681,,,,,,,,,RATHBUN,STREET,ST,,,102069,,33,32,32,2014-02-17,-71.500055993553,42.02430777068441,747101
M_199349_864724,199348.93380000,864724.17200000,ABC,2169536,50,GLENSIDE DRIVE,,,,,,,,01504,,BLACKSTONE,BLACKSTONE,MA,,50,50,,,,,,,,,GLENSIDE,DRIVE,DR,,,101979,,33,32,32,2014-02-17,-71.50786259790833,42.032905838166144,747101
M_197263_866611,197262.51300000,866610.87280000,PC,2169632,1,MILK STREET,,,,,,,,01504,,BLACKSTONE,BLACKSTONE,MA,,1,1,,,,,,,,,MILK,STREET,ST,,,102031,,33,32,32,2014-02-17,-71.53306808066822,42.04988783475427,747102
M_195992_862891,195992.27680000,862891.17560000,BC,2170271,19,WASHINGTON STREET,,,,,,,,01504,,BLACKSTONE,BLACKSTONE,MA,,19,19,,,,,,,,,WASHINGTON,STREET,ST,,,102101,,33,32,32,2014-02-17,-71.54838668795982,42.01639285158355,747102
M_196614_864178,196613.65440000,864177.57600000,BC,2169755,13,DAWN STREET,,,,,,,,01504,,BLACKSTONE,BLACKSTONE,MA,,13,13,,,,,,,,,DAWN,STREET,ST,,,101948,,33,32,32,2014-02-17,-71.54089201913811,42.027977634085275,747102
M_199843_867636,199842.63760000,867635.50660000,BC,2171835,79,BELLINGHAM ROAD,,,,,,,,01504,,BLACKSTONE,BLACKSTONE,MA,,79,79,,,,,,,,,BELLINGHAM,ROAD,RD,,,101922,,33,32,32,2014-02-17,-71.50190116994565,42.05911765050882,747101
M_200065_864349,200065.03240000,864348.69700000,BC,2170557,742,RATHBUN STREET,,,,,,,,01504,,BLACKSTONE,BLACKSTONE,MA,,742,742,,,,,,,,,RATHBUN,STREET,ST,,,102069,,33,32,32,2014-02-17,-71.49921467827298,42.029525593099585,747101
M_199087_863634,199086.60260000,863634.17080000,BC,2170408,4,PAUL DRIVE,,,,,,,,01504,,BLACKSTONE,BLACKSTONE,MA,,4,4,,,,,,,,,PAUL,DRIVE,DR,,,102054,,33,32,32,2014-08-13,-71.51102893733152,42.023091969431235,747101
M_196808_863094,196808.69360000,863094.31660000,BC,2170650,129,MAIN STREET,,,,,,,,01504,,BLACKSTONE,BLACKSTONE,MA,,129,129,,,,,,,,,MAIN,STREET,ST,,,102015,,33,32,32,2014-02-17,-71.53853090284186,42.018225538072635,747102
M_199999_867270,199998.54460000,867269.70360000,BC,2169787,148,LAKESHORE DRIVE,,,,,,,,01504,,BLACKSTONE,BLACKSTONE,MA,,148,148,,,,,,,,,LAKESHORE,DRIVE,DR,,,102004,,33,32,32,2014-02-17,-71.5000175824681,42.05582424465893,747101
M_196168_865176,196167.64960000,865176.46820000,BC,2169810,171A,MENDON STREET,,,,,,,,01504,,BLACKSTONE,BLACKSTONE,MA,,171,171,A,,,,,,,,MENDON,STREET,ST,,,102028,,33,32,32,2014-08-14,-71.54628432114293,42.03696890157071,747102
M_197199_864904,197198.74120000,864904.30600000,BC,2172502,156,BLACKSTONE STREET,,,,,2,,,01504,,BLACKSTONE,BLACKSTONE,MA,,156,156,,,,,,,,,BLACKSTONE,STREET,ST,,,101923,,33,32,32,2014-02-17,-71.53383024987723,42.03452290603188,747101
M_195935_866094,195934.87360000,866093.81540000,BC,2169852,218,MENDON STREET,,,,,,,,01504,,BLACKSTONE,BLACKSTONE,MA,,218,218,,,,,,,,,MENDON,STREET,ST,,,102028,,33,32,32,2014-02-17,-71.54910199639967,42.045226866549676,747102
M_199867_863081,199867.43800000,863080.68560000,BC,2170469,613,RATHBUN STREET,,,,,,,,01504,,BLACKSTONE,BLACKSTONE,MA,,613,613,,,,,,,,,RATHBUN,STREET,ST,,,102069,,33,32,32,2014-02-17,-71.5016005119515,42.01810929240214,747101
M_196351_862958,196350.50900000,862957.98060000,BC,2171651,215,MAIN STREET,,,,,,,,01504,,BLACKSTONE,BLACKSTONE,MA,,215,215,,,,,,,,,MAIN,STREET,ST,,,102015,,33,32,32,2014-02-17,-71.54406203883738,42.01699606560931,747102
M_198283_863644,198283.38260000,863643.92880000,BC,2171752,38,ROCCO DRIVE,,,,,,,,01504,,BLACKSTONE,BLACKSTONE,MA,,38,38,,,,,,,,,ROCCO,DRIVE,DR,,,102078,,33,32,32,2014-02-17,-71.52072755146025,42.02317847747644,747101
M_198446_865114,198446.09760000,865113.88860000,BC,2172175,7,PARK STREET,,,,,,,,01504,,BLACKSTONE,BLACKSTONE,MA,,7,7,,,,,,,,,PARK,STREET,ST,,,102052,,33,32,32,2014-02-17,-71.51876673028919,42.036413301656125,747101
M_199999_863125,199999.36560000,863124.93120000,BMP,2172753,21,MILLER STREET,,,,,2,,,01504,,BLACKSTONE,BLACKSTONE,MA,,21,21,,,,,,,,,MILLER,STREET,ST,,,100188,,33,32,32,2014-02-17,-71.50000765959436,42.018507660454766,747101
M_197199_864904,197198.74120000,864904.30600000,BC,2168891,156,BLACKSTONE STREET,,,,,,,,01504,,BLACKSTONE,BLACKSTONE,MA,,156,156,,,,,,,,,BLACKSTONE,STREET,ST,,,101923,,33,32,32,2014-02-17,-71.53383024987723,42.03452290603188,747101
M_199171_866046,199171.04520000,866045.84320000,BMP,2170630,21,BELLINGHAM ROAD,,,,,,,,01504,,BLACKSTONE,BLACKSTONE,MA,,21,21,,,,,,,,,BELLINGHAM,ROAD,RD,,,101922,,33,32,32,2014-02-17,-71.51001274238435,42.044805055864956,747101
M_199741_867585,199740.97720000,867585.06020000,BMP,2170495,78,BELLINGHAM ROAD,,,,,,,,01504,,BLACKSTONE,BLACKSTONE,MA,,78,78,,,,,,,,,BELLINGHAM,ROAD,RD,,,101922,,33,32,32,2014-02-17,-71.50312935519405,42.05866344125598,747101
M_196818_864702,196817.80700000,864701.76020000,BC,2168889,151,LINCOLN STREET,,,,,,,,01504,,BLACKSTONE,BLACKSTONE,MA,,151,151,,,,,,,,,LINCOLN,STREET,ST,,,102010,,33,32,32,2014-02-17,-71.53842961439386,42.03269787421257,747102
M_197319_865358,197318.62380000,865358.28020000,BC,2170832,7,SUSAN DRIVE,,,,,,,,01504,,BLACKSTONE,BLACKSTONE,MA,,7,7,,,,,,,,,SUSAN,DRIVE,DR,,,102092,,33,32,32,2014-02-17,-71.53238453308524,42.03861058601386,747101
M_197105_865157,197104.99300000,865156.76000000,BMP,2169341,171,BLACKSTONE STREET,,,,,,,,01504,,BLACKSTONE,BLACKSTONE,MA,,171,171,,,,,,,,,BLACKSTONE,STREET,ST,,,101923,,33,32,32,2014-02-17,-71.53496367801695,42.03679548229048,747102
M_195331_863127,195331.10940000,863127.12700000,BMP,2168927,326,MAIN STREET,,,,,,,,01504,,BLACKSTONE,BLACKSTONE,MA,,326,326,,,,,,,,,MAIN,STREET,ST,,,102015,,33,32,32,2014-02-17,-71.55637108102091,42.01851353956176,747102
M_196908_863122,196907.61060000,863121.82980000,BC,2172952,109,MAIN STREET,,,,,1A,,,01504,,BLACKSTONE,BLACKSTONE,MA,,109,109,,,,,,,,,MAIN,STREET,ST,,,102015,,33,32,32,2014-02-17,-71.53733675339289,42.01847364398632,747102
M_196908_863122,196907.61060000,863121.82980000,BC,2172954,109,MAIN STREET,,,,,1L,,,01504,,BLACKSTONE,BLACKSTONE,MA,,109,109,,,,,,,,,MAIN,STREET,ST,,,102015,,33,32,32,2014-02-17,-71.53733675339289,42.01847364398632,747102
M_196908_863122,196907.61060000,863121.82980000,BC,2172956,109,MAIN STREET,,,,,2A,,,01504,,BLACKSTONE,BLACKSTONE,MA,,109,109,,,,,,,,,MAIN,STREET,ST,,,102015,,33,32,32,2014-02-17,-71.53733675339289,42.01847364398632,747102
M_198250_863576,198250.14060000,863575.90000000,BC,2172231,5,MONICA LANE,,,,,,,,01504,,BLACKSTONE,BLACKSTONE,MA,,5,5,,,,,,,,,MONICA,LANE,LN,,,102039,,33,32,32,2014-02-17,-71.52112873342905,42.02256592001901,747101
M_199087_863634,199086.60260000,863634.17080000,BC,2172198,4-6,PAUL DRIVE,,,,,,,,01504,,BLACKSTONE,BLACKSTONE,MA,,4,4,,,6,6,,,,,PAUL,DRIVE,DR,,,102054,,33,32,32,2014-08-13,-71.51102893733152,42.023091969431235,747101
M_197925_867216,197924.56200000,867215.82560000,BC,2169896,27,CAROL LANE,,,,,,,,01504,,BLACKSTONE,BLACKSTONE,MA,,27,27,,,,,,,,,CAROL,LANE,LN,,,101931,,33,32,32,2014-02-17,-71.52507286173456,42.055336420240224,747101
