ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_82528_881924,82528.29060000,881923.57460000,BMP,113582,88,MAIN STREET,,,,,,,,01008,,BLANDFORD,BLANDFORD,MA,,88,88,,,,,,,,,MAIN,STREET,ST,,,6099,,34,33,33,2013-12-06,-72.92197785071366,42.178939759525115,813000
M_81621_881880,81620.62620000,881880.48720000,BC,113626,109,OTIS STAGE ROAD,,,,,,,,01008,,BLANDFORD,BLANDFORD,MA,,109,109,,,,,,,,,OTIS STAGE,ROAD,RD,,,6126,,34,33,33,2013-12-06,-72.93295417480194,42.17841514140239,813000
M_82319_882078,82318.93780000,882077.57740000,BMP,113826,2,RUSSELL STAGE ROAD,,,,,,,,01008,,BLANDFORD,BLANDFORD,MA,,2,2,,,,,,,,,RUSSELL STAGE,ROAD,RD,,,6133,,34,33,33,2013-12-06,-72.92454269603994,42.18029462028481,813000
M_82528_881924,82528.29060000,881923.57460000,BMP,113928,88,MAIN STREET,,,,,RIGHT,,,01008,,BLANDFORD,BLANDFORD,MA,,88,88,,,,,,,,,MAIN,STREET,ST,,,6099,,34,33,33,2013-12-06,-72.92197785071366,42.178939759525115,813000
M_76251_881297,76251.34940000,881297.36900000,BMP,113474,246,OTIS STAGE ROAD,,,,,,,,01008,,BLANDFORD,BLANDFORD,MA,,246,246,,,,,,,,,OTIS STAGE,ROAD,RD,,,6126,,34,33,33,2013-12-06,-72.99781098672742,42.17233559833958,813000
M_82367_882158,82366.58740000,882158.17660000,BMP,113745,21,KAOLIN ROAD,,,,,,,,01008,,BLANDFORD,BLANDFORD,MA,,21,21,,,,,,,,,KAOLIN,ROAD,RD,,,6096,,34,33,33,2013-12-06,-72.92398228615481,42.18102732468057,813000
M_81819_884875,81819.13980000,884875.38520000,PC,113293,17,HUNTINGTON ROAD,,,,,,,,01008,,BLANDFORD,BLANDFORD,MA,,17,17,,,,,,,,,HUNTINGTON,ROAD,RD,,,6087,,34,33,33,2013-12-06,-72.93115988081016,42.20540465816464,813000
M_81143_882678,81143.49000000,882677.89200000,BMP,113299,20,NORTH BLANDFORD ROAD,,,,,,,,01008,,BLANDFORD,BLANDFORD,MA,,20,20,,,,,,,NORTH,,BLANDFORD,ROAD,RD,,,6115,,34,33,33,2013-12-06,-72.93889151626485,42.18552092414,813000
M_75360_883700,75359.82040000,883699.66100000,BMP,113220,54,GIBBS ROAD,,,,,,,,01008,,BLANDFORD,BLANDFORD,MA,,54,54,,,,,,,,,GIBBS,ROAD,RD,,,6074,,34,33,33,2013-12-06,-73.00911389070691,42.19381883157586,813000
M_80234_883601,80233.70640000,883601.44460000,BMP,113431,49,NORTH BLANDFORD ROAD,,,,,,,,01008,,BLANDFORD,BLANDFORD,MA,,49,49,,,,,,,NORTH,,BLANDFORD,ROAD,RD,,,6115,,34,33,33,2013-12-06,-72.95009341519366,42.19369584890029,813000
M_85031_879683,85031.31200000,879682.71660000,BC,113844,36,BIRCH HILL ROAD,,,,,,,,01008,,BLANDFORD,BLANDFORD,MA,,36,36,,,,,,,,,BIRCH HILL,ROAD,RD,,,6055,,34,33,33,2015-10-26,-72.8912421825652,42.159139402348124,813000
M_84716_879671,84715.66180000,879671.21100000,BMP,113216,32,BIRCH HILL ROAD,,,,,,,,01008,,BLANDFORD,BLANDFORD,MA,,32,32,,,,,,,,,BIRCH HILL,ROAD,RD,,,6055,,34,33,33,2015-10-26,-72.89505892516387,42.15898941566509,813000
M_82575_881828,82575.36240000,881827.64640000,BMP,113235,77,MAIN STREET,,,,,,,,01008,,BLANDFORD,BLANDFORD,MA,,77,77,,,,,,,,,MAIN,STREET,ST,,,6099,,34,33,33,2013-12-06,-72.92138881035618,42.17808329135953,813000
M_80507_885882,80506.79080000,885881.70100000,BMP,113240,89,CHESTER ROAD,,,,,,,,01008,,BLANDFORD,BLANDFORD,MA,,89,89,,,,,,,,,CHESTER,ROAD,RD,,,6062,,34,33,33,2013-12-06,-72.94725603179775,42.214263935064004,813000
M_84389_880483,84389.13020000,880482.54020000,BMP,113325,9,BIRCH HILL ROAD,,,,,,,,01008,,BLANDFORD,BLANDFORD,MA,,9,9,,,,,,,,,BIRCH HILL,ROAD,RD,,,6055,,34,33,33,2015-10-26,-72.89917062102845,42.1662447843388,813000
M_82586_881907,82585.58580000,881907.48480000,BC,113867,86,MAIN STREET,,,,,,,,01008,,BLANDFORD,BLANDFORD,MA,,86,86,,,,,,,,,MAIN,STREET,ST,,,6099,,34,33,33,2013-12-06,-72.92128118405567,42.1788035185557,813000
M_79761_886234,79760.54600000,886233.99420000,BMP,113356,105,CHESTER ROAD,,,,,,,,01008,,BLANDFORD,BLANDFORD,MA,,105,105,,,,,,,,,CHESTER,ROAD,RD,,,6062,,34,33,33,2013-12-06,-72.9563653583461,42.21732083824064,813000
M_83696_883617,83695.53660000,883617.41060000,BC,113846,36,NYE BROOK ROAD,,,,,,,,01008,,BLANDFORD,BLANDFORD,MA,,36,36,,,,,,,,,NYE BROOK,ROAD,RD,,,6118,,34,33,33,2013-12-06,-72.90818956107921,42.19436175518732,813000
M_79761_886234,79760.54600000,886233.99420000,BMP,113920,105,CHESTER ROAD,,,,,GARAGE,,,01008,,BLANDFORD,BLANDFORD,MA,,105,105,,,,,,,,,CHESTER,ROAD,RD,,,6062,,34,33,33,2013-12-06,-72.9563653583461,42.21732083824064,813000
M_80687_886210,80686.75060000,886210.23980000,BC,113597,6,BEULAH LAND ROAD,,,,,,,,01008,,BLANDFORD,BLANDFORD,MA,,6,6,,,,,,,,,BEULAH LAND,ROAD,RD,,,6054,,34,33,33,2013-12-06,-72.94514425577009,42.21724882831492,813000
M_81415_884688,81414.99080000,884688.49140000,BMP,113604,4,HUNTINGTON ROAD,,,,,,,,01008,,BLANDFORD,BLANDFORD,MA,,4,4,,,,,,,,,HUNTINGTON,ROAD,RD,,,6087,,34,33,33,2013-12-06,-72.93601506663519,42.20366112786144,813000
M_82495_882165,82495.20440000,882165.12440000,BC,113464,18,KAOLIN ROAD,,,,,,,,01008,,BLANDFORD,BLANDFORD,MA,,18,18,,,,,,,,,KAOLIN,ROAD,RD,,,6096,,34,33,33,2013-12-06,-72.92242703599089,42.18110918777864,813000
M_81082_884762,81081.84940000,884761.59380000,BC,113663,61,CHESTER ROAD,,,,,,,,01008,,BLANDFORD,BLANDFORD,MA,,61,61,,,,,,,,,CHESTER,ROAD,RD,,,6062,,34,33,33,2013-12-06,-72.94006344893582,42.20426861597448,813000
M_84403_881446,84402.87260000,881446.49760000,BMP,113203,24,SPERRY ROAD,,,,,,,,01008,,BLANDFORD,BLANDFORD,MA,,24,24,,,,,,,,,SPERRY,ROAD,RD,,,6143,,34,33,33,2013-12-06,-72.89919568999746,42.174924264950675,813000
M_80261_879153,80261.21180000,879153.30640000,BC,113316,6,JULIUS HALL ROAD,,,,,,,,01008,,BLANDFORD,BLANDFORD,MA,,6,6,,,,,,,,,JULIUS HALL,ROAD,RD,,,6095,,34,33,33,2013-12-06,-72.94884572591079,42.15365876321312,813000
M_78471_887150,78470.70040000,887150.32940000,BMP,113162,1,OLD CHESTER ROAD,,,,,,,,01008,,BLANDFORD,BLANDFORD,MA,,1,1,,,,,,,,,OLD CHESTER,ROAD,RD,,,6121,,34,33,33,2015-10-26,-72.97217669459752,42.225370079009586,813000
M_78273_882857,78273.25560000,882856.69880000,BC,113305,29,BLAIR ROAD,,,,,,,,01008,,BLANDFORD,BLANDFORD,MA,,29,29,,,,,,,,,BLAIR,ROAD,RD,,,6056,,34,33,33,2013-12-06,-72.97366948932137,42.1866893352303,813000
M_73632_879633,73632.30640000,879633.11800000,BC,113595,29,ISLAND ACRES ROAD,,,,,,,,01008,,BLANDFORD,BLANDFORD,MA,,29,29,,,,,,,,,ISLAND ACRES,ROAD,RD,,,6090,,34,33,33,2013-12-06,-73.02914317298291,42.15693613027397,813000
M_75626_881259,75625.74000000,881259.10220000,BC,113647,239,OTIS STAGE ROAD,,,,,,,,01008,,BLANDFORD,BLANDFORD,MA,,239,239,,,,,,,,,OTIS STAGE,ROAD,RD,,,6126,,34,33,33,2013-12-06,-73.00537340527214,42.17189198051212,813000
M_79474_881523,79473.72640000,881523.44740000,BC,113461,168,OTIS STAGE ROAD,,,,,,,,01008,,BLANDFORD,BLANDFORD,MA,,168,168,,,,,,,,,OTIS STAGE,ROAD,RD,,,6126,,34,33,33,2013-12-06,-72.95886295124907,42.17487349742709,813000
M_81095_882585,81094.99840000,882585.45300000,BC,113196,21,NORTH BLANDFORD ROAD,,,,,,,,01008,,BLANDFORD,BLANDFORD,MA,,21,21,,,,,,,NORTH,,BLANDFORD,ROAD,RD,,,6115,,34,33,33,2013-12-06,-72.9394595662822,42.18468143989045,813000
M_80625_886591,80625.46820000,886591.29440000,BMP,113636,16,BEULAH LAND ROAD,,,,,,,,01008,,BLANDFORD,BLANDFORD,MA,,16,16,,,,,,,,,BEULAH LAND,ROAD,RD,,,6054,,34,33,33,2013-12-06,-72.94596461170836,42.220669635121666,813000
M_82342_881880,82342.42940000,881880.13860000,BMP,113306,3,GLASGOW ROAD,,,,,,,,01008,,BLANDFORD,BLANDFORD,MA,,3,3,,,,,,,,,GLASGOW,ROAD,RD,,,6077,,34,33,33,2013-12-06,-72.92421847709006,42.17852083832582,813000
M_84259_882506,84258.52660000,882506.18760000,BMP,113566,61,RUSSELL STAGE ROAD,,,,,,,,01008,,BLANDFORD,BLANDFORD,MA,,61,61,,,,,,,,,RUSSELL STAGE,ROAD,RD,,,6133,,34,33,33,2013-12-06,-72.90115323231078,42.1844421433967,813000
M_82342_882266,82341.70340000,882265.57540000,BC,113569,7,RUSSELL STAGE ROAD,,,,,,,,01008,,BLANDFORD,BLANDFORD,MA,,7,7,,,,,,,,,RUSSELL STAGE,ROAD,RD,,,6133,,34,33,33,2013-12-06,-72.92430516467131,42.18199037143334,813000
M_75682_881339,75681.76740000,881338.51840000,BMP,113303,256,OTIS STAGE ROAD,,,,,,,,01008,,BLANDFORD,BLANDFORD,MA,,256,256,,,,,,,,,OTIS STAGE,ROAD,RD,,,6126,,34,33,33,2013-12-06,-73.00471236923364,42.1726157621631,813000
M_81552_882375,81551.76480000,882375.07880000,BMP,113864,8,NORTH BLANDFORD ROAD,,,,,,,,01008,,BLANDFORD,BLANDFORD,MA,,8,8,,,,,,,NORTH,,BLANDFORD,ROAD,RD,,,6115,,34,33,33,2013-12-06,-72.93388820360559,42.182856951720495,813000
M_80415_883366,80415.05360000,883365.59720000,BMP,113258,43,NORTH BLANDFORD ROAD,,,,,,,,01008,,BLANDFORD,BLANDFORD,MA,,43,43,,,,,,,NORTH,,BLANDFORD,ROAD,RD,,,6115,,34,33,33,2013-12-06,-72.94784967426834,42.191600536045925,813000
M_73428_879281,73427.87580000,879281.19520000,BMP,113328,24,ISLAND ACRES ROAD,,,,,,,,01008,,BLANDFORD,BLANDFORD,MA,,24,24,,,,,,,,,ISLAND ACRES,ROAD,RD,,,6090,,34,33,33,2013-12-06,-73.03153994803257,42.15373521115063,813000
M_81269_882433,81269.35480000,882433.05500000,BC,113186,17,NORTH BLANDFORD ROAD,,,,,,,,01008,,BLANDFORD,BLANDFORD,MA,,17,17,,,,,,,NORTH,,BLANDFORD,ROAD,RD,,,6115,,34,33,33,2013-12-06,-72.93731812820896,42.18333605160106,813000
M_82979_880211,82979.37760000,880211.20520000,BMP,113555,25,SOUTH STREET,,,,,,,,01008,,BLANDFORD,BLANDFORD,MA,,25,25,,,,,,,,,SOUTH,STREET,ST,,,6142,,34,33,33,2013-12-06,-72.91617439801753,42.16359280036719,813000
M_82826_882338,82825.62680000,882337.58960000,BMP,113685,21,RUSSELL STAGE ROAD,,,,,,,,01008,,BLANDFORD,BLANDFORD,MA,,21,21,,,,,,,,,RUSSELL STAGE,ROAD,RD,,,6133,,34,33,33,2013-12-06,-72.91846263835677,42.18271123129341,813000
M_84896_882315,84896.13840000,882315.08960000,BMP,113807,1,NYE BROOK ROAD,,,,,,,,01008,,BLANDFORD,BLANDFORD,MA,,1,1,,,,,,,,,NYE BROOK,ROAD,RD,,,6118,,34,33,33,2013-12-06,-72.89339796417521,42.18281593422688,813000
M_73358_878999,73357.88540000,878999.22100000,BC,4238091,268,RIDGE AVENUE,,,,,,,,01008,,BLANDFORD,BLANDFORD,MA,,268,268,,,,,,,,,RIDGE,AVENUE,AVE,,,27713,,34,225,33,2016-06-29,-73.03232537129045,42.151185650385166,813000
M_78223_887816,78223.22740000,887816.33460000,BMP,113287,138,CHESTER ROAD,,,,,,,,01008,,BLANDFORD,BLANDFORD,MA,,138,138,,,,,,,,,CHESTER,ROAD,RD,,,6062,,34,33,33,2013-12-06,-72.97531345617097,42.23132675100901,813000
M_82383_881677,82383.17500000,881677.17860000,BC,113444,11,GLASGOW ROAD,,,,,,,,01008,,BLANDFORD,BLANDFORD,MA,,11,11,,,,,,,,,GLASGOW,ROAD,RD,,,6077,,34,33,33,2013-12-06,-72.92368434972686,42.176699946760614,813000
M_84241_880216,84241.26080000,880215.60480000,BMP,113869,9,COBBLE MOUNTAIN ROAD,,,,,,,,01008,,BLANDFORD,BLANDFORD,MA,,9,9,,,,,,,,,COBBLE MOUNTAIN,ROAD,RD,,,6063,,34,33,33,2013-12-06,-72.90090682194239,42.163820005319984,813000
M_84713_880162,84713.06140000,880162.24460000,BMP,113192,2,BEAGLE CLUB ROAD,,,,,,,,01008,,BLANDFORD,BLANDFORD,MA,,2,2,,,,,,,,,BEAGLE CLUB,ROAD,RD,,,6052,,34,33,33,2015-10-26,-72.89518757191489,42.16340927992919,813000
