ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_189463_907986,189462.90840000,907985.83520000,BMP,1363649,72,WEST BERLIN ROAD,,,,,,,,01740,,BOLTON,BOLTON,MA,,72,72,,,,,,,WEST,,BERLIN,ROAD,RD,,,62821,,35,34,34,2014-01-29,-71.628035274871,42.42231998813283,715100
M_192296_907397,192296.29640000,907397.16300000,BC,1364230,117,CENTURY MILL ROAD,,,,,,,,01740,,BOLTON,BOLTON,MA,,117,117,,,,,,,,,CENTURY MILL,ROAD,RD,,,62713,,35,34,34,2014-01-29,-71.59359920957408,42.41705351848632,715100
M_192163_910502,192163.39320000,910502.05080000,BMP,1363043,44,GOLDEN RUN ROAD,,,,,,,,01740,,BOLTON,BOLTON,MA,,44,44,,,,,,,,,GOLDEN RUN,ROAD,RD,,,62733,,35,34,34,2014-01-29,-71.59525609762886,42.44500434092013,715100
M_189400_908831,189399.69240000,908831.15400000,BC,1364885,229,WATTAQUADOCK HILL ROAD,,,,,,,,01740,,BOLTON,BOLTON,MA,,229,229,,,,,,,,,WATTAQUADOCK HILL,ROAD,RD,,,62818,,35,34,34,2014-01-29,-71.62881891820749,42.429929226396325,715100
M_190812_907873,190811.88760000,907872.75480000,BC,1363634,36,FARM ROAD,,,,,,,,01740,,BOLTON,BOLTON,MA,,36,36,,,,,,,,,FARM,ROAD,RD,,,62727,,35,34,34,2014-01-29,-71.61164216870989,42.42131902809608,715100
M_191412_911119,191411.98280000,911118.89020000,BC,1363691,244,HARVARD ROAD,,,,,,,,01740,,BOLTON,BOLTON,MA,,244,244,,,,,,,,,HARVARD,ROAD,RD,,,62737,,35,34,34,2014-01-29,-71.60439886476303,42.450549575531724,715100
M_190924_910178,190923.58420000,910178.39020000,BMP,1363956,103,HARVARD ROAD,,,,,,,,01740,,BOLTON,BOLTON,MA,,103,103,,,,,,,,,HARVARD,ROAD,RD,,,62737,,35,34,34,2014-01-29,-71.61032121080105,42.44207710400611,715100
M_192715_908034,192715.09400000,908034.01060000,BMP,1364957,75,HUDSON ROAD,,,,,,,,01740,,BOLTON,BOLTON,MA,,75,75,,,,,,,,,HUDSON,ROAD,RD,,,62741,,35,34,34,2014-10-09,-71.58851889538774,42.42279086077542,715100
M_188402_911600,188401.65900000,911600.14600000,BC,1363460,1181,MAIN STREET,,,,,,,,01740,,BOLTON,BOLTON,MA,,1181,1181,,,,,,,,,MAIN,STREET,ST,,,62753,,35,34,34,2014-01-29,-71.64100300023942,42.4548431318564,715100
M_191224_910838,191223.96480000,910837.64680000,BMP,1364723,194,HARVARD ROAD,,,,,,,,01740,,BOLTON,BOLTON,MA,,194,194,,,,,,,,,HARVARD,ROAD,RD,,,62737,,35,34,34,2014-01-29,-71.60668019728564,42.44801556353198,715100
M_191459_906159,191459.21580000,906158.67100000,BMP,1364788,2,WHEELER ROAD,,,,,,,,01740,,BOLTON,BOLTON,MA,,2,2,,,,,,,,,WHEELER,ROAD,RD,,,62822,,35,34,34,2014-01-29,-71.60375134022212,42.40589506655027,715100
M_192182_909836,192181.98500000,909835.61720000,BC,1363245,19,POWDER HILL ROAD,,,,,,,,01740,,BOLTON,BOLTON,MA,,19,19,,,,,,,,,POWDER HILL,ROAD,RD,,,62782,,35,34,34,2014-01-29,-71.59502108512308,42.43900489068286,715100
M_187358_907455,187357.58400000,907455.27560000,BC,1364584,552,WATTAQUADOCK HILL ROAD,,,,,,,,01740,,BOLTON,BOLTON,MA,,552,552,,,,,,,,,WATTAQUADOCK HILL,ROAD,RD,,,62818,,35,34,34,2014-01-29,-71.65360522643111,42.417512257002755,715100
M_189295_912821,189294.81600000,912820.96120000,BMP,1364540,17,MERRINOTT ROAD,,,,,,,,01740,,BOLTON,BOLTON,MA,,17,17,,,,,,,,,MERRINOTT,ROAD,RD,,,62758,,35,34,34,2014-01-29,-71.63016740588586,42.465846369753045,715100
M_190736_910125,190735.54340000,910125.41480000,BMP,1364169,80,HARVARD ROAD,,,,,,,,01740,,BOLTON,BOLTON,MA,,80,80,,,,,,,,,HARVARD,ROAD,RD,,,62737,,35,34,34,2014-01-29,-71.61260593968606,42.44159797541671,715100
M_192645_911437,192644.71720000,911436.55200000,BC,1364170,80,LAUREL ROAD,,,,,,,,01740,,BOLTON,BOLTON,MA,,80,80,,,,,,,,,LAUREL,ROAD,RD,,,62746,,35,34,34,2014-01-29,-71.58941738524284,42.453421959955385,715100
M_189180_912478,189180.22180000,912477.83120000,BC,1364536,164,KETTLEHOLE ROAD,,,,,,,,01740,,BOLTON,BOLTON,MA,,164,164,,,,,,,,,KETTLEHOLE,ROAD,RD,,,62743,,35,34,34,2014-01-29,-71.6315543525506,42.46275574301167,715100
M_192351_909869,192350.87700000,909869.45020000,BC,1363537,49,POWDER HILL ROAD,,,,,,,,01740,,BOLTON,BOLTON,MA,,49,49,,,,,,,,,POWDER HILL,ROAD,RD,,,62782,,35,34,34,2014-01-29,-71.59296880149101,42.43931115149432,715100
M_192091_907040,192091.02960000,907040.09940000,BC,1363499,156,CENTURY MILL ROAD,,,,,,,,01740,,BOLTON,BOLTON,MA,,156,156,,,,,,,,,CENTURY MILL,ROAD,RD,,,62713,,35,34,34,2014-01-29,-71.59608829088812,42.41383694107333,715100
M_189781_912842,189781.13240000,912841.83540000,BC,1364354,231,VAUGHN HILL ROAD,,,,,,,,01740,,BOLTON,BOLTON,MA,,231,231,,,,,,,,,VAUGHN HILL,ROAD,RD,,,62816,,35,34,34,2014-01-29,-71.62425452345776,42.466040820161545,715100
M_189778_911625,189777.58100000,911625.27660000,BMP,1363561,62,VAUGHN HILL ROAD,,,,,,,,01740,,BOLTON,BOLTON,MA,,62,62,,,,,,,,,VAUGHN HILL,ROAD,RD,,,62816,,35,34,34,2014-01-29,-71.62427615333989,42.45508863395689,715100
M_193860_910574,193860.40600000,910573.81120000,BMP,1363432,88,COVENTRY WOOD ROAD,,,,,,,,01740,,BOLTON,BOLTON,MA,,88,88,,,,,,,,,COVENTRY WOOD,ROAD,RD,,,62718,,35,34,34,2014-01-29,-71.57462921836816,42.445665585077535,715100
M_191405_906630,191405.23060000,906629.97200000,BC,1364823,43,WHEELER ROAD,,,,,,,,01740,,BOLTON,BOLTON,MA,,43,43,,,,,,,,,WHEELER,ROAD,RD,,,62822,,35,34,34,2014-01-29,-71.60441414695951,42.4101374437167,715100
M_188910_912005,188909.67960000,912004.55840000,BC,1363951,95,KETTLEHOLE ROAD,,,,,,,,01740,,BOLTON,BOLTON,MA,,95,95,,,,,,,,,KETTLEHOLE,ROAD,RD,,,62743,,35,34,34,2014-01-29,-71.63483469003845,42.458491275221924,715100
M_193483_906875,193483.10620000,906874.64480000,BC,1364371,282,HUDSON ROAD,,,,,,,,01740,,BOLTON,BOLTON,MA,,282,282,,,,,,,,,HUDSON,ROAD,RD,,,62741,,35,34,34,2014-01-29,-71.57917370825768,42.41236028386917,715100
M_191339_911562,191338.76600000,911561.55160000,BMP,1364730,308,HARVARD ROAD,,,,,,,,01740,,BOLTON,BOLTON,MA,,308,308,,,,,,,,,HARVARD,ROAD,RD,,,62737,,35,34,34,2014-01-29,-71.60529555511086,42.45453385898748,715100
M_191439_911169,191438.68780000,911168.79000000,BC,1363323,248,HARVARD ROAD,,,,,,,,01740,,BOLTON,BOLTON,MA,,248,248,,,,,,,,,HARVARD,ROAD,RD,,,62737,,35,34,34,2014-01-29,-71.6040749701507,42.45099909636642,715100
M_194811_909024,194829.86400000,909025.02850000,DBMP,1363767,156,ANNIE MOORE ROAD,,,,,,,,01740,,BOLTON,BOLTON,MA,,156,156,,,,,,,,,ANNIE MOORE,ROAD,RD,,,62699,,35,34,34,2016-03-14,-71.56283120590005,42.431729526786995,715100
M_189406_912443,189406.09620000,912442.79880000,BC,1364099,58,NASHAWAY ROAD,,,,,,,,01740,,BOLTON,BOLTON,MA,,58,58,,,,,,,,,NASHAWAY,ROAD,RD,,,62764,,35,34,34,2014-01-29,-71.62880737623718,42.46244346553546,715100
M_189512_912166,189512.06560000,912166.38120000,BC,1364719,101,NASHAWAY ROAD,,,,,,,,01740,,BOLTON,BOLTON,MA,,101,101,,,,,,,,,NASHAWAY,ROAD,RD,,,62764,,35,34,34,2014-01-29,-71.62751391090526,42.45995643439047,715100
M_191423_910713,191422.66460000,910712.94980000,BC,1363203,24,QUAIL RUN,,,,,,,,01740,,BOLTON,BOLTON,MA,,24,24,,,,,,,,,QUAIL,RUN,RUN,,,62784,,35,34,34,2014-01-29,-71.6042629812209,42.44689517960051,715100
M_192742_910852,192742.23440000,910852.07000000,BC,1363249,20,PINEWOOD ROAD,,,,,,,,01740,,BOLTON,BOLTON,MA,,20,20,,,,,,,,,PINEWOOD,ROAD,RD,,,62778,,35,34,34,2014-01-29,-71.58822453049902,42.448161026042584,715100
M_193027_907215,193027.48700000,907214.62660000,BC,1363257,16,CENTURY MILL ROAD,,,,,,,,01740,,BOLTON,BOLTON,MA,,16,16,,,,,,,,,CENTURY MILL,ROAD,RD,,,62713,,35,34,34,2014-01-29,-71.58471312219359,42.41541708588259,715100
M_188833_908093,188833.10260000,908093.40700000,ABC,1363832,60,SUNSET RIDGE LANE,,SUNSET RIDGE,,,,,,01740,,BOLTON,BOLTON,MA,,60,60,,,,,,,,,SUNSET RIDGE,LANE,LN,,,62811,15518,35,34,34,2016-03-14,-71.63569005664624,42.42327965295875,715100
M_189408_912390,189407.74480000,912390.28440000,BC,1364597,66,NASHAWAY ROAD,,,,,,,,01740,,BOLTON,BOLTON,MA,,66,66,,,,,,,,,NASHAWAY,ROAD,RD,,,62764,,35,34,34,2014-01-29,-71.6287863674874,42.461970724314654,715100
M_191068_911514,191067.91200000,911514.03540000,BC,1364995,296,HARVARD ROAD,,,,,,,,01740,,BOLTON,BOLTON,MA,,296,296,,,,,,,,,HARVARD,ROAD,RD,,,62737,,35,34,34,2014-01-29,-71.60858761747402,42.454103033732665,715100
M_190451_911154,190451.07900000,911154.02660000,BMP,1363190,155,NOURSE ROAD,,,,,,,,01740,,BOLTON,BOLTON,MA,,155,155,,,,,,,,,NOURSE,ROAD,RD,,,62766,,35,34,34,2014-01-29,-71.61608050652025,42.45085471345098,715100
M_189707_907190,189707.29600000,907189.81240000,BC,1364798,153,RANDALL ROAD,,,,,,,,01740,,BOLTON,BOLTON,MA,,153,153,,,,,,,,,RANDALL,ROAD,RD,,,62792,,35,34,34,2014-01-29,-71.62505156631143,42.41515693779338,715100
M_195233_907801,195232.66920000,907800.66660000,BMP,1364427,81,TEELE ROAD,,,,,,,,01740,,BOLTON,BOLTON,MA,,81,81,,,,,,,,,TEELE,ROAD,RD,,,62812,,35,34,34,2014-01-29,-71.55792592458862,42.42070960309807,715100
M_193829_910878,193828.66780000,910878.07000000,BC,1364299,455,SUGAR ROAD,,,,,,,,01740,,BOLTON,BOLTON,MA,,455,455,,,,,,,,,SUGAR,ROAD,RD,,,62810,,35,34,34,2014-01-29,-71.5750182614217,42.44840445274195,715100
M_191875_906493,191874.97960000,906492.81800000,BMP,1363891,302,SOUTH BOLTON ROAD,,,,,,,,01740,,BOLTON,BOLTON,MA,,302,302,,,,,,,SOUTH,,BOLTON,ROAD,RD,,,62801,,35,34,34,2014-01-29,-71.59870544600723,42.40890772644571,715100
M_191490_912318,191489.92920000,912317.70700000,BMP,1363689,68,OLD HARVARD ROAD,,,,,,,,01740,,BOLTON,BOLTON,MA,,68,68,,,,,,,,,OLD HARVARD,ROAD,RD,,,62771,,35,34,34,2014-01-29,-71.60346900084316,42.46134286292111,715100
M_192090_910329,192089.94200000,910329.46860000,BMP,1363293,54,GOLDEN RUN ROAD,,,,,,,,01740,,BOLTON,BOLTON,MA,,54,54,,,,,,,,,GOLDEN RUN,ROAD,RD,,,62733,,35,34,34,2014-01-29,-71.59614655164584,42.443449910892355,715100
M_195511_909014,195511.44260000,909013.72680000,BC,1364524,199,ANNIE MOORE ROAD,,,,,,,,01740,,BOLTON,BOLTON,MA,,199,199,,,,,,,,,ANNIE MOORE,ROAD,RD,,,62699,,35,34,34,2014-01-29,-71.55454808783314,42.431632003772336,715100
M_190271_907486,190271.00760000,907485.84380000,BMP,1364108,66,RANDALL ROAD,,,,,,,,01740,,BOLTON,BOLTON,MA,,66,66,,,,,,,,,RANDALL,ROAD,RD,,,62792,,35,34,34,2014-01-29,-71.61820772600068,42.41782924312266,715100
