ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_199054_912980,199053.61960000,912979.92740000,PC,1562700,588,STOW ROAD,,,,,,,,01719,,BOXBOROUGH,BOXBOROUGH,MA,,588,588,,,,,,,,,STOW,ROAD,RD,,,70603,,39,37,37,2014-02-03,-71.51150758064439,42.467350433159865,388100
M_199381_915972,199381.12540000,915971.95460000,BC,1562523,93,PRESCOTT ROAD,,,,,,,,01719,,BOXBOROUGH,BOXBOROUGH,MA,,93,93,,,,,,,,,PRESCOTT,ROAD,RD,,,70574,,39,37,37,2014-02-03,-71.50752846145953,42.49428654467509,388100
M_198832_915271,198832.39460000,915271.21380000,BC,1562800,215,MIDDLE ROAD,,,,,,,,01719,,BOXBOROUGH,BOXBOROUGH,MA,,215,215,,,,,,,,,MIDDLE,ROAD,RD,,,70559,,39,37,37,2014-02-03,-71.51420222093105,42.487977499848,388100
M_198948_912727,198947.65260000,912727.21880000,BMP,1561838,40,FIFERS LANE,,,,,,,,01719,,BOXBOROUGH,BOXBOROUGH,MA,,40,40,,,,,,,,,FIFERS,LANE,LN,,,70526,,39,37,37,2014-02-03,-71.51279563302704,42.46507527462486,388100
M_199646_916795,199646.49180000,916795.44640000,BC,1561719,56,BENJAMIN DRIVE,,,,,,,,01719,,BOXBOROUGH,BOXBOROUGH,MA,,56,56,,,,,,,,,BENJAMIN,DRIVE,DR,,,70493,,39,37,37,2014-02-03,-71.50430084780552,42.50170017773452,388100
M_198443_913077,198443.15180000,913076.80560000,BC,1562363,125,TAMARACK LANE,,,,,,,,01719,,BOXBOROUGH,BOXBOROUGH,MA,,125,125,,,,,,,,,TAMARACK,LANE,LN,,,70608,,39,37,37,2014-02-03,-71.51893086908478,42.46822160335807,388100
M_198972_913972,198971.65960000,913972.49620000,BC,1562752,441,BURROUGHS ROAD,,,,,,,,01719,,BOXBOROUGH,BOXBOROUGH,MA,,441,441,,,,,,,,,BURROUGHS,ROAD,RD,,,70501,,39,37,37,2014-02-03,-71.51250594872067,42.47628596990615,388100
M_197995_914696,197995.02340000,914695.87960000,BMP,1561906,984,MASSACHUSETTS AVENUE,,,,,,,,01719,,BOXBOROUGH,BOXBOROUGH,MA,,984,984,,,,,,,,,MASSACHUSETTS,AVENUE,AVE,,,70555,,39,37,37,2014-02-03,-71.52438562212468,42.482796343659324,388100
M_200990_916030,200990.46400000,916029.74200000,BC,1561553,201,SARGENT ROAD,,,,,,,,01719,,BOXBOROUGH,BOXBOROUGH,MA,,201,201,,,,,,,,,SARGENT,ROAD,RD,,,70592,,39,37,37,2014-02-03,-71.48795114313027,42.49480639108533,388100
M_200516_913726,200516.36200000,913726.00560000,BMP,1561555,213,SUMMER ROAD,,,,,,,,01719,,BOXBOROUGH,BOXBOROUGH,MA,,213,213,,,,,,,,,SUMMER,ROAD,RD,,,70604,,39,37,37,2014-02-03,-71.49372059116803,42.474067437808635,388100
M_197213_913612,197212.84500000,913612.45960000,BC,1561603,255,OLD HARVARD ROAD,,,,,,,,01719,,BOXBOROUGH,BOXBOROUGH,MA,,255,255,,,,,,,,,OLD HARVARD,ROAD,RD,,,70481,,39,37,37,2014-02-03,-71.53389366667444,42.47304042168986,388100
M_198819_914340,198818.61300000,914340.31210000,BC,1562343,89,STOW ROAD,,SHERIFF'S MEADOW,,,,,,01719,,BOXBOROUGH,BOXBOROUGH,MA,,89,89,,,,,,,,,STOW,ROAD,RD,,,70603,16813,39,37,37,2017-02-24,-71.51436794669283,42.47959702506701,388100
M_198255_915336,198254.80040000,915336.28680000,PC,1563118,414,MIDDLE ROAD,,,,,,,,01719,,BOXBOROUGH,BOXBOROUGH,MA,,414,414,,,,,,,,,MIDDLE,ROAD,RD,,,70559,,39,37,37,2014-02-03,-71.52122801077357,42.488562239695376,388100
M_200504_914885,200503.89680000,914884.89680000,PC,1561637,40,REED FARM ROAD,,,,,,,,01719,,BOXBOROUGH,BOXBOROUGH,MA,,40,40,,,,,,,,,REED FARM,ROAD,RD,,,70585,,39,37,37,2014-02-03,-71.4938711661455,42.484500390606634,388100
M_200482_915992,200481.79620000,915991.83660000,BMP,1562987,371,SARGENT ROAD,,,,,,,,01719,,BOXBOROUGH,BOXBOROUGH,MA,,371,371,,,,,,,,,SARGENT,ROAD,RD,,,70592,,39,37,37,2014-02-03,-71.49413904785916,42.49446562898627,388100
M_198819_914340,198818.61300000,914340.31210000,BC,1563186,91,STOW ROAD,,SHERIFF'S MEADOW,,,,,,01719,,BOXBOROUGH,BOXBOROUGH,MA,,91,91,,,,,,,,,STOW,ROAD,RD,,,70603,16813,39,37,37,2017-02-24,-71.51436794669283,42.47959702506701,388100
M_200144_914945,200143.80000000,914944.79780000,BC,1562533,132,GUGGINS LANE,,,,,,,,01719,,BOXBOROUGH,BOXBOROUGH,MA,,132,132,,,,,,,,,GUGGINS,LANE,LN,,,70529,,39,37,37,2014-02-03,-71.49825096361458,42.485039799668755,388100
M_199142_916907,199142.03940000,916906.84100000,BC,1562396,1018,LIBERTY SQUARE ROAD,,,,,,,,01719,,BOXBOROUGH,BOXBOROUGH,MA,,1018,1018,,,,,,,,,LIBERTY SQUARE,ROAD,RD,,,70545,,39,37,37,2014-02-03,-71.51043827718358,42.5027026117574,388100
