ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_235457_942409,235456.72980000,942409.24200000,BMP,2388430,61A,OAK RIDGE ROAD,,,,,,,,01921,,BOXFORD,BOXFORD,MA,,61,61,A,,,,,,,,OAK RIDGE,ROAD,RD,,,113625,,40,38,38,2014-02-28,-71.06704865131545,42.731469916061165,213100
M_241842_937021,241842.16120000,937021.41440000,BMP,2390511,11,CAROLINA WAY,,,,,,,,01921,,BOXFORD,BOXFORD,MA,,11,11,,,,,,,,,CAROLINA,WAY,WAY,,,113384,,40,38,38,2014-02-28,-70.98947357723367,42.682651964161366,213100
M_242389_933080,242389.19620000,933080.12620000,BC,2387894,19,FOREST LANE,,,,,,,,01921,,BOXFORD,BOXFORD,MA,,19,19,,,,,,,,,FOREST,LANE,LN,,,113620,,40,38,38,2014-02-28,-70.98309065431476,42.64714331035278,213100
M_243196_936995,243195.84620000,936995.27740000,BMP,2389615,7,ROWLEY COURT,,,,,,,,01921,,BOXFORD,BOXFORD,MA,,7,7,,,,,,,,,ROWLEY,COURT,CT,,,113543,,40,38,38,2014-02-28,-70.97295932038419,42.68234256765344,213100
M_236372_939214,236371.94180000,939214.45180000,BC,2388476,8A,PORTER ROAD,,,,,,,,01921,,BOXFORD,BOXFORD,MA,,8,8,A,,,,,,,,PORTER,ROAD,RD,,,113514,,40,38,38,2014-02-28,-71.05607650423498,42.7026688019337,213100
M_243543_936176,243542.57420000,936175.91680000,BC,2388637,17,IPSWICH ROAD,,,,,,,,01921,,BOXFORD,BOXFORD,MA,,17,17,,,,,,,,,IPSWICH,ROAD,RD,,,113446,,40,38,38,2014-02-28,-70.96879119537986,42.67494746170719,213100
M_241541_932154,241540.64520000,932154.07020000,BC,2390878,9,CROOKED POND DRIVE,,,,,,,,01921,,BOXFORD,BOXFORD,MA,,9,9,,,,,,,,,CROOKED POND,DRIVE,DR,,,113401,,40,38,38,2014-02-28,-70.99350500549434,42.63885283432741,213100
M_234263_941155,234262.60440000,941154.81700000,BC,2388178,10,HOVEYS POND DRIVE,,,,,,,,01921,,BOXFORD,BOXFORD,MA,,10,10,,,,,,,,,HOVEYS POND,DRIVE,DR,,,113443,,40,38,38,2014-02-28,-71.08170463226766,42.7202315338621,213100
M_242653_933981,242653.26660000,933980.51300000,BC,2388879,92,TOPSFIELD ROAD,,,,,,,,01921,,BOXFORD,BOXFORD,MA,,92,92,,,,,,,,,TOPSFIELD,ROAD,RD,,,113578,,40,38,38,2014-02-28,-70.97980360202831,42.65523406283726,213100
M_244215_933316,244215.34100000,933316.02380000,BC,2388857,8,COACH LANE,,,,,,,,01921,,BOXFORD,BOXFORD,MA,,8,8,,,,,,,,,COACH,LANE,LN,,,113396,,40,38,38,2014-02-28,-70.96080437418861,42.649165069784935,214100
M_241663_938394,241662.73380000,938393.57220000,BMP,2390123,113,GREAT POND DRIVE,,,,,,,,01921,,BOXFORD,BOXFORD,MA,,113,113,,,,,,,,,GREAT POND,DRIVE,DR,,,113621,,40,38,38,2014-02-28,-70.99156296716532,42.69501351803207,213100
M_239705_937910,239704.86200000,937910.21160000,BC,2390183,173,HERRICK ROAD,,,,,,,,01921,,BOXFORD,BOXFORD,MA,,173,173,,,,,,,,,HERRICK,ROAD,RD,,,113433,,40,38,38,2014-02-28,-71.01548911106526,42.69076498433709,213100
M_242675_932793,242675.45900000,932793.01380000,BC,2390880,10,HAYMEADOW ROAD,,,,,1,,,01921,,BOXFORD,BOXFORD,MA,,10,10,,,,,,,,,HAYMEADOW,ROAD,RD,,,113430,,40,38,38,2014-02-28,-70.97962130724254,42.644543075799206,213100
M_242408_934045,242408.35900000,934045.19040000,BC,2390035,85,PINEHURST DRIVE,,,,,,,,01921,,BOXFORD,BOXFORD,MA,,85,85,,,,,,,,,PINEHURST,DRIVE,DR,,,113626,,40,38,38,2014-02-28,-70.98278562233465,42.65582968948949,213100
M_241734_931082,241733.57340000,931081.98640000,BC,2389207,58,BURNING BUSH DRIVE,,,,,,,,01921,,BOXFORD,BOXFORD,MA,,58,58,,,,,,,,,BURNING BUSH,DRIVE,DR,,,113378,,40,38,38,2014-02-28,-70.9912307027237,42.62919163346825,213100
M_243042_937675,243042.25200000,937675.03720000,BC,2388151,12,KING EDWARD COURT,,,,,,,,01921,,BOXFORD,BOXFORD,MA,,12,12,,,,,,,,,KING EDWARD,COURT,CT,,,113460,,40,38,38,2014-02-28,-70.97478223514322,42.68847016545595,213100
M_242744_931918,242743.56660000,931918.47220000,BC,2388759,44,CURTIS ROAD,,,,,,,,01921,,BOXFORD,BOXFORD,MA,,44,44,,,,,,,,,CURTIS,ROAD,RD,,,113403,,40,38,38,2014-02-28,-70.97885598780998,42.63666675980956,213100
M_242675_932793,242675.45900000,932793.01380000,BC,2389338,10,HAYMEADOW ROAD,,,,,,,,01921,,BOXFORD,BOXFORD,MA,,10,10,,,,,,,,,HAYMEADOW,ROAD,RD,,,113430,,40,38,38,2014-02-28,-70.97962130724254,42.644543075799206,213100
M_238208_940055,238208.07240000,940055.39600000,BMP,2390112,109,VALLEY ROAD,,,,,,,,01921,,BOXFORD,BOXFORD,MA,,109,109,,,,,,,,,VALLEY,ROAD,RD,,,113589,,40,38,38,2014-02-28,-71.03361064607647,42.71015060715615,213100
M_241140_938099,241139.56500000,938098.63620000,BC,2387918,23,MEETING PLACE CIRCLE,,,,,,,,01921,,BOXFORD,BOXFORD,MA,,23,23,,,,,,,,,MEETING PLACE,CIRCLE,CIR,,,113482,,40,38,38,2014-02-28,-70.99796856713152,42.692386458988,213100
M_241771_937858,241771.23340000,937857.87620000,BC,2390779,64,WOODCREST ROAD,,,,,,,,01921,,BOXFORD,BOXFORD,MA,,64,64,,,,,,,,,WOODCREST,ROAD,RD,,,113608,,40,38,38,2014-02-28,-70.99027797526982,42.690185459907525,213100
M_237330_939022,237330.44440000,939021.73880000,BC,2388607,14,ANNA'S WAY,,,,,,,,01921,,BOXFORD,BOXFORD,MA,,14,14,,,,,,,,,ANNA'S,WAY,WAY,,,113353,,40,38,38,2014-02-28,-71.04439065923145,42.70088853899791,213100
M_237233_941308,237233.00160000,941308.05220000,BC,2388658,19A,CHADWICK FARM ROAD,,,,,,,,01921,,BOXFORD,BOXFORD,MA,,19,19,A,,,,,,,,CHADWICK FARM,ROAD,RD,,,113390,,40,38,38,2014-02-28,-71.04543119607062,42.721474105354424,213100
M_242675_932793,242675.45900000,932793.01380000,BC,2390881,10,HAYMEADOW ROAD,,,,,IN-LAW,,,01921,,BOXFORD,BOXFORD,MA,,10,10,,,,,,,,,HAYMEADOW,ROAD,RD,,,113430,,40,38,38,2014-02-28,-70.97962130724254,42.644543075799206,213100
M_242643_936578,242642.68460000,936577.76240000,BC,2388350,41,POND STREET,,,,,,,,01921,,BOXFORD,BOXFORD,MA,,41,41,,,,,,,,,POND,STREET,ST,,,113513,,40,38,38,2014-02-28,-70.97973945248468,42.67861474026297,213100
M_237868_940166,237867.80520000,940166.27320000,BC,2388474,87,WILLOW ROAD,,,,,,,,01921,,BOXFORD,BOXFORD,MA,,87,87,,,,,,,,,WILLOW,ROAD,RD,,,113601,,40,38,38,2014-02-28,-71.03775672384597,42.71116537264373,213100
M_237229_936470,237228.74060000,936469.50800000,BMP,2390418,8,FOSTER STREET,,,,,,,,01921,,BOXFORD,BOXFORD,MA,,8,8,,,,,,,,,FOSTER,STREET,ST,,,113416,,40,38,38,2014-02-28,-71.04579777603519,42.67791864187625,213100
