ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_182394_899255,182393.86020000,899255.03020000,BC,1296760,482,CROSS STREET,,,,,,,,01505,,BOYLSTON,BOYLSTON,MA,,482,482,,,,,,,,,CROSS,STREET,ST,,,59199,,41,39,39,2014-01-28,-71.71366462570202,42.34359153910004,718100
M_183794_900201,183793.98560000,900201.41300000,BC,1296306,23,PLEASANT LANE,,,,,,,,01505,,BOYLSTON,BOYLSTON,MA,,23,23,,,,,,,,,PLEASANT,LANE,LN,,,59267,,41,39,39,2014-01-28,-71.69669952953643,42.352141937734224,718100
M_179072_896693,179071.86020000,896692.77200000,BC,1296108,39,MELROSE STREET,,,,,,,,01505,,BOYLSTON,BOYLSTON,MA,,39,39,,,,,,,,,MELROSE,STREET,ST,,,59322,,41,39,39,2014-01-28,-71.7538869850698,42.32044206147233,718100
M_179451_897055,179451.18940000,897054.81300000,BC,1296730,103,NICHOLAS AVENUE,,,,,,,,01505,,BOYLSTON,BOYLSTON,MA,,103,103,,,,,,,,,NICHOLAS,AVENUE,AVE,,,59257,,41,39,39,2014-01-28,-71.74929806583523,42.323711523732214,718100
M_179523_896926,179523.08720000,896925.84560000,BMP,1296816,25,CODERRE STREET,,,,,,,,01505,,BOYLSTON,BOYLSTON,MA,,25,25,,,,,,,,,CODERRE,STREET,ST,,,59194,,41,39,39,2014-01-28,-71.74842125011708,42.3225523424111,718100
M_181643_897574,181643.34280000,897573.87320000,BC,1296326,281,SHREWSBURY STREET,,,,,,,,01505,,BOYLSTON,BOYLSTON,MA,,281,281,,,,,,,,,SHREWSBURY,STREET,ST,,,59291,,41,39,39,2014-01-28,-71.72271944291037,42.32843913378189,718100
M_183927_902968,183926.86380000,902967.51320000,BC,1297454,476,LINDEN STREET,,,,,1,,,01505,,BOYLSTON,BOYLSTON,MA,,476,476,,,,,,,,,LINDEN,STREET,ST,,,59239,,41,39,39,2014-01-28,-71.69516355220593,42.37704719264814,718100
M_178707_896685,178706.86800000,896684.74900000,BC,1296648,8,ORIENT STREET,,,,,,,,01505,,BOYLSTON,BOYLSTON,MA,,8,8,,,,,,,,,ORIENT,STREET,ST,,,59263,,41,39,39,2014-01-28,-71.75831451850785,42.32035996575123,718100
M_179923_899030,179922.62980000,899029.85640000,BC,1296759,480,MAIN STREET,,,,,,,,01505,,BOYLSTON,BOYLSTON,MA,,480,480,,,,,,,,,MAIN,STREET,ST,,,59246,,41,39,39,2014-01-28,-71.74364702950238,42.34150470682153,718100
M_180452_899964,180452.01520000,899964.03660000,BC,1295630,628,MAIN STREET,,,,,,,,01505,,BOYLSTON,BOYLSTON,MA,,628,628,,,,,,,,,MAIN,STREET,ST,,,59246,,41,39,39,2014-01-28,-71.73725428984943,42.34992835644331,718100
M_183589_900338,183588.61080000,900337.52760000,BC,1295584,31,MAPLE WAY,,,,,,,,01505,,BOYLSTON,BOYLSTON,MA,,31,31,,,,,,,,,MAPLE,WAY,WAY,,,59248,,41,39,39,2014-01-28,-71.69919610305499,42.35336305567288,718100
M_179212_896457,179211.98720000,896456.50120000,BC,1297473,50,STOCKTON STREET,,,,,1,,,01505,,BOYLSTON,BOYLSTON,MA,,50,50,,,,,,,,,STOCKTON,STREET,ST,,,59301,,41,39,39,2014-01-28,-71.75217858848723,42.31831869982616,718100
M_182864_898667,182864.20540000,898666.55940000,BMP,1296105,38,COLUMBUS ROAD,,,,,,,,01505,,BOYLSTON,BOYLSTON,MA,,38,38,,,,,,,,,COLUMBUS,ROAD,RD,,,59195,,41,39,39,2014-01-28,-71.70793922237748,42.33830412341715,718100
M_181937_897233,181936.57000000,897232.98280000,BMP,1296995,439,SCHOOL STREET,,,,,,,,01505,,BOYLSTON,BOYLSTON,MA,,439,439,,,,,,,,,SCHOOL,STREET,ST,,,59284,,41,39,39,2014-01-28,-71.71915113651536,42.32537699761528,718100
M_183927_902968,183926.86380000,902967.51320000,BC,1297456,476,LINDEN STREET,,,,,A,,,01505,,BOYLSTON,BOYLSTON,MA,,476,476,,,,,,,,,LINDEN,STREET,ST,,,59239,,41,39,39,2014-01-28,-71.69516355220593,42.37704719264814,718100
