ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_139153_874408,139153.30640000,874407.95600000,BMP,1134738,178,PALMER ROAD,,,,,,,,01010,,BRIMFIELD,BRIMFIELD,MA,,178,178,,,,,,,,,PALMER,ROAD,RD,,,51623,,46,43,43,2014-01-02,-72.23580541947922,42.11772868613797,813802
M_142879_876536,142879.08300000,876535.66580000,BC,1135345,115,CUBLES DRIVE,,,,,,,,01010,,BRIMFIELD,BRIMFIELD,MA,,115,115,,,,,,,,,CUBLES,DRIVE,DR,,,51548,,46,43,43,2014-01-02,-72.19096090017588,42.137164707545345,813802
M_141877_876605,141877.03240000,876604.71940000,BC,1134607,12,TOWER HILL ROAD,,,,,,,,01010,,BRIMFIELD,BRIMFIELD,MA,,12,12,,,,,,,,,TOWER HILL,ROAD,RD,,,51647,,46,43,43,2014-01-02,-72.20308850627433,42.13771266518751,813802
M_138583_876196,138583.47040000,876195.79420000,BC,1134632,1485,DUNHAMTOWN BRIMFIELD ROAD,,,,,,,,01010,,BRIMFIELD,BRIMFIELD,MA,,1485,1485,,,,,,,,,DUNHAMTOWN BRIMFIELD,ROAD,RD,,,51557,,46,43,43,2014-01-02,-72.24288426530362,42.1337798389213,813802
M_138059_873668,138058.60260000,873667.50880000,BC,1133776,54,DEARTH HILL ROAD,,,,,,,,01010,,BRIMFIELD,BRIMFIELD,MA,,54,54,,,,,,,,,DEARTH HILL,ROAD,RD,,,51551,,46,43,43,2014-01-02,-72.24896413104517,42.11097676839447,813802
M_142024_873988,142023.55280000,873987.50300000,BMP,1133801,18,HAYNES HILL ROAD,,,,,,,,01010,,BRIMFIELD,BRIMFIELD,MA,,18,18,,,,,,,,,HAYNES HILL,ROAD,RD,,,51576,,46,43,43,2014-01-02,-72.20105598681778,42.11416105530857,813802
M_138230_874069,138229.92600000,874069.42900000,BC,1133820,26,DEARTH HILL ROAD,,,,,,,,01010,,BRIMFIELD,BRIMFIELD,MA,,26,26,,,,,,,,,DEARTH HILL,ROAD,RD,,,51551,,46,43,43,2014-01-02,-72.24693523717127,42.114608721107544,813802
M_145746_873113,145745.85340000,873112.56140000,BC,1134061,80,FIVE BRIDGE ROAD,,,,,,,,01010,,BRIMFIELD,BRIMFIELD,MA,,80,80,,,,,,,,,FIVE BRIDGE,ROAD,RD,,,51567,,46,43,43,2014-01-02,-72.15596609389624,42.10655061327043,813802
M_142149_876827,142149.45580000,876826.68460000,BC,1135166,49,DIX HILL ROAD,,,,,,,,01010,,BRIMFIELD,BRIMFIELD,MA,,49,49,,,,,,,,,DIX HILL,ROAD,RD,,,51553,,46,43,43,2014-01-02,-72.1998152948217,42.13973115585379,813802
M_143140_876028,143140.29780000,876028.17100000,BC,1134597,61,OAKWOOD ROAD,,,,,,,,01010,,BRIMFIELD,BRIMFIELD,MA,,61,61,,,,,,,,,OAKWOOD,ROAD,RD,,,51609,,46,43,43,2014-01-02,-72.18775176549272,42.132614803401275,813802
M_136993_879849,136992.70040000,879848.85400000,BMP,1134086,98,WASHINGTON ROAD,,,,,,,,01010,,BRIMFIELD,BRIMFIELD,MA,,98,98,,,,,,,,,WASHINGTON,ROAD,RD,,,51651,,46,43,43,2014-01-02,-72.26251995242193,42.1665411993138,813802
M_137016_874286,137015.75560000,874285.89600000,BC,1135188,18,DEAN POND ROAD,,,,,,,,01010,,BRIMFIELD,BRIMFIELD,MA,,18,18,,,,,,,,,DEAN POND,ROAD,RD,,,51550,,46,43,43,2014-01-02,-72.26163981140571,42.11646087187396,813802
M_143525_872659,143524.76140000,872659.04600000,BC,4247002,157,HOLLAND ROAD,,,,,,,,01010,,BRIMFIELD,BRIMFIELD,MA,,157,157,,,,,,,,,HOLLAND,ROAD,RD,,,51580,,46,43,43,2016-10-17,-72.18277544989446,42.10231071895335,813802
M_146779_878295,146778.70680000,878294.80620000,BMP,1135480,9,GOVERNOR FAIRBANKS ROAD,,,,,,,,01010,,BRIMFIELD,BRIMFIELD,MA,,9,9,,,,,,,,,GOVERNOR FAIRBANKS,ROAD,RD,,,51572,,46,43,43,2014-01-02,-72.14395176153792,42.15327676112902,813802
M_142077_876822,142077.48700000,876821.80720000,BC,1134241,55,DIX HILL ROAD,,,,,,,,01010,,BRIMFIELD,BRIMFIELD,MA,,55,55,,,,,,,,,DIX HILL,ROAD,RD,,,51553,,46,43,43,2014-01-02,-72.20068537417356,42.1396819259708,813802
M_141517_873092,141516.94960000,873091.64720000,BC,1134063,81,HAYNES HILL ROAD,,,,,,,,01010,,BRIMFIELD,BRIMFIELD,MA,,81,81,,,,,,,,,HAYNES HILL,ROAD,RD,,,51576,,46,43,43,2014-01-02,-72.20709179507726,42.10605811276369,813802
M_142742_878335,142741.75320000,878334.51840000,BMP,1135243,89,MARSH HILL ROAD,,,,,,,,01010,,BRIMFIELD,BRIMFIELD,MA,,89,89,,,,,,,,,MARSH HILL,ROAD,RD,,,51598,,46,43,43,2014-01-02,-72.19279876673637,42.15334948795812,813802
M_146966_875332,146966.23560000,875331.55340000,BC,1133763,44,CHAMPEAUX ROAD,,,,,,,,01010,,BRIMFIELD,BRIMFIELD,MA,,44,44,,,,,,,,,CHAMPEAUX,ROAD,RD,,,51543,,46,43,43,2014-01-02,-72.14141322900277,42.12661160403742,813802
M_142152_873952,142151.67500000,873952.03160000,BMP,1134169,11,HAYNES HILL ROAD,,,,,,,,01010,,BRIMFIELD,BRIMFIELD,MA,,11,11,,,,,,,,,HAYNES HILL,ROAD,RD,,,51576,,46,43,43,2014-01-02,-72.19950327466331,42.11385118035185,813802
M_140626_879725,140625.79640000,879725.40060000,BMP,1135351,30,SAINT GEORGE ROAD,,,,,,,,01010,,BRIMFIELD,BRIMFIELD,MA,,30,30,,,,,,,,,SAINT GEORGE,ROAD,RD,,,51630,,46,43,43,2014-01-02,-72.21854145911053,42.16571374943612,813802
M_137808_875667,137808.15540000,875667.32340000,BC,1134504,1550,DUNHAMTOWN BRIMFIELD ROAD,,,,,,,,01010,,BRIMFIELD,BRIMFIELD,MA,,1550,1550,,,,,,,,,DUNHAMTOWN BRIMFIELD,ROAD,RD,,,51557,,46,43,43,2014-01-02,-72.2522054944179,42.128960933355145,813802
