ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_150530_884764,150530.21360000,884763.81780000,BC,1131964,22,PLEASANT STREET,,,,,,,,01506,,BROOKFIELD,BROOKFIELD,MA,,22,22,,,,,,,,,PLEASANT,STREET,ST,,,51471,,48,45,45,2014-01-02,-72.09911166787069,42.21176245904809,760100
M_150262_879107,150262.13400000,879107.48260000,BC,1131707,171,RICE CORNER ROAD,,,,,,,,01506,,BROOKFIELD,BROOKFIELD,MA,,171,171,,,,,,,,,RICE CORNER,ROAD,RD,,,51481,,48,45,45,2014-01-02,-72.10187481802085,42.160822232713876,760100
M_149486_882136,149485.76840000,882135.81300000,BC,1132001,80,FISKDALE ROAD,,,,,,,,01506,,BROOKFIELD,BROOKFIELD,MA,,80,80,,,,,,,,,FISKDALE,ROAD,RD,,,51400,,48,45,45,2014-01-02,-72.11153197779763,42.18803621372447,760100
M_147902_882491,147902.31160000,882490.91640000,BC,1131989,73,TOWN FARM ROAD,,,,,,,,01506,,BROOKFIELD,BROOKFIELD,MA,,73,73,,,,,,,,,TOWN FARM,ROAD,RD,,,51504,,48,45,45,2014-01-02,-72.13073261580544,42.19112934289995,760100
M_148992_883888,148992.20580000,883888.03800000,PC,1132312,10,MARTIN ROAD,,,,,,,,01506,,BROOKFIELD,BROOKFIELD,MA,,10,10,,,,,,,,,MARTIN,ROAD,RD,,,51445,,48,45,45,2014-01-02,-72.11766051040112,42.20377920084006,760100
M_152560_884618,152560.07620000,884618.19420000,PC,1133224,38,QUABOAG STREET,,,,,,,,01506,,BROOKFIELD,BROOKFIELD,MA,,38,38,,,,,,,,,QUABOAG,STREET,ST,,,51478,,48,45,45,2014-01-02,-72.07451757676623,42.21057715929036,760100
M_150997_884510,150996.87840000,884509.88380000,BC,1133304,12,MILL STREET,,,,,,,,01506,,BROOKFIELD,BROOKFIELD,MA,,12,12,,,,,,,,,MILL,STREET,ST,,,51453,,48,45,45,2014-01-02,-72.09343883748372,42.209505704152924,760100
M_148636_884189,148636.07480000,884188.91480000,BMP,1133359,56,LONG HILL ROAD,,,,,,,,01506,,BROOKFIELD,BROOKFIELD,MA,,56,56,,,,,,,,,LONG HILL,ROAD,RD,,,51439,,48,45,45,2014-01-02,-72.12199936591476,42.20646464243079,760100
M_150472_885075,150471.72940000,885074.88300000,BC,1131758,3,PLEASANT STREET,,,,,,,,01506,,BROOKFIELD,BROOKFIELD,MA,,3,3,,,,,,,,,PLEASANT,STREET,ST,,,51471,,48,45,45,2016-06-17,-72.0998464192057,42.21455922434779,760100
M_148939_881843,148938.85700000,881843.40100000,BC,1132539,106,FISKDALE ROAD,,,,,,,,01506,,BROOKFIELD,BROOKFIELD,MA,,106,106,,,,,,,,,FISKDALE,ROAD,RD,,,51400,,48,45,45,2014-01-02,-72.11812707583553,42.185368178533324,760100
M_147332_879643,147332.26340000,879642.79260000,BC,1133185,88,WEBBER ROAD,,,,,,,,01506,,BROOKFIELD,BROOKFIELD,MA,,88,88,,,,,,,,,WEBBER,ROAD,RD,,,51513,,48,45,45,2014-01-02,-72.13737612087972,42.16544994980237,760100
M_149936_883706,149936.49880000,883705.92220000,BMP,1132906,3,LONG HILL ROAD,,,,,,,,01506,,BROOKFIELD,BROOKFIELD,MA,,3,3,,,,,,,,,LONG HILL,ROAD,RD,,,51439,,48,45,45,2014-01-02,-72.10621065028273,42.20220063436523,760100
M_149308_882093,149308.21280000,882092.88720000,BC,1133685,90,FISKDALE ROAD,,,,,C,,,01506,,BROOKFIELD,BROOKFIELD,MA,,90,90,,,,,,,,,FISKDALE,ROAD,RD,,,51400,,48,45,45,2014-01-02,-72.1136776765965,42.187638278081515,760100
M_149308_882093,149308.21280000,882092.88720000,BC,1133684,90,FISKDALE ROAD,,,,,B,,,01506,,BROOKFIELD,BROOKFIELD,MA,,90,90,,,,,,,,,FISKDALE,ROAD,RD,,,51400,,48,45,45,2014-01-02,-72.1136776765965,42.187638278081515,760100
M_149569_885283,149569.18660000,885282.77900000,BMP,1131877,31,WEST MAIN STREET,,,,,,,,01506,,BROOKFIELD,BROOKFIELD,MA,,31,31,,,,,,,WEST,,MAIN,STREET,ST,,,51516,,48,45,45,2014-01-02,-72.11079494833098,42.21637320945451,760100
M_151948_880746,151947.88600000,880745.73640000,PC,1133038,11,RICE CORNER CROSS ROAD,,,,,,,,01506,,BROOKFIELD,BROOKFIELD,MA,,11,11,,,,,,,,,RICE CORNER CROSS,ROAD,RD,,,51480,,48,45,45,2014-01-02,-72.08161145673608,42.17567656008509,760100
M_152632_883716,152632.07200000,883716.19420000,BMP,1132211,3,PINE LANE,,,,,,,,01506,,BROOKFIELD,BROOKFIELD,MA,,3,3,,,,,,,,,PINE,LANE,LN,,,51468,,48,45,45,2014-01-02,-72.0735722488802,42.202460946227006,760100
M_149308_882093,149308.21280000,882092.88720000,BC,1132241,90,FISKDALE ROAD,,,,,,,,01506,,BROOKFIELD,BROOKFIELD,MA,,90,90,,,,,,,,,FISKDALE,ROAD,RD,,,51400,,48,45,45,2014-01-02,-72.1136776765965,42.187638278081515,760100
M_152532_886781,152531.94760000,886781.23620000,PC,1132277,69,EAST MAIN STREET,,,,,,,,01506,,BROOKFIELD,BROOKFIELD,MA,,69,69,,,,,,,EAST,,MAIN,STREET,ST,,,51395,,48,45,45,2014-01-02,-72.07503481262638,42.2300489573041,760100
M_149649_880964,149649.20880000,880964.40120000,PC,1133393,20,TUPELO DRIVE,,,,,,,,,,BROOKFIELD,BROOKFIELD,MA,,20,20,,,,,,,,,TUPELO,DRIVE,DR,,,51505,,48,45,45,2014-01-02,-72.1094520887043,42.177500682642496,760100
M_150280_879157,150279.97280000,879156.96180000,BC,1133363,169,RICE CORNER ROAD,,,,,,,,01506,,BROOKFIELD,BROOKFIELD,MA,,169,169,,,,,,,,,RICE CORNER,ROAD,RD,,,51481,,48,45,45,2014-01-02,-72.1016631823455,42.16126882229504,760100
M_147862_883561,147862.02200000,883560.83260000,BC,1132474,96,LONG HILL ROAD,,,,,,,,01506,,BROOKFIELD,BROOKFIELD,MA,,96,96,,,,,,,,,LONG HILL,ROAD,RD,,,51439,,48,45,45,2014-01-02,-72.13131624420451,42.200758932347554,760100
M_150325_884784,150324.64700000,884784.06340000,BC,1133188,9,HOWARD STREET,,,,,,,,01506,,BROOKFIELD,BROOKFIELD,MA,,9,9,,,,,,,,,HOWARD,STREET,ST,,,51417,,48,45,45,2014-01-02,-72.1016028615896,42.211931700434285,760100
M_149308_882093,149308.21280000,882092.88720000,BC,1133683,90,FISKDALE ROAD,,,,,A,,,01506,,BROOKFIELD,BROOKFIELD,MA,,90,90,,,,,,,,,FISKDALE,ROAD,RD,,,51400,,48,45,45,2014-01-02,-72.1136776765965,42.187638278081515,760100
M_150768_884999,150767.90840000,884998.53640000,BC,1131987,7,SOUTH MAPLE STREET,,,,,,,,01506,,BROOKFIELD,BROOKFIELD,MA,,7,7,,,,,,,SOUTH,,MAPLE,STREET,ST,,,51495,,48,45,45,2014-01-02,-72.09625299197822,42.21389058524156,760100
M_150006_883601,150005.78700000,883601.25520000,BMP,1131980,29,FISKDALE ROAD,,QUABOAG EQUIPMENT,,,,,,01506,,BROOKFIELD,BROOKFIELD,MA,,29,29,,,,,,,,,FISKDALE,ROAD,RD,,,51400,18005,48,45,45,2016-06-20,-72.10536268432533,42.20126276449874,760100
M_152252_880247,152252.16620000,880247.49820000,BC,1132225,77,ALLEN ROAD,,,,,,,,01506,,BROOKFIELD,BROOKFIELD,MA,,77,77,,,,,,,,,ALLEN,ROAD,RD,,,51369,,48,45,45,2016-06-20,-72.0778877770984,42.17120959008792,760100
M_147586_882189,147585.80640000,882189.13690000,BC,1132686,3,DEER RUN,,BROOKFIELD MEADOWS,,,,,,01506,,BROOKFIELD,BROOKFIELD,MA,,3,3,,,,,,,,,DEER,RUN,RUN,,,51392,20345,48,45,45,2016-06-22,-72.13453713845077,42.18839133651882,760100
M_147617_882250,147616.96780000,882250.11970000,BMP,1132846,5,PHEASANT LANE,,BROOKFIELD MEADOWS,,,,,,01506,,BROOKFIELD,BROOKFIELD,MA,,5,5,,,,,,,,,PHEASANT,LANE,LN,,,51467,20345,48,45,45,2016-06-22,-72.13416539481081,42.18894244122647,760100
M_150646_883558,150645.57840000,883557.71590000,BC,1131766,8,SECOND STREET,,NANATOMQUA MOBILE PARK,,,,,,01506,,BROOKFIELD,BROOKFIELD,MA,,8,8,,,,,,,,,SECOND,STREET,ST,,,51490,15549,48,45,45,2016-06-22,-72.09761223237462,42.20091140541341,760100
M_150705_883518,150704.91180000,883517.92150000,BC,1131917,5,TYLER STREET,,NANATOMQUA MOBILE PARK,,,,,,01506,,BROOKFIELD,BROOKFIELD,MA,,5,5,,,,,,,,,TYLER,STREET,ST,,,51506,15549,48,45,45,2016-06-22,-72.09689044040236,42.200556882870494,760100
M_147515_882261,147515.14050000,882261.44530000,BMP,1132555,12,FOX RUN,,BROOKFIELD MEADOWS,,,,,,01506,,BROOKFIELD,BROOKFIELD,MA,,12,12,,,,,,,,,FOX,RUN,RUN,,,51403,20345,48,45,45,2016-06-22,-72.13539912380675,42.18903758119424,760100
M_150614_883852,150614.30840000,883851.79510000,BC,1132331,3,SIXTH STREET,,NANATOMQUA MOBILE PARK,,,,,,01506,,BROOKFIELD,BROOKFIELD,MA,,3,3,,,,,,,,,SIXTH,STREET,ST,,,51492,15549,48,45,45,2016-06-22,-72.09801582060933,42.20355698166278,760100
M_150640_883818,150639.70480000,883818.10070000,BC,1132256,6,FIFTH STREET,,NANATOMQUA MOBILE PARK,,,,,,01506,,BROOKFIELD,BROOKFIELD,MA,,6,6,,,,,,,,,FIFTH,STREET,ST,,,51398,15549,48,45,45,2016-06-22,-72.09770544432453,42.203255238894826,760100
M_151963_882136,151962.57400000,882135.93140000,BMP,1132941,97,LAKE ROAD,,,,,,,,01506,,BROOKFIELD,BROOKFIELD,MA,,97,97,,,,,,,,,LAKE,ROAD,RD,,,51422,,48,45,45,2014-01-02,-72.08154840412021,42.18819323162441,760100
M_150889_884903,150889.45360000,884903.37540000,BC,1131823,13,SOUTH MAPLE STREET,,,,,,,,01506,,BROOKFIELD,BROOKFIELD,MA,,13,13,,,,,,,SOUTH,,MAPLE,STREET,ST,,,51495,,48,45,45,2014-01-02,-72.09477296179782,42.21304150695753,760100
M_150816_885092,150816.09620000,885092.25660000,BC,1132580,4,SOUTH MAPLE STREET,,,,,,,,01506,,BROOKFIELD,BROOKFIELD,MA,,4,4,,,,,,,SOUTH,,MAPLE,STREET,ST,,,51495,,48,45,45,2014-01-02,-72.09567733212224,42.21473736317146,760100
M_152387_881279,152386.54060000,881279.18960000,BMP,1132516,141,LAKE ROAD,,,,,,,,01506,,BROOKFIELD,BROOKFIELD,MA,,141,141,,,,,,,,,LAKE,ROAD,RD,,,51422,,48,45,45,2014-01-02,-72.07634587516482,42.18050599045172,760100
M_150126_884818,150126.11780000,884818.42160000,BC,1132907,3,LOWER RIVER STREET,,,,,,,,01506,,BROOKFIELD,BROOKFIELD,MA,,3,3,,,,,,,,,LOWER RIVER,STREET,ST,,,51526,,48,45,45,2014-01-02,-72.10401005372073,42.21222838967051,760100
M_149530_880801,149530.18980000,880800.56520000,PC,1132109,3,SUGAR MAPLE TERRACE,,,,,,,,01506,,BROOKFIELD,BROOKFIELD,MA,,3,3,,,,,,,,,SUGAR MAPLE,TERRACE,TER,,,51501,,48,45,45,2014-01-02,-72.11087845753966,42.1760180224432,760100
M_149650_886984,149650.00980000,886983.51460000,BMP,1131979,29,DEVILS ELBOW ROAD,,,,,,,,01506,,BROOKFIELD,BROOKFIELD,MA,,29,29,,,,,,,,,DEVILS ELBOW,ROAD,RD,,,51393,,48,45,45,2014-01-02,-72.10996338847386,42.231689799288866,760100
M_152199_883624,152198.88260000,883624.36980000,BMP,1132804,11,MARSH VIEW,,,,,,,,01506,,BROOKFIELD,BROOKFIELD,MA,,11,11,,,,,,,,,MARSH,VIEW,VW,,,51444,,48,45,45,2014-01-02,-72.07880997917752,42.20160791866671,760100
M_152276_881072,152276.14240000,881071.93160000,BC,1132809,12,ALLEN ROAD,,,,,,,,01506,,BROOKFIELD,BROOKFIELD,MA,,12,12,,,,,,,,,ALLEN,ROAD,RD,,,51369,,48,45,45,2014-01-02,-72.07766517918635,42.17863334485664,760100
M_150493_886512,150493.43200000,886511.81520000,BMP,1132113,30,NORTH BROOKFIELD ROAD,,,,,,,,01506,,BROOKFIELD,BROOKFIELD,MA,,30,30,,,,,,,,,NORTH BROOKFIELD,ROAD,RD,,,51460,,48,45,45,2014-01-02,-72.09970593960409,42.227497030212305,760100
M_147452_880924,147452.20900000,880924.00120000,PC,1132291,133,TOWN FARM ROAD,,,,,,,,01506,,BROOKFIELD,BROOKFIELD,MA,,133,133,,,,,,,,,TOWN FARM,ROAD,RD,,,51504,,48,45,45,2014-01-02,-72.13604022941371,42.176992555750935,760100
M_150876_883133,150876.04560000,883132.93280000,BMP,1131887,37,LAKE ROAD,,,,,,,,01506,,BROOKFIELD,BROOKFIELD,MA,,37,37,,,,,,,,,LAKE,ROAD,RD,,,51422,,48,45,45,2014-01-02,-72.0947858250572,42.19710164950343,760100
M_150503_879392,150503.46800000,879392.11120000,BMP,1131612,155,RICE CORNER ROAD,,,,,,,,01506,,BROOKFIELD,BROOKFIELD,MA,,155,155,,,,,,,,,RICE CORNER,ROAD,RD,,,51481,,48,45,45,2014-01-02,-72.09897873306204,42.1634000113048,760100
M_148363_880398,148363.06740000,880397.59560000,BMP,1131702,164,FISKDALE ROAD,,,,,,,,01506,,BROOKFIELD,BROOKFIELD,MA,,164,164,,,,,,,,,FISKDALE,ROAD,RD,,,51400,,48,45,45,2014-01-02,-72.12496888232954,42.17231401619676,760100
