ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_97996_928920,97995.66260000,928920.43900000,BC,144390,21,SEARS STREET,,,,,4,,,01370,,BUCKLAND,BUCKLAND,MA,,21,21,,,,,,,,,SEARS,STREET,ST,,,7526,,50,47,47,2013-12-06,-72.74306607305616,42.604162183619984,041502
M_97728_928776,97727.94200000,928775.83640000,BC,144177,6,CRITTENDEN HILL ROAD,,,,,,,,01370,,BUCKLAND,BUCKLAND,MA,,6,6,,,,,,,,,CRITTENDEN HILL,ROAD,RD,,,7453,,50,47,47,2013-12-06,-72.74630241438676,42.6028254112062,041502
M_95507_926158,95506.64320000,926157.76020000,BC,144241,142,EAST BUCKLAND ROAD,,,,,,,,01370,,BUCKLAND,BUCKLAND,MA,,142,142,,,,,,,EAST,,BUCKLAND,ROAD,RD,,,7465,,50,47,47,2013-12-06,-72.77289143328996,42.57896413082458,041502
M_97810_930342,97810.40400000,930341.82820000,BC,143569,1,RAND ROAD,,,,,,,,01370,,BUCKLAND,BUCKLAND,MA,,1,1,,,,,,,,,RAND,ROAD,RD,,,7519,,50,47,47,2013-12-06,-72.74557631803036,42.61693211234087,041502
M_93032_925051,93032.46760000,925051.00980000,BMP,143663,5,OLD HAWLEY ROAD,,,,,,,,01338,,BUCKLAND,BUCKLAND,MA,,5,5,,,,,,,,,OLD HAWLEY,ROAD,RD,,,7508,,50,47,47,2013-12-06,-72.80282019366068,42.568665695315225,041502
M_93879_927522,93879.31840000,927521.59800000,BC,143358,32,UPPER STREET,,,,,,,,01338,,BUCKLAND,BUCKLAND,MA,,32,32,,,,,,,,,UPPER,STREET,ST,,,7543,,50,47,47,2013-12-06,-72.79296358467575,42.591020030394205,041502
M_97973_928598,97973.36920000,928598.04680000,BC,143983,15,SCHOOL STREET,,,,,,,,01370,,BUCKLAND,BUCKLAND,MA,,15,15,,,,,,,,,SCHOOL,STREET,ST,,,7524,,50,47,47,2013-12-06,-72.74328044854,42.60125732361013,041502
M_92380_925679,92379.84540000,925679.49720000,BMP,144162,44,CLESSON BROOK ROAD,,,,,,,,01338,,BUCKLAND,BUCKLAND,MA,,44,44,,,,,,,,,CLESSON BROOK,ROAD,RD,,,7446,,50,47,47,2013-12-06,-72.81088524725004,42.57423284958015,041502
M_97719_928739,97719.21200000,928738.87060000,BC,143700,1,CRITTENDEN HILL ROAD,,,,,,,,01370,,BUCKLAND,BUCKLAND,MA,,1,1,,,,,,,,,CRITTENDEN HILL,ROAD,RD,,,7453,,50,47,47,2013-12-06,-72.74640220220456,42.602491524397784,041502
M_97935_930532,97935.14060000,930532.23340000,BC,143611,2,WARES HILL ROAD,,,,,,,,01370,,BUCKLAND,BUCKLAND,MA,,2,2,,,,,,,,,WARES HILL,ROAD,RD,,,7546,,50,47,47,2013-12-06,-72.74408998295662,42.61866237759791,041502
