ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_228600_877222,228600.43220000,877222.30760000,BC,4252250,0,RUBIN COURT,,,D,,12,,,02021,,CANTON,CANTON,MA,,0,0,,,,,,,,,RUBIN,COURT,CT,,,115973,,53,50,50,2017-05-04,-71.15399664573465,42.14490737797308,415102
M_231937_880133,231936.89520000,880132.77300000,BC,2442261,1,DEL POND DRIVE,,,,,214,,,02021,,CANTON,CANTON,MA,,1,1,,,,,,,,,DEL POND,DRIVE,DR,,,115863,,53,50,50,2014-03-01,-71.11347362755781,42.17098145746083,415200
M_231937_880133,231936.89520000,880132.77300000,BC,2442267,1,DEL POND DRIVE,,,,,2203,,,02021,,CANTON,CANTON,MA,,1,1,,,,,,,,,DEL POND,DRIVE,DR,,,115863,,53,50,50,2014-03-01,-71.11347362755781,42.17098145746083,415200
M_231937_880133,231936.89520000,880132.77300000,BC,2442271,1,DEL POND DRIVE,,,,,224,,,02021,,CANTON,CANTON,MA,,1,1,,,,,,,,,DEL POND,DRIVE,DR,,,115863,,53,50,50,2014-03-01,-71.11347362755781,42.17098145746083,415200
M_231937_880133,231936.89520000,880132.77300000,BC,2442275,1,DEL POND DRIVE,,,,,228,,,02021,,CANTON,CANTON,MA,,1,1,,,,,,,,,DEL POND,DRIVE,DR,,,115863,,53,50,50,2014-03-01,-71.11347362755781,42.17098145746083,415200
M_231937_880133,231936.89520000,880132.77300000,BC,2442277,1,DEL POND DRIVE,,,,,231,,,02021,,CANTON,CANTON,MA,,1,1,,,,,,,,,DEL POND,DRIVE,DR,,,115863,,53,50,50,2014-03-01,-71.11347362755781,42.17098145746083,415200
M_231937_880133,231936.89520000,880132.77300000,BC,2442283,1,DEL POND DRIVE,,,,,241,,,02021,,CANTON,CANTON,MA,,1,1,,,,,,,,,DEL POND,DRIVE,DR,,,115863,,53,50,50,2014-03-01,-71.11347362755781,42.17098145746083,415200
M_231937_880133,231936.89520000,880132.77300000,BC,2442289,1,DEL POND DRIVE,,,,,248,,,02021,,CANTON,CANTON,MA,,1,1,,,,,,,,,DEL POND,DRIVE,DR,,,115863,,53,50,50,2014-03-01,-71.11347362755781,42.17098145746083,415200
M_231937_880133,231936.89520000,880132.77300000,BC,2442293,1,DEL POND DRIVE,,,,,301,,,02021,,CANTON,CANTON,MA,,1,1,,,,,,,,,DEL POND,DRIVE,DR,,,115863,,53,50,50,2014-03-01,-71.11347362755781,42.17098145746083,415200
M_231937_880133,231936.89520000,880132.77300000,BC,2442299,1,DEL POND DRIVE,,,,,308,,,02021,,CANTON,CANTON,MA,,1,1,,,,,,,,,DEL POND,DRIVE,DR,,,115863,,53,50,50,2014-03-01,-71.11347362755781,42.17098145746083,415200
M_232134_881150,232133.64960000,881150.11200000,BC,2437429,10,AUTUMN CIRCLE,,,,,,,,02021,,CANTON,CANTON,MA,,10,10,,,,,,,,,AUTUMN,CIRCLE,CIR,,,115762,,53,50,50,2014-03-01,-71.11103623074179,42.180132522118484,415200
M_231937_880133,231936.89520000,880132.77300000,BC,2442381,1,DEL POND DRIVE,,,,,431,,,02021,,CANTON,CANTON,MA,,1,1,,,,,,,,,DEL POND,DRIVE,DR,,,115863,,53,50,50,2014-03-01,-71.11347362755781,42.17098145746083,415200
M_231937_880133,231936.89520000,880132.77300000,BC,2437786,1,DEL POND DRIVE,,,,,2215,,,02021,,CANTON,CANTON,MA,,1,1,,,,,,,,,DEL POND,DRIVE,DR,,,115863,,53,50,50,2015-09-09,-71.11347362755781,42.17098145746083,415200
