ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_214996_921868,214996.38180000,921867.72620000,BC,2036887,1192,NORTH ROAD,,,,,,,,01741,,CARLISLE,CARLISLE,MA,,1192,1192,,,,,,,,,NORTH,ROAD,RD,,,95829,,54,51,51,2014-02-12,-71.31741935919094,42.54721853070241,362100
M_214005_922822,214004.67620000,922822.16640000,BC,2037032,585,RUTLAND STREET,,,,,,,,01741,,CARLISLE,CARLISLE,MA,,585,585,,,,,,,,,RUTLAND,STREET,ST,,,95862,,54,51,51,2014-02-12,-71.32947008913482,42.55582919349708,362100
M_208869_918919,208868.59660000,918918.62140000,BMP,2037276,570,WEST STREET,,,,,,,,01741,,CARLISLE,CARLISLE,MA,,570,570,,,,,,,,,WEST,STREET,ST,,,95894,,54,51,51,2014-02-12,-71.39207034399476,42.52076351561772,362100
M_211095_920279,211094.94200000,920278.76340000,BMP,2037008,46,VIRGINIA FARME LANE,,,,,,,,01741,,CARLISLE,CARLISLE,MA,,46,46,,,,,,,,,VIRGINIA FARME,LANE,LN,,,95893,,54,51,51,2014-02-12,-71.36494984543373,42.53297951015965,362100
M_214592_917980,214591.53040000,917979.70100000,BMP,2036304,161,RIVER ROAD,,,,,,,,01741,,CARLISLE,CARLISLE,MA,,161,161,,,,,,,,,RIVER,ROAD,RD,,,95857,,54,51,51,2014-02-12,-71.32244693850359,42.51222473946474,362100
M_211266_920982,211265.63360000,920982.35140000,BC,2035958,100,NATHAN LANE,,,,,,,,01741,,CARLISLE,CARLISLE,MA,,100,100,,,,,,,,,NATHAN,LANE,LN,,,95827,,54,51,51,2014-02-12,-71.36285838222284,42.539311020713356,362100
M_214913_917948,214912.61200000,917948.06020000,BC,2035970,1094,BEDFORD ROAD,,,,,,,,01741,,CARLISLE,CARLISLE,MA,,1094,1094,,,,,,,,,BEDFORD,ROAD,RD,,,95740,,54,51,51,2014-02-12,-71.31854077528622,42.51193381242378,362100
M_211868_920879,211867.91980000,920879.07040000,BC,2036221,120,ELIZABETH RIDGE ROAD,,,,,,,,01741,,CARLISLE,CARLISLE,MA,,120,120,,,,,,,,,ELIZABETH RIDGE,ROAD,RD,,,95771,,54,51,51,2014-02-12,-71.3555286250047,42.53837229665957,362100
M_210133_920160,210133.48040000,920159.53860000,BC,2036020,5,ACTON STREET,,,,,,,,01741,,CARLISLE,CARLISLE,MA,,5,5,,,,,,,,,ACTON,STREET,ST,,,95734,,54,51,51,2014-02-12,-71.37665505596013,42.53191931306008,362100
M_214768_920833,214768.09540000,920833.30700000,BC,2037363,76,LAURELWOOD DRIVE,,,,,,,,01741,,CARLISLE,CARLISLE,MA,,76,76,,,,,,,,,LAURELWOOD,DRIVE,DR,,,95810,,54,51,51,2014-02-12,-71.32022527699084,42.5379106932071,362100
