ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_162384_876598,162383.90580000,876597.70360000,BMP,1126611,119,OLD WORCESTER ROAD,,,,,,,,01507,,CHARLTON,CHARLTON,MA,,119,119,,,,,,,,,OLD WORCESTER,ROAD,RD,,,51085,,59,54,54,2014-01-02,-71.95503122732511,42.13890289247132,756102
M_162665_870363,162664.73060000,870363.15420000,BC,1126767,96C,BAKER POND ROAD EXTENSION,,,,,,,,01507,,CHARLTON,CHARLTON,MA,,96,96,C,,,,,,,,BAKER POND,ROAD EXTENSION,,,,51250,,59,54,54,2014-01-02,-71.95123526065616,42.08278623110571,756102
M_161887_878160,161887.38120000,878160.40840000,BMP,1126808,49,NORTHSIDE ROAD,,,,,,,,01507,,CHARLTON,CHARLTON,MA,,49,49,,,,,,,,,NORTHSIDE,ROAD,RD,,,51069,,59,54,54,2014-01-02,-71.96113962675511,42.15294794818933,756102
M_160305_880168,160304.80760000,880168.21460000,BMP,1126888,192,CITY DEPOT ROAD,,,,,,,,01507,,CHARLTON,CHARLTON,MA,,192,192,,,,,,,,,CITY DEPOT,ROAD,RD,,,51289,,59,54,54,2014-01-02,-71.98042424160641,42.17094556707126,756101
M_163110_876074,163110.42100000,876073.80440000,BC,1130569,131,MUGGETT HILL ROAD,,,,,5,,,01507,,CHARLTON,CHARLTON,MA,,131,131,,,,,,,,,MUGGETT HILL,ROAD,RD,,,51055,,59,54,54,2014-01-02,-71.94620978794106,42.13422076378923,756102
M_159327_877042,159326.50760000,877042.07380000,BC,1126247,20,CARPENTER HILL ROAD,,,,,,,,01507,,CHARLTON,CHARLTON,MA,,20,20,,,,,,,,,CARPENTER HILL,ROAD,RD,,,51280,,59,54,54,2014-01-02,-71.99204592572767,42.14275074901746,756101
M_165524_873337,165524.10340000,873337.29340000,BC,1129891,62,A F PUTNAM ROAD,,,,,,,,01507,,CHARLTON,CHARLTON,MA,,62,62,,,,,,,,,A F PUTNAM,ROAD,RD,,,51237,,59,54,54,2014-01-02,-71.91685303160642,42.109693708030896,756102
M_164760_879548,164759.55200000,879547.78420000,BC,1125991,14,PONNAKIN HILL ROAD,,,,,,,,01507,,CHARLTON,CHARLTON,MA,,14,14,,,,,,,,,PONNAKIN HILL,ROAD,RD,,,51108,,59,54,54,2014-01-02,-71.92647263045869,42.165573050290604,756102
M_164762_875263,164761.86800000,875263.17900000,BC,1127926,103,OXFORD ROAD,,,,,,,,01507,,CHARLTON,CHARLTON,MA,,103,103,,,,,,,,,OXFORD,ROAD,RD,,,51091,,59,54,54,2014-01-02,-71.92618552734575,42.12699869421861,756102
M_159237_876812,159236.68200000,876811.87040000,BC,1126023,36,CARPENTER HILL ROAD,,,,,,,,01507,,CHARLTON,CHARLTON,MA,,36,36,,,,,,,,,CARPENTER HILL,ROAD,RD,,,51280,,59,54,54,2014-01-02,-71.99311646324627,42.14067355609973,756101
