ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_238856_905993,238855.72760000,905992.86620000,BC,3695357,217,WEBSTER AVENUE,,,,,3,,,02150,,CHELSEA,CHELSEA,MA,,217,217,,,,,,,,,WEBSTER,AVENUE,AVE,,,167712,,62,57,57,2014-03-16,-71.02800593383655,42.40348129468762,160601
M_238349_904517,238348.51820000,904517.20020000,BC,3689070,111,SHURTLEFF STREET,,,,,,,,02150,,CHELSEA,CHELSEA,MA,,111,111,,,,,,,,,SHURTLEFF,STREET,ST,,,167682,,62,57,57,2014-03-16,-71.03426493573365,42.390221607687586,160200
M_238404_906190,238404.33300000,906190.21160000,BC,3698456,37,MURRAY STREET,,,,,2,,,02150,,CHELSEA,CHELSEA,MA,,37,37,,,,,,,,,MURRAY,STREET,ST,,,167633,,62,57,57,2014-03-16,-71.03347595996938,42.40528026420421,160602
M_238261_906580,238260.80060000,906580.42080000,BC,3687178,14,GRANDVIEW ROAD,,,,,,,,02150,,CHELSEA,CHELSEA,MA,,14,14,,,,,,,,,GRANDVIEW,ROAD,RD,,,167580,,62,57,57,2014-03-16,-71.03519368254379,42.40880019678019,160602
M_238687_904319,238686.57940000,904319.18620000,PC,3687583,63,HIGHLAND STREET,,,,,,,,02150,,CHELSEA,CHELSEA,MA,,63,63,,,,,,,,,HIGHLAND,STREET,ST,,,167732,,62,57,57,2014-03-16,-71.03017257913332,42.38842227848203,160101
M_238631_904377,238630.98220000,904377.28020000,BMP,3692230,125,CENTRAL AVENUE,,,,,2,,,02150,,CHELSEA,CHELSEA,MA,,125,125,,,,,,,,,CENTRAL,AVENUE,AVE,,,167522,,62,57,57,2014-03-16,-71.03084388264413,42.38894802980326,160101
M_238416_906871,238416.44800000,906871.17200000,BMP,3698722,42,ENGLEWOOD AVENUE,,,,,1R,,,02150,,CHELSEA,CHELSEA,MA,,42,42,,,,,,,,,ENGLEWOOD,AVENUE,AVE,,,167556,,62,57,57,2014-03-16,-71.03328353140286,42.41141004577263,160602
M_238416_906871,238416.44800000,906871.17200000,BMP,3698723,42,ENGLEWOOD AVENUE,,,,,2,,,02150,,CHELSEA,CHELSEA,MA,,42,42,,,,,,,,,ENGLEWOOD,AVENUE,AVE,,,167556,,62,57,57,2014-03-16,-71.03328353140286,42.41141004577263,160602
M_238286_904389,238285.50760000,904388.51780000,BC,3686592,65,SHURTLEFF STREET,,,,,,,,02150,,CHELSEA,CHELSEA,MA,,65,65,,,,,,,,,SHURTLEFF,STREET,ST,,,167682,,62,57,57,2014-03-16,-71.03503869075533,42.38906622791114,160200
M_238416_906871,238416.44800000,906871.17200000,BMP,3687103,42,ENGLEWOOD AVENUE,,,,,,,,02150,,CHELSEA,CHELSEA,MA,,42,42,,,,,,,,,ENGLEWOOD,AVENUE,AVE,,,167556,,62,57,57,2014-03-16,-71.03328353140286,42.41141004577263,160602
M_239053_905825,239053.23360000,905824.80440000,BC,3686389,149,WEBSTER AVENUE,,,,,,,,02150,,CHELSEA,CHELSEA,MA,,149,149,,,,,,,,,WEBSTER,AVENUE,AVE,,,167712,,62,57,57,2014-03-16,-71.02561816287057,42.401958444944654,160601
M_238599_905295,238599.05840000,905294.91700000,BC,3692458,139,WASHINGTON AVENUE,,,,,3,,,02150,,CHELSEA,CHELSEA,MA,,139,139,,,,,,,,,WASHINGTON,AVENUE,AVE,,,167710,,62,57,57,2014-03-16,-71.03117032120538,42.39721070725244,160501
M_238599_905295,238599.05840000,905294.91700000,BC,3685559,139,WASHINGTON AVENUE,,,,,,,,02150,,CHELSEA,CHELSEA,MA,,139,139,,,,,,,,,WASHINGTON,AVENUE,AVE,,,167710,,62,57,57,2014-03-16,-71.03117032120538,42.39721070725244,160501
M_238954_905237,238953.81660000,905236.70260000,BC,3701643,749,BROADWAY,,,,,2,,,02150,,CHELSEA,CHELSEA,MA,,749,749,,,,,,,,,BROADWAY,,,,,167511,,62,57,57,2014-03-16,-71.02686538751671,42.396668992950275,160502
M_238416_906871,238416.44800000,906871.17200000,BMP,3698726,42,ENGLEWOOD AVENUE,,,,,4,,,02150,,CHELSEA,CHELSEA,MA,,42,42,,,,,,,,,ENGLEWOOD,AVENUE,AVE,,,167556,,62,57,57,2014-03-16,-71.03328353140286,42.41141004577263,160602
M_238746_904459,238746.29300000,904459.11100000,BC,3700261,48,WATTS STREET,,,,,2,,,02150,,CHELSEA,CHELSEA,MA,,48,48,,,,,,,,,WATTS,STREET,ST,,,167711,,62,57,57,2014-03-16,-71.02943803003166,42.389679000120786,160101
M_238957_905289,238957.32140000,905288.83140000,BC,3689270,758,BROADWAY,,,,,,,,02150,,CHELSEA,CHELSEA,MA,,758,758,,,,,,,,,BROADWAY,,,,,167511,,62,57,57,2014-03-16,-71.02681930653081,42.39713811098181,160502
M_238351_905286,238350.62280000,905285.84780000,BC,3685809,46,BLOSSOM STREET,,,,,,,,02150,,CHELSEA,CHELSEA,MA,,46,46,,,,,,,,,BLOSSOM,STREET,ST,,,167506,,62,57,57,2014-03-16,-71.03418839687977,42.397141314942296,160501
M_237791_905453,237791.09400000,905452.81140000,BMP,3685984,248,EVERETT AVENUE,,,,,,,,02150,,CHELSEA,CHELSEA,MA,,248,248,,,,,,,,,EVERETT,AVENUE,AVE,,,167560,,62,57,57,2014-03-16,-71.04097346004198,42.39867172542533,160400
M_238416_905052,238416.37920000,905052.36660000,BC,3687577,62,WASHINGTON AVENUE,,,,,,,,02150,,CHELSEA,CHELSEA,MA,,62,62,,,,,,,,,WASHINGTON,AVENUE,AVE,,,167710,,62,57,57,2014-03-16,-71.03340524012584,42.395036147637676,160400
M_238957_905289,238957.32140000,905288.83140000,BC,3701733,758,BROADWAY,,,,,2,,,02150,,CHELSEA,CHELSEA,MA,,758,758,,,,,,,,,BROADWAY,,,,,167511,,62,57,57,2014-03-16,-71.02681930653081,42.39713811098181,160502
M_238377_904474,238377.22200000,904474.25660000,BC,3698650,41,CENTRAL AVENUE,,,,,B,,,02150,,CHELSEA,CHELSEA,MA,,41,41,,,,,,,,,CENTRAL,AVENUE,AVE,,,167522,,62,57,57,2014-03-16,-71.03391919059143,42.3898335927062,160200
M_238455_905631,238454.71700000,905631.28960000,BC,3696218,231,WASHINGTON AVENUE,,,,,1,,,02150,,CHELSEA,CHELSEA,MA,,231,231,,,,,,,,,WASHINGTON,AVENUE,AVE,,,167710,,62,57,57,2014-03-16,-71.03290110381768,42.40024605341737,160601
M_239283_905719,239283.00880000,905719.11800000,BC,3696425,25,GILLOOLY ROAD,,,,,1,,,02150,,CHELSEA,CHELSEA,MA,,25,25,,,,,,,,,GILLOOLY,ROAD,RD,,,167579,,62,57,57,2014-03-16,-71.02283431026477,42.40099545874895,160601
M_238416_905052,238416.37920000,905052.36660000,BC,3700893,62,WASHINGTON AVENUE,,,,,2,,,02150,,CHELSEA,CHELSEA,MA,,62,62,,,,,,,,,WASHINGTON,AVENUE,AVE,,,167710,,62,57,57,2014-03-16,-71.03340524012584,42.395036147637676,160400
M_238404_906190,238404.33300000,906190.21160000,BC,3698455,37,MURRAY STREET,,,,,1,,,02150,,CHELSEA,CHELSEA,MA,,37,37,,,,,,,,,MURRAY,STREET,ST,,,167633,,62,57,57,2014-03-16,-71.03347595996938,42.40528026420421,160602
M_238356_905749,238356.14940000,905748.97700000,BC,3689985,275,WASHINGTON AVENUE,,,,,,,,02150,,CHELSEA,CHELSEA,MA,,275,275,,,,,,,,,WASHINGTON,AVENUE,AVE,,,167710,,62,57,57,2014-03-16,-71.0340905452441,42.40131039495187,160601
M_238746_904459,238746.29300000,904459.11100000,BC,3686248,48,WATTS STREET,,,,,,,,02150,,CHELSEA,CHELSEA,MA,,48,48,,,,,,,,,WATTS,STREET,ST,,,167711,,62,57,57,2014-03-16,-71.02943803003166,42.389679000120786,160101
M_239341_905396,239341.39440000,905395.99880000,PC,3686296,12,DUDLEY STREET,,,,,,,,02150,,CHELSEA,CHELSEA,MA,,12,12,,,,,,,,,DUDLEY,STREET,ST,,,167548,,62,57,57,2014-03-16,-71.02214711079165,42.39808361625727,160502
M_238220_905609,238220.44980000,905608.63020000,BMP,3691215,116,ORANGE STREET,,,,,2,,,02150,,CHELSEA,CHELSEA,MA,,116,116,,,,,,,,,ORANGE,STREET,ST,,,167640,,62,57,57,2014-03-16,-71.03574812490335,42.40005357496346,160501
M_238325_905545,238324.91600000,905545.44460000,BC,3702978,87,ORANGE STREET,,,,,2,,,02150,,CHELSEA,CHELSEA,MA,,87,87,,,,,,,,,ORANGE,STREET,ST,,,167640,,62,57,57,2014-03-16,-71.03448342042766,42.39947961657934,160501
M_238184_905482,238184.49800000,905481.78220000,BC,3687507,108,BLOSSOM STREET,,,,,,,,02150,,CHELSEA,CHELSEA,MA,,108,108,,,,,,,,,BLOSSOM,STREET,ST,,,167506,,62,57,57,2014-03-16,-71.03619318968614,42.39891337804498,160501
M_239877_905720,239876.51080000,905719.67720000,BC,3690082,79,CARROLL STREET,,,,,,,,02150,,CHELSEA,CHELSEA,MA,,79,79,,,,,,,,,CARROLL,STREET,ST,,,167518,,62,57,57,2014-03-16,-71.01562523254897,42.4009703766939,160502
M_238286_904389,238285.50760000,904388.51780000,BC,3701972,65,SHURTLEFF STREET,,,,,3,,,02150,,CHELSEA,CHELSEA,MA,,65,65,,,,,,,,,SHURTLEFF,STREET,ST,,,167682,,62,57,57,2014-03-16,-71.03503869075533,42.38906622791114,160200
M_239379_905791,239378.86940000,905791.06660000,BC,3697180,230,CLARK AVENUE,,,,,2,,,02150,,CHELSEA,CHELSEA,MA,,230,230,,,,,,,,,CLARK,AVENUE,AVE,,,167533,,62,57,57,2014-03-16,-71.02166502717428,42.40163834630353,160601
M_239379_905791,239378.86940000,905791.06660000,BC,3697181,230,CLARK AVENUE,,,,,3,,,02150,,CHELSEA,CHELSEA,MA,,230,230,,,,,,,,,CLARK,AVENUE,AVE,,,167533,,62,57,57,2014-03-16,-71.02166502717428,42.40163834630353,160601
M_238184_905482,238184.49800000,905481.78220000,BC,3691892,108,BLOSSOM STREET,,,,,1,,,02150,,CHELSEA,CHELSEA,MA,,108,108,,,,,,,,,BLOSSOM,STREET,ST,,,167506,,62,57,57,2014-03-16,-71.03619318968614,42.39891337804498,160501
