ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_91800_903442,91799.81100000,903442.36020000,BC,148790,101,EAST STREET,,,,,,,,01012,,CHESTERFIELD,CHESTERFIELD,MA,,101,101,,,,,,,,,EAST,STREET,ST,,,7916,,65,60,60,2013-12-06,-72.81377767788064,42.37398570284143,822605
M_90945_903285,90945.40800000,903285.23560000,BC,148968,41,EAST STREET,,,,,,,,01012,,CHESTERFIELD,CHESTERFIELD,MA,,41,41,,,,,,,,,EAST,STREET,ST,,,7916,,65,60,60,2013-12-06,-72.82412065134918,42.37245237967565,822605
M_86742_906276,86742.44200000,906275.52360000,BMP,148863,35,IRELAND STREET,,,,,,,,01084,,CHESTERFIELD,CHESTERFIELD,MA,,35,35,,,,,,,,,IRELAND,STREET,ST,,,7927,,65,60,60,2013-12-06,-72.87572915278247,42.398770949778076,822605
M_89037_905034,89037.44780000,905034.16040000,BC,148517,31,BAGG ROAD,,,,,,,,01012,,CHESTERFIELD,CHESTERFIELD,MA,,31,31,,,,,,,,,BAGG,ROAD,RD,,,7899,,65,60,60,2013-12-06,-72.84761840216477,42.387926560606886,822605
M_92541_903113,92541.33500000,903112.53360000,BC,148654,159,EAST STREET,,,,,,,,01012,,CHESTERFIELD,CHESTERFIELD,MA,,159,159,,,,,,,,,EAST,STREET,ST,,,7916,,65,60,60,2013-12-06,-72.80471417378479,42.371119169028105,822605
M_90781_904340,90780.93300000,904340.10880000,BMP,148432,31,STAGE ROAD,,,,,,,,01096,,CHESTERFIELD,CHESTERFIELD,MA,,31,31,,,,,,,,,STAGE,ROAD,RD,,,7954,,65,60,60,2013-12-06,-72.82631649875607,42.381924985897605,822605
M_89406_902784,89405.60600000,902784.05360000,BMP,148472,178,BRYANT STREET,,,,,,,,01012,,CHESTERFIELD,CHESTERFIELD,MA,,178,178,,,,,,,,,BRYANT,STREET,ST,,,7906,,65,60,60,2013-12-06,-72.84271778935575,42.36772420766103,822605
M_89460_909528,89460.31160000,909528.01680000,BMP,148405,17,FULLER ROAD,,,,,,,,01032,,CHESTERFIELD,CHESTERFIELD,MA,,17,17,,,,,,,,,FULLER,ROAD,RD,,,7918,,65,60,60,2013-12-06,-72.84334312717594,42.428438337049656,822605
M_92930_903296,92929.57200000,903295.74500000,BMP,148658,174,EAST STREET,,,,,,,,01012,,CHESTERFIELD,CHESTERFIELD,MA,,174,174,,,,,,,,,EAST,STREET,ST,,,7916,,65,60,60,2013-12-06,-72.80003500973477,42.37282175047617,822605
M_89406_902784,89405.60600000,902784.05360000,BMP,4209054,174,BRYANT STREET,,,,,,,,01012,,CHESTERFIELD,CHESTERFIELD,MA,,174,174,,,,,,,,,BRYANT,STREET,ST,,,7906,,65,60,60,2015-06-23,-72.84271778935575,42.36772420766103,822605
