ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_266120_789475,266119.53940000,789475.48940000,BMP,1723099,11,SEAWARD WAY,,,,,,,,02535,,CHILMARK,CHILMARK,MA,,11,11,,,,,,,,,SEAWARD,WAY,WAY,,,78062,,67,62,62,2014-02-06,-70.70994771151544,41.35265030728368,200400
M_265475_792724,265474.75620000,792724.29420000,BMP,1722892,126,TEA LANE,,,,,,,,02535,,CHILMARK,CHILMARK,MA,,126,126,,,,,,,,,TEA,LANE,LN,,,78102,,67,62,62,2014-02-06,-70.71729548281455,41.38195298456093,200400
M_265295_788671,265295.00580000,788671.48660000,BMP,1724700,6,TILTON COVE WAY,,,,,,,,02535,,CHILMARK,CHILMARK,MA,,6,6,,,,,,,,,TILTON COVE,WAY,WAY,,,78111,,67,62,62,2014-02-06,-70.71988724656741,41.34548016570832,200400
M_267183_789588,267182.56380000,789587.69960000,BMP,1723089,10,CYGNET WAY,,,,,,,,02535,,CHILMARK,CHILMARK,MA,,10,10,,,,,,,,,CYGNET,WAY,WAY,,,77888,,67,62,62,2014-02-06,-70.69723392080671,41.353571177422744,200400
M_269159_791500,269158.94340000,791499.80920000,BMP,1724702,61,COBBS HILL ROAD,,,,,,,,02535,,CHILMARK,CHILMARK,MA,,61,61,,,,,,,,,COBBS HILL,ROAD,RD,,,77880,,67,62,62,2014-02-06,-70.6733981591948,41.37061598402541,200400
M_265901_789415,265900.85620000,789415.44540000,BMP,1723939,29,SEAWARD WAY,,,,,,,,02535,,CHILMARK,CHILMARK,MA,,29,29,,,,,,,,,SEAWARD,WAY,WAY,,,78062,,67,62,62,2014-02-06,-70.7125671982021,41.3521279352026,200400
M_263534_789334,263534.37860000,789334.39380000,BC,1724207,14,WILLIAMS WAY,,,,,,,,02535,,CHILMARK,CHILMARK,MA,,14,14,,,,,,,,,WILLIAMS,WAY,WAY,,,78137,,67,62,62,2014-02-06,-70.74085074373299,41.35159138383584,200400
M_263990_788629,263990.24020000,788628.57080000,PC,1723971,38,WELLES WAY,,,,,,,,02535,,CHILMARK,CHILMARK,MA,,38,38,,,,,,,,,WELLES,WAY,WAY,,,78130,,67,62,62,2014-02-06,-70.73547969919383,41.345200158092936,200400
M_266816_789687,266815.66600000,789687.16360000,BMP,1724027,8,SNAIL ROAD,,,,,,,,02535,,CHILMARK,CHILMARK,MA,,8,8,,,,,,,,,SNAIL,ROAD,RD,,,78075,,67,62,62,2014-02-06,-70.70160661039249,41.35449765895118,200400
M_266429_791540,266428.93840000,791540.14740000,BC,1722884,119,MIDDLE ROAD,,,,,,,,02535,,CHILMARK,CHILMARK,MA,,119,119,,,,,,,,,MIDDLE,ROAD,RD,,,77991,,67,62,62,2014-02-06,-70.70602132615507,41.371212644818165,200400
M_266494_789979,266493.53220000,789979.29440000,BC,1723791,4,PINWEED LANE,,,,,,,,02535,,CHILMARK,CHILMARK,MA,,4,4,,,,,,,,,PINWEED,LANE,LN,,,78032,,67,62,62,2014-02-06,-70.70542310960344,41.357154804727415,200400
M_261814_788439,261813.69760000,788438.81400000,BMP,1724661,14,MARJOS WAY,,,,,,,,02535,,CHILMARK,CHILMARK,MA,,14,14,,,,,,,,,MARJOS,WAY,WAY,,,77978,,67,62,62,2014-02-06,-70.76150214251044,41.343664417778164,200400
M_267282_792388,267282.43460000,792387.77700000,BMP,1724185,37,MIDDLE ROAD,,,,,,,,02535,,CHILMARK,CHILMARK,MA,,37,37,,,,,,,,,MIDDLE,ROAD,RD,,,77991,,67,62,62,2014-02-06,-70.69572515756501,41.37877189864169,200400
M_262400_789068,262400.43060000,789068.27780000,BMP,1723959,34,FLANDERS LANE,,,,,,,,02535,,CHILMARK,CHILMARK,MA,,34,34,,,,,,,,,FLANDERS,LANE,LN,,,77908,,67,62,62,2014-02-06,-70.75442697412755,41.34928557420844,200400
M_268290_791584,268289.81680000,791584.11080000,PC,1724240,60,SOUTH ROAD,,,,,,,,02535,,CHILMARK,CHILMARK,MA,,60,60,,,,,,,,,SOUTH,ROAD,RD,,,78080,,67,62,62,2014-02-06,-70.68377585830618,41.37145030889643,200400
M_266824_793450,266823.84740000,793449.87160000,BMP,1723771,95,OLD FARM ROAD,,,,,,,,02535,,CHILMARK,CHILMARK,MA,,95,95,,,,,,,,,OLD FARM,ROAD,RD,,,78011,,67,62,62,2014-02-06,-70.70108774376594,41.38837278843878,200400
M_262927_790659,262926.50440000,790658.97600000,PC,1722970,30,BEETLEBUNG ROAD,,,,,,,,02535,,CHILMARK,CHILMARK,MA,,30,30,,,,,,,,,BEETLEBUNG,ROAD,RD,,,77846,,67,62,62,2014-02-06,-70.74797409679839,41.36356517659298,200400
M_261464_789543,261464.17800000,789542.58440000,BC,1723312,54,BASIN ROAD,,,,,,,,02535,,CHILMARK,CHILMARK,MA,,54,54,,,,,,,,,BASIN,ROAD,RD,,,77836,,67,62,62,2014-02-06,-70.76556415828912,41.353628927304335,200400
M_265106_792207,265106.14180000,792207.23800000,PC,1723482,55,HAMMETT LANE,,,,,,,,02535,,CHILMARK,CHILMARK,MA,,55,55,,,,,,,,,HAMMETT,LANE,LN,,,77927,,67,62,62,2014-02-06,-70.72175815697899,41.377328260793206,200400
M_264358_792219,264357.54640000,792219.02180000,BC,1723412,221,NORTH ROAD,,,,,,,,02535,,CHILMARK,CHILMARK,MA,,221,221,,,,,,,,,NORTH,ROAD,RD,,,78006,,67,62,62,2014-02-06,-70.73070468278983,41.37749549211142,200400
M_267462_789933,267461.79580000,789933.08870000,BC,1723158,2,BARTON WAY,,,,,,,,02535,,CHILMARK,CHILMARK,MA,,2,2,,,,,,,,,BARTON,WAY,WAY,,,77835,,67,62,62,2016-06-02,-70.6938585650173,41.356657013785004,200400
M_266083_792198,266082.59580000,792198.05940000,BMP,1723802,1,BOULDERS END,,,,,,,,02535,,CHILMARK,CHILMARK,MA,,1,1,,,,,,,,,BOULDERS,END,END,,,77858,,67,62,62,2014-02-06,-70.71008785886461,41.37716481175558,200400
M_262965_788148,262964.98880000,788147.82520000,BC,1724398,25,STATE ROAD,,,,,,,,02535,,CHILMARK,CHILMARK,MA,,25,25,,,,,,,,,STATE,ROAD,RD,,,78088,,67,62,62,2014-02-06,-70.74777885235738,41.34095404628456,200400
M_264502_790513,264502.10480000,790513.19560000,BC,1723205,30,PASTURE ROAD,,,,,,,,02535,,CHILMARK,CHILMARK,MA,,30,30,,,,,,,,,PASTURE,ROAD,RD,,,78025,,67,62,62,2014-02-06,-70.72916107247748,41.36212607090127,200400
M_263322_789727,263321.52920000,789726.52660000,BMP,1723925,26,THE AERIE,,,,,,,,02535,,CHILMARK,CHILMARK,MA,,26,26,,,,,,,,,THE AERIE,,,,,78104,,67,62,62,2014-02-06,-70.74335230757832,41.35513881018232,200400
M_266432_790861,266431.73900000,790860.53380000,BMP,1724315,12,WEST FARM ROAD,,,,,,,,02535,,CHILMARK,CHILMARK,MA,,12,12,,,,,,,WEST,,FARM,ROAD,RD,,,78132,,67,62,62,2014-02-06,-70.70606346079198,41.36509381844303,200400
M_262139_787839,262139.38600000,787839.40780000,BMP,1722908,17,ABELS NECK ROAD,,,,,,,,02535,,CHILMARK,CHILMARK,MA,,17,17,,,,,,,,,ABELS NECK,ROAD,RD,,,77828,,67,62,62,2014-02-06,-70.75767361045982,41.33824246471648,200400
