ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_69353_941144,69353.37140000,941143.56000000,BMP,149203,41,HUDSON BROOK LANE,,,,,,,,01247,,CLARKSBURG,CLARKSBURG,MA,,41,41,,,,,,,,,HUDSON BROOK,LANE,LN,,,7995,,68,63,63,2013-12-06,-73.09482508677819,42.709891375854404,931100
M_68342_941749,68341.60920000,941748.63740000,BC,149649,618,NORTH EAGLE STREET,,,,,,,,01247,,CLARKSBURG,CLARKSBURG,MA,,618,618,,,,,,,NORTH,,EAGLE,STREET,ST,,,8015,,68,63,63,2013-12-06,-73.10731209391639,42.715166314309386,931100
M_68935_941828,68935.10180000,941828.01420000,BMP,149564,95,FIELDWOOD DRIVE,,,,,,,,01247,,CLARKSBURG,CLARKSBURG,MA,,95,95,,,,,,,,,FIELDWOOD,DRIVE,DR,,,7984,,68,63,63,2013-12-06,-73.10008649696793,42.71598117206804,931100
M_69904_942058,69904.03800000,942058.27380000,BMP,149191,290,CROSS ROAD,,,,,,,,01247,,CLARKSBURG,CLARKSBURG,MA,,290,290,,,,,,,,,CROSS,ROAD,RD,,,7974,,68,63,63,2013-12-06,-73.08831246629828,42.71821659256634,931100
M_69808_943985,69808.34960000,943985.35700000,BMP,149404,276,HORRIGAN ROAD,,,,,,,,01247,,CLARKSBURG,CLARKSBURG,MA,,276,276,,,,,,,,,HORRIGAN,ROAD,RD,,,7993,,68,63,63,2013-12-06,-73.08991893307096,42.73554486693913,931100
M_68594_941297,68593.99700000,941297.41180000,BC,149307,44,SOUTHERNVIEW DRIVE,,,,,,,,01247,,CLARKSBURG,CLARKSBURG,MA,,44,44,,,,,,,,,SOUTHERNVIEW,DRIVE,DR,,,8023,,68,63,63,2013-12-06,-73.10412803333344,42.711147913958264,931100
M_69895_943175,69895.36020000,943175.37200000,BC,149342,792,MIDDLE ROAD,,,,,,,,01247,,CLARKSBURG,CLARKSBURG,MA,,792,792,,,,,,,,,MIDDLE,ROAD,RD,,,8004,,68,63,63,2013-12-06,-73.08867237843491,42.728269367211404,931100
M_68342_941749,68341.60920000,941748.63740000,BC,150050,618,NORTH EAGLE STREET,,,,,REAR,,,01247,,CLARKSBURG,CLARKSBURG,MA,,618,618,,,,,,,NORTH,,EAGLE,STREET,ST,,,8015,,68,63,63,2013-12-06,-73.10731209391639,42.715166314309386,931100
M_68621_941245,68620.69120000,941245.32260000,BMP,149742,56,SOUTHERNVIEW DRIVE,,,,,,,,01247,,CLARKSBURG,CLARKSBURG,MA,,56,56,,,,,,,,,SOUTHERNVIEW,DRIVE,DR,,,8023,,68,63,63,2013-12-06,-73.10379028816462,42.7106836131735,931100
M_69380_942775,69379.96860000,942775.49960000,BMP,149973,575,MIDDLE ROAD,,,,,,,,01247,,CLARKSBURG,CLARKSBURG,MA,,575,575,,,,,,,,,MIDDLE,ROAD,RD,,,8004,,68,63,63,2013-12-06,-73.09487293402545,42.724583822494026,931100
M_68725_941162,68724.55120000,941162.20240000,BMP,149406,305,WELLS AVENUE,,,,,,,,01247,,CLARKSBURG,CLARKSBURG,MA,,305,305,,,,,,,,,WELLS,AVENUE,AVE,,,8032,,68,63,63,2013-12-06,-73.10250367251435,42.70995307607289,931100
M_70299_941515,70298.83580000,941515.42780000,BMP,149358,168,RIVER ROAD,,,,,,,,01247,,CLARKSBURG,CLARKSBURG,MA,,168,168,,,,,,,,,RIVER,ROAD,RD,,,8021,,68,63,63,2013-12-06,-73.08337056387919,42.71339686726674,931100
M_70299_941515,70298.83580000,941515.42780000,BMP,150027,168,RIVER ROAD,,,,,LEFT,,,01247,,CLARKSBURG,CLARKSBURG,MA,,168,168,,,,,,,,,RIVER,ROAD,RD,,,8021,,68,63,63,2013-12-06,-73.08337056387919,42.71339686726674,931100
M_70299_941515,70298.83580000,941515.42780000,BMP,149708,166,RIVER ROAD,,,,,,,,01247,,CLARKSBURG,CLARKSBURG,MA,,166,166,,,,,,,,,RIVER,ROAD,RD,,,8021,,68,63,63,2013-12-06,-73.08337056387919,42.71339686726674,931100
M_70145_943366,70145.32200000,943365.66140000,BMP,149891,895,MIDDLE ROAD,,,,,,,,01247,,CLARKSBURG,CLARKSBURG,MA,,895,895,,,,,,,,,MIDDLE,ROAD,RD,,,8004,,68,63,63,2013-12-06,-73.08566405722298,42.730023895052646,931100
M_69657_942794,69656.83980000,942793.76380000,BMP,149222,64,MUSTERFIELD HEIGHTS,,,,,,,,01247,,CLARKSBURG,CLARKSBURG,MA,,64,64,,,,,,,,,MUSTERFIELD,HEIGHTS,HTS,,,8013,,68,63,63,2013-12-06,-73.09149727756574,42.72479475600425,931100
M_70299_941515,70298.83580000,941515.42780000,BMP,149709,166-168,RIVER ROAD,,,,,,,,01247,,CLARKSBURG,CLARKSBURG,MA,,166,166,,,168,168,,,,,RIVER,ROAD,RD,,,8021,,68,63,63,2013-12-06,-73.08337056387919,42.71339686726674,931100
M_69496_941830,69495.70140000,941829.58080000,BMP,149913,55,ICE POND LANE,,,,,,,,01247,,CLARKSBURG,CLARKSBURG,MA,,55,55,,,,,,,,,ICE POND,LANE,LN,,,7996,,68,63,63,2013-12-06,-73.09324445180611,42.71608973162751,931100
