ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_185081_908920,185080.87840000,908919.76260000,BC,4197765,672,HIGH STREET,,,,,,,,01510,,CLINTON,CLINTON,MA,,672,672,,,,,,,,,HIGH,STREET,ST,,,59437,,69,64,64,2015-01-22,-71.68130492122967,42.43065625369914,716200
M_184769_906900,184769.27440000,906899.84380000,BC,4201363,159,FRANKLIN STREET,,,,,,,,01510,,CLINTON,CLINTON,MA,,159,159,,,,,,,,,FRANKLIN,STREET,ST,,,59417,,69,64,64,2015-01-22,-71.68503843164662,42.412465642474515,716100
M_184496_907196,184495.95040000,907195.57240000,BC,1302705,43,PLEASANT STREET,,,,,,,,01510,,CLINTON,CLINTON,MA,,43,43,,,,,,,,,PLEASANT,STREET,ST,,,59521,,69,64,64,2014-01-28,-71.68836697476193,42.41512259713359,716100
M_184943_907568,184943.10120000,907568.40020000,BMP,1307083,92,WALNUT STREET,,,,,2,,,01510,,CLINTON,CLINTON,MA,,92,92,,,,,,,,,WALNUT,STREET,ST,,,59581,,69,64,64,2014-01-28,-71.68294403321971,42.418487794535125,716300
M_184108_906833,184108.40580000,906832.67080000,BC,1302114,9,ARTHUR STREET,,,,,,,,01510,,CLINTON,CLINTON,MA,,9,9,,,,,,,,,ARTHUR,STREET,ST,,,59335,,69,64,64,2014-01-28,-71.69306546525401,42.41184772057067,716100
M_184554_907488,184553.63780000,907488.10440000,BC,1301147,17,NELSON STREET,,,,,,,,01510,,CLINTON,CLINTON,MA,,17,17,,,,,,,,,NELSON,STREET,ST,,,59491,,69,64,64,2014-01-28,-71.68767392202463,42.41775730301039,716300
M_186063_905026,186063.47460000,905026.74260000,BC,1299456,804,LEDGEWOOD WAY,,BRIARWOOD VILLAGE,,,,,,01510,,CLINTON,CLINTON,MA,,804,804,,,,,,,,,LEDGEWOOD,WAY,WAY,,,59459,15691,69,64,64,2014-01-28,-71.66927004725437,42.395626926006415,716100
M_185030_907669,185029.92340000,907669.08200000,BC,1304467,129,WALNUT STREET,,,,,1,,,01510,,CLINTON,CLINTON,MA,,129,129,,,,,,,,,WALNUT,STREET,ST,,,59581,,69,64,64,2014-01-28,-71.681891739713,42.419395868021056,716300
M_184715_905829,184715.13620000,905829.00660000,BMP,1299879,451,WILSON STREET,,,,,,,,01510,,CLINTON,CLINTON,MA,,451,451,,,,,,,,,WILSON,STREET,ST,,,59595,,69,64,64,2014-01-28,-71.68566783717806,42.40282419768183,716100
M_185081_908920,185080.87840000,908919.76260000,BC,1300922,674,HIGH STREET,,,,,,,,01510,,CLINTON,CLINTON,MA,,674,674,,,,,,,,,HIGH,STREET,ST,,,59437,,69,64,64,2014-01-28,-71.68130492122967,42.43065625369914,716200
M_185403_906244,185403.05580000,906243.94880000,BC,1302319,84,WILSON STREET,,,,,,,,01510,,CLINTON,CLINTON,MA,,84,84,,,,,,,,,WILSON,STREET,ST,,,59595,,69,64,64,2014-01-28,-71.67732206400257,42.40657296303751,716100
M_184197_906439,184196.65620000,906438.68680000,BC,1300417,16,DENNIS STREET,,,,,,,,01510,,CLINTON,CLINTON,MA,,16,16,,,,,,,,,DENNIS,STREET,ST,,,59398,,69,64,64,2014-01-28,-71.69198254989497,42.4083026116502,716100
M_184769_906900,184769.27440000,906899.84380000,BC,1303871,157,FRANKLIN STREET,,,,,A,,,01510,,CLINTON,CLINTON,MA,,157,157,,,,,,,,,FRANKLIN,STREET,ST,,,59417,,69,64,64,2014-01-28,-71.68503843164662,42.412465642474515,716100
M_184943_907568,184943.10120000,907568.40020000,BMP,1307084,92,WALNUT STREET,,,,,3,,,01510,,CLINTON,CLINTON,MA,,92,92,,,,,,,,,WALNUT,STREET,ST,,,59581,,69,64,64,2014-01-28,-71.68294403321971,42.418487794535125,716300
M_185609_906774,185608.76260000,906773.76800000,BC,1304497,269,OAK STREET,,,,,2,,,01510,,CLINTON,CLINTON,MA,,269,269,,,,,,,,,OAK,STREET,ST,,,59504,,69,64,64,2014-01-28,-71.67483636020845,42.411346568932444,716100
M_184321_906896,184321.47240000,906896.25800000,BC,1306362,51,SUMMIT STREET,,,,,1,,,01510,,CLINTON,CLINTON,MA,,51,51,,,,,,,,,SUMMIT,STREET,ST,,,59569,,69,64,64,2014-01-28,-71.69047867321369,42.41242448658878,716100
M_184321_906896,184321.47240000,906896.25800000,BC,1306364,51,SUMMIT STREET,,,,,3,,,01510,,CLINTON,CLINTON,MA,,51,51,,,,,,,,,SUMMIT,STREET,ST,,,59569,,69,64,64,2014-01-28,-71.69047867321369,42.41242448658878,716100
M_184972_908496,184972.20800000,908495.94080000,BC,1306493,536,HIGH STREET,,,,,1,,,01510,,CLINTON,CLINTON,MA,,536,536,,,,,,,,,HIGH,STREET,ST,,,59437,,69,64,64,2014-01-28,-71.68261450944799,42.42683866123596,716200
M_184972_908496,184972.20800000,908495.94080000,BC,1306494,536,HIGH STREET,,,,,2,,,01510,,CLINTON,CLINTON,MA,,536,536,,,,,,,,,HIGH,STREET,ST,,,59437,,69,64,64,2014-01-28,-71.68261450944799,42.42683866123596,716200
M_184042_908380,184041.59540000,908380.23700000,BC,1302413,139,GREELEY STREET,,,,,,,,01510,,CLINTON,CLINTON,MA,,139,139,,,,,,,,,GREELEY,STREET,ST,,,59426,,69,64,64,2014-01-28,-71.69391988005177,42.42577853173003,716200
M_184575_906789,184575.27240000,906788.73120000,BC,1302412,135,SUMMIT STREET,,,,,,,,01510,,CLINTON,CLINTON,MA,,135,135,,,,,,,,,SUMMIT,STREET,ST,,,59569,,69,64,64,2014-01-28,-71.68739239311992,42.411461521335575,716100
M_186309_906902,186309.11580000,906901.72240000,PC,1302503,223R,CHACE STREET,,,,,,,,01510,,CLINTON,CLINTON,MA,,223,223,R,,,,,,,,CHACE,STREET,ST,,,59376,,69,64,64,2014-01-28,-71.66633095806239,42.412511107900436,716100
M_183336_908141,183335.97060000,908141.43480000,BMP,1300823,1,RIGBY LANE,,,,,,,,01510,,CLINTON,CLINTON,MA,,1,1,,,,,,,,,RIGBY,LANE,LN,,,59530,,69,64,64,2014-01-28,-71.70248741819286,42.423613924348885,716100
M_186006_908535,186006.84760000,908535.06980000,BC,1304897,310,RIDGEFIELD CIRCLE,,RIDGEFIELD CONDOMINIUMS,,,D,,,01510,,CLINTON,CLINTON,MA,,310,310,,,,,,,,,RIDGEFIELD,CIRCLE,CIR,,,59529,15963,69,64,64,2014-01-28,-71.67004277310173,42.42721018025775,716100
M_185030_907669,185029.92340000,907669.08200000,BC,1304468,129,WALNUT STREET,,,,,2,,,01510,,CLINTON,CLINTON,MA,,129,129,,,,,,,,,WALNUT,STREET,ST,,,59581,,69,64,64,2014-01-28,-71.681891739713,42.419395868021056,716300
M_183916_906434,183915.76020000,906434.04160000,BC,1299328,28,TERRENCE AVENUE,,,,,,,,01510,,CLINTON,CLINTON,MA,,28,28,,,,,,,,,TERRENCE,AVENUE,AVE,,,59570,,69,64,64,2014-01-28,-71.69539479613164,42.40825505011013,716100
M_184050_906928,184049.98260000,906928.24220000,BMP,1302179,278,MAIN STREET,,,,,,,,01510,,CLINTON,CLINTON,MA,,278,278,,,,,,,,,MAIN,STREET,ST,,,59469,,69,64,64,2014-01-28,-71.69377787849926,42.41270692377289,716100
M_186063_905026,186063.47460000,905026.74260000,BC,1300881,808,LEDGEWOOD WAY,,BRIARWOOD VILLAGE,,,,,,01510,,CLINTON,CLINTON,MA,,808,808,,,,,,,,,LEDGEWOOD,WAY,WAY,,,59459,15691,69,64,64,2014-01-28,-71.66927004725437,42.395626926006415,716100
M_184554_907488,184553.63780000,907488.10440000,BC,1300403,15,NELSON STREET,,,,,,,,01510,,CLINTON,CLINTON,MA,,15,15,,,,,,,,,NELSON,STREET,ST,,,59491,,69,64,64,2014-01-28,-71.68767392202463,42.41775730301039,716300
M_185781_906979,185780.90540000,906978.59860000,BMP,1301092,11,BARRETT STREET,,,,,,,,01510,,CLINTON,CLINTON,MA,,11,11,,,,,,,,,BARRETT,STREET,ST,,,59339,,69,64,64,2014-01-28,-71.67275007622048,42.41319374579249,716100
M_184321_906896,184321.47240000,906896.25800000,BC,1306363,51,SUMMIT STREET,,,,,2,,,01510,,CLINTON,CLINTON,MA,,51,51,,,,,,,,,SUMMIT,STREET,ST,,,59569,,69,64,64,2014-01-28,-71.69047867321369,42.41242448658878,716100
M_184943_907568,184943.10120000,907568.40020000,BMP,1303509,92,WALNUT STREET,,,,,,,,01510,,CLINTON,CLINTON,MA,,92,92,,,,,,,,,WALNUT,STREET,ST,,,59581,,69,64,64,2014-01-28,-71.68294403321971,42.418487794535125,716300
M_185081_908920,185080.87840000,908919.76260000,BC,1301655,672-674,HIGH STREET,,,,,,,,01510,,CLINTON,CLINTON,MA,,672,672,,,674,674,,,,,HIGH,STREET,ST,,,59437,,69,64,64,2014-01-28,-71.68130492122967,42.43065625369914,716200
M_184604_908116,184603.74000000,908116.20920000,BC,1301677,719,MAIN STREET,,,,,,,,01510,,CLINTON,CLINTON,MA,,719,719,,,,,,,,,MAIN,STREET,ST,,,59469,,69,64,64,2014-01-28,-71.68708191856759,42.42341289142291,716200
M_185609_906774,185608.76260000,906773.76800000,BC,1299311,269,OAK STREET,,,,,,,,01510,,CLINTON,CLINTON,MA,,269,269,,,,,,,,,OAK,STREET,ST,,,59504,,69,64,64,2014-01-28,-71.67483636020845,42.411346568932444,716100
M_185048_907047,185047.93880000,907046.60160000,BC,1299751,119,CHESTNUT STREET,,,,,,,,01510,,CLINTON,CLINTON,MA,,119,119,,,,,,,,,CHESTNUT,STREET,ST,,,59379,,69,64,64,2014-01-28,-71.68165673905706,42.41379224433341,716300
M_184972_908496,184972.20800000,908495.94080000,BC,1302094,536,HIGH STREET,,,,,,,,01510,,CLINTON,CLINTON,MA,,536,536,,,,,,,,,HIGH,STREET,ST,,,59437,,69,64,64,2014-01-28,-71.68261450944799,42.42683866123596,716200
M_186006_908535,186006.84760000,908535.06980000,BC,1304895,310,RIDGEFIELD CIRCLE,,RIDGEFIELD CONDOMINIUMS,,,C,,,01510,,CLINTON,CLINTON,MA,,310,310,,,,,,,,,RIDGEFIELD,CIRCLE,CIR,,,59529,15963,69,64,64,2014-01-28,-71.67004277310173,42.42721018025775,716100
M_184725_906353,184725.47300000,906352.50600000,BC,1303521,246,GROVE STREET,,,,,,,,01510,,CLINTON,CLINTON,MA,,246,246,,,,,,,,,GROVE,STREET,ST,,,59428,,69,64,64,2014-01-28,-71.68555610836944,42.40753729122171,716100
M_186544_908194,186543.79120000,908194.39900000,BMP,1300615,46,MOUNT VIEW DRIVE,,,,,,,,01510,,CLINTON,CLINTON,MA,,46,46,,,,,,,,,MOUNT VIEW,DRIVE,DR,,,59485,,69,64,64,2014-01-28,-71.66350999225979,42.424152699607795,716100
M_184407_908068,184407.03920000,908067.65660000,BC,1300845,56,PARKER STREET,,,,,,,,01510,,CLINTON,CLINTON,MA,,56,56,,,,,,,,,PARKER,STREET,ST,,,59513,,69,64,64,2014-01-28,-71.68947073674421,42.422971881631156,716200
M_184510_908682,184510.30460000,908681.74440000,BC,1299956,908,MAIN STREET,,,,,,,,01510,,CLINTON,CLINTON,MA,,908,908,,,,,,,,,MAIN,STREET,ST,,,59469,,69,64,64,2014-01-28,-71.68823242531093,42.42850234046714,716200
M_184963_908590,184962.98640000,908590.23340000,BC,1300851,570,HIGH STREET,,,,,,,,01510,,CLINTON,CLINTON,MA,,570,570,,,,,,,,,HIGH,STREET,ST,,,59437,,69,64,64,2014-01-28,-71.68272902269854,42.42768736391975,716200
M_185399_905624,185398.64560000,905624.13200000,BMP,1298373,40,CLAMSHELL ROAD,,,,,,,,01510,,CLINTON,CLINTON,MA,,40,40,,,,,,,,,CLAMSHELL,ROAD,RD,,,59382,,69,64,64,2014-01-28,-71.67735998212305,42.40099287292734,716100
M_186543_907584,186542.52280000,907583.83760000,BC,1302573,18,HARRIS STREET,,,,,,,,01510,,CLINTON,CLINTON,MA,,18,18,,,,,,,,,HARRIS,STREET,ST,,,59609,,69,64,64,2014-01-28,-71.66351118261352,42.41865601490891,716100
M_185081_908920,185080.87840000,908919.76260000,BC,1306641,674,HIGH STREET,,,,,1,,,01510,,CLINTON,CLINTON,MA,,674,674,,,,,,,,,HIGH,STREET,ST,,,59437,,69,64,64,2014-01-28,-71.68130492122967,42.43065625369914,716200
M_183866_906414,183866.22760000,906414.00300000,BC,1299108,23,TERRENCE AVENUE,,,,,,,,01510,,CLINTON,CLINTON,MA,,23,23,,,,,,,,,TERRENCE,AVENUE,AVE,,,59570,,69,64,64,2014-01-28,-71.69599596730151,42.408073626341114,716100
M_183919_908369,183918.58740000,908368.84740000,BC,1300343,21,VIEW STREET,,,,,,,,01510,,CLINTON,CLINTON,MA,,21,21,,,,,,,,,VIEW,STREET,ST,,,59578,,69,64,64,2014-01-28,-71.69541429969908,42.42567346812031,716200
M_184706_906885,184705.77820000,906885.48520000,BC,1299693,150,BEACON STREET,,,,,,,,01510,,CLINTON,CLINTON,MA,,150,150,,,,,,,,,BEACON,STREET,ST,,,59342,,69,64,64,2014-01-28,-71.68580946598165,42.41233513432428,716100
M_184738_908008,184738.39400000,908007.68900000,BC,1298180,19,MYRTLE STREET,,,,,,,,01510,,CLINTON,CLINTON,MA,,19,19,,,,,,,,,MYRTLE,STREET,ST,,,59488,,69,64,64,2014-01-28,-71.68544285895248,42.42243857151495,716200
M_185898_909189,185897.85220000,909188.86220000,BMP,1303495,9,WOODRUFF ROAD,,,,,,,,01510,,CLINTON,CLINTON,MA,,9,9,,,,,,,,,WOODRUFF,ROAD,RD,,,59600,,69,64,64,2014-01-28,-71.67138322921348,42.433094058682904,716100
M_185491_907731,185491.40400000,907731.37160000,BMP,1302562,167,CEDAR STREET,,,,,,,,01510,,CLINTON,CLINTON,MA,,167,167,,,,,,,,,CEDAR,STREET,ST,,,59375,,69,64,64,2014-01-28,-71.67628616718738,42.41996536168428,716300
M_186502_907434,186501.62920000,907433.86780000,BC,1301395,9,HUGH STREET,,,,,,,,01510,,CLINTON,CLINTON,MA,,9,9,,,,,,,,,HUGH,STREET,ST,,,59443,,69,64,64,2014-01-28,-71.66400454364683,42.417305183284746,716100
M_184425_907184,184424.99280000,907184.28480000,BC,1301780,20,BURDETT STREET,,,,,,,,01510,,CLINTON,CLINTON,MA,,20,20,,,,,,,,,BURDETT,STREET,ST,,,59369,,69,64,64,2014-01-28,-71.68922876945797,42.41501956490893,716100
M_183976_908423,183976.12340000,908423.32080000,BMP,1299717,166,GREELEY STREET,,,,,,,,01510,,CLINTON,CLINTON,MA,,166,166,,,,,,,,,GREELEY,STREET,ST,,,59426,,69,64,64,2014-01-28,-71.6947166608884,42.4261650560327,716200
M_185712_909184,185712.33120000,909183.60740000,PC,1298353,12,MILTON AVENUE,,,,,,,,01510,,CLINTON,CLINTON,MA,,12,12,,,,,,,,,MILTON,AVENUE,AVE,,,59480,,69,64,64,2014-01-28,-71.67363772745884,42.43304337385323,716100
M_185076_908940,185076.34680000,908940.27100000,BC,1301656,676,HIGH STREET,,,,,,,,01510,,CLINTON,CLINTON,MA,,676,676,,,,,,,,,HIGH,STREET,ST,,,59437,,69,64,64,2014-01-28,-71.68136052134402,42.43084079615714,716200
M_184554_907488,184553.63780000,907488.10440000,BC,1303205,15-17,NELSON STREET,,,,,,,,01510,,CLINTON,CLINTON,MA,,15,15,,,17,17,,,,,NELSON,STREET,ST,,,59491,,69,64,64,2014-01-28,-71.68767392202463,42.41775730301039,716300
M_186063_905026,186063.47460000,905026.74260000,BC,1301618,802,LEDGEWOOD WAY,,BRIARWOOD VILLAGE,,,,,,01510,,CLINTON,CLINTON,MA,,802,802,,,,,,,,,LEDGEWOOD,WAY,WAY,,,59459,15691,69,64,64,2014-01-28,-71.66927004725437,42.395626926006415,716100
M_184321_906896,184321.47240000,906896.25800000,BC,1299911,51,SUMMIT STREET,,,,,,,,01510,,CLINTON,CLINTON,MA,,51,51,,,,,,,,,SUMMIT,STREET,ST,,,59569,,69,64,64,2014-01-28,-71.69047867321369,42.41242448658878,716100
M_183959_906502,183958.90040000,906502.07840000,BMP,1302030,45,LANE AVENUE,,,,,,,,01510,,CLINTON,CLINTON,MA,,45,45,,,,,,,,,LANE,AVENUE,AVE,,,59454,,69,64,64,2014-01-28,-71.69487260988089,42.408868450653024,716100
M_183715_907333,183714.71500000,907333.37120000,BC,1298310,165,PINE STREET EXTENSION,,,,,,,,01510,,CLINTON,CLINTON,MA,,165,165,,,,,,,,,PINE,STREET EXTENSION,,,,59519,,69,64,64,2015-12-22,-71.69786247107261,42.41634722701533,716100
M_186667_908533,186666.86360000,908533.25420000,BC,1298647,3,LORRAINE AVENUE,,,,,,,,01510,,CLINTON,CLINTON,MA,,3,3,,,,,,,,,LORRAINE,AVENUE,AVE,,,59466,,69,64,64,2014-01-28,-71.6620223315662,42.42720540123834,716100
M_183744_908638,183743.70820000,908638.29580000,BC,1299633,22,BRISTOL AVENUE,,,,,,,,01510,,CLINTON,CLINTON,MA,,22,22,,,,,,,,,BRISTOL,AVENUE,AVE,,,59363,,69,64,64,2014-01-28,-71.69754693090242,42.42809558252507,716200
M_184022_908328,184022.46840000,908328.06940000,BC,1301713,128,GREELEY STREET,,,,,,,,01510,,CLINTON,CLINTON,MA,,128,128,,,,,,,,,GREELEY,STREET,ST,,,59426,,69,64,64,2014-01-28,-71.69415085965557,42.42530849486097,716200
