ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_254042_889659,254042.37320000,889658.87660000,DBMP,3407568,173A,HULL STREET,,,,,A,,,02025,,COHASSET,COHASSET,MA,,173,173,A,,,,,,,,HULL,STREET,ST,,,157279,,70,65,65,2017-01-10,-70.84505819168207,42.25552893262476,423100
M_257766_887133,257766.45440000,887132.79470000,BC,3407990,100,POND STREET,,,,,80,,,02025,,COHASSET,COHASSET,MA,,100,100,,,,,,,,,POND,STREET,ST,,,157091,,70,65,65,2017-01-13,-70.80017902272257,42.232521080153205,423100
M_257277_886199,257277.24800000,886198.73630000,BC,3404710,5,KENDALL VILLAGE,,,,,,,,02025,,COHASSET,COHASSET,MA,,5,5,,,,,,,,,KENDALL,VILLAGE,VLG,,,157291,,70,65,65,2017-01-12,-70.80619737089262,42.22414799100493,423100
M_257486_886612,257486.38570000,886611.72770000,ABC,4231834,42,WALNUT HILL LANE,,,,,,,,02025,,COHASSET,COHASSET,MA,,42,42,,,,,,,,,WALNUT HILL,LANE,LN,,,182979,,70,65,65,2017-01-12,-70.80362334475365,42.227850696845515,423100
M_256249_886832,256249.19760000,886832.31300000,BMP,3404205,298,KING STREET,,,,,,,,02025,,COHASSET,COHASSET,MA,,298,298,,,,,,,,,KING,STREET,ST,,,157293,,70,65,65,2014-03-12,-70.81858836138562,42.229926525240955,423100
M_257531_887140,257531.05340000,887139.52380000,BC,3404934,15,HOLLY LANE,,,,,,,,02025,,COHASSET,COHASSET,MA,,15,15,,,,,,,,,HOLLY,LANE,LN,,,157274,,70,65,65,2014-03-12,-70.8030300325894,42.23259901290654,423100
M_258579_886679,258578.74640000,886678.54320000,BC,3405014,332,SOUTH MAIN STREET,,,,,,,,02025,,COHASSET,COHASSET,MA,,332,332,,,,,,,SOUTH,,MAIN,STREET,ST,,,157126,,70,65,65,2014-03-12,-70.79038461363928,42.228371164111884,423100
M_254129_889620,254128.85060000,889619.81780000,BMP,3404241,76,LAMBERTS LANE,,,,,,,,02025,,COHASSET,COHASSET,MA,,76,76,,,,,,,,,LAMBERTS,LANE,LN,,,157294,,70,65,65,2014-03-12,-70.84401385006461,42.25517131468652,423100
M_258182_885819,258181.68060000,885819.43500000,BC,3404363,26,LEDGE WAY,,,,,,,,02025,,COHASSET,COHASSET,MA,,26,26,,,,,,,,,LEDGE,WAY,WAY,,,157297,,70,65,65,2014-03-12,-70.79528038011759,42.220666490473896,423100
M_256549_886810,256548.62340000,886809.55040000,BC,3405296,10,RIDGE TOP ROAD,,,,,,,,02025,,COHASSET,COHASSET,MA,,10,10,,,,,,,,,RIDGE TOP,ROAD,RD,,,157101,,70,65,65,2014-03-12,-70.81496344022635,42.2297000069283,423100
M_256656_887332,256655.82100000,887332.06980000,BC,3405142,45,OLD PASTURE ROAD,,,,,,,,02025,,COHASSET,COHASSET,MA,,45,45,,,,,,,,,OLD PASTURE,ROAD,RD,,,157080,,70,65,65,2014-03-12,-70.81361395615806,42.23439634765782,423100
M_253786_889214,253786.10800000,889213.92280000,BC,3407069,75,HULL STREET,,,,,,,,02025,,COHASSET,COHASSET,MA,,75,75,,,,,,,,,HULL,STREET,ST,,,157279,,70,65,65,2014-03-12,-70.84820496497107,42.251540812090845,423100
M_257492_887391,257491.99420000,887391.11500000,BC,3405625,53,POND STREET,,,,,,,,02025,,COHASSET,COHASSET,MA,,53,53,,,,,,,,,POND,STREET,ST,,,157091,,70,65,65,2014-03-12,-70.80347831225981,42.23486688905692,423100
M_257875_889721,257875.05080000,889721.25140000,BC,3407464,25,SHELDON ROAD,,,,,,,,02025,,COHASSET,COHASSET,MA,,25,25,,,,,,,,,SHELDON,ROAD,RD,,,157120,,70,65,65,2014-03-12,-70.79860561824049,42.255816131689215,
M_258323_886598,258323.44840000,886598.19540000,BMP,3405917,325,SOUTH MAIN STREET,,,,,,,,02025,,COHASSET,COHASSET,MA,,325,325,,,,,,,SOUTH,,MAIN,STREET,ST,,,157126,,70,65,65,2014-03-12,-70.79348518089104,42.22766689571472,423100
M_255791_887807,255790.59840000,887807.09960000,BC,3407180,137,FAIROAKS LANE,,,,,,,,02025,,COHASSET,COHASSET,MA,,137,137,,,,,,,,,FAIROAKS,LANE,LN,,,157247,,70,65,65,2014-03-12,-70.8240500915768,42.238735115914785,423100
M_258439_886132,258438.80200000,886131.95220000,PC,3405948,405R,SOUTH MAIN STREET,,,,,,,,02025,,COHASSET,COHASSET,MA,,405,405,R,,,,,,SOUTH,,MAIN,STREET,ST,,,157126,,70,65,65,2014-03-12,-70.79213475281853,42.223460828926,423100
M_256175_884543,256175.24960000,884543.23860000,BMP,3407467,16,CHURCH STREET,,,,,,,,02025,,COHASSET,COHASSET,MA,,16,16,,,,,,,,,CHURCH,STREET,ST,,,157176,,70,65,65,2014-03-12,-70.81970530396528,42.20932387243101,423100
M_256763_886945,256762.88940000,886945.17880000,BC,3405233,18,TUPELO ROAD,,,,,,,,02025,,COHASSET,COHASSET,MA,,18,18,,,,,,,,,TUPELO,ROAD,RD,,,157151,,70,65,65,2014-03-12,-70.8123546638782,42.23090551063928,423100
M_257093_888305,257092.71520000,888304.98000000,BMP,3406075,48,SOHIER STREET,,,,,,,,02025,,COHASSET,COHASSET,MA,,48,48,,,,,,,,,SOHIER,STREET,ST,,,157125,,70,65,65,2014-03-12,-70.80822561585654,42.243123402406226,423100
M_255734_890489,255733.72600000,890488.53580000,BMP,3406086,500,JERUSALEM ROAD,,,,,,,,02025,,COHASSET,COHASSET,MA,,500,500,,,,,,,,,JERUSALEM,ROAD,RD,,,157285,,70,65,65,2014-03-12,-70.82448183122189,42.26287934667197,423100
M_257515_888065,257514.93060000,888065.15760000,BC,3407541,15,DEPOT COURT,,,,,201,,,02025,,COHASSET,COHASSET,MA,,15,15,,,,,,,,,DEPOT,COURT,CT,,,157237,,70,65,65,2014-03-12,-70.80313373233851,42.240933410731486,423100
