ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_100706_936809,100705.88200000,936809.02020000,BC,150871,9,FOUNDRY VILLAGE ROAD,,,,,,,,01340,,COLRAIN,COLRAIN,MA,,9,9,,,,,,,,,FOUNDRY VILLAGE,ROAD,RD,,,8087,,71,66,66,2013-12-06,-72.71140797464783,42.67551974201456,040100
M_99287_932284,99286.52980000,932283.95700000,BMP,150538,2,PATTEN HILL ROAD,,,,,,,,01340,,COLRAIN,COLRAIN,MA,,2,2,,,,,,,,,PATTEN HILL,ROAD,RD,,,8134,,71,66,66,2013-12-06,-72.72792727243281,42.63460627825628,040100
M_99024_932180,99024.12340000,932179.87520000,BC,150543,214,CALL ROAD,,,,,,,,01340,,COLRAIN,COLRAIN,MA,,214,214,,,,,,,,,CALL,ROAD,RD,,,8054,,71,66,66,2013-12-06,-72.73110784756925,42.633635368449944,040100
M_100150_936614,100150.24640000,936613.96840000,BC,151091,60,FOUNDRY VILLAGE ROAD,,,,,B,,,01340,,COLRAIN,COLRAIN,MA,,60,60,,,,,,,,,FOUNDRY VILLAGE,ROAD,RD,,,8087,,71,66,66,2013-12-06,-72.71815193736234,42.673692827698716,040100
M_100405_934074,100404.51620000,934074.08820000,BC,150904,294,MAIN ROAD,,,,,,,,01340,,COLRAIN,COLRAIN,MA,,294,294,,,,,,,,,MAIN,ROAD,RD,,,8118,,71,66,66,2013-12-06,-72.7146090933841,42.650863668106595,040100
M_97099_937191,97099.02600000,937190.88620000,BMP,150932,14,MERRIFIELD LANE,,,,,,,,01340,,COLRAIN,COLRAIN,MA,,14,14,,,,,,,,,MERRIFIELD,LANE,LN,,,8121,,71,66,66,2013-12-06,-72.75547465967887,42.67848743524056,040100
M_100397_934183,100397.44820000,934183.39260000,BMP,150445,276,MAIN ROAD,,,,,,,,01340,,COLRAIN,COLRAIN,MA,,276,276,,,,,,,,,MAIN,ROAD,RD,,,8118,,71,66,66,2013-12-06,-72.7147142613584,42.651846629208954,040100
M_102032_936747,102032.30420000,936747.24140000,BC,150409,9,RIVER STREET,,,,,,,,01340,,COLRAIN,COLRAIN,MA,,9,9,,,,,,,,,RIVER,STREET,ST,,,8140,,71,66,66,2013-12-06,-72.69521693199964,42.675132108297475,040100
M_106979_934830,106978.51840000,934829.84100000,BC,150396,67,NELSON ROAD,,,,,,,,01340,,COLRAIN,COLRAIN,MA,,67,67,,,,,,,,,NELSON,ROAD,RD,,,8124,,71,66,66,2013-12-06,-72.63456873198218,42.65848128505812,040100
M_100150_936614,100150.24640000,936613.96840000,BC,151090,60,FOUNDRY VILLAGE ROAD,,,,,A,,,01340,,COLRAIN,COLRAIN,MA,,60,60,,,,,,,,,FOUNDRY VILLAGE,ROAD,RD,,,8087,,71,66,66,2013-12-06,-72.71815193736234,42.673692827698716,040100
M_100150_936614,100150.24640000,936613.96840000,BC,150970,60,FOUNDRY VILLAGE ROAD,,,,,,,,01340,,COLRAIN,COLRAIN,MA,,60,60,,,,,,,,,FOUNDRY VILLAGE,ROAD,RD,,,8087,,71,66,66,2013-12-06,-72.71815193736234,42.673692827698716,040100
M_97538_936580,97537.94980000,936580.33140000,BC,150914,0,NORTH CATAMOUNT HILL ROAD,,,,,,,,01340,,COLRAIN,COLRAIN,MA,,0,0,,,,,,,NORTH,,CATAMOUNT HILL,ROAD,RD,,,8128,,71,66,66,2013-12-06,-72.75001104376042,42.673049836635066,040100
M_103652_941626,103651.91620000,941626.32420000,BMP,150854,54,NEW COUNTY ROAD,,,,,,,,01340,,COLRAIN,COLRAIN,MA,,54,54,,,,,,,,,NEW COUNTY,ROAD,RD,,,8126,,71,66,66,2013-12-06,-72.67628084422077,42.71925178622873,040100
M_97725_937143,97725.05200000,937143.46460000,BC,150953,35,MAXAM ROAD,,,,,,,,01340,,COLRAIN,COLRAIN,MA,,35,35,,,,,,,,,MAXAM,ROAD,RD,,,8120,,71,66,66,2013-12-06,-72.7478292682704,42.678143285207796,040100
M_100485_934942,100485.17660000,934942.32380000,BC,150699,11,CHURCH STREET,,,,,,,,01340,,COLRAIN,COLRAIN,MA,,11,11,,,,,,,,,CHURCH,STREET,ST,,,8065,,71,66,66,2013-12-06,-72.7137762044052,42.658689129780846,040100
M_96025_941913,96024.63760000,941913.34760000,BC,150916,0,STETSON BROTHERS ROAD,,,,,,,,01340,,COLRAIN,COLRAIN,MA,,0,0,,,,,,,,,STETSON BROTHERS,ROAD,RD,,,8155,,71,66,66,2013-12-06,-72.76943858617179,42.720850952185174,040100
M_104481_933537,104481.16620000,933537.11500000,BMP,150438,246,SHELBURNE LINE ROAD,,,,,,,,01340,,COLRAIN,COLRAIN,MA,,246,246,,,,,,,,,SHELBURNE LINE,ROAD,RD,,,8148,,71,66,66,2013-12-06,-72.66480951087081,42.64654211089525,040100
M_99611_942470,99611.07660000,942470.14960000,BC,150550,25,STRANAHAN DRIVE,,,,,,,,01340,,COLRAIN,COLRAIN,MA,,25,25,,,,,,,,,STRANAHAN,DRIVE,DR,,,8157,,71,66,66,2013-12-06,-72.72575545579862,42.72633487532198,040100
M_100320_936686,100320.47720000,936686.41120000,BMP,150847,47,FOUNDRY VILLAGE ROAD,,,,,,,,01340,,COLRAIN,COLRAIN,MA,,47,47,,,,,,,,,FOUNDRY VILLAGE,ROAD,RD,,,8087,,71,66,66,2013-12-06,-72.71608802852339,42.67436675841653,040100
M_98612_932522,98612.25080000,932521.85500000,BMP,150720,32,CHARLEMONT ROAD,,,,,,,,01340,,COLRAIN,COLRAIN,MA,,32,32,,,,,,,,,CHARLEMONT,ROAD,RD,,,8062,,71,66,66,2013-12-06,-72.7361891605894,42.636659967809045,040100
M_105386_934152,105385.56320000,934151.87980000,BC,150284,76,VAN NUYS ROAD,,,,,,,,01340,,COLRAIN,COLRAIN,MA,,76,76,,,,,,,,,VAN NUYS,ROAD,RD,,,8163,,71,66,66,2013-12-06,-72.6538835554532,42.65218642047197,040100
M_101570_940760,101569.94540000,940759.74160000,BMP,150225,11,FRANKLIN HILL ROAD,,,,,,,,01340,,COLRAIN,COLRAIN,MA,,11,11,,,,,,,,,FRANKLIN HILL,ROAD,RD,,,8090,,71,66,66,2013-12-06,-72.70154656157325,42.71119043307766,040100
M_100388_936426,100388.30340000,936426.33240000,BMP,150227,116,MAIN ROAD,,,,,,,,01340,,COLRAIN,COLRAIN,MA,,116,116,,,,,,,,,MAIN,ROAD,RD,,,8118,,71,66,66,2013-12-06,-72.71521546019885,42.672034463941976,040100
M_98743_941959,98742.99000000,941959.22700000,BMP,150928,129,THOMPSON ROAD,,,,,,,,01340,,COLRAIN,COLRAIN,MA,,129,129,,,,,,,,,THOMPSON,ROAD,RD,,,8161,,71,66,66,2013-12-06,-72.73626296129044,42.721623321338946,040100
M_100485_934942,100485.17660000,934942.32380000,BC,151018,11,CHURCH STREET,,,,,B,,,01340,,COLRAIN,COLRAIN,MA,,11,11,,,,,,,,,CHURCH,STREET,ST,,,8065,,71,66,66,2013-12-06,-72.7137762044052,42.658689129780846,040100
M_102191_937412,102190.69440000,937412.29720000,BMP,150511,58,JACKSONVILLE ROAD,,,,,,,,01340,,COLRAIN,COLRAIN,MA,,58,58,,,,,,,,,JACKSONVILLE,ROAD,RD,,,8108,,71,66,66,2013-12-06,-72.69339832027794,42.68113831967304,040100
M_98507_937003,98506.86800000,937003.48220000,BC,150779,24,HEATH ROAD,,,,,,,,01340,,COLRAIN,COLRAIN,MA,,24,24,,,,,,,,,HEATH,ROAD,RD,,,8103,,71,66,66,2013-12-06,-72.73826709366575,42.6769858590264,040100
M_104823_936871,104822.68080000,936871.44580000,BC,150131,179,WEST LEYDEN ROAD,,,,,,,,01340,,COLRAIN,COLRAIN,MA,,179,179,,,,,,,WEST,,LEYDEN,ROAD,RD,,,8164,,71,66,66,2013-12-06,-72.66119891831354,42.676597052724894,040100
M_100388_936426,100388.30340000,936426.33240000,BMP,151021,116,MAIN ROAD,,,,,A,,,01340,,COLRAIN,COLRAIN,MA,,116,116,,,,,,,,,MAIN,ROAD,RD,,,8118,,71,66,66,2013-12-06,-72.71521546019885,42.672034463941976,040100
M_100388_936426,100388.30340000,936426.33240000,BMP,151022,116,MAIN ROAD,,,,,B,,,01340,,COLRAIN,COLRAIN,MA,,116,116,,,,,,,,,MAIN,ROAD,RD,,,8118,,71,66,66,2013-12-06,-72.71521546019885,42.672034463941976,040100
M_100572_934083,100572.03480000,934083.42960000,BMP,150311,24,CALL ROAD,,,,,,,,01340,,COLRAIN,COLRAIN,MA,,24,24,,,,,,,,,CALL,ROAD,RD,,,8054,,71,66,66,2013-12-06,-72.71256802800856,42.65096920690591,040100
M_99226_936320,99226.41840000,936320.03740000,BC,150850,5,LEON HERZIG DRIVE,,,,,,,,01340,,COLRAIN,COLRAIN,MA,,5,5,,,,,,,,,LEON HERZIG,DRIVE,DR,,,8112,,71,66,66,2013-12-06,-72.72936926585216,42.67092781528958,040100
