ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_212397_912174,212397.33380000,912174.38360000,BC,4221170,13,MAIN STREET,,,,,,,,01742,,CONCORD,CONCORD,MA,,13,13,,,,,,,,,MAIN,STREET,ST,,,111344,,72,67,67,2016-02-23,-71.34927119176082,42.460000439667766,361300
M_207852_913393,207852.05320000,913392.72290000,ABC,4221223,60,SHAW FARM ROAD,,,,,,,,01742,,CONCORD,CONCORD,MA,,60,60,,,,,,,,,SHAW FARM,ROAD,RD,,,188952,,72,67,67,2016-02-24,-71.40451681390957,42.471027653038036,361300
M_208188_913933,208188.26790000,913932.63660000,ABC,4224450,110,BLACK HORSE PLACE,,,,,,,,01742,,CONCORD,CONCORD,MA,,110,110,,,,,,,,,BLACK HORSE,PLACE,PL,,,191333,,72,67,67,2016-03-14,-71.4004206868435,42.47588478173689,361300
M_214998_912798,214997.86400000,912798.04520000,BC,2355691,120,KENNEY LANE,,,,,,,,01742,,CONCORD,CONCORD,MA,,120,120,,,,,,,,,KENNEY,LANE,LN,,,111315,,72,67,67,2014-02-20,-71.3176373975291,42.46556926856511,361300
M_209631_911896,209631.17460000,911896.70960000,BC,2358875,2,CONCORD GREENE,,CONCORD GREENE CONDOMINIUM,,,4,,,01742,,CONCORD,CONCORD,MA,,2,2,,,,,,,,,CONCORD,GREENE,GRNE,,,111211,15705,72,67,67,2015-02-24,-71.38290719309103,42.45753975879154,361100
M_210972_912272,210972.49060000,912272.42540000,PC,2352771,11A,MUSKETAQUID ROAD,,,,,,,,01742,,CONCORD,CONCORD,MA,,11,11,A,,,,,,,,MUSKETAQUID,ROAD,RD,,,111370,,72,67,67,2014-02-20,-71.3665927735516,42.46090443117512,361100
M_210759_914073,210759.34780000,914072.53000000,BC,2353468,67,INDIAN SPRING ROAD,,,,,,,,01742,,CONCORD,CONCORD,MA,,67,67,,,,,,,,,INDIAN SPRING,ROAD,RD,,,111308,,72,67,67,2014-02-20,-71.36915065633491,42.47711291011882,361300
M_207979_911207,207979.47380000,911207.24780000,BC,2352835,167,PRAIRIE STREET,,,,,,,,01742,,CONCORD,CONCORD,MA,,167,167,,,,,,,,,PRAIRIE,STREET,ST,,,111419,,72,67,67,2014-02-20,-71.40299756812033,42.45135148994955,361200
M_214021_911234,214020.66940000,911233.50140000,BMP,2353189,454,CAMBRIDGE TURNPIKE,,,,,,,,01742,,CONCORD,CONCORD,MA,,454,454,,,,,,,,,CAMBRIDGE,TURNPIKE,TPKE,,,111192,,72,67,67,2014-02-20,-71.32955732076455,42.4515025759406,361300
M_208748_910981,208747.81160000,910980.54160000,BMP,2353333,524,HARRINGTON AVENUE,,,,,,,,01742,,CONCORD,CONCORD,MA,,524,524,,,,,,,,,HARRINGTON,AVENUE,AVE,,,111282,,72,67,67,2014-02-20,-71.39366071876012,42.44930230358443,361200
