ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_102036_918080,102035.73200000,918080.42440000,BC,151953,24,PARSONS HILL DRIVE,,,,,,,,01341,,CONWAY,CONWAY,MA,,24,24,,,,,,,,,PARSONS HILL,DRIVE,DR,,,8261,,73,68,68,2013-12-06,-72.6919927481888,42.507105809496444,041501
M_99325_917418,99324.66960000,917418.46060000,BMP,151203,630,MAIN POLAND ROAD,,,,,,,,01341,,CONWAY,CONWAY,MA,,630,630,,,,,,,,,MAIN POLAND,ROAD,RD,,,8241,,73,68,68,2013-12-06,-72.72485981629522,42.50080133942319,041501
M_101783_919033,101782.76020000,919032.51680000,BC,151283,255,SHELBURNE FALLS ROAD,,,,,,,,01341,,CONWAY,CONWAY,MA,,255,255,,,,,,,,,SHELBURNE FALLS,ROAD,RD,,,8278,,73,68,68,2013-12-06,-72.69523273564278,42.51564426329177,041501
M_103818_918251,103817.94700000,918251.21380000,BC,151585,900,SOUTH DEERFIELD ROAD,,,,,,,,01341,,CONWAY,CONWAY,MA,,900,900,,,,,,,SOUTH,,DEERFIELD,ROAD,RD,,,8285,,73,68,68,2013-12-06,-72.67033867784909,42.508865357892134,041501
M_102488_913910,102488.20620000,913910.06940000,BC,151743,2174,ROARING BROOK ROAD,,,,,,,,01341,,CONWAY,CONWAY,MA,,2174,2174,,,,,,,,,ROARING BROOK,ROAD,RD,,,8274,,73,68,68,2013-12-06,-72.68578253526321,42.46962260404069,041501
M_101615_915020,101614.95900000,915020.17280000,BMP,151206,65,SOUTH HILL DRIVE,,,,,,,,01341,,CONWAY,CONWAY,MA,,65,65,,,,,,,SOUTH,,HILL,DRIVE,DR,,,8286,,73,68,68,2013-12-06,-72.69658954960872,42.479505589220786,041501
M_105021_919811,105021.14380000,919810.59880000,BMP,151879,443,HOOSAC ROAD,,,,,,,,01341,,CONWAY,CONWAY,MA,,443,443,,,,,,,,,HOOSAC,ROAD,RD,,,8232,,73,68,68,2013-12-06,-72.65595717221045,42.52305001835,041501
M_98199_912249,98198.96000000,912249.47080000,BC,151225,820,EAST GUINEA ROAD,,,,,,,,01096,,CONWAY,CONWAY,MA,,820,820,,,,,,,EAST,,GUINEA,ROAD,RD,,,8203,,73,68,68,2013-12-06,-72.73764133489313,42.454125934260496,041501
M_104919_919207,104919.43840000,919207.07720000,BC,151156,242,HOOSAC ROAD,,,,,,,,01341,,CONWAY,CONWAY,MA,,242,242,,,,,,,,,HOOSAC,ROAD,RD,,,8232,,73,68,68,2013-12-06,-72.6570952070417,42.51760494589487,041501
M_101828_918848,101828.13420000,918847.65660000,BMP,151847,197,SHELBURNE FALLS ROAD,,,,,,,,01341,,CONWAY,CONWAY,MA,,197,197,,,,,,,,,SHELBURNE FALLS,ROAD,RD,,,8278,,73,68,68,2013-12-06,-72.69464913325899,42.51398595638491,041501
M_102227_922202,102227.13520000,922202.04220000,BC,151989,589,BARDWELLS FERRY ROAD,,,,,,,,01341,,CONWAY,CONWAY,MA,,589,589,,,,,,,,,BARDWELLS FERRY,ROAD,RD,,,8180,,73,68,68,2013-12-06,-72.69036396411566,42.5442307528338,041501
M_99202_919603,99202.47400000,919603.43620000,BMP,151558,61,HICKORY RIDGE ROAD,,,,,,,,01341,,CONWAY,CONWAY,MA,,61,61,,,,,,,,,HICKORY RIDGE,ROAD,RD,,,8228,,73,68,68,2013-12-06,-72.72672859222608,42.52045362958332,041501
