ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_82685_913712,82684.87140000,913712.25500000,BMP,152568,141,BRYANT ROAD,,,,,,,,01026,,CUMMINGTON,CUMMINGTON,MA,,141,141,,,,,,,,,BRYANT,ROAD,RD,,,8324,,75,69,69,2013-12-06,-72.92651769063156,42.46511204564231,822700
M_83842_911184,83841.86980000,911183.57840000,BC,152431,104,PORTER HILL ROAD,,,,,,,,01026,,CUMMINGTON,CUMMINGTON,MA,,104,104,,,,,,,,,PORTER HILL,ROAD,RD,,,8385,,75,69,69,2013-12-06,-72.91194257354839,42.442523881326586,822700
M_88719_913507,88718.66660000,913507.35780000,BC,207242,77,SHAW ROAD,,,,,,,,01032,,CUMMINGTON,CUMMINGTON,MA,,77,77,,,,,,,,,SHAW,ROAD,RD,,,10956,,75,108,69,2014-11-26,-72.85312162528875,42.464152739915086,822700
M_80463_913200,80462.83720000,913200.32780000,BMP,152191,117,POWELL ROAD,,,,,,,,01026,,CUMMINGTON,CUMMINGTON,MA,,117,117,,,,,,,,,POWELL,ROAD,RD,,,8391,,75,69,69,2013-12-06,-72.95342573531703,42.460166353670836,822700
M_84961_911525,84960.60460000,911525.24700000,BMP,152512,21,DODWELLS ROAD,,,,,,,,01026,,CUMMINGTON,CUMMINGTON,MA,,21,21,,,,,,,,,DODWELLS,ROAD,RD,,,8336,,75,69,69,2013-12-06,-72.89841449368988,42.44576528311196,822700
M_85388_913118,85388.04880000,913117.88780000,BMP,152221,29,MAIN STREET,,,,,,,,01026,,CUMMINGTON,CUMMINGTON,MA,,29,29,,,,,,,,,MAIN,STREET,ST,,,8363,,75,69,69,2013-12-06,-72.89353569431655,42.460164221024584,822700
M_79302_916972,79301.88040000,916971.96380000,BMP,152450,21,BUSH ROAD,,,,,,,,01026,,CUMMINGTON,CUMMINGTON,MA,,21,21,,,,,,,,,BUSH,ROAD,RD,,,8327,,75,69,69,2013-12-06,-72.96832812962788,42.49393663651021,822700
M_86460_914025,86460.36500000,914025.38280000,BMP,152495,31,HARLOW ROAD,,,,,,,,01026,,CUMMINGTON,CUMMINGTON,MA,,31,31,,,,,,,,,HARLOW,ROAD,RD,,,8349,,75,69,69,2013-12-06,-72.8806785701438,42.468489899227016,822700
M_85498_912952,85498.10820000,912952.24120000,PC,152653,15,MAIN STREET,,,,,,,,01026,,CUMMINGTON,CUMMINGTON,MA,,15,15,,,,,,,,,MAIN,STREET,ST,,,8363,,75,69,69,2013-12-06,-72.89216488004843,42.45868935385067,822700
M_86458_910207,86457.74140000,910206.59760000,BC,152651,134,MOUNT ROAD,,,,,,,,01026,,CUMMINGTON,CUMMINGTON,MA,,134,134,,,,,,,,,MOUNT,ROAD,RD,,,8370,,75,69,69,2013-12-06,-72.87995924358376,42.43411507154648,822700
M_87696_911180,87696.25740000,911179.89240000,BC,152418,28,WILDER ROAD,,,,,,,,01026,,CUMMINGTON,CUMMINGTON,MA,,28,28,,,,,,,,,WILDER,ROAD,RD,,,8423,,75,69,69,2013-12-06,-72.86509856841401,42.44305554552065,822700
M_86134_911628,86133.52940000,911628.38880000,BC,152301,29,STEVENS ROAD,,,,,,,,01026,,CUMMINGTON,CUMMINGTON,MA,,29,29,,,,,,,,,STEVENS,ROAD,RD,,,8402,,75,69,69,2013-12-06,-72.88417932518621,42.4468659342466,822700
M_85120_913434,85120.31700000,913434.25160000,BC,152259,62,MAIN STREET,,,,,,,,01026,,CUMMINGTON,CUMMINGTON,MA,,62,62,,,,,,,,,MAIN,STREET,ST,,,8363,,75,69,69,2013-12-06,-72.89685337958043,42.46297250209778,822700
M_85120_913434,85120.31700000,913434.25160000,BC,152813,62,MAIN STREET,,,,,1,,,01026,,CUMMINGTON,CUMMINGTON,MA,,62,62,,,,,,,,,MAIN,STREET,ST,,,8363,,75,69,69,2013-12-06,-72.89685337958043,42.46297250209778,822700
M_85120_913434,85120.31700000,913434.25160000,BC,152814,62,MAIN STREET,,,,,2,,,01026,,CUMMINGTON,CUMMINGTON,MA,,62,62,,,,,,,,,MAIN,STREET,ST,,,8363,,75,69,69,2013-12-06,-72.89685337958043,42.46297250209778,822700
M_85120_913434,85120.31700000,913434.25160000,BC,152816,62,MAIN STREET,,,,,LEFT,,,01026,,CUMMINGTON,CUMMINGTON,MA,,62,62,,,,,,,,,MAIN,STREET,ST,,,8363,,75,69,69,2013-12-06,-72.89685337958043,42.46297250209778,822700
M_85120_913434,85120.31700000,913434.25160000,BC,152817,62,MAIN STREET,,,,,RIGHT,,,01026,,CUMMINGTON,CUMMINGTON,MA,,62,62,,,,,,,,,MAIN,STREET,ST,,,8363,,75,69,69,2013-12-06,-72.89685337958043,42.46297250209778,822700
M_85120_913434,85120.31700000,913434.25160000,BC,152815,62,MAIN STREET,,,,,3,,,01026,,CUMMINGTON,CUMMINGTON,MA,,62,62,,,,,,,,,MAIN,STREET,ST,,,8363,,75,69,69,2013-12-06,-72.89685337958043,42.46297250209778,822700
M_88523_913001,88523.39020000,913001.13240000,BMP,152544,615,STAGE ROAD,,,,,,,,01026,,CUMMINGTON,CUMMINGTON,MA,,615,615,,,,,,,,,STAGE,ROAD,RD,,,8398,,75,69,69,2013-12-06,-72.85539787797526,42.45956807737849,822700
M_80416_912384,80416.15680000,912383.79200000,BMP,152492,98,TROUBLE STREET,,,,,,,,01026,,CUMMINGTON,CUMMINGTON,MA,,98,98,,,,,,,,,TROUBLE,STREET,ST,,,8410,,75,69,69,2013-12-06,-72.95382399973153,42.4528093343487,822700
M_86227_912493,86226.52180000,912492.83180000,BC,152584,28,OLD ROUTE 9,,,,,,,,01026,,CUMMINGTON,CUMMINGTON,MA,,28,28,,,,,,OLD,,ROUTE,9,,,,,8378,,75,69,69,2013-12-06,-72.88321948780867,42.45466071524662,822700
M_79337_916829,79337.34380000,916828.73620000,BMP,152433,11,BUSH ROAD,,,,,,,,01026,,CUMMINGTON,CUMMINGTON,MA,,11,11,,,,,,,,,BUSH,ROAD,RD,,,8327,,75,69,69,2013-12-06,-72.96786680986249,42.4926529172141,822700
M_80099_912230,80098.67020000,912230.00780000,BMP,152502,123,TROUBLE STREET,,,,,,,,01026,,CUMMINGTON,CUMMINGTON,MA,,123,123,,,,,,,,,TROUBLE,STREET,ST,,,8410,,75,69,69,2013-12-06,-72.95765110134124,42.45137630233476,822700
M_88255_915285,88255.09540000,915284.55940000,BC,152188,108,WILLCUTT ROAD,,,,,,,,01026,,CUMMINGTON,CUMMINGTON,MA,,108,108,,,,,,,,,WILLCUTT,ROAD,RD,,,8424,,75,69,69,2013-12-06,-72.8591017523963,42.480083697428185,822700
M_81258_916481,81257.53580000,916480.80280000,BMP,152234,48,PACKARD ROAD,,,,,,,,01026,,CUMMINGTON,CUMMINGTON,MA,,48,48,,,,,,,,,PACKARD,ROAD,RD,,,8380,,75,69,69,2013-12-06,-72.94444041676672,42.48981620204452,822700
M_79312_914835,79311.80000000,914834.74200000,BMP,152719,0,POWELL ROAD,OFF,,,,,,,01026,,CUMMINGTON,CUMMINGTON,MA,,0,0,,,,,,,,,POWELL,ROAD,RD,,,8391,,75,69,69,2013-12-06,-72.96776012013025,42.47470066001337,822700
M_79285_917060,79284.56700000,917060.29480000,BMP,152220,29,BUSH ROAD,,,,,,,,01026,,CUMMINGTON,CUMMINGTON,MA,,29,29,,,,,,,,,BUSH,ROAD,RD,,,8327,,75,69,69,2013-12-06,-72.96855720990067,42.49472903420028,822700
M_78805_916811,78805.09100000,916810.99900000,BC,152819,68,WEST MAIN STREET,,,,,1,,,01026,,CUMMINGTON,CUMMINGTON,MA,,68,68,,,,,,,WEST,,MAIN,STREET,ST,,,8420,,75,69,69,2013-12-06,-72.9743366738384,42.49241062523599,822700
M_78805_916811,78805.09100000,916810.99900000,BC,152820,68,WEST MAIN STREET,,,,,2,,,01026,,CUMMINGTON,CUMMINGTON,MA,,68,68,,,,,,,WEST,,MAIN,STREET,ST,,,8420,,75,69,69,2013-12-06,-72.9743366738384,42.49241062523599,822700
M_83582_912413,83582.05740000,912412.72240000,BC,152563,128,DODWELLS ROAD,,,,,,,,01026,,CUMMINGTON,CUMMINGTON,MA,,128,128,,,,,,,,,DODWELLS,ROAD,RD,,,8336,,75,69,69,2013-12-06,-72.91534799825679,42.45354908377785,822700
M_84179_913889,84179.02680000,913888.84880000,PC,152147,28,BRYANT ROAD,,,,,,,,01026,,CUMMINGTON,CUMMINGTON,MA,,28,28,,,,,,,,,BRYANT,ROAD,RD,,,8324,,75,69,69,2013-12-06,-72.90838797377057,42.466925143888865,822700
M_78805_916811,78805.09100000,916810.99900000,BC,152244,68,WEST MAIN STREET,,,,,,,,01026,,CUMMINGTON,CUMMINGTON,MA,,68,68,,,,,,,WEST,,MAIN,STREET,ST,,,8420,,75,69,69,2013-12-06,-72.9743366738384,42.49241062523599,822700
M_83574_914548,83573.61660000,914548.28640000,BMP,152321,541,BERKSHIRE TRAIL,,,,,,,,01026,,CUMMINGTON,CUMMINGTON,MA,,541,541,,,,,,,,,BERKSHIRE,TRAIL,TRL,,,8317,,75,69,69,2013-12-06,-72.91588153562618,42.47277071869784,822700
M_79367_916595,79367.15540000,916595.09800000,BC,152500,0,WEST MAIN STREET,,,,,,,,01026,,CUMMINGTON,CUMMINGTON,MA,,0,0,,,,,,,WEST,,MAIN,STREET,ST,,,8420,,75,69,69,2013-12-06,-72.96745532845807,42.490554519765695,822700
