ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_63733_916137,63732.80900000,916137.44880000,BC,153180,73,RAYMOND DRIVE,,,,,,,,01226,,DALTON,DALTON,MA,,73,73,,,,,,,,,RAYMOND,DRIVE,DR,,,8573,,76,70,70,2013-12-06,-73.15748825069669,42.483857103291705,912100
M_62314_915319,62313.54060000,915318.64060000,BC,153954,93,JOHN STREET,,,,,,,,01226,,DALTON,DALTON,MA,,93,93,,,,,,,,,JOHN,STREET,ST,,,8519,,76,70,70,2013-12-06,-73.17455162857296,42.476237624041055,912100
M_64544_915035,64544.31520000,915034.65300000,BC,154762,1087,MAIN STREET,,,,,,,,01226,,DALTON,DALTON,MA,,1087,1087,,,,,,,,,MAIN,STREET,ST,,,8528,,76,70,70,2013-12-06,-73.14736090756324,42.47407254217997,912100
M_62224_915601,62224.23200000,915601.39600000,BMP,155006,63,OAK STREET EXTENSION,,,,,,,,01226,,DALTON,DALTON,MA,,63,63,,,,,,,,,OAK,STREET EXTENSION,,,,8548,,76,70,70,2013-12-06,-73.17570507709816,42.478766857534026,912100
M_64195_916178,64194.64600000,916178.14960000,BMP,155607,34-36,DWIGHT STREET,,,,,,,,01226,,DALTON,DALTON,MA,,34,34,,,36,36,,,,,DWIGHT,STREET,ST,,,8476,,76,70,70,2013-12-06,-73.15188168198549,42.484304095149106,912100
M_62774_915375,62773.59840000,915374.89880000,BC,154196,48,THIRD STREET,,,,,,,,01226,,DALTON,DALTON,MA,,48,48,,,,,,,,,THIRD,STREET,ST,,,8598,,76,70,70,2013-12-06,-73.16897119246063,42.47682516270874,912100
M_64035_916438,64035.15460000,916437.89920000,BC,153987,148,TOWER ROAD,,,,,,,,01226,,DALTON,DALTON,MA,,148,148,,,,,,,,,TOWER,ROAD,RD,,,8599,,76,70,70,2013-12-06,-73.15388243984602,42.48661423219527,912100
M_64421_916487,64420.57480000,916486.94160000,BC,154005,107,ANTHONY ROAD,,,,,,,,01226,,DALTON,DALTON,MA,,107,107,,,,,,,,,ANTHONY,ROAD,RD,,,8431,,76,70,70,2013-12-06,-73.14920687437066,42.487122832703854,912100
M_62314_915319,62313.54060000,915318.64060000,BC,154335,91-93,JOHN STREET,,,,,,,,01226,,DALTON,DALTON,MA,,91,91,,,93,93,,,,,JOHN,STREET,ST,,,8519,,76,70,70,2013-12-06,-73.17455162857296,42.476237624041055,912100
M_64439_914383,64439.20540000,914382.94220000,BMP,153285,277,EAST HOUSATONIC STREET,,,,,,,,01226,,DALTON,DALTON,MA,,277,277,,,,,,,EAST,,HOUSATONIC,STREET,ST,,,8478,,76,70,70,2013-12-06,-73.14848573386114,42.46818830272912,912100
