ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_246222_817422,246222.33960000,817421.87540000,BC,2778224,18,CHERRY STREET,,,,,,,,02748,,DARTMOUTH,DARTMOUTH,MA,,18,18,,,,,,,,,CHERRY,STREET,ST,,,131899,,78,72,72,2014-03-04,-70.94551748422985,41.60566959584308,653203
M_240324_827476,240323.76440000,827475.56260000,BC,2773000,14,ANTONIO WAY,,,,,,,,02747,,DARTMOUTH,DARTMOUTH,MA,,14,14,,,,,,,,,ANTONIO,WAY,WAY,,,132404,,78,72,72,2014-03-04,-71.01559015481615,41.69650992733914,653102
M_242540_824204,242540.39420000,824203.98200000,BC,2773105,14,VENTURA DRIVE,,,,,,,,02747,,DARTMOUTH,DARTMOUTH,MA,,14,14,,,,,,,,,VENTURA,DRIVE,DR,,,132714,,78,72,72,2014-03-04,-70.98919773358962,41.66693826497906,653102
M_242539_812207,242538.52200000,812206.94800000,BC,2780422,794,POTOMSKA ROAD,,,,,,,,02748,,DARTMOUTH,DARTMOUTH,MA,,794,794,,,,,,,,,POTOMSKA,ROAD,RD,,,132811,,78,72,72,2014-03-04,-70.9900813898482,41.5589247483278,653304
M_240113_820756,240113.31420000,820756.82740000,BC,2773109,1413,DARTMOUTH WOODS DRIVE,,,,,,,,02747,,DARTMOUTH,DARTMOUTH,MA,,1413,1413,,,,,,,,,DARTMOUTH WOODS,DRIVE,DR,,,131962,,78,72,72,2014-03-04,-71.01857379132551,41.63602935930554,653101
M_238948_815272,238947.50520000,815272.30380000,BC,2781961,65,GIDLEY TOWN ROAD,,,,,,,,02747,,DARTMOUTH,DARTMOUTH,MA,,65,65,,,,,,,,,GIDLEY TOWN,ROAD,RD,,,132084,,78,72,72,2014-03-04,-71.03292558619468,41.58670845208359,653304
M_237710_824608,237710.46200000,824607.71620000,BC,2780401,76,SONGBIRD DRIVE,,,,,,,,02747,,DARTMOUTH,DARTMOUTH,MA,,76,76,,,,,,,,,SONGBIRD,DRIVE,DR,,,132967,,78,72,72,2014-03-04,-71.04716607609592,41.670818879674705,653102
M_242246_821938,242245.73160000,821937.63840000,BMP,2780148,60,BROWN STREET,,,,,,,,02747,,DARTMOUTH,DARTMOUTH,MA,,60,60,,,,,,,,,BROWN,STREET,ST,,,132708,,78,72,72,2014-03-04,-70.99289758579438,41.64654938580545,653101
M_238568_824388,238568.19620000,824387.61700000,BC,2782418,24,HANOVER COURT,,,,,,,,02747,,DARTMOUTH,DARTMOUTH,MA,,24,24,,,,,,,,,HANOVER,COURT,CT,,,132251,,78,72,72,2014-03-04,-71.03688080180919,41.66879577614347,653102
M_246102_815544,246101.56400000,815543.63400000,BC,2782586,29,WATER STREET,,,,,,,,02748,,DARTMOUTH,DARTMOUTH,MA,,29,29,,,,,,,,,WATER,STREET,ST,,,132603,,78,72,72,2014-03-04,-70.94711231185111,41.588766223367784,653301
M_239333_825864,239333.22800000,825864.03020000,BMP,2771871,732,OLD FALL RIVER ROAD,,,,,,,,02747,,DARTMOUTH,DARTMOUTH,MA,,732,732,,,,,,,,,OLD FALL RIVER,ROAD,RD,,,132759,,78,72,72,2014-03-04,-71.02759645231211,41.68205071720425,653102
M_240835_818034,240834.82100000,818034.04740000,BC,2777970,114,LUCY LITTLE ROAD,,,,,,,,02747,,DARTMOUTH,DARTMOUTH,MA,,114,114,,,,,,,,,LUCY LITTLE,ROAD,RD,,,132141,,78,72,72,2014-03-04,-71.01010238680087,41.61147815761549,985500
M_245415_819207,245414.96020000,819207.47720000,BC,2781865,59,VICTORIA STREET,,,,,,,,02747,,DARTMOUTH,DARTMOUTH,MA,,59,59,,,,,,,,,VICTORIA,STREET,ST,,,132584,,78,72,72,2014-03-04,-70.95506568463804,41.62179281613241,653203
M_240528_827940,240528.48920000,827939.94340000,BC,2781897,6,SUNDANCE ROAD,,,,,,,,02747,,DARTMOUTH,DARTMOUTH,MA,,6,6,,,,,,,,,SUNDANCE,ROAD,RD,,,132532,,78,72,72,2014-03-04,-71.01309900230774,41.70068042410717,653102
M_246375_815516,246375.39180000,815516.49860000,BMP,2780333,7,CLEVELAND STREET,,,,,,,,02748,,DARTMOUTH,DARTMOUTH,MA,,7,7,,,,,,,,,CLEVELAND,STREET,ST,,,131904,,78,72,72,2014-03-04,-70.94383055948411,41.588505886282796,653301
M_243778_816643,243777.97100000,816643.13420000,BMP,2770357,8,SOUTH JASON DRIVE,,,,,,,,02748,,DARTMOUTH,DARTMOUTH,MA,,8,8,,,,,,,SOUTH,,JASON,DRIVE,DR,,,132973,,78,72,72,2014-03-04,-70.9748968423734,41.59879759795175,653301
M_244675_818483,244674.65440000,818483.44620000,BC,2778837,9,HERITAGE DRIVE,,,,,,,,02747,,DARTMOUTH,DARTMOUTH,MA,,9,9,,,,,,,,,HERITAGE,DRIVE,DR,,,132268,,78,72,72,2014-03-04,-70.96400297367717,41.615316351225175,653204
M_241357_813234,241356.81800000,813233.82740000,BMP,2778888,818,ROCK ODUNDEE ROAD,,,,,,,,02748,,DARTMOUTH,DARTMOUTH,MA,,818,818,,,,,,,,,ROCK ODUNDEE,ROAD,RD,,,132879,,78,72,72,2014-03-04,-71.00417485791547,41.56823284072982,653304
M_243649_813037,243648.69620000,813037.26740000,BC,2781335,11,BAKERVILLE ROAD,,,,,,,,02748,,DARTMOUTH,DARTMOUTH,MA,,11,11,,,,,,,,,BAKERVILLE,ROAD,RD,,,132429,,78,72,72,2014-03-04,-70.97671275560671,41.56633986864549,653304
M_240892_817466,240892.35240000,817466.42280000,BMP,2781362,11,WOODBURY LANE,,,,,,,,02747,,DARTMOUTH,DARTMOUTH,MA,,11,11,,,,,,,,,WOODBURY,LANE,LN,,,132650,,78,72,72,2014-03-04,-71.00945135837635,41.6063646441682,985500
M_241924_817514,241924.45240000,817514.48880000,BC,2784781,32,COLLEGE LANE,,,,,2,,,02747,,DARTMOUTH,DARTMOUTH,MA,,32,32,,,,,,,,,COLLEGE,LANE,LN,,,131916,,78,72,72,2014-03-04,-70.99706706989177,41.6067432832453,653204
M_244874_818800,244873.63260000,818799.92200000,BC,2782298,2,KIRKAT WAY,,,,,,,,02747,,DARTMOUTH,DARTMOUTH,MA,,2,2,,,,,,,,,KIRKAT,WAY,WAY,,,132350,,78,72,72,2014-03-04,-70.96159177142765,41.61815440876309,653204
M_243441_814321,243441.41560000,814320.61780000,BMP,2772184,220,BAKERVILLE ROAD,,,,,,,,02748,,DARTMOUTH,DARTMOUTH,MA,,220,220,,,,,,,,,BAKERVILLE,ROAD,RD,,,132429,,78,72,72,2014-03-04,-70.97910374274211,41.577905745372526,653304
M_241855_822700,241855.43700000,822700.28020000,BMP,2777605,333,HIXVILLE ROAD,,,,,,,,02747,,DARTMOUTH,DARTMOUTH,MA,,333,333,,,,,,,,,HIXVILLE,ROAD,RD,,,132284,,78,72,72,2014-03-04,-70.99752850389578,41.653436523683226,653101
M_238246_827227,238245.73080000,827226.89560000,BMP,2778133,1470,NORTH HIXVILLE ROAD,,,,,,,,02747,,DARTMOUTH,DARTMOUTH,MA,,1470,1470,,,,,,,NORTH,,HIXVILLE,ROAD,RD,,,132739,,78,72,72,2014-03-04,-71.04056919041653,41.69437459916486,653102
M_245966_818146,245966.28220000,818146.48020000,BMP,2774629,115,POTTER STREET,,,,,,,,02748,,DARTMOUTH,DARTMOUTH,MA,,115,115,,,,,,,,,POTTER,STREET,ST,,,132812,,78,72,72,2014-03-04,-70.94853286111608,41.61220840029208,653203
M_246652_818533,246651.68060000,818533.43480000,BMP,2774661,149,STACKHOUSE STREET,,,,,,,,02748,,DARTMOUTH,DARTMOUTH,MA,,149,149,,,,,,,,,STACKHOUSE,STREET,ST,,,132505,,78,72,72,2014-03-04,-70.94027976365454,41.615652085053334,653203
M_244023_815182,244022.61700000,815182.40400000,BC,2775691,5,VINEYARD LANE,,,,,,,,02748,,DARTMOUTH,DARTMOUTH,MA,,5,5,,,,,,,,,VINEYARD,LANE,LN,,,132590,,78,72,72,2014-03-04,-70.97207090707694,41.585632536211016,653301
M_245325_818031,245324.50760000,818031.25600000,BC,2772710,40,HOLLY DRIVE,,,,,,,,02747,,DARTMOUTH,DARTMOUTH,MA,,40,40,,,,,,,,,HOLLY,DRIVE,DR,,,132287,,78,72,72,2014-03-04,-70.95624096809091,41.61120809483873,653203
M_244265_821033,244265.39700000,821033.18300000,BC,2772915,102,STATE ROAD,,,,,,,,02747,,DARTMOUTH,DARTMOUTH,MA,,102,102,,,,,,,,,STATE,ROAD,RD,,,132509,,78,72,72,2014-03-04,-70.96872249072906,41.63829556781418,653101
M_243509_819989,243509.19640000,819989.32520000,BMP,2772935,1205,TUCKER ROAD,,,,,,,,02747,,DARTMOUTH,DARTMOUTH,MA,,1205,1205,,,,,,,,,TUCKER,ROAD,RD,,,132572,,78,72,72,2014-03-04,-70.97787494360938,41.62893939161633,653101
M_244891_817585,244890.53000000,817584.77380000,BC,2782343,17,WEST SHERMAN STREET,,,,,,,,02747,,DARTMOUTH,DARTMOUTH,MA,,17,17,,,,,,,WEST,,SHERMAN,STREET,ST,,,132716,,78,72,72,2014-03-04,-70.96148108477433,41.60721305208852,653204
M_246828_817813,246827.84940000,817812.97420000,BMP,2775218,7,PURITAN STREET,,,,,,,,02748,,DARTMOUTH,DARTMOUTH,MA,,7,7,,,,,,,,,PURITAN,STREET,ST,,,132820,,78,72,72,2014-03-04,-70.93822310664552,41.60915511449881,653203
M_245755_815933,245754.64260000,815932.63060000,BMP,2775853,3,HOWLAND AVENUE,,,,,,,,02748,,DARTMOUTH,DARTMOUTH,MA,,3,3,,,,,,,,,HOWLAND,AVENUE,AVE,,,132298,,78,72,72,2014-03-04,-70.95124274876959,41.59228866033549,
M_246500_816784,246499.98560000,816784.38480000,BMP,2778932,2,SMITH STREET,,,,,,,,02748,,DARTMOUTH,DARTMOUTH,MA,,2,2,,,,,,,,,SMITH,STREET,ST,,,132960,,78,72,72,2014-03-04,-70.94223694778645,41.5999137587547,
M_242734_815835,242734.11860000,815834.84860000,BMP,2778776,717,RUSSELLS MILLS ROAD,,,,,,,,02748,,DARTMOUTH,DARTMOUTH,MA,,717,717,,,,,,,,,RUSSELLS MILLS,ROAD,RD,,,132900,,78,72,72,2014-03-04,-70.98747547760897,41.591577480801874,653204
M_246022_817420,246021.75300000,817420.19800000,BMP,2781494,117,RUSSELLS MILLS ROAD,,,,,,,,02748,,DARTMOUTH,DARTMOUTH,MA,,117,117,,,,,,,,,RUSSELLS MILLS,ROAD,RD,,,132900,,78,72,72,2014-03-04,-70.94792378106465,41.605666208241196,653203
M_241702_815253,241701.88580000,815252.66660000,BC,2770184,731,CHASE ROAD,,,,,,,,02747,,DARTMOUTH,DARTMOUTH,MA,,731,731,,,,,,,,,CHASE,ROAD,RD,,,131898,,78,72,72,2014-03-04,-70.99989604011324,41.58639105210422,653204
M_241015_820705,241014.91880000,820705.19540000,BC,2770833,36,BARKER STREET,,,,,,,,02747,,DARTMOUTH,DARTMOUTH,MA,,36,36,,,,,,,,,BARKER,STREET,ST,,,132432,,78,72,72,2014-03-04,-71.00775685651344,41.63551816522301,653101
M_240113_820756,240113.31420000,820756.82740000,BC,2769906,1423,DARTMOUTH WOODS DRIVE,,,,,,,,02747,,DARTMOUTH,DARTMOUTH,MA,,1423,1423,,,,,,,,,DARTMOUTH WOODS,DRIVE,DR,,,131962,,78,72,72,2014-03-04,-71.01857379132551,41.63602935930554,653101
M_241991_821919,241990.50080000,821919.24480000,BC,2772465,31,HAWES STREET,,,,,,,,02747,,DARTMOUTH,DARTMOUTH,MA,,31,31,,,,,,,,,HAWES,STREET,ST,,,132261,,78,72,72,2014-03-04,-70.9959625167475,41.646397402108555,653101
M_245358_820017,245357.70080000,820016.87300000,BMP,2781186,44,PAULINE STREET,,,,,,,,02747,,DARTMOUTH,DARTMOUTH,MA,,44,44,,,,,,,,,PAULINE,STREET,ST,,,132783,,78,72,72,2014-03-04,-70.95569074667782,41.62908337278024,653203
M_240113_820756,240113.31420000,820756.82740000,BC,2776486,1417,DARTMOUTH WOODS DRIVE,,,,,,,,02747,,DARTMOUTH,DARTMOUTH,MA,,1417,1417,,,,,,,,,DARTMOUTH WOODS,DRIVE,DR,,,131962,,78,72,72,2014-03-04,-71.01857379132551,41.63602935930554,653101
M_239766_821897,239766.01680000,821896.72060000,BC,2779993,47,MELROSE AVENUE,,,,,,,,02747,,DARTMOUTH,DARTMOUTH,MA,,47,47,,,,,,,,,MELROSE,AVENUE,AVE,,,132188,,78,72,72,2014-03-04,-71.022665289158,41.64630982474033,653101
M_242953_821289,242953.01580000,821288.70420000,BC,2780223,6,PASKAMANSETT STREET,,,,,,,,02747,,DARTMOUTH,DARTMOUTH,MA,,6,6,,,,,,,,,PASKAMANSETT,STREET,ST,,,132779,,78,72,72,2014-03-04,-70.98445488935188,41.64066862304035,653101
M_246457_818535,246456.88160000,818535.28520000,BMP,2778226,18,DONALD STREET,,,,,,,,02748,,DARTMOUTH,DARTMOUTH,MA,,18,18,,,,,,,,,DONALD,STREET,ST,,,131984,,78,72,72,2014-03-04,-70.94261672263539,41.615680229808106,653203
M_244819_815762,244818.54060000,815761.73260000,BC,2772581,39,STAR OF THE SEA DRIVE,,,,,,,,02748,,DARTMOUTH,DARTMOUTH,MA,,39,39,,,,,,,,,STAR OF THE SEA,DRIVE,DR,,,132508,,78,72,72,2014-03-04,-70.96248248254139,41.590803675499345,653301
M_247167_816508,247167.37180000,816507.82020000,BMP,2782770,38,NORTON STREET,,,,,,,,02748,,DARTMOUTH,DARTMOUTH,MA,,38,38,,,,,,,,,NORTON,STREET,ST,,,132744,,78,72,72,2014-03-04,-70.93425394770523,41.59738418381689,653301
M_244265_821033,244265.39700000,821033.18300000,BC,2778001,102B,STATE ROAD,,,,,,,,02747,,DARTMOUTH,DARTMOUTH,MA,,102,102,B,,,,,,,,STATE,ROAD,RD,,,132509,,78,72,72,2015-08-05,-70.96872249072906,41.63829556781418,653101
M_242326_827837,242325.55540000,827836.71380000,BC,2781748,7,PLUMLEIGH DRIVE,,,,,,,,02747,,DARTMOUTH,DARTMOUTH,MA,,7,7,,,,,,,,,PLUMLEIGH,DRIVE,DR,,,132804,,78,72,72,2014-03-04,-70.99151730949997,41.69965660343204,653102
M_245787_818695,245787.32560000,818695.34060000,BC,2779788,136,SHARP STREET,,,,,,,,02747,,DARTMOUTH,DARTMOUTH,MA,,136,136,,,,,,,,,SHARP,STREET,ST,,,132934,,78,72,72,2014-03-04,-70.95063737170707,41.61716037169975,653203
M_241960_819433,241959.70440000,819432.90160000,BC,2770433,167,CHASE ROAD,,,,,,,,02747,,DARTMOUTH,DARTMOUTH,MA,,167,167,,,,,,,,,CHASE,ROAD,RD,,,131898,,78,72,72,2014-03-04,-70.99650834579829,41.624013583249464,653204
