ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_226642_889614,226641.84800000,889614.42620000,BC,2468879,8,SHAW LANE,,,,,,,,02026,,DEDHAM,DEDHAM,MA,,8,8,,,,,,,,,SHAW,LANE,LN,,,117702,,79,73,73,2014-12-23,-71.17712355221998,42.25654273121574,402101
M_226462_890487,226461.94700000,890487.38560000,BC,2471594,22,VIOLET AVENUE,,,,,,,,02026,,DEDHAM,DEDHAM,MA,,22,22,,,,,,,,,VIOLET,AVENUE,AVE,,,117772,,79,73,73,2014-03-02,-71.17926399643201,42.26440801244537,402101
M_226152_891118,226152.27540000,891117.95740000,BMP,2477764,187,NEEDHAM STREET,,,,,1,,,02026,,DEDHAM,DEDHAM,MA,,187,187,,,,,,,,,NEEDHAM,STREET,ST,,,118230,,79,73,73,2014-03-02,-71.18298897720362,42.27009540636079,402101
M_228179_887712,228179.04600000,887712.36500000,BMP,2472859,88,SANDERSON AVENUE,,,,,,,,02026,,DEDHAM,DEDHAM,MA,,88,88,,,,,,,,,SANDERSON,AVENUE,AVE,,,117692,,79,73,73,2014-03-02,-71.15858648565614,42.23936473087152,402400
M_229347_887933,229347.16560000,887932.50420000,BC,2472780,290,MILTON STREET,,,,,,,,02026,,DEDHAM,DEDHAM,MA,,290,290,,,,,,,,,MILTON,STREET,ST,,,118217,,79,73,73,2014-03-02,-71.14442274838262,42.241303660684835,402102
M_228067_887196,228066.68960000,887196.27180000,BC,2473424,67,ELMWOOD AVENUE,,,,,,,,02026,,DEDHAM,DEDHAM,MA,,67,67,,,,,,,,,ELMWOOD,AVENUE,AVE,,,118047,,79,73,73,2014-03-02,-71.15997269289707,42.23472241680444,402400
M_226115_887780,226115.07980000,887780.23880000,BC,2478118,248,HIGHLAND STREET,,,,,RIGHT,,,02026,,DEDHAM,DEDHAM,MA,,248,248,,,,,,,,,HIGHLAND,STREET,ST,,,118125,,79,73,73,2014-03-02,-71.1835899322868,42.24004744835065,402500
M_227373_888385,227372.65940000,888385.34640000,BMP,2476069,449,EAST STREET,,,,,,,,02026,,DEDHAM,DEDHAM,MA,,449,449,,,,,,,,,EAST,STREET,ST,,,118034,,79,73,73,2014-03-02,-71.1683247509663,42.245452179976596,402400
M_228809_889419,228809.26040000,889419.02400000,BMP,2469409,71,COLBURN STREET,,,,,,,,02026,,DEDHAM,DEDHAM,MA,,71,71,,,,,,,,,COLBURN,STREET,ST,,,117982,,79,73,73,2014-12-23,-71.15086634017423,42.25470667555817,402102
M_228409_889141,228409.39440000,889140.72600000,BC,2472956,127,BUSSEY STREET,,,,,,,,02026,,DEDHAM,DEDHAM,MA,,127,127,,,,,,,,,BUSSEY,STREET,ST,,,117939,,79,73,73,2014-03-02,-71.15572579584413,42.25221581743911,402102
