ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_108192_917782,108191.96300000,917782.44720000,BC,158021,6B,BOYNTON ROAD EAST,,,,,,,,01373,,SOUTH DEERFIELD,DEERFIELD,MA,,6,6,B,,,,,,,,BOYNTON,ROAD,RD,EAST,,8643,,380,74,74,2013-12-06,-72.61704739323261,42.50517365575722,040900
M_109660_921284,109659.73920000,921284.50000000,BMP,159755,38,COUNTY ROAD,,,,,,,,01342,,DEERFIELD,DEERFIELD,MA,,38,38,,,,,,,,,COUNTY,ROAD,RD,,,8657,,80,74,74,2013-12-06,-72.59974000263908,42.53686965502425,040900
M_107766_924811,107766.29920000,924810.71840000,BMP,159210,352,UPPER ROAD,,,,,,,,01342,,DEERFIELD,DEERFIELD,MA,,352,352,,,,,,,,,UPPER,ROAD,RD,,,8809,,80,74,74,2013-12-06,-72.62335209951975,42.56838906755472,040900
M_109201_913741,109200.50260000,913740.76140000,BC,157953,27,KING PHILIP AVENUE,,,,,,,,01373,,SOUTH DEERFIELD,DEERFIELD,MA,,27,27,,,,,,,,,KING PHILIP,AVENUE,AVE,,,8705,,380,74,74,2013-12-06,-72.60414112331786,42.468909659290404,040900
M_108192_917782,108191.96300000,917782.44720000,BC,158016,6A,BOYNTON ROAD EAST,,,,,,,,01373,,SOUTH DEERFIELD,DEERFIELD,MA,,6,6,A,,,,,,,,BOYNTON,ROAD,RD,EAST,,8643,,380,74,74,2013-12-06,-72.61704739323261,42.50517365575722,040900
M_109090_916263,109090.24000000,916263.32020000,BC,157803,178,NORTH MAIN STREET,,,,,,,,01373,,SOUTH DEERFIELD,DEERFIELD,MA,,178,178,,,,,,,NORTH,,MAIN,STREET,ST,,,8732,,380,74,74,2013-12-06,-72.60587947291138,42.491604282032526,040900
M_107603_915814,107602.53340000,915814.30180000,BC,158681,139,CONWAY ROAD,,,,,,,,01373,,SOUTH DEERFIELD,DEERFIELD,MA,,139,139,,,,,,,,,CONWAY,ROAD,RD,,,8827,,380,74,74,2013-12-06,-72.62390276042734,42.48738728576311,040900
M_110230_913556,110229.91520000,913555.84640000,BC,157332,9,RIVER ROAD,,,,,,,,01373,,SOUTH DEERFIELD,DEERFIELD,MA,,9,9,,,,,,,,,RIVER,ROAD,RD,,,8765,,380,74,74,2013-12-06,-72.5915958471717,42.46736437000373,040900
M_107969_914616,107969.34460000,914616.45160000,BMP,158535,73,WHATELY ROAD,,,,,,,,01373,,SOUTH DEERFIELD,DEERFIELD,MA,,73,73,,,,,,,,,WHATELY,ROAD,RD,,,8820,,380,74,74,2013-12-06,-72.61925028074927,42.47664797215779,040900
M_106993_917606,106992.95620000,917605.79940000,BMP,158029,79,BOYNTON ROAD WEST,,,,,,,,01373,,SOUTH DEERFIELD,DEERFIELD,MA,,79,79,,,,,,,,,BOYNTON,ROAD,RD,WEST,,8644,,380,74,74,2013-12-06,-72.63160574363188,42.503441251689054,040900
