ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_311291_823512,311291.21520000,823511.72520000,BC,4192256,16,TROTTING PARK ROAD,,,,,,,,02670,,WEST DENNIS,DENNIS,MA,,16,16,,,,,,,,,TROTTING PARK,ROAD,RD,,,155125,,350,75,75,2015-01-22,-70.16389823507907,41.65400430224871,011700
M_311291_823512,311291.21520000,823511.72520000,BC,4199421,18,TROTTING PARK ROAD,,,,,,,,02670,,WEST DENNIS,DENNIS,MA,,18,18,,,,,,,,,TROTTING PARK,ROAD,RD,,,155125,,350,75,75,2015-01-22,-70.16389823507907,41.65400430224871,011700
M_312408_823349,312408.44670000,823349.18030000,ABC,4233291,61,OLD WHARF ROAD,,HERITAGE SANDS,,,53,,,02639,,DENNISPORT,DENNIS,MA,,61,61,,,,,,,,,OLD WHARF,ROAD,RD,,,155302,20202,82,75,75,2016-05-16,-70.1505184599818,41.65238265728614,011600
M_308855_833834,308855.40860000,833834.18860000,BC,3360814,141,CORPORATION ROAD,,,,,,,,02638,,DENNIS,DENNIS,MA,,141,141,,,,,,,,,CORPORATION,ROAD,RD,,,154657,,81,75,75,2016-09-27,-70.19123522479856,41.747271575341045,011300
M_308855_833834,308855.40860000,833834.18860000,BC,3366068,141,CORPORATION ROAD,,,,,A,,,02638,,DENNIS,DENNIS,MA,,141,141,,,,,,,,,CORPORATION,ROAD,RD,,,154657,,81,75,75,2016-09-27,-70.19123522479856,41.747271575341045,011300
M_309890_831876,309889.68780000,831875.65380000,BMP,3362273,30,RONDA LANE,,,,,,,,02638,,DENNIS,DENNIS,MA,,30,30,,,,,,,,,RONDA,LANE,LN,,,154964,,81,75,75,2014-03-12,-70.17916671013924,41.7294964565255,011300
M_313168_824202,313168.15040000,824202.47160000,BC,3362311,3,THIRD MATE ROW,,,,,,,,02639,,DENNISPORT,DENNIS,MA,,3,3,,,,,,,,,THIRD MATE,ROW,ROW,,,155104,,82,75,75,2014-03-12,-70.14123646070854,41.65995573106599,011600
M_307954_833813,307954.19400000,833812.74640000,BC,3355211,70,HIRAM POND ROAD,,,,,,,,02638,,DENNIS,DENNIS,MA,,70,70,,,,,,,,,HIRAM POND,ROAD,RD,,,154874,,81,75,75,2014-03-12,-70.20207273950331,41.74720252359963,011300
M_313810_823932,313810.37840000,823932.42240000,BC,3350539,12,MYRTLE ROAD,,,,,,,,02639,,DENNISPORT,DENNIS,MA,,12,12,,,,,,,,,MYRTLE,ROAD,RD,,,154413,,82,75,75,2014-03-12,-70.13357874571932,41.65743227990667,011600
M_313044_831261,313044.20900000,831260.84620000,BC,3350633,15,PILOT DRIVE,,,,,,,,02660,,DENNIS,DENNIS,MA,,15,15,,,,,,,,,PILOT,DRIVE,DR,,,155342,,81,75,75,2014-03-12,-70.14137455606101,41.723515630923835,011400
M_313971_823795,313971.15980000,823795.23160000,BC,3369803,73,SEA STREET,,,,,1,,,02639,,DENNISPORT,DENNIS,MA,,73,73,,,,,,,,,SEA,STREET,ST,,,155001,,82,75,75,2014-07-28,-70.13167513670527,41.65617403301108,011600
M_310486_829542,310485.67920000,829542.45380000,BC,3349837,24,CHARLES STREET,,,,,,,,02660,,SOUTH DENNIS,DENNIS,MA,,24,24,,,,,,,,,CHARLES,STREET,ST,,,154616,,297,75,75,2014-03-12,-70.17244071727852,41.708408695605215,011500
M_311533_824493,311533.19400000,824493.12540000,BMP,3367492,38,JUNIPER ROAD,,,,,2,,,02670,,WEST DENNIS,DENNIS,MA,,38,38,,,,,,,,,JUNIPER,ROAD,RD,,,154929,,350,75,75,2014-07-25,-70.1608086753712,41.66280510779402,011700
M_310643_832411,310642.75820000,832410.55240000,BC,3359442,42,JILMA DRIVE,,,,,,,,02660,,DENNIS,DENNIS,MA,,42,42,,,,,,,,,JILMA,DRIVE,DR,,,154916,,81,75,75,2014-03-12,-70.17001630431653,41.73420648425008,011400
M_313381_824230,313380.84120000,824230.01340000,BC,3357203,7,CRANBERRY LANE,,,,,,,,02639,,DENNISPORT,DENNIS,MA,,7,7,,,,,,,,,CRANBERRY,LANE,LN,,,154670,,82,75,75,2014-03-12,-70.1386779255348,41.66017313992356,011600
M_307327_832644,307327.31820000,832643.50920000,BC,3350470,124,ROBBINS CIRCLE,,,,,,,,02638,,DENNIS,DENNIS,MA,,124,124,,,,,,,,,ROBBINS,CIRCLE,CIR,,,155407,,81,75,75,2014-03-12,-70.20982109797096,41.736762128752936,011300
