ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_231723_842531,231722.55060000,842531.16880000,BMP,2447502,1345,SOMERSET AVENUE,,,,,,,,02715,,DIGHTON,DIGHTON,MA,,1345,1345,,,,,,,,,SOMERSET,AVENUE,AVE,,,116317,,84,76,76,2014-03-01,-71.1181052994893,41.83245451594461,615100
M_231841_842928,231840.53360000,842927.68380000,BMP,2446855,171,CENTER STREET,,,,,,,,02715,,DIGHTON,DIGHTON,MA,,171,171,,,,,,,,,CENTER,STREET,ST,,,116205,,84,76,76,2014-03-01,-71.1166635171282,41.836019722786055,615100
M_228423_841154,228423.45020000,841154.34120000,BC,2447922,1224,MAIN STREET,,,,,,,,02715,,DIGHTON,DIGHTON,MA,,1224,1224,,,,,,,,,MAIN,STREET,ST,,,116256,,84,76,76,2014-03-01,-71.1578878377396,41.82018446920467,615100
M_230402_845958,230402.46700000,845958.11520000,BC,2446351,218,CHASE STREET,,,,,,,,02764,,DIGHTON,DIGHTON,MA,,218,218,,,,,,,,,CHASE,STREET,ST,,,116206,,84,76,76,2014-03-01,-71.13381993074121,41.863360691932506,615100
M_225433_847338,225432.72700000,847337.59280000,BC,2447362,2292,CHESTNUT STREET,,,,,,,,02764,,DIGHTON,DIGHTON,MA,,2292,2292,,,,,,,,,CHESTNUT,STREET,ST,,,116209,,84,76,76,2014-03-01,-71.19361731878249,41.87595704659921,615100
M_229906_845535,229906.39660000,845535.36620000,BMP,2446780,439,FOREST STREET,,,,,,,,02764,,DIGHTON,DIGHTON,MA,,439,439,,,,,,,,,FOREST,STREET,ST,,,116233,,84,76,76,2014-03-01,-71.13981624029539,41.8595735460943,615100
M_231603_843312,231603.52380000,843312.80080000,BC,2448353,1020,SOMERSET AVENUE,,ORCHARD CONDOMINIUM,,,26,,,02764,,DIGHTON,DIGHTON,MA,,1020,1020,,,,,,,,,SOMERSET,AVENUE,AVE,,,116317,16018,84,76,76,2014-03-01,-71.1194962185872,41.839496628247865,615100
M_226621_842256,226620.65940000,842256.30720000,BMP,2445617,1835,SMITH STREET,,,,,,,,02715,,DIGHTON,DIGHTON,MA,,1835,1835,,,,,,,,,SMITH,STREET,ST,,,116316,,84,76,76,2014-03-01,-71.17953666151811,41.83016895118078,615100
M_231301_840615,231300.53060000,840615.09480000,BC,2448116,290,MAIN STREET,,,,,,,,02715,,DIGHTON,DIGHTON,MA,,290,290,,,,,,,,,MAIN,STREET,ST,,,116256,,84,76,76,2014-03-01,-71.12328763229631,41.81522027252334,615100
M_227605_842590,227604.73780000,842590.19380000,BMP,2446281,1730,WELLINGTON STREET,,,,,,,,02715,,DIGHTON,DIGHTON,MA,,1730,1730,,,,,,,,,WELLINGTON,STREET,ST,,,116341,,84,76,76,2014-03-01,-71.16767464153126,41.83314116090006,615100
