ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_176212_870698,176212.15750000,870697.72120000,ABC,1564652,722,NORTHWEST MAIN STREET,,,,,,,,01516,,DOUGLAS,DOUGLAS,MA,,722,722,,,,,,,NORTHWEST,,MAIN,STREET,ST,,,70738,,86,77,77,2016-09-14,-71.7875158490689,42.086326582909656,752100
M_183505_862535,183505.38200000,862534.90020000,BC,1566370,114,ORANGE STREET,,,,,,,,01516,,DOUGLAS,DOUGLAS,MA,,114,114,,,,,,,,,ORANGE,STREET,ST,,,70743,,86,77,77,2014-02-03,-71.69913509071355,42.013022072816966,752100
M_182183_870071,182182.66340000,870071.25540000,BMP,1564633,27,WIXTEAD COURT,,,,,,,,01516,,DOUGLAS,DOUGLAS,MA,,27,27,,,,,,,,,WIXTEAD,COURT,CT,,,70824,,86,77,77,2014-02-03,-71.71533354528373,42.08084483729696,752100
M_181323_862551,181322.53460000,862550.94440000,BMP,1565151,69,HEMLOCK STREET,,,,,,,,01516,,DOUGLAS,DOUGLAS,MA,,69,69,,,,,,,,,HEMLOCK,STREET,ST,,,70691,,86,77,77,2014-02-03,-71.72548841725497,42.01311760514193,752100
M_178590_862680,178589.51200000,862679.51560000,PC,1565134,265,WALLUM LAKE ROAD,,,,,,,,01516,,DOUGLAS,DOUGLAS,MA,,265,265,,,,,,,,,WALLUM LAKE,ROAD,RD,,,70805,,86,77,77,2014-02-03,-71.75848803751185,42.01420535865544,752100
M_180904_863552,180903.87320000,863552.23880000,BMP,1567565,67,CHESTNUT STREET,,,,,,,,01516,,DOUGLAS,DOUGLAS,MA,,67,67,,,,,,,,,CHESTNUT,STREET,ST,,,70649,,86,77,77,2014-02-03,-71.73057546606412,42.02212246059443,752100
M_179762_865630,179762.36940000,865630.47440000,BMP,1568118,47,OLD FARM ROAD,,,,,,,,01516,,DOUGLAS,DOUGLAS,MA,,47,47,,,,,,,,,OLD FARM,ROAD,RD,,,70740,,86,77,77,2014-02-03,-71.7444303472795,42.04080474095664,752100
M_177098_870959,177098.05480000,870958.62020000,ABC,4244552,76,OAK STREET,,LAKE MANCHAUG CAMPGROUND,,,56,,,01516,,DOUGLAS,DOUGLAS,MA,,76,76,,,,,,,,,OAK,STREET,ST,,,70839,20768,86,77,77,2016-09-14,-71.77681860961536,42.08870188860351,752100
M_182394_869642,182393.79500000,869641.68480000,BC,1568473,23,GILBOA STREET,,,,,2,,,01516,,DOUGLAS,DOUGLAS,MA,,23,23,,,,,,,,,GILBOA,STREET,ST,,,70684,,86,77,77,2014-02-03,-71.71276894944786,42.07698209260134,752100
M_179036_867811,179035.58460000,867811.03940000,BC,1564838,92,NORTHWEST MAIN STREET,,,,,,,,01516,,DOUGLAS,DOUGLAS,MA,,92,92,,,,,,,NORTHWEST,,MAIN,STREET,ST,,,70738,,86,77,77,2014-02-03,-71.75328661939312,42.06041779014545,752100
M_182680_868552,182679.63400000,868551.70960000,BMP,1564906,19,MARTIN ROAD,,,,,,,,01516,,DOUGLAS,DOUGLAS,MA,,19,19,,,,,,,,,MARTIN,ROAD,RD,,,70722,,86,77,77,2014-02-03,-71.70928231289432,42.06717517225047,752100
M_180084_866936,180083.94060000,866935.87460000,BMP,1568443,2,MAIN STREET,,,,,1,,,01516,,DOUGLAS,DOUGLAS,MA,,2,2,,,,,,,,,MAIN,STREET,ST,,,70714,,86,77,77,2014-02-03,-71.74059089937936,42.052565806370886,752100
M_181403_864268,181403.44800000,864267.74080000,BC,1564911,195,SOUTH STREET,,,,,,,,01516,,DOUGLAS,DOUGLAS,MA,,195,195,,,,,,,,,SOUTH,STREET,ST,,,70780,,86,77,77,2014-02-03,-71.72456614252415,42.028576318778185,752100
M_182773_869391,182772.76700000,869390.88840000,BC,1568645,403,NORTHEAST MAIN STREET,,,,,A,,,01516,,DOUGLAS,DOUGLAS,MA,,403,403,,,,,,,NORTHEAST,,MAIN,STREET,ST,,,70737,,86,77,77,2014-02-03,-71.7081817377229,42.0747325377409,752100
M_178204_862860,178203.99620000,862860.36280000,PC,1567219,21,RICHIE ROAD,,,,,,,,01516,,DOUGLAS,DOUGLAS,MA,,21,21,,,,,,,,,RICHIE,ROAD,RD,,,70766,,86,77,77,2014-02-03,-71.76314906230239,42.015822961719316,752100
M_182394_869642,182393.79500000,869641.68480000,BC,1565949,23,GILBOA STREET,,,,,,,,01516,,DOUGLAS,DOUGLAS,MA,,23,23,,,,,,,,,GILBOA,STREET,ST,,,70684,,86,77,77,2014-02-03,-71.71276894944786,42.07698209260134,752100
M_184636_864646,184635.65680000,864646.28160000,BC,1565833,93,LINDEN STREET,,,,,,,,01516,,DOUGLAS,DOUGLAS,MA,,93,93,,,,,,,,,LINDEN,STREET,ST,,,70709,,86,77,77,2014-02-03,-71.68554508020607,42.03205438322435,752100
M_182243_869547,182243.04200000,869547.04260000,PC,1566497,16,CEMETERY STREET,,,,,,,,01516,,DOUGLAS,DOUGLAS,MA,,16,16,,,,,,,,,CEMETERY,STREET,ST,,,70647,,86,77,77,2014-02-03,-71.71458789693045,42.07612660844078,752100
M_178675_862493,178674.91100000,862492.93560000,BMP,1568205,271,WALLUM LAKE ROAD,,,,,,,,01516,,DOUGLAS,DOUGLAS,MA,,271,271,,,,,,,,,WALLUM LAKE,ROAD,RD,,,70805,,86,77,77,2014-02-03,-71.75745022583173,42.012527853139765,752100
M_183432_867424,183432.09060000,867424.47940000,BC,1564756,98,MAPLE STREET,,,,,,,,01516,,DOUGLAS,DOUGLAS,MA,,98,98,,,,,,,,,MAPLE,STREET,ST,,,70720,,86,77,77,2014-02-03,-71.70015843768996,42.05704271432047,752100
M_182023_870597,182023.05300000,870597.28700000,BC,1566638,69,POND STREET,,,,,,,,01516,,DOUGLAS,DOUGLAS,MA,,69,69,,,,,,,,,POND,STREET,ST,,,70755,,86,77,77,2014-02-03,-71.71727872201762,42.08557716370137,752100
M_178280_869354,178279.88620000,869353.99640000,BC,1566680,408,NORTHWEST MAIN STREET,,,,,,,,01516,,DOUGLAS,DOUGLAS,MA,,408,408,,,,,,,NORTHWEST,,MAIN,STREET,ST,,,70738,,86,77,77,2014-02-03,-71.76247407850178,42.07428879025216,752100
M_181839_868517,181838.92520000,868517.12140000,BC,1566246,6,SUNSET DRIVE,,,,,,,,01516,,DOUGLAS,DOUGLAS,MA,,6,6,,,,,,,,,SUNSET,DRIVE,DR,,,70792,,86,77,77,2014-02-03,-71.71943949438365,42.06684474463729,752100
M_181083_867987,181082.93440000,867986.78500000,PC,1564837,91,MAIN STREET,,,,,,,,01516,,DOUGLAS,DOUGLAS,MA,,91,91,,,,,,,,,MAIN,STREET,ST,,,70714,,86,77,77,2014-02-03,-71.72855688546417,42.0620521315417,752100
M_181955_866103,181954.61500000,866102.82520000,BMP,1566463,131,YEW STREET,,,,,,,,01516,,DOUGLAS,DOUGLAS,MA,,131,131,,,,,,,,,YEW,STREET,ST,,,70829,,86,77,77,2014-02-03,-71.71796707944341,42.045110932234444,752100
M_178722_866284,178721.59800000,866283.65160000,BMP,1565412,104,SOUTHWEST MAIN STREET,,,,,,,,01516,,DOUGLAS,DOUGLAS,MA,,104,104,,,,,,,SOUTHWEST,,MAIN,STREET,ST,,,70782,,86,77,77,2014-02-03,-71.75702449490201,42.04665790985673,752100
