ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_220331_884402,220331.10160000,884402.21700000,BC,2465999,6,OAK CIRCLE,,,,,,,,02030,,DOVER,DOVER,MA,,6,6,,,,,,,,,OAK,CIRCLE,CIR,,,117561,,87,78,78,2014-03-01,-71.25378625616649,42.20980692339381,405100
M_216314_890772,216314.38540000,890771.77800000,BMP,2465966,92,MAIN STREET,,,,,,,,02030,,DOVER,DOVER,MA,,92,92,,,,,,,,,MAIN,STREET,ST,,,117465,,87,78,78,2014-03-01,-71.30225047181413,42.26724604169208,405100
M_217714_885201,217714.22460000,885200.76740000,BC,2464944,156,PINE STREET,,,,,,,,02030,,DOVER,DOVER,MA,,156,156,,,,,,,,,PINE,STREET,ST,,,117467,,87,78,78,2014-03-01,-71.28545269659988,42.21705991885105,405100
M_218766_886730,218766.02900000,886730.41860000,BC,2464975,52,WALPOLE STREET,,,,,,,,02030,,DOVER,DOVER,MA,,52,52,,,,,,,,,WALPOLE,STREET,ST,,,117615,,87,78,78,2014-03-01,-71.27266436109812,42.23080684112053,405100
M_215912_890920,215912.37580000,890920.22140000,BMP,2464255,36,DOVER ROAD,,,,,,,,02030,,DOVER,DOVER,MA,,36,36,,,,,,,,,DOVER,ROAD,RD,,,117514,,87,78,78,2014-03-01,-71.30711921510853,42.26859075520274,405100
M_217850_889527,217850.00840000,889526.93500000,BC,2465594,28,CHICKERING DRIVE,,,,,,,,02030,,DOVER,DOVER,MA,,28,28,,,,,,,,,CHICKERING,DRIVE,DR,,,117461,,87,78,78,2014-03-01,-71.2836752603717,42.2560052365154,405100
M_216299_890827,216298.98000000,890827.27180000,BC,2464572,94,MAIN STREET,,,,,,,,02030,,DOVER,DOVER,MA,,94,94,,,,,,,,,MAIN,STREET,ST,,,117465,,87,78,78,2014-03-01,-71.30243564469968,42.26774597003656,405100
M_217783_887661,217782.64100000,887660.69880000,BC,2464582,28,KNOLLWOOD DRIVE,,,,,,,,02030,,DOVER,DOVER,MA,,28,28,,,,,,,,,KNOLLWOOD,DRIVE,DR,,,117547,,87,78,78,2014-03-01,-71.2845488128552,42.23920511716558,405100
M_217640_888401,217639.94340000,888401.28240000,BC,2464244,31,SPRINGDALE AVENUE,,,,,,,,02030,,DOVER,DOVER,MA,,31,31,,,,,,,,,SPRINGDALE,AVENUE,AVE,,,117597,,87,78,78,2014-03-01,-71.28625521831569,42.2458758023687,405100
M_218087_888312,218087.41520000,888311.53760000,BC,2464971,5,SPRINGDALE AVENUE,,,DOVER TOWN HALL,,,,,02030,,DOVER,DOVER,MA,,5,5,,,,,,,,,SPRINGDALE,AVENUE,AVE,,,117597,,87,78,78,2014-03-01,-71.28083597994824,42.24505760971602,405100
M_215279_886205,215279.04800000,886205.14380000,PC,2465002,18,GRAND HILL DRIVE,,,,,,,,02030,,DOVER,DOVER,MA,,18,18,,,,,,,,,GRAND HILL,DRIVE,DR,,,117525,,87,78,78,2014-03-01,-71.314920045082,42.226153688601094,405100
M_218173_885571,218173.35040000,885570.53340000,BC,2465987,5,POND STREET,,,,,,,,02030,,DOVER,DOVER,MA,,5,5,,,,,,,,,POND,STREET,ST,,,117575,,87,78,78,2014-03-01,-71.2798804233805,42.22037839373464,405100
