ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_212381_934223,212381.21440000,934223.34130000,BC,2321160,600,SKYLINE DRIVE,,SKYLINE COMMONS,,,6,,,01826,,DRACUT,DRACUT,MA,,600,600,,,,,,,,,SKYLINE,DRIVE,DR,,,108763,16578,88,79,79,2017-01-11,-71.34899257648902,42.65849221620699,314101
M_216733_934987,216732.70260000,934987.02300000,BMP,2321540,700,ROBBINS AVENUE,,,,,9,,,01826,,DRACUT,DRACUT,MA,,700,700,,,,,,,,,ROBBINS,AVENUE,AVE,,,108717,,88,79,79,2014-09-24,-71.29589755950128,42.66528536012401,314301
M_218067_934350,218067.21760000,934349.81300000,BC,2311282,6,WASHINGTON AVENUE,,,,,,,,01826,,DRACUT,DRACUT,MA,,6,6,,,,,,,,,WASHINGTON,AVENUE,AVE,,,108843,,88,79,79,2014-02-19,-71.27963954003569,42.659519291227,314301
M_216272_935531,216271.52620000,935530.68140000,BC,2307011,50,ARLINGTON STREET,,,,,,,,01826,,DRACUT,DRACUT,MA,,50,50,,,,,,,,,ARLINGTON,STREET,ST,,,108886,,88,79,79,2014-02-19,-71.3015074521114,42.670189175020546,314301
M_216733_934987,216732.70260000,934987.02300000,BMP,2321527,700,ROBBINS AVENUE,,,,,19,,,01826,,DRACUT,DRACUT,MA,,700,700,,,,,,,,,ROBBINS,AVENUE,AVE,,,108717,,88,79,79,2014-09-24,-71.29589755950128,42.66528536012401,314301
M_216733_934987,216732.70260000,934987.02300000,BMP,2321535,700,ROBBINS AVENUE,,,,,4,,,01826,,DRACUT,DRACUT,MA,,700,700,,,,,,,,,ROBBINS,AVENUE,AVE,,,108717,,88,79,79,2014-09-24,-71.29589755950128,42.66528536012401,314301
M_214953_935464,214953.13540000,935464.28580000,BC,2314016,50,LEE ROAD,,,,,,,,01826,,DRACUT,DRACUT,MA,,50,50,,,,,,,,,LEE,ROAD,RD,,,109255,,88,79,79,2014-02-19,-71.3175918744614,42.66961798098697,314200
M_211172_938480,211172.24840000,938479.89100000,BC,2310946,43,THIRD STREET,,,,,,,,01826,,DRACUT,DRACUT,MA,,43,43,,,,,,,,,THIRD,STREET,ST,,,108806,,88,79,79,2014-02-19,-71.3636547123929,42.69682797383732,314101
M_215656_935048,215656.43320000,935048.22100000,BMP,2311179,51,SUPERIOR AVENUE,,,,,,,,01826,,DRACUT,DRACUT,MA,,51,51,,,,,,,,,SUPERIOR,AVENUE,AVE,,,108794,,88,79,79,2014-02-19,-71.30902397970813,42.665858703559316,314200
M_213126_934633,213125.81420000,934633.03720000,BMP,2314040,513,TEXTILE AVENUE,,,,,,,,01826,,DRACUT,DRACUT,MA,,513,513,,,,,,,,,TEXTILE,AVENUE,AVE,,,108805,,88,79,79,2014-02-19,-71.33990171028734,42.66216809082536,314102
M_210670_936831,210669.76880000,936831.19200000,BMP,2321259,638,NASHUA ROAD,,,,,2,,,01826,,DRACUT,DRACUT,MA,,638,638,,,,,,,,,NASHUA,ROAD,RD,,,108617,,88,79,79,2014-02-19,-71.3698176351495,42.68199351905973,314101
M_218447_934586,218447.08480000,934585.74340000,BC,2312947,767,METHUEN STREET,,,,,,,,01826,,DRACUT,DRACUT,MA,,767,767,,,,,,,,,METHUEN,STREET,ST,,,108594,,88,79,79,2014-02-19,-71.27499884376866,42.661634214664815,314301
M_212158_938332,212158.04100000,938332.33400000,ABC,2311696,9,CLEMENT ROAD,,,,,,,,01826,,DRACUT,DRACUT,MA,,9,9,,,,,,,,,CLEMENT,ROAD,RD,,,108986,,88,79,79,2014-02-19,-71.35162732863778,42.69548486402985,314101
M_215100_937337,215100.47100000,937336.91760000,PC,2315540,102,CROSS ROAD,,,,,,,,01826,,DRACUT,DRACUT,MA,,102,102,,,,,,,,,CROSS,ROAD,RD,,,109014,,88,79,79,2014-02-19,-71.31574523782379,42.68647252952528,314200
M_219620_941976,219619.76100000,941975.83560000,BC,2315257,47,AUTUMN ROAD,,,,,,,,01826,,DRACUT,DRACUT,MA,,47,47,,,,,,,,,AUTUMN,ROAD,RD,,,108892,,88,79,79,2014-02-19,-71.26044249876699,42.72813049195204,314302
M_212381_934223,212381.21440000,934223.34130000,BC,2321175,610,SKYLINE DRIVE,,SKYLINE COMMONS,,,10,,,01826,,DRACUT,DRACUT,MA,,610,610,,,,,,,,,SKYLINE,DRIVE,DR,,,108763,16578,88,79,79,2017-01-11,-71.34899257648902,42.65849221620699,314101
M_216733_934987,216732.70260000,934987.02300000,BMP,2321420,668,ROBBINS AVENUE,,,,,10,,,01826,,DRACUT,DRACUT,MA,,668,668,,,,,,,,,ROBBINS,AVENUE,AVE,,,108717,,88,79,79,2014-09-24,-71.29589755950128,42.66528536012401,314301
M_216733_934987,216732.70260000,934987.02300000,BMP,2321425,668,ROBBINS AVENUE,,,,,15,,,01826,,DRACUT,DRACUT,MA,,668,668,,,,,,,,,ROBBINS,AVENUE,AVE,,,108717,,88,79,79,2014-09-24,-71.29589755950128,42.66528536012401,314301
