ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_164908_865238,164907.70820000,865237.98700000,BC,1114435,3,LEONARD AVENUE,,,,,,,,01571,,DUDLEY,DUDLEY,MA,,3,3,,,,,,,,,LEONARD,AVENUE,AVE,,,50489,,89,80,80,2013-12-30,-71.92381924258252,42.03674719579852,755200
M_164476_866315,164476.03120000,866315.09740000,PC,1116002,144,CENTER ROAD,,,,,,,,01571,,DUDLEY,DUDLEY,MA,,144,144,,,,,,,,,CENTER,ROAD,RD,,,50373,,89,80,80,2013-12-30,-71.92909807832552,42.04642517419172,755200
M_164947_865521,164946.92120000,865520.72300000,BC,1115828,12,HALL ROAD,,,,,,,,01571,,DUDLEY,DUDLEY,MA,,12,12,,,,,,,,,HALL,ROAD,RD,,,50446,,89,80,80,2013-12-30,-71.92336261265771,42.039294471393916,755200
M_167533_865601,167532.94340000,865601.29140000,BC,1116940,21,FIRST AVENUE,,,,,LEFT,,,01571,,DUDLEY,DUDLEY,MA,,21,21,,,,,,,,,FIRST,AVENUE,AVE,,,50426,,89,80,80,2015-02-17,-71.8921341927978,42.04013114350318,755100
M_162796_867638,162796.37420000,867637.59100000,BMP,1115326,12,HICKORY DRIVE,,,,,,,,01571,,DUDLEY,DUDLEY,MA,,12,12,,,,,,,,,HICKORY,DRIVE,DR,,,50450,,89,80,80,2013-12-30,-71.94947065785709,42.05825390391715,755200
M_162044_866615,162043.83940000,866614.69080000,BMP,1113691,43,DURFEE ROAD,,,,,,,,01571,,DUDLEY,DUDLEY,MA,,43,43,,,,,,,,,DURFEE,ROAD,RD,,,50409,,89,80,80,2013-12-30,-71.95849570547574,42.049008526505226,755200
M_166986_867170,166985.98860000,867170.16440000,BC,1113678,74,FLAXFIELD ROAD,,,,,,,,01571,,DUDLEY,DUDLEY,MA,,74,74,,,,,,,,,FLAXFIELD,ROAD,RD,,,50428,,89,80,80,2013-12-30,-71.89882876835418,42.0542331589401,755100
M_167484_866149,167484.15900000,866149.15580000,BC,1113781,16,WILLIAMS STREET,,,,,,,,01571,,DUDLEY,DUDLEY,MA,,16,16,,,,,,,,,WILLIAMS,STREET,ST,,,50636,,89,80,80,2013-12-30,-71.89275386674913,42.04506164875909,755100
M_165687_867460,165686.56060000,867459.53580000,BC,1117776,95,MASON ROAD,,,,,A,,,01571,,DUDLEY,DUDLEY,MA,,95,95,,,,,,,,,MASON,ROAD,RD,,,50504,,89,80,80,2013-12-30,-71.91454337357123,42.05678263727665,755200
M_167533_865601,167532.94340000,865601.29140000,BC,1114895,21,FIRST AVENUE,,,,,,,,01571,,DUDLEY,DUDLEY,MA,,21,21,,,,,,,,,FIRST,AVENUE,AVE,,,50426,,89,80,80,2015-02-17,-71.8921341927978,42.04013114350318,755100
M_164987_865589,164986.93660000,865589.27760000,BMP,1112644,7,HALL ROAD,,,,,,,,01571,,DUDLEY,DUDLEY,MA,,7,7,,,,,,,,,HALL,ROAD,RD,,,50446,,89,80,80,2013-12-30,-71.92288342923555,42.039913467668775,755200
M_167139_865512,167139.21640000,865512.03220000,BC,1113908,3,CIRCLE DRIVE,,,,,,,,01571,,DUDLEY,DUDLEY,MA,,3,3,,,,,,,,,CIRCLE,DRIVE,DR,,,50380,,89,80,80,2013-12-30,-71.89688450767855,42.03931113051207,755100
M_167533_865601,167532.94340000,865601.29140000,BC,1116803,19,FIRST AVENUE,,,,,2,,,01571,,DUDLEY,DUDLEY,MA,,19,19,,,,,,,,,FIRST,AVENUE,AVE,,,50426,,89,80,80,2013-12-30,-71.8921341927978,42.04013114350318,755100
M_167151_865770,167151.03080000,865769.87440000,BMP,1114848,18,SIXTH AVENUE,,,,,,,,01571,,DUDLEY,DUDLEY,MA,,18,18,,,,,,,,,SIXTH,AVENUE,AVE,,,50597,,89,80,80,2013-12-30,-71.89675630375979,42.041633027189306,755100
M_165303_867656,165302.55600000,867655.93620000,BC,1116542,301,MASON ROAD EXTENSION,,,,,,,,01571,,DUDLEY,DUDLEY,MA,,301,301,,,,,,,,,MASON,ROAD EXTENSION,,,,50505,,89,80,80,2013-12-30,-71.91919415008424,42.05853396428439,755200
