ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_202908_935648,202907.78400000,935647.99080000,BC,1307621,303,FOREST STREET,,,,,,,,01827,,DUNSTABLE,DUNSTABLE,MA,,303,303,,,,,,,,,FOREST,STREET,ST,,,59636,,90,81,81,2014-01-28,-71.46452796498971,42.671410187395786,328100
M_202973_934540,202972.70600000,934539.55700000,BMP,1307657,497,FOREST STREET,,,,,,,,01827,,DUNSTABLE,DUNSTABLE,MA,,497,497,,,,,,,,,FOREST,STREET,ST,,,59636,,90,81,81,2014-01-28,-71.46374173003483,42.661431780471936,328100
M_197110_934294,197110.04800000,934293.61020000,PC,1307388,295,KEMP STREET,,,,,,,,01827,,DUNSTABLE,DUNSTABLE,MA,,295,295,,,,,,,,,KEMP,STREET,ST,,,59651,,90,81,81,2014-01-28,-71.53524767502844,42.659218066464085,328100
M_199413_938862,199413.48500000,938862.48160000,BC,1307761,81,CENTURY WAY,,,,,,,,01827,,DUNSTABLE,DUNSTABLE,MA,,81,81,,,,,,,,,CENTURY,WAY,WAY,,,59623,,90,81,81,2014-01-28,-71.50715818330836,42.70035219326648,328100
M_198008_933966,198007.59320000,933965.54940000,BC,1308462,514,GROTON STREET,,,,,,,,01827,,DUNSTABLE,DUNSTABLE,MA,,514,514,,,,,,,,,GROTON,STREET,ST,,,59641,,90,81,81,2014-01-28,-71.52429950922404,42.65626766342137,328100
M_199107_938261,199106.92200000,938261.27120000,BC,1307849,1086,MAIN STREET,,,,,,,,01827,,DUNSTABLE,DUNSTABLE,MA,,1086,1086,,,,,,,,,MAIN,STREET,ST,,,59662,,90,81,81,2014-01-28,-71.51089872573132,42.69493983732564,328100
M_201170_934493,201169.73380000,934493.21700000,BC,1308390,233,POND STREET,,,,,,,,01827,,DUNSTABLE,DUNSTABLE,MA,,233,233,,,,,,,,,POND,STREET,ST,,,59676,,90,81,81,2014-01-28,-71.48573278184142,42.66101943249736,328100
M_197774_932982,197773.74580000,932982.28560000,PC,1307689,10,KEMP STREET,,,,,,,,01827,,DUNSTABLE,DUNSTABLE,MA,,10,10,,,,,,,,,KEMP,STREET,ST,,,59651,,90,81,81,2014-01-28,-71.52714770878177,42.64741561122855,328100
M_198627_935658,198626.70340000,935657.50660000,BC,1308454,493,PLEASANT STREET,,,,,,,,01827,,DUNSTABLE,DUNSTABLE,MA,,493,493,,,,,,,,,PLEASANT,STREET,ST,,,59674,,90,81,81,2014-01-28,-71.51675285838056,42.67150007768849,328100
M_203894_935458,203893.66200000,935458.20240000,BC,1307565,287,LOWELL STREET,,,,,,,,01827,,DUNSTABLE,DUNSTABLE,MA,,287,287,,,,,,,,,LOWELL,STREET,ST,,,59660,,90,81,81,2014-01-28,-71.4525025381446,42.66969739122449,328100
