ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_265113_869754,265113.04100000,869753.77160000,BC,3572594,38,CARR ROAD,,,,,,,,02332,,DUXBURY,DUXBURY,MA,,38,38,,,,,,,,,CARR,ROAD,RD,,,164384,,91,82,82,2014-03-14,-70.71312463105512,42.075484875115336,507104
M_265509_862612,265508.88960000,862611.77400000,BC,3573522,556,BAY ROAD,,,,,,,,02332,,DUXBURY,DUXBURY,MA,,556,556,,,,,,,,,BAY,ROAD,RD,,,164344,,91,82,82,2014-03-14,-70.70914140086109,42.01115324722269,507103
M_266327_863259,266327.15100000,863258.78060000,BC,3574717,24,INDIAN TRAIL,,,,,,,,02332,,DUXBURY,DUXBURY,MA,,24,24,,,,,,,,,INDIAN,TRAIL,TRL,,,164514,,91,82,82,2014-03-14,-70.69919015308488,42.01690946201749,507103
M_261990_863753,261989.63700000,863753.03240000,BC,3573841,24,HITTY TOM ROAD,,,,,,,,02332,,DUXBURY,DUXBURY,MA,,24,24,,,,,,,,,HITTY TOM,ROAD,RD,,,164501,,91,82,82,2014-03-14,-70.7515045695895,42.02171384294285,507101
M_263739_870530,263739.35840000,870530.01680000,BMP,3573946,30,AMADO WAY,,,,,,,,02332,,DUXBURY,DUXBURY,MA,,30,30,,,,,,,,,AMADO,WAY,WAY,,,164326,,91,82,82,2014-03-14,-70.72963962018976,42.08258620054506,507104
M_263253_865961,263252.90120000,865960.83600000,BC,3570798,124,BOLAS ROAD,,,,,,,,02332,,DUXBURY,DUXBURY,MA,,124,124,,,,,,,,,BOLAS,ROAD,RD,,,164357,,91,82,82,2014-03-14,-70.73601329374061,42.04148973252164,507101
M_262014_871090,262013.76120000,871089.65920000,BC,3569518,31,HUNT FARM DRIVE,,,,,,,,02332,,DUXBURY,DUXBURY,MA,,31,31,,,,,,,,,HUNT FARM,DRIVE,DR,,,164511,,91,82,82,2014-03-14,-70.75043483690476,42.08776300993067,507101
M_263089_865181,263089.39600000,865181.01920000,BMP,3571984,66,CHANDLER STREET,,,,,,,,02332,,DUXBURY,DUXBURY,MA,,66,66,,,,,,,,,CHANDLER,STREET,ST,,,164392,,91,82,82,2014-03-14,-70.73807218528917,42.03448226524179,507101
M_263712_866698,263712.12260000,866698.45260000,BC,3574054,481,CHANDLER STREET,,,,,,,,02332,,DUXBURY,DUXBURY,MA,,481,481,,,,,,,,,CHANDLER,STREET,ST,,,164392,,91,82,82,2014-03-14,-70.73038660198236,42.04809326527607,507101
M_269976_866473,269975.99580000,866473.43300000,BMP,3573947,30,CROOKED LANE,,,,,,,,02332,,DUXBURY,DUXBURY,MA,,30,30,,,,,,,,,CROOKED,LANE,LN,,,164420,,91,82,82,2014-03-14,-70.65475353560882,42.04553359910186,507103
