ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_155354_886106,155354.22960000,886105.66080000,BMP,1111561,129,HOWE STREET,,,,,,,,01515,,EAST BROOKFIELD,EAST BROOKFIELD,MA,,129,129,,,,,,,,,HOWE,STREET,ST,,,50231,,94,84,84,2013-12-30,-72.0407943402533,42.22413306221222,759100
M_153066_881588,153065.56240000,881588.24440000,BC,1111742,120,OAKWOOD DRIVE,,,,,,,,01515,,EAST BROOKFIELD,EAST BROOKFIELD,MA,,120,120,,,,,,,,,OAKWOOD,DRIVE,DR,,,50262,,94,84,84,2013-12-30,-72.06815169406322,42.18332939194268,759100
M_153245_881618,153245.17560000,881618.07140000,BC,1112244,126,OAKWOOD DRIVE,,,,,,,,01515,,EAST BROOKFIELD,EAST BROOKFIELD,MA,,126,126,,,,,,,,,OAKWOOD,DRIVE,DR,,,50262,,94,84,84,2013-12-30,-72.0659798964867,42.18360867189432,759100
M_154318_882665,154317.71280000,882664.98300000,BC,1112327,183,WEST STURBRIDGE ROAD,,,,,,,,01515,,EAST BROOKFIELD,EAST BROOKFIELD,MA,,183,183,,,,,,,WEST,,STURBRIDGE,ROAD,RD,,,50311,,94,84,84,2013-12-30,-72.05307908389146,42.19309724828891,759100
M_155592_886712,155591.79120000,886711.74380000,BC,1112534,100,LASHAWAY DRIVE,,,,,B,,,01515,,EAST BROOKFIELD,EAST BROOKFIELD,MA,,100,100,,,,,,,,,LASHAWAY,DRIVE,DR,,,50318,,94,84,84,2013-12-30,-72.03796313467582,42.229603058839665,759100
M_155954_880636,155953.70620000,880635.66260000,BMP,1111530,864,PODUNK ROAD,,,,,,,,01515,,EAST BROOKFIELD,EAST BROOKFIELD,MA,,864,864,,,,,,,,,PODUNK,ROAD,RD,,,50270,,94,84,84,2013-12-30,-72.03311894669721,42.17492123824135,759100
M_153816_886375,153815.64640000,886374.72580000,BMP,1111868,132,NORTH BROOKFIELD ROAD,,,,,,,,01515,,EAST BROOKFIELD,EAST BROOKFIELD,MA,,132,132,,,,,,,,,NORTH BROOKFIELD,ROAD,RD,,,50257,,94,84,84,2013-12-30,-72.0594520537483,42.22646607341946,759100
M_155483_886882,155482.95220000,886882.05780000,BMP,1112366,128,LASHAWAY DRIVE,,,,,,,,01515,,EAST BROOKFIELD,EAST BROOKFIELD,MA,,128,128,,,,,,,,,LASHAWAY,DRIVE,DR,,,50318,,94,84,84,2013-12-30,-72.03929462497022,42.2311301809434,759100
M_155382_886930,155382.45880000,886930.35940000,BMP,1111900,118,LASHAWAY DRIVE CIRCLE,,,,,,,,01515,,EAST BROOKFIELD,EAST BROOKFIELD,MA,,118,118,,,,,,,,,LASHAWAY,DRIVE CIRCLE,,,,50248,,94,84,84,2013-12-30,-72.04051571152809,42.231559305644836,759100
M_155592_886712,155591.79120000,886711.74380000,BC,1112427,100,LASHAWAY DRIVE,,,,,,,,01515,,EAST BROOKFIELD,EAST BROOKFIELD,MA,,100,100,,,,,,,,,LASHAWAY,DRIVE,DR,,,50318,,94,84,84,2013-12-30,-72.03796313467582,42.229603058839665,759100
