ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_120437_866022,120436.51080000,866022.23220000,BMP,164059,76,BRYNMAWR DRIVE,,,,,,,,01028,,EAST LONGMEADOW,EAST LONGMEADOW,MA,,76,76,,,,,,,,,BRYNMAWR,DRIVE,DR,,,8891,,95,85,85,2013-12-06,-72.46098406497872,42.040557608722935,813404
M_114353_869647,114353.08760000,869647.27260000,BMP,164916,56,HOLY CROSS CIRCLE,,,,,,,,01028,,EAST LONGMEADOW,EAST LONGMEADOW,MA,,56,56,,,,,,,,,HOLY CROSS,CIRCLE,CIR,,,9012,,95,85,85,2013-12-06,-72.53498519036569,42.07255176756195,813401
M_116381_867829,116380.96620000,867828.63220000,BC,163314,210,PROSPECT STREET,,,,,,,,01028,,EAST LONGMEADOW,EAST LONGMEADOW,MA,,210,210,,,,,,,,,PROSPECT,STREET,ST,,,9141,,95,85,85,2013-12-06,-72.51022168706012,42.056398138274844,813403
M_117897_865610,117896.59580000,865610.34060000,BC,161971,44,SOUTH BROOK ROAD,,,,,,,,01028,,EAST LONGMEADOW,EAST LONGMEADOW,MA,,44,44,,,,,,,SOUTH,,BROOK,ROAD,RD,,,9192,,95,85,85,2013-12-06,-72.4916011226936,42.03658773784093,813404
M_114777_869881,114777.06200000,869881.23300000,BC,164116,182,PATTERSON AVENUE,,,,,,,,01028,,EAST LONGMEADOW,EAST LONGMEADOW,MA,,182,182,,,,,,,,,PATTERSON,AVENUE,AVE,,,9119,,95,85,85,2013-12-06,-72.52989638044582,42.07470421877123,813401
M_116758_866802,116757.66040000,866801.76380000,BC,160355,403,PROSPECT STREET,,,,,,,,01028,,EAST LONGMEADOW,EAST LONGMEADOW,MA,,403,403,,,,,,,,,PROSPECT,STREET,ST,,,9141,,95,85,85,2013-12-06,-72.50552493495076,42.04719368111471,813404
M_117597_866618,117596.94120000,866618.07160000,BC,161002,32,OLD FARM ROAD,,,,,,,,01028,,EAST LONGMEADOW,EAST LONGMEADOW,MA,,32,32,,,,,,,,,OLD FARM,ROAD,RD,,,9104,,95,85,85,2013-12-06,-72.49536188436221,42.04562858892976,813404
M_119220_870297,119219.67780000,870296.70360000,BMP,164453,10,TANGLEWOOD DRIVE,,,,,,,,01028,,EAST LONGMEADOW,EAST LONGMEADOW,MA,,10,10,,,,,,,,,TANGLEWOOD,DRIVE,DR,,,9210,,95,85,85,2013-12-06,-72.47627084028066,42.078914909013974,813404
M_119506_867567,119505.56140000,867567.02200000,BMP,165994,33,ROLLING MEADOWS LANE,,,,,,,,01028,,EAST LONGMEADOW,EAST LONGMEADOW,MA,,33,33,,,,,,,,,ROLLING MEADOWS,LANE,LN,,,9158,,95,85,85,2013-12-06,-72.47244000298615,42.054369894998764,813404
M_119800_867856,119799.94600000,867856.11720000,BMP,164891,52,KENNETH LUNDEN DRIVE,,,,,,,,01028,,EAST LONGMEADOW,EAST LONGMEADOW,MA,,52,52,,,,,,,,,KENNETH LUNDEN,DRIVE,DR,,,9026,,95,85,85,2013-12-06,-72.46892356941345,42.05700268957026,813404
M_114731_867961,114730.83340000,867961.39420000,BMP,164384,33,FAIRHAVEN DRIVE,,,,,,,,01028,,EAST LONGMEADOW,EAST LONGMEADOW,MA,,33,33,,,,,,,,,FAIRHAVEN,DRIVE,DR,,,8957,,95,85,85,2013-12-06,-72.5301747897801,42.05741565384055,813403
M_114630_869542,114630.32100000,869542.47660000,BMP,160196,30,KINGMAN AVENUE,,,,,,,,01028,,EAST LONGMEADOW,EAST LONGMEADOW,MA,,30,30,,,,,,,,,KINGMAN,AVENUE,AVE,,,9029,,95,85,85,2013-12-06,-72.53162002317525,42.071638568994096,813401
M_114808_870505,114808.19880000,870504.50080000,BC,163654,42,HARKNESS AVENUE,,,,,,,,01028,,EAST LONGMEADOW,EAST LONGMEADOW,MA,,42,42,,,,,,,,,HARKNESS,AVENUE,AVE,,,9267,,95,85,85,2013-12-06,-72.52961105201422,42.080318624665786,813401
M_115922_869620,115922.24640000,869619.89820000,BMP,163383,26,LESTER STREET,,,,,,,,01028,,EAST LONGMEADOW,EAST LONGMEADOW,MA,,26,26,,,,,,,,,LESTER,STREET,ST,,,9042,,95,85,85,2013-12-06,-72.51602083440203,42.07247517619632,813401
M_115882_869616,115882.14900000,869616.09380000,BC,162584,29,MAPLESHADE AVENUE,,,,,,,,01028,,EAST LONGMEADOW,EAST LONGMEADOW,MA,,29,29,,,,,,,,,MAPLESHADE,AVENUE,AVE,,,9060,,95,85,85,2013-12-06,-72.5165047897064,42.07243662554306,813401
