ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_327130_846588,327129.83740000,846587.95220000,BMP,2214046,100,CABLE ROAD,,,NAUSET REGIONAL HIGH SCHOOL,,,,,02642,,EASTHAM,EASTHAM,MA,,100,100,,,,,,,,,CABLE,ROAD,RD,,,104452,,96,86,86,2014-02-17,-69.96881379123019,41.85934501448169,010306
M_326876_846998,326875.87160000,846997.81520000,PC,2210857,80,CROSS CART WAY,,,,,,,,02642,,EASTHAM,EASTHAM,MA,,80,80,,,,,,,,,CROSS CART,WAY,WAY,,,104501,,96,86,86,2014-02-17,-69.97178353300404,41.86307560542496,010306
M_325266_845106,325265.60840000,845106.20700000,BMP,2213687,250,MCKOY ROAD,,,,,,,,02642,,EASTHAM,EASTHAM,MA,,250,250,,,,,,,,,MCKOY,ROAD,RD,,,104081,,96,86,86,2014-02-17,-69.99157792873353,41.846305362201065,010306
M_325540_844873,325539.69760000,844873.41940000,BC,2214863,360,CAPTAINS WAY,,,,,,,,02642,,EASTHAM,EASTHAM,MA,,360,360,,,,,,,,,CAPTAINS,WAY,WAY,,,104464,,96,86,86,2014-02-17,-69.98832776924779,41.84416611203843,010304
M_324209_847254,324209.31840000,847254.29420000,BMP,2211171,325,WAMISCO ROAD,,,,,,,,02642,,EASTHAM,EASTHAM,MA,,325,325,,,,,,,,,WAMISCO,ROAD,RD,,,104298,,96,86,86,2014-02-17,-70.00384125364963,41.86581004797172,010306
M_325441_846326,325440.76600000,846326.29640000,BC,2210751,60,WILEY LANE,,,,,,,,02642,,EASTHAM,EASTHAM,MA,,60,60,,,,,,,,,WILEY,LANE,LN,,,104317,,96,86,86,2014-02-17,-69.98920895516397,41.85726074815357,010306
M_325957_845776,325957.33140000,845776.45200000,BC,2208473,137,HOLMES ROAD,,,,,,,,02642,,EASTHAM,EASTHAM,MA,,137,137,,,,,,,,,HOLMES,ROAD,RD,,,104611,,96,86,86,2014-02-17,-69.98310657961711,41.85222849166174,010306
M_326131_844084,326131.07460000,844084.42580000,BMP,2209741,400,LOCUST ROAD,,,,,,,,02642,,EASTHAM,EASTHAM,MA,,400,400,,,,,,,,,LOCUST,ROAD,RD,,,104054,,96,86,86,2014-02-17,-69.9813774024155,41.83696898658793,010304
M_325406_844728,325406.18540000,844727.98160000,BMP,2214405,75,WOOD SONG DRIVE,,,,,,,,02642,,EASTHAM,EASTHAM,MA,,75,75,,,,,,,,,WOOD SONG,DRIVE,DR,,,104330,,96,86,86,2014-02-17,-69.98996610573887,41.84287816578012,010304
M_326626_844767,326626.14620000,844767.40740000,BC,2208964,50,KNOWLES STREET,,,,,,,,02642,,EASTHAM,EASTHAM,MA,,50,50,,,,,,,,,KNOWLES,STREET,ST,,,104034,,96,86,86,2014-02-17,-69.97527101124747,41.843037689927485,010306
M_324125_846133,324124.69960000,846133.14580000,BC,2215039,120,BAY ROAD,REAR,,,,,,,02642,,EASTHAM,EASTHAM,MA,,120,120,,,,,,,,,BAY,ROAD,RD,,,104407,,96,86,86,2014-02-17,-70.005096978298,41.85573075800178,010306
M_324898_840057,324898.39800000,840056.58960000,PC,2209990,70,DYER PRINCE ROAD,,,,,,,,02642,,EASTHAM,EASTHAM,MA,,70,70,,,,,,,,,DYER PRINCE,ROAD,RD,,,104523,,96,86,86,2014-02-17,-69.99707019015828,41.800906736666654,010304
M_326903_845269,326903.11180000,845268.54020000,BC,2209956,55,CHESTER AVENUE,,,,,,,,02642,,EASTHAM,EASTHAM,MA,,55,55,,,,,,,,,CHESTER,AVENUE,AVE,,,104472,,96,86,86,2014-02-17,-69.97182863138421,41.84750427059542,010306
M_325398_848082,325397.83460000,848081.92520000,BC,2208031,415,HARVEST ROAD,,,,,,,,02642,,EASTHAM,EASTHAM,MA,,415,415,,,,,,,,,HARVEST,ROAD,RD,,,104588,,96,86,86,2014-02-17,-69.98935146212935,41.87307181831159,010306
M_327491_841622,327491.42940000,841621.50560000,BC,2211323,375,MARY CHASE ROAD,,,,,,,,02642,,EASTHAM,EASTHAM,MA,,375,375,,,,,,,,,MARY CHASE,ROAD,RD,,,104073,,96,86,86,2014-02-17,-69.96553560622887,41.81457852841458,
M_325445_847404,325444.62660000,847404.11780000,BC,2208813,215,ASPINET ROAD,,,,,,,,02642,,EASTHAM,EASTHAM,MA,,215,215,,,,,,,,,ASPINET,ROAD,RD,,,104395,,96,86,86,2014-02-17,-69.98893252430487,41.86696271563609,010306
M_325353_842979,325352.62360000,842979.39880000,BMP,2208329,935,SAMOSET ROAD,,,,,,,,02642,,EASTHAM,EASTHAM,MA,,935,935,,,,,,,,,SAMOSET,ROAD,RD,,,104196,,96,86,86,2014-02-17,-69.99098337151672,41.82714586714335,010304
M_324695_845960,324694.89120000,845960.34640000,BMP,2212401,415,CAMPGROUND ROAD,,,,,,,,02642,,EASTHAM,EASTHAM,MA,,415,415,,,,,,,,,CAMPGROUND,ROAD,RD,,,104359,,96,86,86,2014-02-17,-69.9982678951396,41.854085033095515,010306
M_326473_841497,326472.79120000,841497.16640000,BC,2215141,55,CLOVER WAY,,,,,A,,,02642,,EASTHAM,EASTHAM,MA,,55,55,,,,,,,,,CLOVER,WAY,WAY,,,104484,,96,86,86,2014-02-17,-69.97781984676456,41.8136235444457,
M_324973_848330,324972.74840000,848330.14980000,BC,2210233,15,BARROW HOUSE ROAD,,,,,,,,02642,,EASTHAM,EASTHAM,MA,,15,15,,,,,,,,,BARROW HOUSE,ROAD,RD,,,104406,,96,86,86,2014-02-17,-69.99441856771858,41.87537400918019,010306
M_324971_845079,324971.06200000,845079.32500000,PC,2209720,40,BONAYA ROAD,,,,,,,,02642,,EASTHAM,EASTHAM,MA,,40,40,,,,,,,,,BONAYA,ROAD,RD,,,104435,,96,86,86,2014-02-17,-69.99512976813833,41.84611020972535,010306
M_326430_840696,326430.34660000,840695.91700000,BC,2209610,165B,SOUTH EASTHAM STREET,,,,,,,,02642,,EASTHAM,EASTHAM,MA,,165,165,B,,,,,,SOUTH,,EASTHAM,STREET,ST,,,104233,,96,86,86,2014-12-02,-69.9785025878559,41.806417481473844,
