ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_103465_891483,103464.50960000,891483.16720000,PC,4189723,81,UNION STREET,,,,,,,,01027,,EASTHAMPTON,EASTHAMPTON,MA,,81,81,,,,,,,,,UNION,STREET,ST,,,9505,,97,87,87,2015-01-22,-72.67017060153147,42.26785921747464,822402
M_104521_890952,104520.70200000,890952.01560000,BMP,169667,68,MOUNT TOM AVENUE,,,,,,,,01027,,EASTHAMPTON,EASTHAMPTON,MA,,68,68,,,,,,,,,MOUNT TOM,AVENUE,AVE,,,9543,,97,87,87,2013-12-06,-72.65728202372374,42.26320745470689,822300
M_104521_890952,104520.70200000,890952.01560000,BMP,173156,70,MOUNT TOM AVENUE,,,,,,,,01027,,EASTHAMPTON,EASTHAMPTON,MA,,70,70,,,,,,,,,MOUNT TOM,AVENUE,AVE,,,9543,,97,87,87,2013-12-06,-72.65728202372374,42.26320745470689,822300
M_103624_887597,103624.00340000,887597.14260000,BC,173186,6,FOX RUN,,,,,,,,01027,,EASTHAMPTON,EASTHAMPTON,MA,,6,6,,,,,,,,,FOX,RUN,RUN,,,9675,,97,87,87,2013-12-06,-72.66759274578173,42.23289635265243,822401
M_103593_893730,103592.98940000,893729.68000000,BMP,170449,17,LYMAN STREET,,,,,,,,01027,,EASTHAMPTON,EASTHAMPTON,MA,,17,17,,,,,,,,,LYMAN,STREET,ST,,,9364,,97,87,87,2013-12-06,-72.66898659330296,42.28809839231008,822402
M_102968_887816,102967.75740000,887815.51160000,BMP,170546,55,DIVISION STREET,,,,,,,,01027,,EASTHAMPTON,EASTHAMPTON,MA,,55,55,,,,,,,,,DIVISION,STREET,ST,,,9642,,97,87,87,2013-12-06,-72.67557860539036,42.23478099690108,822401
M_104952_890320,104952.28300000,890319.80640000,PC,170825,461,EAST STREET,,,,,,,,01027,,EASTHAMPTON,EASTHAMPTON,MA,,461,461,,,,,,,,,EAST,STREET,ST,,,9653,,97,87,87,2013-12-06,-72.65194808700244,42.25756881099795,822300
M_102471_888586,102471.23840000,888586.37520000,BMP,168370,23,STRONG STREET,,,,,,,,01027,,EASTHAMPTON,EASTHAMPTON,MA,,23,23,,,,,,,,,STRONG,STREET,ST,,,9484,,97,87,87,2013-12-06,-72.68172271568801,42.24165865650556,822401
M_103886_892918,103886.15040000,892918.29020000,BC,168157,41,HIGHLAND AVENUE,,,,,,,,01027,,EASTHAMPTON,EASTHAMPTON,MA,,41,41,,,,,,,,,HIGHLAND,AVENUE,AVE,,,9303,,97,87,87,2013-12-06,-72.66529789849226,42.2808303069553,822402
M_104676_892116,104676.17460000,892115.65140000,BC,170503,26,EMERALD PLACE,,,,,,,,01027,,EASTHAMPTON,EASTHAMPTON,MA,,26,26,,,,,,,,,EMERALD,PLACE,PL,,,9659,,97,87,87,2013-12-06,-72.65558887893071,42.273701629443664,822300
M_102112_890737,102111.66580000,890737.29620000,BMP,168315,76,SOUTH STREET,,,,,,,,01027,,EASTHAMPTON,EASTHAMPTON,MA,,76,76,,,,,,,,,SOUTH,STREET,ST,,,9473,,97,87,87,2013-12-06,-72.68644146413679,42.260976562176964,822402
M_102562_888711,102561.87260000,888711.49960000,BC,171538,3,BAYBERRY DRIVE,,,,,,,,01027,,EASTHAMPTON,EASTHAMPTON,MA,,3,3,,,,,,,,,BAYBERRY,DRIVE,DR,,,9573,,97,87,87,2013-12-06,-72.6806456563349,42.242796342897364,822401
M_103578_888032,103577.92020000,888032.03300000,BMP,171063,22,SANDRA ROAD,,,,,,,,01027,,EASTHAMPTON,EASTHAMPTON,MA,,22,22,,,,,,,,,SANDRA,ROAD,RD,,,9547,,97,87,87,2013-12-06,-72.66822312874548,42.236805628850156,822401
M_101480_892177,101480.29180000,892177.25360000,BC,171116,10,CONCORD DRIVE,,,,,,,,01027,,EASTHAMPTON,EASTHAMPTON,MA,,10,10,,,,,,,,,CONCORD,DRIVE,DR,,,9624,,97,87,87,2013-12-06,-72.69433730771154,42.27385984784367,822401
M_104925_892219,104925.00620000,892218.74380000,BC,169235,20,PARSONS STREET,,,,,,,,01027,,EASTHAMPTON,EASTHAMPTON,MA,,20,20,,,,,,,,,PARSONS,STREET,ST,,,9415,,97,87,87,2013-12-06,-72.65258960499088,42.27465998981415,822300
M_102094_891774,102094.44060000,891774.06160000,BMP,168012,8,OAK RIDGE CIRCLE,,,,,,,,01027,,EASTHAMPTON,EASTHAMPTON,MA,,8,8,,,,,,,,,OAK RIDGE,CIRCLE,CIR,,,9397,,97,87,87,2013-12-06,-72.68682504672007,42.27030745914343,822402
M_102943_888616,102942.63080000,888615.89340000,BC,167594,28,KINGSBERRY WAY,,,,,,,,01027,,EASTHAMPTON,EASTHAMPTON,MA,,28,28,,,,,,,,,KINGSBERRY,WAY,WAY,,,9330,,97,87,87,2013-12-06,-72.67601667138466,42.24198303690182,822401
M_103948_890844,103948.21480000,890843.54360000,BC,173727,10,GAUGH STREET,,,,,,,,01027,,EASTHAMPTON,EASTHAMPTON,MA,,10,10,,,,,,,,,GAUGH,STREET,ST,,,9279,,97,87,87,2013-12-06,-72.66420220262982,42.2621608388356,822300
M_105138_891723,105138.04020000,891723.23160000,BC,173755,106,PARSONS STREET,,,,,,,,01027,,EASTHAMPTON,EASTHAMPTON,MA,,106,106,,,,,,,,,PARSONS,STREET,ST,,,9415,,97,87,87,2013-12-06,-72.64992633729771,42.270225211470155,822300
M_105138_891723,105138.04020000,891723.23160000,BC,174469,106,PARSONS STREET,,,,,2R,,,01027,,EASTHAMPTON,EASTHAMPTON,MA,,106,106,,,,,,,,,PARSONS,STREET,ST,,,9415,,97,87,87,2013-12-06,-72.64992633729771,42.270225211470155,822300
M_104438_891058,104438.06560000,891058.14600000,BC,173438,46,CLARK STREET,,,,,,,,01027,,EASTHAMPTON,EASTHAMPTON,MA,,46,46,,,,,,,,,CLARK,STREET,ST,,,9617,,97,87,87,2013-12-06,-72.65830098463637,42.264152756583634,822300
M_104996_892091,104995.98040000,892090.90640000,BC,173454,49,PARSONS STREET,,,,,,,,01027,,EASTHAMPTON,EASTHAMPTON,MA,,49,49,,,,,,,,,PARSONS,STREET,ST,,,9415,,97,87,87,2013-12-06,-72.65170836834,42.27351781251092,822300
M_102796_888321,102795.72260000,888320.62820000,BC,173455,49,PLAIN STREET,,,,,,,,01027,,EASTHAMPTON,EASTHAMPTON,MA,,49,49,,,,,,,,,PLAIN,STREET,ST,,,9428,,97,87,87,2013-12-06,-72.67774709425464,42.2393067680566,822401
M_102350_887486,102349.63400000,887486.18440000,BC,170731,35,KENNETH ROAD,,,,,,,,01027,,EASTHAMPTON,EASTHAMPTON,MA,,35,35,,,,,,,,,KENNETH,ROAD,RD,,,9326,,97,87,87,2013-12-06,-72.6830110887437,42.231739404021255,822401
M_102396_891139,102395.71900000,891139.10220000,BMP,176006,27,GLENDALE STREET,,,,,B,,,01027,,EASTHAMPTON,EASTHAMPTON,MA,,27,27,,,,,,,,,GLENDALE,STREET,ST,,,9283,,97,87,87,2013-12-06,-72.68306662400042,42.264629178447755,822402
M_105546_891264,105546.46100000,891263.84580000,BC,167584,27,RESERVATION ROAD,,,,,,,,01027,,EASTHAMPTON,EASTHAMPTON,MA,,27,27,,,,,,,,,RESERVATION,ROAD,RD,,,9450,,97,87,87,2013-12-06,-72.6449012720495,42.26613921761693,822300
M_101801_892208,101801.09780000,892208.05580000,BMP,172930,11,LAWLER DRIVE,,,,,,,,01027,,EASTHAMPTON,EASTHAMPTON,MA,,11,11,,,,,,,,,LAWLER,DRIVE,DR,,,9339,,97,87,87,2013-12-06,-72.69045394938559,42.27417750553171,822401
M_103111_892230,103110.93560000,892230.08020000,BC,172011,1,WEST STREET,,,,,,,,01027,,EASTHAMPTON,EASTHAMPTON,MA,,1,1,,,,,,,,,WEST,STREET,ST,,,9522,,97,87,87,2013-12-06,-72.67458063445403,42.27453925180792,822402
M_103187_892294,103187.29780000,892293.81460000,BC,176829,55,NORTHAMPTON STREET,,,,,C,,,01027,,EASTHAMPTON,EASTHAMPTON,MA,,55,55,,,,,,,,,NORTHAMPTON,STREET,ST,,,9394,,97,87,87,2013-12-06,-72.67366564762736,42.27512245779181,822402
M_103879_891143,103879.11520000,891142.58900000,BMP,172769,24,MAPLE STREET,,,,,,,,01027,,EASTHAMPTON,EASTHAMPTON,MA,,24,24,,,,,,,,,MAPLE,STREET,ST,,,9366,,97,87,87,2013-12-06,-72.66508913155162,42.264844388801215,822300
M_105051_891344,105051.25060000,891343.73020000,BMP,172777,25,EAST MAPLE STREET,,,,,,,,01027,,EASTHAMPTON,EASTHAMPTON,MA,,25,25,,,,,,,EAST,,MAPLE,STREET,ST,,,9652,,97,87,87,2013-12-06,-72.65091621228713,42.26679834992538,822300
M_104126_891457,104125.90540000,891457.27140000,BMP,170395,15,KNIPFER AVENUE,,,,,,,,01027,,EASTHAMPTON,EASTHAMPTON,MA,,15,15,,,,,,,,,KNIPFER,AVENUE,AVE,,,9540,,97,87,87,2013-12-06,-72.6621501040804,42.267707507660155,822300
M_105138_891723,105138.04020000,891723.23160000,BC,174472,106,PARSONS STREET,,,,,RIGHT,,,01027,,EASTHAMPTON,EASTHAMPTON,MA,,106,106,,,,,,,,,PARSONS,STREET,ST,,,9415,,97,87,87,2013-12-06,-72.64992633729771,42.270225211470155,822300
M_104410_888821,104410.07400000,888820.84460000,BC,174098,84,HENDRICK STREET,,,,,,,,01027,,EASTHAMPTON,EASTHAMPTON,MA,,84,84,,,,,,,,,HENDRICK,STREET,ST,,,9299,,97,87,87,2013-12-06,-72.65827200017881,42.24400881149243,822300
M_102532_888065,102531.57340000,888064.96060000,BMP,172323,58,STRONG STREET,,,,,,,,01027,,EASTHAMPTON,EASTHAMPTON,MA,,58,58,,,,,,,,,STRONG,STREET,ST,,,9484,,97,87,87,2013-12-06,-72.68090428755829,42.23697233106817,822401
M_103465_891483,103464.50960000,891483.16720000,PC,174096,81-83,UNION STREET,,,,,,,,01027,,EASTHAMPTON,EASTHAMPTON,MA,,81,81,,,83,83,,,,,UNION,STREET,ST,,,9505,,97,87,87,2013-12-06,-72.67017060153147,42.26785921747464,822402
M_100931_892706,100931.45980000,892705.97620000,PC,169096,47,CARILLON CIRCLE,,,,,,,,01027,,EASTHAMPTON,EASTHAMPTON,MA,,47,47,,,,,,,,,CARILLON,CIRCLE,CIR,,,9600,,97,87,87,2013-12-06,-72.70108007554056,42.27855005756683,822401
M_103553_893267,103552.77820000,893266.88800000,BC,168807,7,BALLARD STREET,,,,,,,,01027,,EASTHAMPTON,EASTHAMPTON,MA,,7,7,,,,,,,,,BALLARD,STREET,ST,,,9570,,97,87,87,2013-12-06,-72.66939718504615,42.283927340393305,822402
M_99245_893090,99244.62380000,893090.21780000,BMP,167509,2,ASHLEY CIRCLE,,,,,,,,01027,,EASTHAMPTON,EASTHAMPTON,MA,,2,2,,,,,,,,,ASHLEY,CIRCLE,CIR,,,9569,,97,87,87,2013-12-06,-72.72159475707132,42.28179334613051,822401
M_103057_892615,103056.83980000,892614.85220000,BMP,167577,25,GROVELAND STREET,,,,,,,,01027,,EASTHAMPTON,EASTHAMPTON,MA,,25,25,,,,,,,,,GROVELAND,STREET,ST,,,9292,,97,87,87,2013-12-06,-72.67530062119685,42.27799629448182,822402
