ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_235702_863776,235702.82200000,863776.67700000,BC,4228024,305,TURNPIKE STREET,,EASTON MOBILE HOME PARK,,,169,,,02375,,EASTON,EASTON,MA,,305,305,,,,,,,,,TURNPIKE,STREET,ST,,,118735,16004,98,88,88,2016-04-13,-71.06889654017199,42.02356320588703,600202
M_235485_863689,235485.73040000,863689.34100000,BC,4228064,305,TURNPIKE STREET,,EASTON MOBILE HOME PARK,,,233,,,02375,,EASTON,EASTON,MA,,305,305,,,,,,,,,TURNPIKE,STREET,ST,,,118735,16004,98,88,88,2016-04-13,-71.07152312511407,42.02278675176002,600202
M_233013_866041,233013.01600000,866041.22880000,BC,2481460,10,CEDAR DRIVE,,,,,,,,02375,,EASTON,EASTON,MA,,10,10,,,,,,,,,CEDAR,DRIVE,DR,,,118348,,98,88,88,2014-03-02,-71.10124701371312,42.04406919365787,600203
M_232216_868306,232215.95680000,868305.76640000,BC,2487705,8,REARDON WAY,,,,,,,,02356,,EASTON,EASTON,MA,,8,8,,,,,,,,,REARDON,WAY,WAY,,,118643,,98,88,88,2014-03-02,-71.11074946195993,42.064490366614365,600100
M_233699_864431,233699.04480000,864431.48240000,BC,2487730,90,KENNEDY CIRCLE,,,,,,,,02375,,EASTON,EASTON,MA,,90,90,,,,,,,,,KENNEDY,CIRCLE,CIR,,,118499,,98,88,88,2014-03-02,-71.09305359418761,42.02954717085645,600202
M_229439_865502,229438.59900000,865501.62640000,PC,2481955,35,CHESTNUT STREET,,,,,,,,02356,,EASTON,EASTON,MA,,35,35,,,,,,,,,CHESTNUT,STREET,ST,,,118357,,98,88,88,2014-03-02,-71.14444781823083,42.03935334341943,600203
M_230204_866775,230203.65080000,866774.89240000,BC,2487665,7,GUNWOOD LANE,,,,,,,,02356,,EASTON,EASTON,MA,,7,7,,,,,,,,,GUNWOOD,LANE,LN,,,118454,,98,88,88,2014-03-02,-71.13514204081767,42.05078772401229,600203
M_228376_862669,228376.05000000,862668.81580000,BC,2481415,9,MEADOWBROOK LANE,,,,,,,,02375,,EASTON,EASTON,MA,,9,9,,,,,,,,,MEADOWBROOK,LANE,LN,,,118589,,98,88,88,2014-03-02,-71.15741829976477,42.01388806038428,600204
M_232511_867798,232511.01460000,867797.69380000,BC,2485738,45,COLUMBUS AVENUE,,,,,,,,02356,,EASTON,EASTON,MA,,45,45,,,,,,,,,COLUMBUS,AVENUE,AVE,,,118368,,98,88,88,2014-03-02,-71.10721273385076,42.0599039269201,600100
M_231768_861949,231768.46300000,861949.45760000,BC,2487343,256,PROSPECT STREET,,,,,,,,02375,,EASTON,EASTON,MA,,256,256,,,,,,,,,PROSPECT,STREET,ST,,,118629,,98,88,88,2014-03-02,-71.11650154841499,42.00728151027298,600204
M_229759_866846,229758.81640000,866845.54800000,BMP,2485586,58,ROCKLAND STREET,,,,,,,,02356,,EASTON,EASTON,MA,,58,58,,,,,,,,,ROCKLAND,STREET,ST,,,118653,,98,88,88,2014-03-02,-71.1405119475116,42.051440855273306,600203
M_235147_865188,235146.99060000,865188.02520000,BC,2489211,14,NANCY ROAD,,,,,9,,,02375,,EASTON,EASTON,MA,,14,14,,,,,,,,,NANCY,ROAD,RD,,,118558,,98,88,88,2014-03-02,-71.07552315870679,42.03629493191457,600202
M_229728_867000,229728.46400000,867000.45480000,BC,2489225,146,ALLEN ROAD,,,,,3,,,02356,,EASTON,EASTON,MA,,146,146,,,,,,,,,ALLEN,ROAD,RD,,,118302,,98,88,88,2014-03-02,-71.14087072297285,42.05283666211257,600203
M_229683_863392,229682.50200000,863392.05720000,BC,2485641,86,HIGHLAND STREET,,,,,,,,02375,,EASTON,EASTON,MA,,86,86,,,,,,,,,HIGHLAND,STREET,ST,,,118470,,98,88,88,2014-03-02,-71.14160910680744,42.020351240703555,600204
M_233348_868423,233348.47320000,868423.24140000,BC,2490417,213,MAIN STREET,,,,,1,,,02356,,EASTON,EASTON,MA,,213,213,,,,,,,,,MAIN,STREET,ST,,,118532,,98,88,88,2014-03-02,-71.09705928386879,42.06550066347322,600100
M_229728_867000,229728.46400000,867000.45480000,BC,2489224,146,ALLEN ROAD,,,,,2,,,02356,,EASTON,EASTON,MA,,146,146,,,,,,,,,ALLEN,ROAD,RD,,,118302,,98,88,88,2014-03-02,-71.14087072297285,42.05283666211257,600203
M_235773_863227,235773.20740000,863226.93740000,BC,2489524,3,CHRISTOPHER DRIVE,,,,,1,,,02375,,EASTON,EASTON,MA,,3,3,,,,,,,,,CHRISTOPHER,DRIVE,DR,,,118360,,98,88,88,2014-03-02,-71.06808027992658,42.01861058893272,600202
M_232918_868136,232918.11840000,868136.36080000,BMP,2491449,56,CENTER STREET,,,,,B,,,02356,,EASTON,EASTON,MA,,56,56,,,,,,,,,CENTER,STREET,ST,,,118349,,98,88,88,2014-03-02,-71.10227523320351,42.062936017094735,600100
M_234453_862560,234452.64320000,862560.46500000,BMP,2489450,269,FOUNDRY STREET,,,,,FRONT,,,02375,,EASTON,EASTON,MA,,269,269,,,,,,,,,FOUNDRY,STREET,ST,,,118433,,98,88,88,2014-03-02,-71.08406353285369,42.012669294749216,600202
