ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_278607_795227,278607.11980000,795226.50620000,BC,4187290,35,18TH STREET SOUTH,,,,,2,,,02539,,EDGARTOWN,EDGARTOWN,MA,,35,35,,,,,,,,,18TH,STREET,ST,SOUTH,,78572,,99,89,89,2014-09-03,-70.55998935018944,41.40328640162031,200300
M_281523_792690,281522.70640000,792690.20760000,PC,1724939,15,KITTS FIELD CIRCLE,,,,,,,,02539,,EDGARTOWN,EDGARTOWN,MA,,15,15,,,,,,,,,KITTS FIELD,CIRCLE,CIR,,,78293,,99,89,89,2014-02-06,-70.5254732670452,41.38015780215334,200300
M_278049_794404,278049.18020000,794404.32900000,BMP,1725409,66,SADDLE CLUB ROAD,,,,,,,,02539,,EDGARTOWN,EDGARTOWN,MA,,66,66,,,,,,,,,SADDLE CLUB,ROAD,RD,,,78815,,99,89,89,2014-02-06,-70.5667684142572,41.395939572146574,200300
M_284802_792536,284801.66920000,792536.17660000,PC,1728421,2,PEASE AVENUE,,,,,,,,02539,,EDGARTOWN,EDGARTOWN,MA,,2,2,,,,,,,,,PEASE,AVENUE,AVE,,,78489,,99,89,89,2014-02-06,-70.48630187396981,41.37842702087424,200300
M_280224_792497,280223.53380000,792496.79080000,BC,1728470,21,NIGHT HERON ROAD,,,,,,,,02539,,EDGARTOWN,EDGARTOWN,MA,,21,21,,,,,,,,,NIGHT HERON,ROAD,RD,,,79034,,99,89,89,2014-02-06,-70.54102831922988,41.37854906880448,200300
M_282076_791205,282075.93860000,791204.50140000,BMP,1727587,2,WELCHS WAY,,,,,,,,02539,,EDGARTOWN,EDGARTOWN,MA,,2,2,,,,,,,,,WELCHS,WAY,WAY,,,78972,,99,89,89,2014-02-06,-70.5190647212846,41.36672512181251,200300
M_278653_795285,278653.00980000,795285.07600000,BC,1730671,17,18TH STREET SOUTH,,,,,,,,02539,,EDGARTOWN,EDGARTOWN,MA,,17,17,,,,,,,,,18TH,STREET,ST,SOUTH,,78572,,99,89,89,2014-02-06,-70.5594329034108,41.40380914567742,200300
M_281261_791814,281261.41420000,791814.41480000,BC,1730819,13,VICKERS STREET,,,,,,,,02539,,EDGARTOWN,EDGARTOWN,MA,,13,13,,,,,,,,,VICKERS,STREET,ST,,,78942,,99,89,89,2014-02-06,-70.52871570805465,41.37229999978282,200300
M_277877_795753,277876.98200000,795752.61680000,BC,1727077,5,HOLLOW WAY,,,,,,,,02539,,EDGARTOWN,EDGARTOWN,MA,,5,5,,,,,,,,,HOLLOW,WAY,WAY,,,78232,,99,89,89,2014-02-06,-70.56865119564806,41.40809504315189,200300
M_278579_795394,278578.56640000,795394.32320000,BC,1725625,4,20TH STREET SOUTH,,,,,,,,02539,,EDGARTOWN,EDGARTOWN,MA,,4,4,,,,,,,,,20TH,STREET,ST,SOUTH,,79043,,99,89,89,2014-02-06,-70.56030866600621,41.404800075805895,200300
M_282588_794014,282588.41140000,794014.41200000,BMP,1726274,63,PEASES POINT WAY NORTH,,,,,,,,02539,,EDGARTOWN,EDGARTOWN,MA,,63,63,,,,,,,,,PEASES POINT,WAY,WAY,NORTH,,78492,,99,89,89,2014-02-06,-70.51255165709192,41.39196906781571,200300
M_278549_795525,278548.67240000,795524.90560000,PC,1728237,13,THIRD STREET NORTH,,,,,,,,02539,,EDGARTOWN,EDGARTOWN,MA,,13,13,,,,,,,,,THIRD,STREET,ST,NORTH,,78915,,99,89,89,2014-02-06,-70.56064893133787,41.40597866229796,200300
M_278496_795437,278495.63580000,795437.40660000,BC,1729523,4,22ND STREET SOUTH,,,,,,,,02539,,EDGARTOWN,EDGARTOWN,MA,,4,4,,,,,,,,,22ND,STREET,ST,SOUTH,,78933,,99,89,89,2014-02-06,-70.56129465166325,41.4051961732568,200300
M_278796_795471,278795.88300000,795470.75620000,BC,1730325,30,SEVENTH STREET NORTH,,,,,,,,02539,,EDGARTOWN,EDGARTOWN,MA,,30,30,,,,,,,,,SEVENTH,STREET,ST,NORTH,,78835,,99,89,89,2014-02-06,-70.55769997289937,41.405466610257456,200300
M_279335_795596,279335.07620000,795595.71060000,PC,1724842,103,THE BOULEVARD,,,,,,,,02539,,EDGARTOWN,EDGARTOWN,MA,,103,103,,,,,,,,,THE,BOULEVARD,BLVD,,,78911,,99,89,89,2014-02-06,-70.55123580720087,41.406537749304015,200300
M_278748_794757,278748.06200000,794756.96880000,BMP,1725415,68,JERNEGAN AVENUE,,,,,,,,02539,,EDGARTOWN,EDGARTOWN,MA,,68,68,,,,,,,,,JERNEGAN,AVENUE,AVE,,,78261,,99,89,89,2014-02-06,-70.5583660358924,41.39904520287038,200300
M_281173_791795,281172.93460000,791794.59720000,BC,1724889,12,VICKERS STREET,,,,,,,,02539,,EDGARTOWN,EDGARTOWN,MA,,12,12,,,,,,,,,VICKERS,STREET,ST,,,78942,,99,89,89,2014-02-06,-70.52977587133398,41.37213065095844,200300
M_280355_794441,280355.13440000,794441.27920000,BC,1724962,16,HAMBLEN WAY,,,,,,,,02539,,EDGARTOWN,EDGARTOWN,MA,,16,16,,,,,,,,,HAMBLEN,WAY,WAY,,,78207,,99,89,89,2014-02-06,-70.53919351491834,41.39604172578293,
M_281779_794016,281779.08480000,794015.62360000,BC,1726643,189,UPPER MAIN STREET,,,,,,,,02539,,EDGARTOWN,EDGARTOWN,MA,,189,189,,,,,,,,,UPPER MAIN,STREET,ST,,,78937,,99,89,89,2014-02-06,-70.52222715668232,41.39206391701063,
M_281412_794334,281412.40260000,794333.87490000,BC,1725332,4A,MAGNOLIA WAY,,,,,,,,,,EDGARTOWN,EDGARTOWN,MA,,4,4,A,,,,,,,,MAGNOLIA,WAY,WAY,,,78329,,99,89,89,2016-05-26,-70.52656750324942,41.394966849855386,
M_279016_795715,279015.61500000,795715.44680000,PC,1729831,100,THE BOULEVARD,,,,,,,,02539,,EDGARTOWN,EDGARTOWN,MA,,100,100,,,,,,,,,THE,BOULEVARD,BLVD,,,78911,,99,89,89,2014-02-06,-70.55504005142932,41.40764765128463,200300
