ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_41128_879760,41127.85300000,879760.23140000,BC,177926,10,WESTER HOOK ROAD,,,,,,,,01230,,EGREMONT,EGREMONT,MA,,10,10,,,,,,,,,WESTER HOOK,ROAD,RD,,,9768,,100,90,90,2013-12-06,-73.42238635863492,42.152159780865695,934300
M_38022_883264,38022.14740000,883263.90900000,BC,176963,0A,OX BOW ROAD,,,,,,,,01230,,EGREMONT,EGREMONT,MA,,0,0,A,,,,,,,,OX BOW,ROAD,RD,,,9736,,100,90,90,2013-12-06,-73.46092742342628,42.18305919165322,934300
M_42041_881303,42041.01040000,881302.73160000,BC,177944,14,CREAMERY ROAD,,,,,,,,01230,,EGREMONT,EGREMONT,MA,,14,14,,,,,,,,,CREAMERY,ROAD,RD,,,9698,,100,90,90,2013-12-06,-73.41175893555831,42.16622836710983,934300
M_38939_880192,38939.48440000,880192.37360000,BMP,177779,98,MOUNT WASHINGTON ROAD,,,,,,,,01230,,EGREMONT,EGREMONT,MA,,98,98,,,,,,,,,MOUNT WASHINGTON,ROAD,RD,,,9731,,100,90,90,2013-12-06,-73.44897638564787,42.15560233844415,934300
M_38309_882367,38309.02660000,882367.24440000,BMP,176929,21,BLUNT ROAD,,,,,,,,01230,,EGREMONT,EGREMONT,MA,,21,21,,,,,,,,,BLUNT,ROAD,RD,,,9691,,100,90,90,2013-12-06,-73.45720660318318,42.17504787450812,934300
M_40911_879198,40911.45660000,879197.94300000,BMP,176972,29,WARNER ROAD,,,,,,,,01230,,EGREMONT,EGREMONT,MA,,29,29,,,,,,,,,WARNER,ROAD,RD,,,9766,,100,90,90,2013-12-06,-73.4248503987038,42.14705477041955,934300
M_41928_880173,41927.75340000,880172.64600000,BC,177728,39A,PINECREST HILL ROAD,,,,,,,,01230,,EGREMONT,EGREMONT,MA,,39,39,A,,,,,,,,PINECREST HILL,ROAD,RD,,,9741,,100,90,90,2013-12-06,-73.4128225407985,42.15603375972375,934300
M_40291_880159,40290.99640000,880159.32920000,BC,177737,42,MOUNT WASHINGTON ROAD,,,,,,,,01230,,EGREMONT,EGREMONT,MA,,42,42,,,,,,,,,MOUNT WASHINGTON,ROAD,RD,,,9731,,100,90,90,2013-12-06,-73.4326184427684,42.155581751499255,934300
M_42242_881008,42241.55040000,881007.61700000,BC,177855,3,MAIN STREET,,,,,,,,01230,,EGREMONT,EGREMONT,MA,,3,3,,,,,,,,,MAIN,STREET,ST,,,9722,,100,90,90,2013-12-06,-73.40925269902901,42.16361251744128,934300
M_41500_880739,41500.04140000,880738.76240000,BMP,177165,54A,MAIN STREET,,,,,,,,01230,,EGREMONT,EGREMONT,MA,,54,54,A,,,,,,,,MAIN,STREET,ST,,,9722,,100,90,90,2015-01-20,-73.41815054520171,42.161042826680436,934300
M_38224_884178,38223.79300000,884178.26480000,PC,177048,10,MILLARD ROAD,,,,,,,,01230,,EGREMONT,EGREMONT,MA,,10,10,,,,,,,,,MILLARD,ROAD,RD,,,9728,,100,90,90,2013-12-06,-73.4587412827943,42.19133075491053,934300
M_38692_881185,38692.13080000,881185.05440000,BC,177328,8,BOTT HILL ROAD,,,,,,,,01230,,EGREMONT,EGREMONT,MA,,8,8,,,,,,,,,BOTT HILL,ROAD,RD,,,9694,,100,90,90,2013-12-06,-73.4522434297724,42.164486312666085,934300
M_41867_883223,41867.09700000,883223.14880000,BC,177163,51,MCGEE ROAD,,,,,,,,01230,,EGREMONT,EGREMONT,MA,,51,51,,,,,,,,,MCGEE,ROAD,RD,,,9724,,100,90,90,2013-12-06,-73.41438465181074,42.18347862709475,934300
M_41500_880739,41500.04140000,880738.76240000,BMP,177295,54B,MAIN STREET,,,,,,,,01230,,EGREMONT,EGREMONT,MA,,54,54,B,,,,,,,,MAIN,STREET,ST,,,9722,,100,90,90,2015-01-20,-73.41815054520171,42.161042826680436,934300
M_41500_880739,41500.04140000,880738.76240000,BMP,177292,54,MAIN STREET,,,,,,,,01230,,EGREMONT,EGREMONT,MA,,54,54,,,,,,,,,MAIN,STREET,ST,,,9722,,100,90,90,2013-12-06,-73.41815054520171,42.161042826680436,934300
M_38562_887007,38561.70100000,887006.55780000,PC,4212216,50,WHITES HILL ROAD,,,,,,,,01230,,EGREMONT,EGREMONT,MA,,50,50,,,,,,,,,WHITES HILL,ROAD,RD,,,9770,,100,90,90,2015-09-24,-73.4554363416354,42.21685714831478,934300
M_40089_884711,40089.35120000,884711.40140000,BMP,177670,213,EGREMONT PLAIN ROAD,,,,,,,,01230,,EGREMONT,EGREMONT,MA,,213,213,,,,,,,,,EGREMONT PLAIN,ROAD,RD,,,9700,,100,90,90,2013-12-06,-73.43630793901707,42.19651283140619,934300
M_41022_879693,41022.36360000,879692.58600000,PC,177533,16,PARTRIDGE DRIVE,,,,,,,,01230,,EGREMONT,EGREMONT,MA,,16,16,,,,,,,,,PARTRIDGE,DRIVE,DR,,,9738,,100,90,90,2013-12-06,-73.42364391323126,42.15152950433223,934300
M_41426_880817,41426.37480000,880817.46280000,BMP,177306,60,MAIN STREET,,,,,,,,01230,,EGREMONT,EGREMONT,MA,,60,60,,,,,,,,,MAIN,STREET,ST,,,9722,,100,90,90,2013-12-06,-73.41906317507767,42.161736280108315,934300
M_41848_882481,41847.83900000,882481.35860000,BC,178113,19,MCGEE ROAD,,,,,REAR,,,01230,,EGREMONT,EGREMONT,MA,,19,19,,,,,,,,,MCGEE,ROAD,RD,,,9724,,100,90,90,2013-12-06,-73.41441619211993,42.17679800665902,934300
M_41616_880728,41615.75360000,880728.21740000,BC,178029,48,MAIN STREET,,,,,,,,01230,,EGREMONT,EGREMONT,MA,,48,48,,,,,,,,,MAIN,STREET,ST,,,9722,,100,90,90,2013-12-06,-73.41674781212116,42.16097132967051,934300
