ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_118505_926173,118505.08700000,926173.25020000,BMP,927683,42,PROSPECT STREET,,,,,,,,01344,,ERVING,ERVING,MA,,42,42,,,,,,,,,PROSPECT,STREET,ST,,,38709,,101,91,91,2013-12-15,-72.49276572216742,42.58185319144078,040400
M_126698_928019,126697.81700000,928018.66300000,BC,928379,18,EAST PROSPECT STREET,,,,,A,,,01344,,ERVING,ERVING,MA,,18,18,,,,,,,EAST,,PROSPECT,STREET,ST,,,38654,,101,91,91,2013-12-15,-72.39320552613646,42.59928039385132,040400
M_122024_927151,122023.73980000,927151.06840000,BMP,928055,25,OLD STATE ROAD,,,,,,,,01344,,ERVING,ERVING,MA,,25,25,,,,,,,,,OLD STATE,ROAD,RD,,,38697,,101,91,91,2013-12-15,-72.45003801615536,42.59101592641107,040400
M_118684_926210,118684.21240000,926209.77180000,BMP,927908,6,PLEASANT STREET,,,,,,,,01344,,ERVING,ERVING,MA,,6,6,,,,,,,,,PLEASANT,STREET,ST,,,38705,,101,91,91,2013-12-15,-72.49058899130388,42.58220069385272,040400
M_126698_928019,126697.81700000,928018.66300000,BC,928041,18,EAST PROSPECT STREET,,,,,,,,01344,,ERVING,ERVING,MA,,18,18,,,,,,,EAST,,PROSPECT,STREET,ST,,,38654,,101,91,91,2013-12-15,-72.39320552613646,42.59928039385132,040400
M_118528_926912,118528.05840000,926912.30660000,BC,928172,46,RIVER ROAD,,,,,,,,01344,,ERVING,ERVING,MA,,46,46,,,,,,,,,RIVER,ROAD,RD,,,38715,,101,91,91,2013-12-15,-72.49259067620773,42.588508325240205,040400
M_118215_926441,118215.05500000,926441.09700000,BC,927598,6,RIVER ROAD,,,,,,,,01344,,ERVING,ERVING,MA,,6,6,,,,,,,,,RIVER,ROAD,RD,,,38715,,101,91,91,2013-12-15,-72.49633666418464,42.58423381260503,040400
M_126067_928060,126067.02320000,928060.37920000,BC,928163,2,WEST MAIN STREET,,,,,,,,01344,,ERVING,ERVING,MA,,2,2,,,,,,,WEST,,MAIN,STREET,ST,,,38736,,101,91,91,2013-12-15,-72.40089670667102,42.59959619188394,040400
M_126060_928199,126060.14740000,928198.73160000,BC,927706,10,NORTH STREET,,,,,,,,01344,,ERVING,ERVING,MA,,10,10,,,,,,,,,NORTH,STREET,ST,,,38694,,101,91,91,2013-12-15,-72.40099829172128,42.60084094735584,040400
M_126698_928019,126697.81700000,928018.66300000,BC,928380,18,EAST PROSPECT STREET,,,,,B,,,01344,,ERVING,ERVING,MA,,18,18,,,,,,,EAST,,PROSPECT,STREET,ST,,,38654,,101,91,91,2013-12-15,-72.39320552613646,42.59928039385132,040400
M_118720_926076,118720.02260000,926076.18880000,BMP,928316,8,CENTRAL STREET,,,,,,,,01344,,ERVING,ERVING,MA,,8,8,,,,,,,,,CENTRAL,STREET,ST,,,38641,,101,91,91,2013-12-15,-72.4901339013314,42.581001967731154,040400
M_118837_926377,118836.98640000,926377.13640000,BMP,927682,30,FOREST STREET,,,,,,,,01344,,ERVING,ERVING,MA,,30,30,,,,,,,,,FOREST,STREET,ST,,,38656,,101,91,91,2013-12-15,-72.48875169831275,42.583723210104466,040400
M_125735_931029,125735.27280000,931029.23580000,BC,927728,194,NORTH STREET,,,,,,,,01344,,ERVING,ERVING,MA,,194,194,,,,,,,,,NORTH,STREET,ST,,,38694,,101,91,91,2013-12-15,-72.40532284608922,42.62628927200562,040400
M_126537_928066,126537.00540000,928066.48020000,BC,927924,12,EAST PROSPECT STREET,,,,,,,,01344,,ERVING,ERVING,MA,,12,12,,,,,,,EAST,,PROSPECT,STREET,ST,,,38654,,101,91,91,2013-12-15,-72.39517102695076,42.599695655171324,040400
M_126734_928051,126734.18520000,928050.90620000,BC,927987,9,PROSPECT STREET EXTENSION,,,,,,,,01344,,ERVING,ERVING,MA,,9,9,,,,,,,,,PROSPECT,STREET EXTENSION,,,,38710,,101,91,91,2013-12-15,-72.39276651497153,42.59957406590697,040400
M_118409_926592,118409.07080000,926591.94960000,BC,927951,21,RIVER ROAD,,,,,,,,01344,,ERVING,ERVING,MA,,21,21,,,,,,,,,RIVER,ROAD,RD,,,38715,,101,91,91,2013-12-15,-72.49399471608193,42.58561211182494,040400
M_121458_926950,121457.93560000,926950.12780000,BC,927954,22,RIDGE ROAD,,,,,,,,01344,,ERVING,ERVING,MA,,22,22,,,,,,,,,RIDGE,ROAD,RD,,,38713,,101,91,91,2013-12-15,-72.45690355446807,42.58915018656894,040400
M_125971_930453,125970.65500000,930453.40680000,BC,927994,159,NORTH STREET,,,,,,,,01344,,ERVING,ERVING,MA,,159,159,,,,,,,,,NORTH,STREET,ST,,,38694,,101,91,91,2013-12-15,-72.40237937736056,42.621128313613916,040400
M_128273_930721,128272.72100000,930720.98860000,PC,927833,15,NORTH SHORE ROAD,,,,,,,,01344,,ERVING,ERVING,MA,,15,15,,,,,,,NORTH,,SHORE,ROAD,RD,,,38693,,101,91,91,2013-12-15,-72.37435381593463,42.62375283127646,040400
