ADDR_PT_ID,X,Y,POINT_TYPE,ADDRESS_ID,ADDR_NUM,STREETNAME,REL_LOC,SITE_NAME,BUILDING,FLOOR,UNIT,OTHER_LOC,SUBSITE,ZIPCODE,NEIGHBORHD,COMMUNITY,TOWN,STATE,NUM1_PFX,NUM1,NUM1_TXT,NUM1_SFX,NUM2_PFX,NUM2,NUM2_TXT,NUM2_SFX,PRE_MOD,PRE_DIR,PRE_TYPE,BASE,POST_TYPE,USPS_TYPE,POST_DIR,POST_MOD,STRNAME_ID,SITENM_ID,COMM_ID,ADDRTWN_ID,GEOTOWN_ID,EDIT_DATE,latitude,longitude,census_tract
M_258696_931582,258696.10360000,931581.51800000,BMP,1207316,16,WINTHROP STREET,,,,,,,,01929,,ESSEX,ESSEX,MA,,16,16,,,,,,,,,WINTHROP,STREET,ST,,,55011,,102,92,92,2014-01-16,-70.78439961702932,42.63259243301004,222100
M_260808_928126,260808.32340000,928126.03560000,BMP,1208448,0,MORSE HILL,,,,,,,,01929,,ESSEX,ESSEX,MA,,0,0,,,,,,,,,MORSE,HILL,HL,,,55024,,102,92,92,2014-01-16,-70.75901548194985,42.60132435801922,222100
M_262226_932638,262225.61460000,932637.83380000,BC,1207692,5,LUFKIN POINT ROAD,,,,,,,,01929,,ESSEX,ESSEX,MA,,5,5,,,,,,,,,LUFKIN POINT,ROAD,RD,,,54943,,102,92,92,2014-01-16,-70.741256823983,42.64182656315074,222100
M_258848_931832,258847.78540000,931832.17940000,BMP,1207833,7,MAIN STREET,,,,,,,,01929,,ESSEX,ESSEX,MA,,7,7,,,,,,,,,MAIN,STREET,ST,,,54945,,102,92,92,2014-01-16,-70.78252475286581,42.63483736907844,222100
M_258746_930482,258746.24780000,930482.48940000,ABC,1208147,56,APPLE STREET,,,,,,,,01929,,ESSEX,ESSEX,MA,,56,56,,,,,,,,,APPLE,STREET,ST,,,54860,,102,92,92,2014-01-16,-70.7839007944613,42.62269537755397,222100
M_259594_931306,259594.21860000,931306.10620000,BMP,1208639,139,MAIN STREET,,,,,,,,01929,,ESSEX,ESSEX,MA,,139,139,,,,,,,,,MAIN,STREET,ST,,,54945,,102,92,92,2014-01-16,-70.7734792681386,42.630044880901686,222100
M_257012_929170,257012.47900000,929169.93920000,BC,1207912,39,WOOD DRIVE,,,,,,,,01929,,ESSEX,ESSEX,MA,,39,39,,,,,,,,,WOOD,DRIVE,DR,,,55012,,102,92,92,2014-01-16,-70.80516430118342,42.61100906169566,222100
M_258194_930645,258194.43180000,930644.66280000,BMP,1209012,21,APPLE STREET,,,,,,,,01929,,ESSEX,ESSEX,MA,,21,21,,,,,,,,,APPLE,STREET,ST,,,54860,,102,92,92,2014-01-16,-70.7906105143291,42.62419674588132,222100
M_257380_933318,257379.81480000,933318.08480000,BC,1207644,29,CHOATE STREET,,,,,,,,01929,,ESSEX,ESSEX,MA,,29,29,,,,,,,,,CHOATE,STREET,ST,,,54878,,102,92,92,2014-01-16,-70.80027289991116,42.64832296865779,222100
M_256536_929389,256535.98560000,929388.79640000,BC,1207444,4,GREGORY ISLAND LANE,,,,,,,,01929,,ESSEX,ESSEX,MA,,4,4,,,,,,,,,GREGORY ISLAND,LANE,LN,,,54908,,102,92,92,2014-01-16,-70.81094973134044,42.613013987580025,222100
M_257037_929195,257036.72760000,929195.17880000,BMP,1208124,37,WOOD DRIVE,,,,,,,,01929,,ESSEX,ESSEX,MA,,37,37,,,,,,,,,WOOD,DRIVE,DR,,,55012,,102,92,92,2014-01-16,-70.80486627927868,42.611234487251686,222100
M_261882_931924,261882.04020000,931924.21060000,BC,1208253,61,HARLOW STREET,,,,,,,,01929,,ESSEX,ESSEX,MA,,61,61,,,,,,,,,HARLOW,STREET,ST,,,54914,,102,92,92,2014-01-16,-70.74552291876294,42.635430132460456,222100
M_258978_934332,258978.12390000,934331.57560000,ABC,1208737,70,ISLAND ROAD,,,,,,,,01929,,ESSEX,ESSEX,MA,,70,70,,,,,,,,,ISLAND,ROAD,RD,,,54922,,102,92,92,2016-06-16,-70.78067875646983,42.65732648960233,222100
M_259248_932174,259248.35220000,932174.32900000,BMP,1207662,36,SPRING STREET,,,,,,,,01929,,ESSEX,ESSEX,MA,,36,36,,,,,,,,,SPRING,STREET,ST,,,54988,,102,92,92,2014-01-16,-70.77760592570843,42.63788689625905,222100
M_261823_933240,261822.60780000,933240.34880000,BC,1207923,5,COGSWELL ROAD,,,,,,,,01929,,ESSEX,ESSEX,MA,,5,5,,,,,,,,,COGSWELL,ROAD,RD,,,54880,,102,92,92,2014-01-16,-70.7461056664554,42.64728241765177,222100
M_257456_933406,257455.84140000,933406.01240000,BC,1208166,21,CHOATE STREET,,,,,,,,01929,,ESSEX,ESSEX,MA,,21,21,,,,,,,,,CHOATE,STREET,ST,,,54878,,102,92,92,2014-01-16,-70.7993370155997,42.6491088557416,222100
M_258827_931544,258826.91780000,931544.26700000,BC,1207412,25,MARTIN STREET,,,,,,,,01929,,ESSEX,ESSEX,MA,,25,25,,,,,,,,,MARTIN,STREET,ST,,,54950,,102,92,92,2014-01-16,-70.78280867408138,42.632247215872546,222100
M_256756_928901,256756.09480000,928900.82300000,BC,1208030,69,WOOD DRIVE,,,,,,,,01929,,ESSEX,ESSEX,MA,,69,69,,,,,,,,,WOOD,DRIVE,DR,,,55012,,102,92,92,2014-01-16,-70.80831542517431,42.608605264102394,222100
M_257580_929772,257579.57420000,929771.81580000,BC,1207673,4,PINE RIDGE ROAD,,,,,,,,01929,,ESSEX,ESSEX,MA,,4,4,,,,,,,,,PINE RIDGE,ROAD,RD,,,54965,,102,92,92,2014-01-16,-70.79819282447092,42.6163852886962,222100
M_257135_929160,257135.80660000,929160.18170000,BC,1207678,40,WOOD DRIVE,,,,,,,,01929,,ESSEX,ESSEX,MA,,40,40,,,,,,,,,WOOD,DRIVE,DR,,,55012,,102,92,92,2016-06-16,-70.80366229198643,42.61091217203444,222100
